cond	sd
6 h	0.146185545001278
6 h	0.177729564221491
6 h	0.12624264579027
6 h	0.167683744819605
6 h	0.205615854258479
6 h	0.0866264408088519
6 h	0.234813837518882
6 h	0.156783292259853
6 h	0.168211253518882
6 h	0.186182754431482
6 h	0.177078239342031
6 h	0.185512975594278
6 h	0.152105074607799
6 h	0.219378418052474
6 h	0.225953551826127
6 h	0.112736732501879
6 h	0.203385098845821
6 h	0.0913258217048862
6 h	0.166406022233445
6 h	0.130479536820721
6 h	0.168225583350571
6 h	0.205838727009631
6 h	0.206524995886311
6 h	0.163492906344721
6 h	0.198219413557621
6 h	0.199589244270233
6 h	0.19596767531083
6 h	0.169906556341175
6 h	0.192449636943468
6 h	0.199616561713307
6 h	0.202827437777792
6 h	0.167735099732233
6 h	0.201466764000753
6 h	0.173225317020392
6 h	0.188596348282541
6 h	0.17246858348459
6 h	0.164158114749203
6 h	0.209376745182612
6 h	0.195816239936485
6 h	0.103255904906627
6 h	0.153506548761936
6 h	0.171055906850539
6 h	0.194150298464681
6 h	0.185536470421329
6 h	0.195308804390114
6 h	0.183711198389551
6 h	0.129739474399141
6 h	0.128466950133354
6 h	0.142014372151401
6 h	0.133748774839731
6 h	0.101187151093897
6 h	0.170847140059252
6 h	0.227737912368485
6 h	0.146629526482921
6 h	0.0976987973178977
6 h	0.138794335871714
6 h	0.183173199865187
6 h	0.170065542188842
6 h	0.191466949985442
6 h	0.178834647504722
6 h	0.145071647488887
6 h	0.193319568449509
6 h	0.177121688726992
6 h	0.206443699466402
6 h	0.118935802288416
6 h	0.0648457081809572
6 h	0.138739636636394
6 h	0.183857123533255
6 h	0.20168945381997
6 h	0.155874091686783
6 h	0.183798451180396
6 h	0.176942153249819
6 h	0.17412538738409
6 h	0.21444539701616
6 h	0.112460337530231
6 h	0.141213905577642
6 h	0.125823234111575
6 h	0.179317515612273
6 h	0.162707569146835
6 h	0.143413562698313
6 h	0.185263684155242
6 h	0.131835015414447
6 h	0.157524939164325
6 h	0.157448745034558
6 h	0.16886715416349
6 h	0.166877608678338
6 h	0.172805331005144
6 h	0.154884287245566
6 h	0.180346949196751
6 h	0.165846551773604
6 h	0.174721445755471
6 h	0.171715995876081
6 h	0.0636156502493684
6 h	0.170046611392132
6 h	0.105819499479049
6 h	0.0722382033173084
6 h	0.0994625273108223
6 h	0.16168199133046
6 h	0.184611014822257
6 h	0.156687434180671
6 h	0.171761597555064
6 h	0.209457700390652
6 h	0.210258126584591
6 h	0.162653569727098
6 h	0.16261180101177
6 h	0.106755678441486
6 h	0.151074925566348
6 h	0.187301484472049
6 h	0.20281880339177
6 h	0.18118367631074
6 h	0.124320954879361
6 h	0.181461912211482
6 h	0.140256714702516
6 h	0.173726598783702
6 h	0.168568311709324
6 h	0.221750938384014
6 h	0.194897455587101
6 h	0.218051143459059
6 h	0.182078054780572
6 h	0.136181256717102
6 h	0.184503473260778
6 h	0.17611518957056
6 h	0.178569914628692
6 h	0.185718511227978
6 h	0.150935734296965
6 h	0.225860682427192
6 h	0.138818116862113
6 h	0.203909511446344
6 h	0.155432098691045
6 h	0.145903497013086
6 h	0.18725760918052
6 h	0.163325132889806
6 h	0.189239206923103
6 h	0.171659073115778
6 h	0.087311987535382
6 h	0.0939310537200508
6 h	0.174331285934374
6 h	0.0994085628319382
6 h	0.163104856543055
6 h	0.112116690760434
6 h	0.198871770737494
6 h	0.0798027154876864
6 h	0.0819004023376581
6 h	0.141062918386904
6 h	0.166728996968264
6 h	0.144646535719911
6 h	0.191605784753662
6 h	0.184003790648159
6 h	0.16654953603751
6 h	0.177802647632947
6 h	0.188158183023568
6 h	0.159515392270011
6 h	0.176993130620351
6 h	0.218690297610899
6 h	0.197650112457376
6 h	0.206331165218223
6 h	0.134792566765452
6 h	0.118259344347832
6 h	0.149770357946042
6 h	0.198317406402775
6 h	0.114722148388504
6 h	0.13665042668693
6 h	0.106580266805341
6 h	0.195728309937658
6 h	0.163941717058033
6 h	0.2200647498525
6 h	0.162165810283546
6 h	0.212773592402059
6 h	0.151822537374588
6 h	0.14552263076981
6 h	0.1476740328827
6 h	0.144527757736774
6 h	0.168118366460843
6 h	0.147860838756699
6 h	0.190146885999185
6 h	0.209723425567248
6 h	0.155615506665849
6 h	0.194227301300844
6 h	0.207183004686565
6 h	0.0886374359226269
6 h	0.176214998478094
6 h	0.133434079794595
6 h	0.186469043971192
6 h	0.145712669503316
6 h	0.120522807456028
6 h	0.217518901750993
6 h	0.160353285394375
6 h	0.122184698707759
6 h	0.173773436584476
6 h	0.200704222060807
6 h	0.197597138880815
6 h	0.134466049575697
6 h	0.173006226336935
6 h	0.18291497922019
6 h	0.199290259115655
6 h	0.199483349464805
6 h	0.0949031680494485
6 h	0.196050622291614
6 h	0.158258560022325
6 h	0.148062846086245
6 h	0.16746966474106
6 h	0.149603331389438
6 h	0.135822321855792
6 h	0.198494260423331
6 h	0.119897920637413
6 h	0.108759056462112
6 h	0.19406560210665
6 h	0.133094836594238
6 h	0.16305273703279
6 h	0.13977097534122
6 h	0.176876263415838
6 h	0.0907749881376344
6 h	0.2097418316847
6 h	0.163362171897426
6 h	0.166522097530881
6 h	0.121655918371291
6 h	0.193317917107335
6 h	0.193453473842532
6 h	0.0820207756531086
6 h	0.168948906272698
6 h	0.182128249066748
6 h	0.219389201607742
6 h	0.166329730125668
6 h	0.0885093751150627
6 h	0.196088803996846
6 h	0.14128031300566
6 h	0.153392780199104
6 h	0.162811902754478
6 h	0.180573786728302
6 h	0.155342375085493
6 h	0.158079485169168
6 h	0.201867651012628
6 h	0.169668790934802
6 h	0.185327246508034
6 h	0.18265237017505
6 h	0.188357872702255
6 h	0.135700617908843
6 h	0.209224782686324
6 h	0.0839727074655656
6 h	0.122574017512528
6 h	0.198328063284306
6 h	0.185730759807865
6 h	0.15294708298507
6 h	0.17055909339827
6 h	0.185284064760021
6 h	0.197927943789723
6 h	0.145769196701079
6 h	0.198154644062708
6 h	0.171638373223628
6 h	0.121739551543726
6 h	0.150194867131217
6 h	0.177801910295645
6 h	0.170385419083421
6 h	0.0989748391530038
6 h	0.178035291889605
6 h	0.180215805843793
6 h	0.182803308774283
6 h	0.0774003372586685
6 h	0.109603933505009
6 h	0.201785001659277
6 h	0.180592221888534
6 h	0.153746367702772
6 h	0.198252030200081
6 h	0.131037853127164
6 h	0.220913581170176
6 h	0.202373716128416
6 h	0.160061737327883
6 h	0.122005217605759
6 h	0.184536158889404
6 h	0.173848726505313
6 h	0.179164337655162
6 h	0.198519656444539
6 h	0.157438078981141
6 h	0.161745975493864
6 h	0.174453682209339
6 h	0.164333517778883
6 h	0.152169869648813
6 h	0.15792919215887
6 h	0.160615490399547
6 h	0.176626632083944
6 h	0.149702289740636
6 h	0.218062404659496
6 h	0.0988880019078043
6 h	0.188635906403835
6 h	0.21958792898302
6 h	0.124441752950818
6 h	0.243623857609282
6 h	0.117347555814281
6 h	0.193312812904014
6 h	0.0860391952662037
6 h	0.123147223223063
6 h	0.211714453594292
6 h	0.190347774130528
6 h	0.206296288582816
6 h	0.200070548751178
6 h	0.131026613387947
6 h	0.16459148337721
6 h	0.159441422725722
6 h	0.158732024126222
6 h	0.164300617272269
6 h	0.0958464599687969
6 h	0.110930186255654
6 h	0.209529609278953
6 h	0.183008776074829
6 h	0.200268626490778
6 h	0.147120490385329
6 h	0.183922296614058
6 h	0.105715210451217
6 h	0.182480044604302
6 h	0.166919966768749
6 h	0.123406195694289
6 h	0.0865653202086585
6 h	0.135985696278345
6 h	0.0766614689642715
6 h	0.180284685910671
6 h	0.153182664087476
6 h	0.182527982295304
6 h	0.161900587261216
6 h	0.157595641916486
6 h	0.173627357973472
6 h	0.180223510281952
6 h	0.159284692423186
6 h	0.152736509456404
6 h	0.170703294022874
6 h	0.120817016107484
6 h	0.180432445376379
6 h	0.157301499983888
6 h	0.151828178154493
6 h	0.151410599724277
6 h	0.177656025151508
6 h	0.107333435481192
6 h	0.164111936713292
6 h	0.152426863213111
6 h	0.206126242511328
6 h	0.213463200700165
6 h	0.176284299042979
6 h	0.172876364368456
6 h	0.2079779765198
6 h	0.185400690894436
6 h	0.145611037283335
6 h	0.20273029514308
6 h	0.152159863564185
6 h	0.0907723545563662
6 h	0.135774383291944
6 h	0.0884759017262768
6 h	0.107336990392376
6 h	0.164941025497784
6 h	0.180078904387155
6 h	0.17391441939115
6 h	0.204444673605589
6 h	0.192687492445321
6 h	0.180874322917301
6 h	0.219561772724811
6 h	0.158497150954472
6 h	0.125214979899437
6 h	0.155015646340251
6 h	0.206987736296381
6 h	0.110419947407188
6 h	0.168615107409515
6 h	0.24358753861235
6 h	0.175963365190117
6 h	0.20997868696566
6 h	0.173857208711239
6 h	0.195697727438751
6 h	0.199275709908048
6 h	0.181595683172971
6 h	0.175288819525484
6 h	0.179556427452517
6 h	0.0913552856982034
6 h	0.192817597015573
6 h	0.151209269337526
6 h	0.125971898338394
6 h	0.23043750530057
6 h	0.178208890158246
6 h	0.184369803381466
6 h	0.188204185559702
6 h	0.197692506589863
6 h	0.204900787718584
6 h	0.183683432536704
6 h	0.182298206011431
6 h	0.128639536854659
6 h	0.0763024830885994
6 h	0.184876153124345
6 h	0.187175631076706
6 h	0.142286239414558
6 h	0.0818276122312541
6 h	0.0717308136995471
6 h	0.141440782884547
6 h	0.16746170593753
6 h	0.158573361109982
6 h	0.082594309036485
6 h	0.156206643268285
6 h	0.0862677315015407
6 h	0.166389887620624
6 h	0.111359270704968
6 h	0.172954248237813
6 h	0.114089272914231
6 h	0.194816583141308
6 h	0.156240952150764
6 h	0.131619093083603
6 h	0.12200608489596
6 h	0.116426391935425
6 h	0.197009296914056
6 h	0.23174822504723
6 h	0.215409534917667
6 h	0.168247476955135
6 h	0.141455050035121
6 h	0.110247210511191
6 h	0.191949962536428
6 h	0.142136838458403
6 h	0.16493065758128
6 h	0.211332313240841
6 h	0.0928828263761247
6 h	0.13570963355254
6 h	0.161710049391554
6 h	0.10756244281903
6 h	0.111130330080393
6 h	0.179960391233463
6 h	0.197671673502968
6 h	0.206362320993673
6 h	0.194630973405659
6 h	0.22234754127595
6 h	0.147700986990159
6 h	0.157011209955528
6 h	0.182408388810511
6 h	0.20283340911695
6 h	0.184900285727724
6 h	0.202509194668576
6 h	0.210537053398463
6 h	0.150710325942248
6 h	0.177418831729174
6 h	0.133686637356663
6 h	0.214349998546841
6 h	0.130815978710124
6 h	0.235134021836064
6 h	0.182896976072521
6 h	0.222729485622494
6 h	0.0736118586103161
6 h	0.224471459520069
6 h	0.147885560025117
6 h	0.208975178118144
6 h	0.137235933362909
6 h	0.198004959967831
6 h	0.161248146080666
6 h	0.178661838012351
6 h	0.17658638360822
6 h	0.182270285614969
6 h	0.210930443750383
6 h	0.191603750612343
6 h	0.16842653631142
6 h	0.175118902555472
6 h	0.0804516343039478
6 h	0.15174954711385
6 h	0.176746700910991
6 h	0.122934783587832
6 h	0.111733876687596
6 h	0.160853639850343
6 h	0.0901805028308132
6 h	0.189761077883051
6 h	0.196141277715615
6 h	0.113791786923112
6 h	0.116137854397265
6 h	0.215184028478673
6 h	0.119814848726984
6 h	0.141414862991173
6 h	0.141404445266021
6 h	0.148470039891287
6 h	0.133361579252253
6 h	0.154673663092601
6 h	0.173601960175813
6 h	0.177479504800935
6 h	0.162456885896297
6 h	0.176798737665744
6 h	0.103234944878838
6 h	0.108142342859898
6 h	0.190184339764282
6 h	0.17469403848522
6 h	0.194584674597842
6 h	0.142832018739744
6 h	0.158817294116695
6 h	0.17728797120684
6 h	0.167943391572603
6 h	0.223455403677132
6 h	0.186795845907894
6 h	0.119903679996653
6 h	0.14189186426009
6 h	0.15998503701627
6 h	0.128400268438886
6 h	0.101210217033828
6 h	0.125322345627874
6 h	0.158735981270915
6 h	0.177745846803065
6 h	0.136529858367608
6 h	0.184844858184892
6 h	0.13275081411241
6 h	0.197744850675631
6 h	0.129906137998975
6 h	0.136975396844983
6 h	0.132775941804359
6 h	0.149291340719413
2 h	0.176962603552524
2 h	0.145508059122422
2 h	0.20421039829558
2 h	0.163745111292918
2 h	0.18340575471675
2 h	0.109611342005434
2 h	0.139374847401402
2 h	0.190570758690648
2 h	0.150662499878305
2 h	0.159112188601994
2 h	0.188610009604889
2 h	0.136818535846643
2 h	0.116739329779333
2 h	0.149124182378285
2 h	0.171517655715462
2 h	0.208534377628952
2 h	0.112629166726675
2 h	0.192977247806121
2 h	0.221497441265387
2 h	0.171092572452902
2 h	0.184136003620697
2 h	0.145753684245273
2 h	0.150929927675577
2 h	0.217106088923422
2 h	0.206809905479659
2 h	0.195905314826596
2 h	0.175612576853087
2 h	0.177233946191253
2 h	0.203419129063939
2 h	0.12033095817528
2 h	0.193250421363384
2 h	0.206061842927099
2 h	0.149419157977045
2 h	0.208822033978484
2 h	0.133675043223128
2 h	0.192530507100276
2 h	0.111902191995779
2 h	0.17113716123572
2 h	0.186514869388006
2 h	0.205359965391332
2 h	0.152595818838503
2 h	0.199608989059512
2 h	0.0607877913139584
2 h	0.151604741015731
2 h	0.108166551948259
2 h	0.179525939675191
2 h	0.170866551401165
2 h	0.118698305398233
2 h	0.165942364098662
2 h	0.197886186560012
2 h	0.160541678006133
2 h	0.164361626633467
2 h	0.193085437531189
2 h	0.055377825275557
2 h	0.198959754999444
2 h	0.111997206282755
2 h	0.137510741353738
2 h	0.147069535574443
2 h	0.180599481724871
2 h	0.231598900386445
2 h	0.172606489912719
2 h	0.177583558301416
2 h	0.163699724330451
2 h	0.185531724674483
2 h	0.164590148897911
2 h	0.166428397681485
2 h	0.206611550610761
2 h	0.208840046086182
2 h	0.178945672207505
2 h	0.20902154808463
2 h	0.152046091382744
2 h	0.173008524903139
2 h	0.158460040530143
2 h	0.20907065775893
2 h	0.201769716618947
2 h	0.124645628345315
2 h	0.176791909506614
2 h	0.169087423007677
2 h	0.2017322350148
2 h	0.179951628271074
2 h	0.198929671750057
2 h	0.202303692605089
2 h	0.175105747626492
2 h	0.159559839237913
2 h	0.168332822114608
2 h	0.160652888372337
2 h	0.191857548357145
2 h	0.14328305199191
2 h	0.192843472942383
2 h	0.207574918365958
2 h	0.19183139315961
2 h	0.177092419914082
2 h	0.20049130932498
2 h	0.142403218658178
2 h	0.0720078264577715
2 h	0.138991985492212
2 h	0.201462728173249
2 h	0.121286189982309
2 h	0.115032365303515
2 h	0.128255345126265
2 h	0.181886831044215
2 h	0.147450870219066
2 h	0.143164614913556
2 h	0.177385508687782
2 h	0.199417586590654
2 h	0.189268941736679
2 h	0.190069490108068
2 h	0.209750726624054
2 h	0.178730257003264
2 h	0.102694938684181
2 h	0.218112606712375
2 h	0.199888198868024
2 h	0.17288860748264
2 h	0.162678633576711
2 h	0.158348958275571
2 h	0.154769263482171
2 h	0.198427756402094
2 h	0.195540980253082
2 h	0.194412081121598
2 h	0.181650939997101
2 h	0.134152577287083
2 h	0.182206044542065
2 h	0.213576614333834
2 h	0.175026738786631
2 h	0.208807995293532
2 h	0.155905433918864
2 h	0.172575578694545
2 h	0.108539211060271
2 h	0.235690369305038
2 h	0.194866845101979
2 h	0.164298735173787
2 h	0.148541051064534
2 h	0.15744487739739
2 h	0.231205597153833
2 h	0.193754567536977
2 h	0.163603691305641
2 h	0.152370178813019
2 h	0.165200496917142
2 h	0.165321594077118
2 h	0.202090220941037
2 h	0.167671167645548
2 h	0.214730630493767
2 h	0.182192058154146
2 h	0.177280746287492
