cond	exp	dln
30 min	Exp.3	0.683021419476355
30 min	Exp.3	0.697083061392391
30 min	Exp.3	0.689856948412186
30 min	Exp.3	0.337611929556046
30 min	Exp.3	0.581732217751876
30 min	Exp.3	0.63173274303495
30 min	Exp.3	0.621607138561485
30 min	Exp.3	0.619282732206149
30 min	Exp.3	0.682514494650595
30 min	Exp.3	0.631937498819402
30 min	Exp.3	0.676955344021181
30 min	Exp.3	0.570629386386818
30 min	Exp.3	0.625589253780943
30 min	Exp.3	0.59299640072742
30 min	Exp.3	0.623252133140955
30 min	Exp.3	0.696830734490325
30 min	Exp.3	0.588447642761773
30 min	Exp.3	0.657272791827384
30 min	Exp.3	0.617808411240645
30 min	Exp.3	0.640705762482003
30 min	Exp.3	0.57291725096478
30 min	Exp.3	0.633937957678565
30 min	Exp.3	0.673199923882383
30 min	Exp.3	0.629564263896028
30 min	Exp.3	0.610428034126833
30 min	Exp.3	0.548594377918766
30 min	Exp.3	0.591188985084458
30 min	Exp.3	0.583055175216827
30 min	Exp.3	0.596938436438079
30 min	Exp.3	0.63162062974969
30 min	Exp.3	0.555586659428969
30 min	Exp.3	0.563697796751458
30 min	Exp.3	0.655564737593948
30 min	Exp.3	0.572929488017425
30 min	Exp.3	0.588491178038556
30 min	Exp.3	0.583819461936551
30 min	Exp.3	0.59309185958864
30 min	Exp.3	0.591265353243936
30 min	Exp.3	0.640752967271018
30 min	Exp.3	0.65209425958848
30 min	Exp.3	0.59993896484375
30 min	Exp.3	0.62298174387299
30 min	Exp.3	0.620832826342478
30 min	Exp.3	0.639858927087203
30 min	Exp.3	0.642434394040278
30 min	Exp.3	0.62338569609543
30 min	Exp.3	0.665607501245061
30 min	Exp.3	0.642675259792034
30 min	Exp.3	0.599465796112961
30 min	Exp.3	0.34283631695402
30 min	Exp.3	0.65
30 min	Exp.3	0.56569720511538
30 min	Exp.3	0.642132324380638
30 min	Exp.3	0.621299782465921
30 min	Exp.3	0.771848433365273
30 min	Exp.3	0.559316214292109
30 min	Exp.3	0.657187751678772
30 min	Exp.3	0.624431042117813
30 min	Exp.3	0.572393153511588
30 min	Exp.3	0.56659221007958
30 min	Exp.3	0.612088696492709
30 min	Exp.3	0.69181241056432
30 min	Exp.3	0.632447977950129
30 min	Exp.3	0.665050825696005
30 min	Exp.3	0.732216989252229
30 min	Exp.3	0.625083962485759
30 min	Exp.3	0.557144444631099
30 min	Exp.3	0.598527541161796
30 min	Exp.3	0.612624592717227
30 min	Exp.3	0.597862967746075
30 min	Exp.3	0.565116450584404
30 min	Exp.3	0.591001971699089
30 min	Exp.3	0.560336716235667
30 min	Exp.3	0.583672480019269
30 min	Exp.3	0.641510470720077
30 min	Exp.3	0.624212418812139
30 min	Exp.3	0.642952463126443
30 min	Exp.3	0.637012726563773
30 min	Exp.3	0.582812195121819
30 min	Exp.3	0.572830046714041
30 min	Exp.3	0.584791712174471
30 min	Exp.3	0.572710049285497
30 min	Exp.3	0.605176873612548
30 min	Exp.3	0.570534197924141
30 min	Exp.3	0.58315935506969
30 min	Exp.3	0.595006767625943
30 min	Exp.3	0.691526928918265
30 min	Exp.3	0.622388888121826
30 min	Exp.3	0.591051985522115
30 min	Exp.3	0.377858960019551
30 min	Exp.3	0.809114367117715
30 min	Exp.3	0.559363968399389
30 min	Exp.3	0.563486667179745
30 min	Exp.3	0.591512834779594
30 min	Exp.3	0.600295704746408
30 min	Exp.3	0.562585779302341
30 min	Exp.3	0.599159009352976
30 min	Exp.3	0.603076175707498
30 min	Exp.3	0.599917845649371
30 min	Exp.3	0.577537703085202
30 min	Exp.3	0.596285585649732
30 min	Exp.3	0.547252840561581
30 min	Exp.3	0.571157129053349
30 min	Exp.3	0.610787510506382
30 min	Exp.3	0.58606773169137
30 min	Exp.3	0.747137483417127
30 min	Exp.3	0.565732193880996
30 min	Exp.3	0.589487014200129
30 min	Exp.3	0.640465440275671
30 min	Exp.3	0.493218632766137
30 min	Exp.3	0.61698436378487
30 min	Exp.3	0.653983323971135
30 min	Exp.3	0.606022152224136
30 min	Exp.3	0.589603666231844
30 min	Exp.3	0.670826720403611
30 min	Exp.3	0.618205938626765
30 min	Exp.3	0.624458782362314
30 min	Exp.3	0.633976259237464
30 min	Exp.3	0.584683223496114
30 min	Exp.3	0.567559931604182
30 min	Exp.3	0.581691020752993
30 min	Exp.3	0.646928664636066
30 min	Exp.3	0.572306700980768
30 min	Exp.3	0.572659101441217
30 min	Exp.3	0.623856048365664
30 min	Exp.3	0.603392023400227
30 min	Exp.3	0.571528089339551
30 min	Exp.3	0.598243550430043
30 min	Exp.3	0.449768491513051
30 min	Exp.3	0.581849768321435
30 min	Exp.3	0.617974574228933
30 min	Exp.3	0.593869140403543
30 min	Exp.3	0.651241905802256
30 min	Exp.3	0.603055441822738
30 min	Exp.3	0.629094613712257
30 min	Exp.3	0.559228311052816
30 min	Exp.3	0.88993896484375
30 min	Exp.3	0.639039396259251
30 min	Exp.3	0.600551850896378
30 min	Exp.3	0.667665169113378
30 min	Exp.3	0.60807669015845
30 min	Exp.3	0.462938520745216
30 min	Exp.3	0.612203018343109
30 min	Exp.3	0.478539469568621
30 min	Exp.3	0.83065630219503
30 min	Exp.3	0.605170529170782
30 min	Exp.3	0.637301920412795
30 min	Exp.3	0.60151794397171
30 min	Exp.3	0.625625391345168
30 min	Exp.3	0.614252608643817
30 min	Exp.3	0.547049473461385
30 min	Exp.3	0.664154443322874
30 min	Exp.3	0.546876443789639
30 min	Exp.3	0.635993377463625
30 min	Exp.3	0.600572811361084
30 min	Exp.3	0.623028282349307
30 min	Exp.3	0.703321862799718
30 min	Exp.3	0.613487330817776
30 min	Exp.3	0.714683634558283
30 min	Exp.3	0.619668360866044
30 min	Exp.3	0.656927555967823
30 min	Exp.3	0.600611441400041
30 min	Exp.3	0.604011541103529
30 min	Exp.3	0.553085581171325
30 min	Exp.3	0.600543334223233
30 min	Exp.3	0.645083760983715
30 min	Exp.3	0.69043307676628
30 min	Exp.3	0.605453163101245
30 min	Exp.3	0.647289112129749
30 min	Exp.3	0.599110008011493
30 min	Exp.3	0.607654766273811
30 min	Exp.3	0.633543717485439
30 min	Exp.3	0.530943086008225
30 min	Exp.3	0.593715150829129
30 min	Exp.3	0.602619001433517
30 min	Exp.3	0.565145879990946
10 min	Exp.3	0.617236818413491
10 min	Exp.3	0.518698514889419
10 min	Exp.3	0.581427098629421
10 min	Exp.3	0.630242039921829
10 min	Exp.3	0.549236020629178
10 min	Exp.3	0.682052657166098
10 min	Exp.3	0.569556742468692
10 min	Exp.3	0.610251157043135
10 min	Exp.3	0.634610620486408
10 min	Exp.3	0.705086302710998
10 min	Exp.3	0.570976330555189
10 min	Exp.3	0.55344016921211
10 min	Exp.3	0.583799973121807
10 min	Exp.3	0.586430049086301
10 min	Exp.3	0.53906198294081
10 min	Exp.3	0.747960488064924
10 min	Exp.3	0.599068509887604
10 min	Exp.3	0.578728518055328
10 min	Exp.3	0.676365459049353
10 min	Exp.3	0.568162589643754
10 min	Exp.3	0.571714267292732
10 min	Exp.3	0.531501674504837
10 min	Exp.3	0.521143256342474
10 min	Exp.3	0.530382465173266
10 min	Exp.3	0.534013723694361
10 min	Exp.3	0.607193121707085
10 min	Exp.3	0.518139846013268
