comp	Layer	Ns	K562_RepliSeq	N
A1	9	0	68.1829996580505	515
A1	9	0	74.5286320405579	515
A1	10	0	78.0838913717651	823
A1	10	0	77.3852709349823	823
A1	10	0	78.2533489144898	823
A1	10	0	80.4181017208862	823
A1	10	0	81.0581206629944	823
A1	10	0	81.4222414806366	823
A1	8	0	79.4018023459625	497
A1	10	0	77.3555609844208	823
A1	9	0	81.3499757553864	515
A1	10	0	79.9194761952972	823
A1	10	0	74.5950885823059	823
A1	10	0	74.5072974189758	823
A1	10	0	76.3145391965485	823
A1	10	0	72.6854349453735	823
B1	10	0	68.4641948451233	193
B1	10	0	65.6408989228058	193
B1	10	0	57.2702326428986	193
B1	10	0	40.6984641309738	193
B1	10	0	42.0455436706162	193
B1	9	0	41.3649550663757	202
B1	10	0	42.3715370991516	193
B1	10	0	45.3049060089493	193
B1	10	0	50.6418411460114	193
B1	9	0	57.5430191545868	202
B1	10	0	64.9962167240524	193
B1	8	0	71.7791073828125	255
A1	7	0	77.358803706665	412
A1	8	0	81.3493599137878	497
B1	7	0	61.829197354126	288
B1	8	0	64.614443248024	255
B1	7	0	55.9002319331741	288
B1	8	0	50.6210232985687	255
B2	8	0	44.4504599337006	181
B1	7	0	39.9612599465942	288
B2	8	0	37.7933686578369	181
B1	7	0	37.4266500671387	288
B2	7	0	34.698001000061	351
B2	6	0	32.3346146940231	552
B2	6	0	34.6454016589356	552
B1	7	0	37.4718269818497	288
B1	6	0	36.2614210390472	250
B2	7	0	34.772572573967	351
B1	7	0	36.7520720917892	288
B1	7	0	42.180665916481	288
B1	7	0	45.9391511343765	288
B1	8	0	48.0499969563675	255
B1	8	0	55.265243816452	255
B1	8	0	60.5893423805618	255
B1	7	0	64.5877371482086	288
B1	9	0	69.5720385947418	202
A1	6	0	73.8793382687378	202
A1	10	0	75.7468528887939	823
A1	9	0	76.6303729669189	515
A1	9	0	78.0067873550415	515
A1	9	0	77.2264921193695	515
A1	8	0	73.3959657041168	497
A1	7	0	67.6417828099823	412
A2	7	0	64.1506018586731	881
B1	9	0	59.7402478050995	202
B1	8	0	52.121028575058	255
B1	6	0	48.5478761283112	250
B1	8	0	46.38617729496	255
B1	8	0	44.3108845959091	255
B1	9	0	47.9040226751709	202
B1	8	0	53.5069586719132	255
A2	8	0	58.656035233345	421
A1	7	0	62.0614826674652	412
A1	8	0	65.2027447951508	497
A2	6	0	67.6470914525604	1555
A2	7	0	64.8148861014176	881
A1	8	0	62.0804038635635	497
A2	7	0	60.6258072244263	881
A2	9	0	62.2136970318985	182
A2	7	0	65.2431919854355	881
A2	7	0	68.9039480211639	881
A2	7	0	73.9661858568573	881
A1	6	0	76.3596615667725	202
A1	8	0	76.0642319097137	497
A1	7	0	71.577934233551	412
A1	7	0	65.2088646659088	412
A1	10	0	62.2682279287338	823
A2	9	0	59.0180039596558	182
A1	8	0	60.529508996315	497
A1	8	0	67.1036068519592	497
A1	8	0	71.074638036499	497
A1	9	0	73.7705057045746	515
A1	7	0	77.2047029160309	412
A1	8	0	80.0124512329102	497
A1	7	0	78.8522250157166	412
A1	9	0	73.9234504056549	515
A1	7	0	73.0573690937042	412
A1	7	0	75.0947951979828	412
A1	9	0	75.0472910198975	515
A1	7	0	75.3518025573731	412
A1	9	0	71.2777274185181	515
A2	9	0	66.1491930247498	182
A1	9	0	65.1325987634277	515
A1	9	0	68.8770481185913	515
A1	10	0	75.4862404651642	823
A1	8	0	75.8107790830994	497
A1	8	0	73.7262127269745	497
A1	9	0	72.337730011673	515
A2	8	0	68.8571501441956	421
B1	9	0	67.5368243041229	202
B1	8	0	72.4600598213959	255
A1	9	0	78.0935332485199	515
A1	8	0	81.303024502945	497
A1	7	0	83.0761547763062	412
A1	8	0	83.8060924095154	497
A2	8	0	83.42085258461	421
A2	8	0	82.3189859350586	421
A2	6	0	80.1741586684418	1555
A2	6	0	80.7858588172913	1555
A2	7	0	81.831099901886	881
A2	7	0	79.8999041370392	881
B1	6	0	76.9392935253906	250
B1	6	0	70.8235085751343	250
B1	10	0	64.2078775778198	193
A2	6	0	42.8404740062714	1555
B1	7	0	46.055077430191	288
A2	6	0	43.4494447308731	1555
