cond	sd
6 h	0.180964068342583
6 h	0.179135874043981
6 h	0.205757047204232
6 h	0.156429069592717
6 h	0.207668679882793
6 h	0.244235632056778
6 h	0.186706890285092
6 h	0.19281462982983
6 h	0.219805133374082
6 h	0.139310143585967
6 h	0.162957140067759
6 h	0.20787582846748
6 h	0.137114282047329
6 h	0.159616806228865
6 h	0.167082232807296
6 h	0.276903068117626
6 h	0.161428521816734
6 h	0.223966566675032
6 h	0.158494559056548
6 h	0.239938484924263
6 h	0.239455788100095
6 h	0.187042098623983
6 h	0.203926298209518
6 h	0.201675226294961
6 h	0.14124115837301
6 h	0.213855076723271
6 h	0.206110996781607
6 h	0.156091714618975
6 h	0.173897402809682
6 h	0.184742955660282
6 h	0.195502614985166
6 h	0.134971886249511
6 h	0.170349756050854
6 h	0.197916497547153
6 h	0.194815630391938
6 h	0.18471616434556
6 h	0.238166026587101
6 h	0.216906138205409
6 h	0.167336766513941
6 h	0.194305147370164
6 h	0.209501192071015
6 h	0.17273570013949
6 h	0.21345597280493
6 h	0.195630935431348
6 h	0.224357214830229
6 h	0.216481811995567
6 h	0.130810526183876
6 h	0.158665029742459
6 h	0.209922319046604
6 h	0.192659531913357
6 h	0.165197772142648
6 h	0.128898224917907
6 h	0.180766181806166
6 h	0.195348585828159
6 h	0.217487429364692
6 h	0.163492891804428
6 h	0.144248226319063
6 h	0.171766288427357
6 h	0.139812106988759
6 h	0.173971850581572
6 h	0.16381528700493
6 h	0.136394711082493
6 h	0.207542845952872
6 h	0.183955584810249
6 h	0.236389843912173
6 h	0.23939197065688
6 h	0.210774538887714
6 h	0.136306375693457
6 h	0.158695181232248
6 h	0.15913768762671
6 h	0.112553283257214
6 h	0.162597342338589
6 h	0.152741174654785
6 h	0.191194280396411
6 h	0.221804764257862
6 h	0.130346502779973
6 h	0.167546887192909
6 h	0.131042738838774
6 h	0.12229609501943
6 h	0.12383383711046
6 h	0.192386987515923
6 h	0.246006727593187
6 h	0.0631538903527487
6 h	0.149487147139716
6 h	0.225420297159151
6 h	0.229411562931603
6 h	0.186238603213392
6 h	0.174308044688205
6 h	0.127636607492638
6 h	0.188527138109714
6 h	0.231419346443884
6 h	0.123629511323956
6 h	0.234225861418613
6 h	0.155949081218067
6 h	0.171925867286449
6 h	0.20866247490961
6 h	0.141799584759535
6 h	0.140767138807684
6 h	0.171373293211974
6 h	0.190533432496959
6 h	0.150302404066439
6 h	0.200996617572451
6 h	0.169128687747791
6 h	0.220029806589575
6 h	0.201897323999416
6 h	0.120205830988105
6 h	0.182516567979144
6 h	0.163249966799415
6 h	0.158253186480321
6 h	0.126033797353176
6 h	0.0754745036213189
6 h	0.124457552593405
6 h	0.225922183999337
6 h	0.0934546150755228
6 h	0.197319515232522
6 h	0.183915338053412
6 h	0.184403576585699
6 h	0.168135068481639
6 h	0.213018470067262
6 h	0.229418989259164
6 h	0.236609125086116
6 h	0.177628484847948
6 h	0.197192376687253
6 h	0.184883884091284
6 h	0.186942099121629
6 h	0.188660170791992
6 h	0.088789360282899
6 h	0.14191624822997
6 h	0.215368121863571
6 h	0.236330096406372
6 h	0.143935575670188
6 h	0.241064978264167
6 h	0.190026773795216
6 h	0.243088113080114
6 h	0.258556609130641
6 h	0.226315065394701
6 h	0.19494049482077
6 h	0.23250976415411
6 h	0.259752752396935
6 h	0.22403159254627
6 h	0.237883965742997
6 h	0.237371205298285
6 h	0.167888167912803
6 h	0.133773731517502
6 h	0.185845222093829
6 h	0.213678641885578
6 h	0.194196206570131
6 h	0.189797525461459
6 h	0.242933976098615
6 h	0.22254978227515
6 h	0.191069347722191
6 h	0.187899911338989
6 h	0.194753576591526
6 h	0.168238528670401
6 h	0.203455710083939
6 h	0.191962528175481
6 h	0.262686610603366
6 h	0.209700980414787
6 h	0.206492269244961
6 h	0.169050150800231
6 h	0.28530510146001
6 h	0.239680180117081
6 h	0.179568596405162
6 h	0.20881088116231
6 h	0.132404188769225
6 h	0.178534709201577
6 h	0.196401099713407
6 h	0.1974961820075
6 h	0.101993645227096
6 h	0.186997606326966
6 h	0.106688368676027
6 h	0.198512559052865
6 h	0.174356914281829
6 h	0.225803777062412
6 h	0.185120031603701
6 h	0.226492261454574
6 h	0.172397058558793
6 h	0.21338807373813
6 h	0.182664098479984
6 h	0.217680583922401
6 h	0.219325723869239
6 h	0.198848605989314
6 h	0.188892193813224
6 h	0.232005884512246
6 h	0.228486871068521
6 h	0.219208952456275
6 h	0.220801007073104
6 h	0.224248992058209
6 h	0.0978618032611524
6 h	0.189379576226589
6 h	0.158396546470969
6 h	0.168791240772079
6 h	0.206088130608008
6 h	0.168309723431736
6 h	0.156422293005867
6 h	0.134870259463918
6 h	0.234128899895803
6 h	0.199691153410248
6 h	0.181758267569676
6 h	0.212639075228084
6 h	0.181975832805472
6 h	0.175668171035879
6 h	0.138511898981837
6 h	0.184366731381385
6 h	0.0828051897950229
6 h	0.173441023270548
6 h	0.128432041744108
6 h	0.118802548156911
6 h	0.13080753094893
6 h	0.289481121808517
6 h	0.193084528504919
6 h	0.0647077566397423
6 h	0.178063251706384
6 h	0.189181257184184
6 h	0.160300471263875
6 h	0.237495985975622
6 h	0.180085116591955
6 h	0.225767699380707
6 h	0.235287619980343
6 h	0.178894922553175
6 h	0.18729540388684
6 h	0.170453421613497
6 h	0.155408465163274
6 h	0.234183011598327
6 h	0.15191694446475
6 h	0.157289216314196
6 h	0.230696534592608
6 h	0.219352394714427
6 h	0.189083300693156
6 h	0.233351269153721
6 h	0.224553607770948
6 h	0.133110361865098
6 h	0.194278179972067
6 h	0.186701191107309
6 h	0.188978981891565
6 h	0.201981854434284
6 h	0.230492356428686
6 h	0.177036877517645
6 h	0.203186489158368
6 h	0.226607460698318
6 h	0.221768042340545
6 h	0.16787926394705
6 h	0.197808145692455
6 h	0.134142681885672
6 h	0.163903435811013
6 h	0.135315710176386
6 h	0.20685155466408
6 h	0.193182604211085
6 h	0.11763167420415
6 h	0.223493271507139
6 h	0.196090578800112
6 h	0.203959749189515
6 h	0.18946588226609
6 h	0.244190998806655
6 h	0.0920529963746558
6 h	0.220062504409356
6 h	0.144805284350166
6 h	0.260454473568876
6 h	0.160419245564233
6 h	0.194986528059561
6 h	0.181950166390659
6 h	0.131297214237159
6 h	0.186637452902541
6 h	0.238052727705526
6 h	0.206219806304354
6 h	0.224756267283969
6 h	0.0957616861081372
6 h	0.139507034396873
6 h	0.158036575213834
6 h	0.216129216497058
6 h	0.227665642368886
6 h	0.228681344574234
6 h	0.178126396966372
6 h	0.193568643504937
