cond	dln
6 h	0.389715741418477
6 h	0.53676959982037
6 h	0.458059231017402
6 h	0.504092489600838
6 h	0.506467767135731
6 h	0.5987247985479
6 h	0.422269846281442
6 h	0.503064405517039
6 h	0.623314932026484
6 h	0.431170734993249
6 h	0.459123332541585
6 h	0.547635092073424
6 h	0.434877793886401
6 h	0.434274473728083
6 h	0.505470665413494
6 h	0.419202727321388
6 h	0.53993896484375
6 h	0.622015817376572
6 h	0.497552821315018
6 h	0.484782644490814
6 h	0.484843021795012
6 h	0.850411893132479
6 h	0.561040113293967
6 h	0.391070210429571
6 h	0.54554729712052
6 h	0.388099428896205
6 h	0.477756571585723
6 h	0.417546277968182
6 h	0.449532950189491
6 h	0.387117721138109
6 h	0.390904407255631
6 h	0.550367440815065
6 h	0.623867382494408
6 h	0.535335205087655
6 h	0.424163256758288
6 h	0.498610886727057
6 h	0.516530574358294
6 h	0.613473288064414
6 h	0.460866871803141
6 h	0.594081683520419
6 h	0.435251241002098
6 h	0.476936868107413
6 h	0.483220393250987
6 h	0.406494676581422
6 h	0.573317644289388
6 h	0.533821147422475
6 h	0.457124145440231
6 h	0.53625087858614
6 h	0.570191743232806
6 h	0.613287435604642
6 h	0.534186766029408
6 h	0.332553893005446
6 h	0.390370711098996
6 h	0.459038842311735
6 h	0.490577086694081
6 h	0.459175890042693
6 h	0.239671319029846
6 h	0.467919596108546
6 h	0.471946382890676
6 h	0.479093874994938
6 h	0.507613668009907
6 h	0.475607151571363
6 h	0.26141426897914
6 h	0.481566968305005
6 h	0.368129889913914
6 h	0.392727405770055
6 h	0.432786080399203
6 h	0.471533394330397
6 h	0.359151873317515
6 h	0.445604134831947
6 h	0.516008934750692
6 h	0.551554934261849
6 h	0.421522281024389
6 h	0.438066574349895
6 h	0.382702151184086
6 h	0.356947072465044
6 h	0.326018134543094
6 h	0.362168399244573
6 h	0.356190036813517
6 h	0.439562971239085
6 h	0.395126297395587
6 h	0.390635124962883
6 h	0.409634662049294
6 h	0.430222233021841
6 h	0.498267915826715
6 h	0.398787254605816
6 h	0.355799480792116
6 h	0.413211764411807
6 h	0.398868300155263
6 h	0.478889634662074
6 h	0.412939169835486
6 h	0.426860539893161
6 h	0.455617858317794
6 h	0.385532181428881
6 h	0.37453544057735
6 h	0.45328295848007
6 h	0.47
6 h	0.371193052505629
6 h	0.414846862898565
6 h	0.366530043449321
6 h	0.396069154887588
6 h	0.361181346572714
6 h	0.400143865153169
6 h	0.367675082037138
6 h	0.330475791059053
6 h	0.392591590377615
6 h	0.48594203630012
6 h	0.37412815964205
