cond	dln
6 h	0.574257632939465
6 h	0.692962162140883
6 h	0.58289378209155
6 h	0.617066297717667
6 h	0.679840604490496
6 h	0.642945890318139
6 h	0.575975629437924
6 h	0.675869876871824
6 h	0.790139102173925
6 h	0.539020650769946
6 h	0.536431392890558
6 h	0.625610126590114
6 h	0.606745589770023
6 h	0.57840676178905
6 h	0.599732859057019
6 h	0.537257267395452
6 h	0.623713371495074
6 h	0.576787369018879
6 h	0.566449831960041
6 h	0.60682955668335
6 h	0.66127368689998
6 h	0.531501855342057
6 h	0.56350263651854
6 h	0.556474814286824
6 h	0.70006103515625
6 h	0.614110929697759
6 h	0.585550550816291
6 h	0.481734466665909
6 h	0.486204150954381
6 h	0.607251472276648
6 h	0.884666985034571
6 h	0.630741174137691
6 h	0.553940261589206
6 h	0.643732799948545
6 h	0.654824046567687
6 h	0.645718702974523
6 h	0.590313577807066
6 h	0.7701770078602
6 h	0.603158466340416
6 h	0.57006103515625
6 h	0.632634575881725
6 h	0.639599147152748
6 h	0.630403460532028
6 h	0.667225436622218
6 h	0.633502526738743
6 h	0.65884038939538
6 h	0.418231683780055
6 h	0.462318346499679
6 h	0.838984365033982
6 h	0.621764003546919
6 h	0.64163647378114
6 h	0.39719882806151
6 h	0.590703538087992
6 h	0.590439067351302
6 h	0.59291763854264
6 h	0.616131545235488
6 h	0.595483888140739
6 h	0.391171665260905
6 h	0.628242717481993
6 h	0.547412116539069
6 h	0.606121934097829
6 h	0.633525945039837
6 h	0.632180951409499
6 h	0.551890502648983
6 h	0.572900150704357
6 h	0.590815730236565
6 h	0.61988937916985
6 h	0.50312398060963
6 h	0.602087968014172
6 h	0.561855911887146
6 h	0.537613424676556
6 h	0.521477360813921
6 h	0.545700924061601
6 h	0.531471188890954
6 h	0.601247621178536
6 h	0.606708205998597
6 h	0.541781940396486
6 h	0.556103377597931
6 h	0.654965146774307
6 h	0.681310113877494
6 h	0.729337218236971
6 h	0.542153819822917
6 h	0.536330945704518
6 h	0.594724879619421
6 h	0.620474526081508
6 h	0.627851710195603
6 h	0.563465132870066
6 h	0.591377023049121
6 h	0.57339936749469
6 h	0.655599676896888
6 h	0.604842383205584
6 h	0.640356117034827
6 h	0.57390151841241
6 h	0.590612944579957
6 h	0.534731989537822
6 h	0.608983197333841
6 h	0.575680886626346
6 h	0.514434438919071
6 h	0.653831208428571
6 h	0.552981816309758
6 h	0.639649951398896
6 h	0.567409412822478
6 h	0.55584465096274
6 h	0.557247514681848
6 h	0.53426298340009
6 h	0.62884866446896
6 h	0.559019943978646
6 h	0.587119918970791
6 h	0.534658109602103
6 h	0.69480153641854
6 h	0.675921503321863
6 h	0.56761027101481
6 h	0.540500676712952
6 h	0.483797877083947
6 h	0.538765993007274
6 h	0.638354224683933
6 h	0.553374014277242
6 h	0.559200291220476
6 h	0.540254724081975
6 h	0.49114017986295
6 h	0.571342349970868
6 h	0.526071436487971
6 h	0.683771358773915
6 h	0.614592220810827
6 h	0.616844654210218
6 h	0.536209318967097
6 h	0.561351046515152
6 h	0.47497876266263
6 h	0.512637071453135
6 h	0.617142611353196
6 h	0.524001291189446
6 h	0.589274309185295
6 h	0.543871066366479
6 h	0.585701817985813
6 h	0.629078851111029
6 h	0.65682015192642
6 h	0.791536759847076
6 h	0.586095186842278
6 h	0.585561168814889
6 h	0.67191815136183
6 h	0.60931585437841
6 h	0.565631696414759
6 h	0.62051208983576
6 h	0.617653717605759
6 h	0.634204433297603
6 h	0.63109010642827
6 h	0.653722650394594
6 h	0.480597748204781
6 h	0.551595735084741
6 h	0.624947718433284
6 h	0.610519890785901
6 h	0.593184191220068
6 h	0.573898439053859
6 h	0.586638670792385
6 h	0.6836022520385
6 h	0.57921233401843
6 h	0.601106793737784
6 h	0.570392321553059
6 h	0.731310485874561
6 h	0.6044685041943
6 h	0.637740219208171
6 h	0.579753209493293
6 h	0.570283119941604
6 h	0.674316424086934
6 h	0.531023024903355
6 h	0.577272318410037
6 h	0.713633429379094
6 h	0.630946360044266
6 h	0.643430302174169
6 h	0.529161754113183
6 h	0.56257440604303
6 h	0.567212102701888
6 h	0.551186310523816
6 h	0.599837333765849
6 h	0.496421306211548
6 h	0.566252766737355
6 h	0.513983557963087
6 h	0.504905013364893
6 h	0.511063766509335
6 h	0.564626133529996
6 h	0.580218194459535
6 h	0.597677081350242
6 h	0.603856364212624
6 h	0.575422326828183
6 h	0.76478105461994
6 h	0.593821627271588
6 h	0.654976656999455
6 h	0.55328220695457
6 h	0.566909213501959
6 h	0.588752022003578
6 h	0.605260443980559
6 h	0.582972262264732
6 h	0.491873642234772
6 h	0.587970958519238
6 h	0.600393372746955
6 h	0.580229569590237
6 h	0.759459663149187
6 h	0.599121665447521
6 h	0.583679823533766
6 h	0.551247863778062
6 h	0.577896159416713
6 h	0.674226128822174
6 h	0.538622042907845
6 h	0.528553354645462
6 h	0.66958368699907
6 h	0.690360795925827
6 h	0.593803755026675
6 h	0.580717612330113
6 h	0.540835930068629
6 h	0.540384578066693
6 h	0.708037471871609
6 h	0.58413302688154
6 h	0.605604188926796
6 h	0.591786776156733
6 h	0.561664743567002
6 h	0.697159026624005
6 h	0.659626136665679
6 h	0.592877934479107
6 h	0.530945449748194
6 h	0.554305968673638
6 h	0.566744615450297
6 h	0.539079712769997
6 h	0.594782648128332
6 h	0.577454714113519
6 h	0.537726304559472
6 h	0.644580551656851
6 h	0.517546073380605
6 h	0.628863070691303
6 h	0.546369208707069
6 h	0.660880586283483
6 h	0.590768967316569
6 h	0.602051379868424
6 h	0.547924037876131
6 h	0.576332114110992
6 h	0.660126990422338
6 h	0.542241131193648
6 h	0.538233687614454
6 h	0.543027781683668
6 h	0.463489825178372
6 h	0.508327304708346
6 h	0.812005244602195
6 h	0.521945170496543
6 h	0.548532512428236
6 h	0.643669348522515
6 h	0.617714788239911
6 h	0.598171942520589
6 h	0.594285326987474
6 h	0.612554072064112
6 h	0.616488279556194
6 h	0.547344589735092
6 h	0.563324647364321
6 h	0.639882381404405
6 h	0.568440230757402
6 h	0.544226346724838
6 h	0.615533844726251
6 h	0.546730671621728
6 h	0.551150665999333
6 h	0.659706266570995
6 h	0.448295148592539
6 h	0.557143781222099
6 h	0.607762285586807
6 h	0.607204052327094
6 h	0.614539629318011
6 h	0.619335542603875
6 h	0.589309244925514
6 h	0.546870175773774
6 h	0.59506921216338
6 h	0.66135186840165
6 h	0.63609592693871
6 h	0.626610833369402
6 h	0.631375211377756
6 h	0.630962076361055
6 h	0.674754414935303
6 h	0.52948019041851
6 h	0.576792395974003
6 h	0.65137589330282
6 h	0.582310414700873
6 h	0.578261469611049
6 h	0.645909201351872
6 h	0.606984265001391
6 h	0.551412467151719
6 h	0.639791359384464
6 h	0.415265820218307
6 h	0.572821332325758
6 h	0.674689466618697
6 h	0.593701217914755
6 h	0.620343833803599
6 h	0.589284451573522
6 h	0.540453353028588
6 h	0.611926249231172
6 h	0.593156999730022
6 h	0.825314861021833
6 h	0.608914335663911
6 h	0.539539214401105
6 h	0.689754045937954
6 h	0.592474930441631
6 h	0.619515686940749
6 h	0.644711652511242
6 h	0.625939161174795
6 h	0.613954276417254
6 h	0.528296909861359
6 h	0.5664253951901
6 h	0.62867607150683
6 h	0.604894065623992
6 h	0.636346763782017
6 h	0.687131531459981
6 h	0.537302514395784
6 h	0.541362960186507
6 h	0.607193219229348
6 h	0.575899260915905
6 h	0.817680205905322
6 h	0.667470319827633
6 h	0.657514964840691
6 h	0.544950918970238
6 h	0.818110153327066
6 h	0.573194653085895
6 h	0.653082081927741
6 h	0.616292009497333
6 h	0.487359183848958
6 h	0.584219639163958
6 h	0.396427611876078
6 h	0.58871978529371
6 h	0.682323474220715
6 h	0.689756420184569
6 h	0.573989443026653
6 h	0.757505885568949
6 h	0.608621295400596
6 h	0.586819951943565
6 h	0.550748190450498
6 h	0.660429011255037
6 h	0.595604717161797
6 h	0.523704671889728
6 h	0.580377733163948
6 h	0.585524879323004
6 h	0.572006928136653
6 h	0.591819858492121
6 h	0.612698837363263
6 h	0.607563545013098
6 h	0.6436004529296
6 h	0.507126172498561
6 h	0.602765809901341
6 h	0.743672772104645
6 h	0.612116351247412
6 h	0.580499334606692
6 h	0.565292902581517
6 h	0.50196017306135
6 h	0.635951015293958
6 h	0.579710046444616
6 h	0.770826516120755
6 h	0.689398331249294
6 h	0.619061925180796
