cond	contrast
10 min	1.1966429503621
10 min	1.17959281474519
10 min	1.20546120825231
10 min	1.22336604757346
10 min	1.19108105642816
10 min	1.20837686941689
10 min	1.15845571076936
10 min	1.19816462433246
10 min	1.18809724925802
10 min	1.16745342354919
10 min	1.17423214774228
10 min	1.26043653305891
10 min	1.18832596676037
10 min	1.18942988488278
10 min	1.19868725381704
10 min	1.27345592560491
10 min	1.21744430451696
10 min	1.16487077705283
10 min	1.17804307598294
10 min	1.19141637898423
10 min	1.17329429286514
10 min	1.2237020502332
10 min	1.21814785962268
10 min	1.16078942508141
10 min	1.20520699394678
10 min	1.18604685589418
10 min	1.19503743499168
10 min	1.19389323194307
10 min	1.23191720823525
10 min	1.16324609318396
10 min	1.03994729084424
10 min	1.25775701712628
10 min	1.22172359319284
10 min	1.21579633887987
10 min	1.24475735934539
10 min	1.309421514307
10 min	1.22300624897866
10 min	1.2069149530267
10 min	1.19856198948316
10 min	1.2288557173666
10 min	1.17899240302076
10 min	1.20586251013207
10 min	1.23045863848936
10 min	1.18942772736689
10 min	1.21689311719582
10 min	1.21667221595078
10 min	1.1881887903572
10 min	1.22130267362804
10 min	1.25000001602155
10 min	1.26837187789304
10 min	1.22276250488683
10 min	1.25289893222937
10 min	1.21712584094858
10 min	1.21137433121103
10 min	1.22206696787853
10 min	1.18843515847413
10 min	1.12094789227769
10 min	1.15318505274634
10 min	1.15835322435031
10 min	1.20803272255126
10 min	1.14143340686402
10 min	1.15030520329562
10 min	1.2216421063037
10 min	1.22594992727127
10 min	1.23511835483446
10 min	1.26321925264242
10 min	1.23351045383792
10 min	1.23518823236135
10 min	1.1977040151509
10 min	1.19294671286097
10 min	1.23997308433202
10 min	1.15544935009664
10 min	1.12735568495602
10 min	1.22654406872955
10 min	1.20641403571798
10 min	1.2014728478332
10 min	1.18129887094746
10 min	1.22502730691868
10 min	1.18508808203183
10 min	1.21304941597001
10 min	1.23388520023421
10 min	1.18223916961125
10 min	1.22657484886475
10 min	1.19503812819843
10 min	1.24194764023417
10 min	1.11801326769095
10 min	1.16057342880119
10 min	1.19525025241067
10 min	1.1879206636961
10 min	1.19927859866461
10 min	1.22396351024698
10 min	1.22188574868098
10 min	1.18544984463847
10 min	1.21015980747628
10 min	1.19992897428624
10 min	1.14604356166848
10 min	1.21283288332318
10 min	1.20761462428606
10 min	1.19993490255458
10 min	1.1546686067699
10 min	1.16720606954688
10 min	1.17280478999514
10 min	1.24397089444091
10 min	1.21727222976024
10 min	1.18921786460869
10 min	1.198566152064
10 min	1.21650598676256
10 min	1.20546032465916
10 min	1.19941673519511
10 min	1.20080522544601
10 min	1.21076536979866
10 min	1.22562586783276
10 min	1.16889734800481
10 min	1.2101370007084
10 min	1.19048578801013
10 min	1.19727275521391
10 min	1.24282195613394
10 min	1.22309778348804
10 min	1.22099486882997
10 min	1.19808859734436
10 min	1.23965174139335
10 min	1.20591531288378
10 min	1.14232082534381
10 min	1.20755924930176
10 min	1.20313723568579
10 min	1.14519637910813
10 min	1.26448289712533
10 min	1.13889197686074
10 min	1.21457112444432
10 min	1.2032384309976
10 min	1.22813138308578
10 min	1.20448474306515
10 min	1.22319211877897
10 min	1.23185121018851
10 min	1.3259869423431
10 min	1.20756863384961
10 min	1.21813449934386
10 min	1.1588062531615
10 min	1.20937799726366
10 min	1.29823031415369
10 min	1.23661700708776
10 min	1.18659729739715
10 min	1.23686544881447
10 min	1.23045667003388
10 min	1.23697673433354
10 min	1.17610497038887
10 min	1.21101725332713
10 min	1.18947131110418
10 min	1.18990305797717
10 min	1.21623490510121
