cond	sd
10 min	0.103859203151518
10 min	0.627861379012687
10 min	0.122088197631381
10 min	0.216760918001458
10 min	0.133310784455791
10 min	0.225731993799262
10 min	0.122883015376673
10 min	0.436317732127501
10 min	0.174357427057075
10 min	0.146404971374691
10 min	0.111266631827595
10 min	0.0970104848902458
10 min	0.123382145174059
10 min	0.430398713188913
10 min	0.116217443426776
10 min	0.101108570761352
10 min	0.0971721211076307
10 min	0.220533965055673
10 min	0.432801327511286
10 min	0.353048792988107
10 min	0.183378292469918
10 min	6.95730229075997
10 min	0.102012562005602
10 min	0.310896720079441
10 min	0.145315189282976
10 min	0.216957436352557
10 min	0.204650983112609
10 min	0.145364897951059
10 min	0.0857559288550422
10 min	0.107433883486356
10 min	0.239069848570249
10 min	0.110795311593337
10 min	0.110444493270079
10 min	0.0798193792983009
10 min	0.192126693552038
10 min	0.106635046861386
10 min	0.0967093642743173
10 min	0.110397893767368
10 min	0.169239558664149
10 min	0.180341645524617
10 min	0.091090524554539
10 min	0.149566913880705
10 min	0.120804661445606
10 min	0.0956528422771712
10 min	0.0895089392698893
10 min	0.212473151518746
10 min	0.141163306393512
10 min	0.0928941165601229
10 min	0.11968583175853
10 min	0.140333044612206
10 min	0.281308632568669
10 min	0.0970011686704455
10 min	0.116244809219387
10 min	0.107269831977642
10 min	0.189068164733887
10 min	0.142415465633724
10 min	0.249090833178574
10 min	0.198725790293639
10 min	0.195955719112521
10 min	0.219954925995999
10 min	0.0915778398301585
10 min	0.110486479040657
10 min	0.220375660995771
10 min	0.103810773980821
10 min	0.109650597214723
10 min	0.12263632988345
10 min	0.103530390205574
10 min	0.261853947763942
10 min	0.17039550850281
10 min	0.323947670709064
10 min	0.111759279382312
10 min	0.165192604526343
10 min	0.103697633697756
10 min	0.163250084161092
10 min	0.102729519923892
10 min	0.141060258925558
10 min	0.094117643731429
10 min	0.113327239956581
10 min	0.132284448883991
10 min	0.102902047060647
10 min	0.166497175376397
10 min	0.117621621461706
10 min	0.113434485541311
10 min	0.136468050828028
10 min	0.167819564517258
10 min	0.212383951548329
10 min	0.123269099596528
10 min	0.116804092880211
10 min	0.11798575418081
10 min	0.115369825475344
10 min	0.116836849783586
10 min	0.0977893147056935
10 min	0.133338216502419
10 min	0.101151284814466
10 min	0.132842508877033
10 min	0.143494904806949
10 min	0.102275482628634
10 min	0.134949715192922
10 min	0.391797418396127
10 min	0.133391557831047
10 min	0.101471474644062
10 min	0.161625391573742
10 min	0.133665333972032
10 min	0.35294946493371
10 min	0.216189537239161
10 min	0.0924862921636072
10 min	0.101919350269292
10 min	0.18956230627708
10 min	0.379688713204819
10 min	0.0931582150907646
10 min	0.170800592251506
10 min	0.0964013311678988
10 min	0.091804215302139
10 min	0.113738604437986
10 min	0.143881480029549
10 min	0.257223545538209
10 min	0.1750049673956
10 min	0.10497743597579
10 min	0.139482689559882
10 min	0.388496733402177
10 min	0.109234354210248
10 min	0.120318403692897
10 min	0.135268045660077
10 min	0.205075539297073
10 min	0.161788229005532
10 min	0.307996021221199
10 min	0.105176071688248
10 min	0.212176018373379
10 min	0.115184696644139
10 min	0.133504369812275
10 min	0.141547804716103
10 min	0.101904956436977
10 min	0.278217914581922
10 min	0.279658559523941
10 min	0.152591930707911
10 min	0.172373488161741
10 min	0.126818714887867
10 min	0.101932391555933
10 min	0.127533429072248
10 min	0.0914005377690203
10 min	0.107456733262249
10 min	0.17151095748285
10 min	0.105191841198776
10 min	0.166679701631397
10 min	0.127298363329808
10 min	0.0922059341839964
10 min	0.0985700235356319
10 min	0.155278846041892
10 min	0.092112894066731
10 min	0.137848122034693
10 min	0.114478697183899
10 min	0.244382458293939
10 min	0.107429178262798
10 min	0.102240545253843
10 min	0.201345368563243
10 min	0.104347393128799
10 min	0.106635356794275
10 min	0.0903292784869359
10 min	0.108779193729726
10 min	0.259698077355859
10 min	0.0868385335878323
10 min	0.114729938838145
10 min	0.181710371855974
10 min	0.10761450795712
10 min	0.242279035452676
10 min	0.189787200840531
10 min	0.141801769420474
10 min	0.243890676378989
10 min	0.108232716630516
10 min	0.156083053664367
10 min	0.113515336764311
10 min	0.125230526229461
10 min	0.0944743177898654
10 min	0.117089031069689
10 min	0.188453941044541
10 min	0.112702750321335
10 min	0.176968581119816
10 min	0.153403585684049
10 min	0.138206949447624
10 min	0.1202502027318
10 min	0.206387233908268
10 min	0.120588372911579
10 min	0.303604548378841
10 min	0.132037456893231
10 min	0.108160863283426
10 min	15.1627172092256
10 min	0.116792607995633
10 min	0.0983376638572479
10 min	0.130453240722742
10 min	0.296555942414739
10 min	0.096760848956892
10 min	0.0893118802877727
10 min	0.105887487825073
10 min	0.109751045830646
10 min	0.108582039880726
10 min	0.105005204354947
10 min	0.128496025503139
10 min	0.19735969846061
10 min	0.108066443232241
10 min	0.238799850957828
10 min	0.106916176618544
10 min	0.115441268634992
10 min	0.118788291555798
10 min	0.29065846161416
10 min	0.14246353523741
10 min	0.114394936452971
10 min	0.131303125853264
10 min	0.108893961147171
10 min	0.407492275199111
10 min	0.274056614356544
10 min	0.302768582988155
10 min	0.0944574587808028
10 min	0.124624626861938
10 min	0.134129212099481
10 min	0.0905005405105528
10 min	0.101613500325295
10 min	0.215023598655255
10 min	0.102102997393448
10 min	0.195145307847928
10 min	0.220285472470849
10 min	0.0857795997830955
10 min	0.268893204747033
10 min	0.327772182628063
10 min	0.10505783353484
10 min	0.222828887567302
10 min	0.131393826501673
10 min	0.157931194001739
10 min	0.168019826699585
10 min	0.109622409763012
10 min	0.131234521377801
10 min	0.125071026960155
10 min	0.116224419593502
10 min	0.11284298273439
10 min	0.127492546556668
10 min	0.170138992039162
10 min	0.2647208274494
10 min	0.236343386401397
10 min	0.0976465293350879
10 min	0.108175788848327
10 min	0.129218417504293
10 min	0.149608468360525
10 min	0.12140763288848
10 min	0.11008325754433
10 min	0.133091526680408
10 min	0.11511983546594
10 min	0.11018045147873
10 min	0.238702502420522
10 min	0.139528398402192
10 min	0.0897412258086072
10 min	0.0968427950596756
10 min	0.284680793063233
10 min	0.153386692438377
10 min	0.439994984964958
10 min	0.140589174772153
10 min	0.261381032011916
10 min	0.0974421984357494
10 min	0.222955354943206
10 min	0.0821701431395097
10 min	0.179587012639554
10 min	0.120993021097225
10 min	0.0953854906680821
10 min	0.0971027795305256
10 min	0.08585677574665
10 min	0.124814618895302
10 min	0.153239740481715
10 min	0.102616042887802
10 min	0.105633742112606
10 min	0.0929111948095356
10 min	0.214401542378362
10 min	0.11404795962742
10 min	0.446508392715784
10 min	0.11916219268079
10 min	0.221059632926016
10 min	0.128765207690915
10 min	0.342216886325831
10 min	0.227795803145102
10 min	0.200851908169366
10 min	0.227908517305028
10 min	0.103449356858707
10 min	0.205808756324486
10 min	0.102880434845479
10 min	0.170630869556838
10 min	0.269121135188753
10 min	0.110551977528022
10 min	0.117723686561219
10 min	0.117423715527762
10 min	0.127332788642998
10 min	0.129225148169404
10 min	0.124874826520642
10 min	0.106311860371012
10 min	0.121595106689207
10 min	0.15636583821415
10 min	0.115238889418365
10 min	0.119075922586087
10 min	0.117529117004811
10 min	0.120265840327213
10 min	0.0907245783220957
10 min	0.113421703712376
10 min	0.0964526872115335
10 min	0.11124381916658
10 min	0.101488660441951
10 min	0.11568557618417
10 min	0.237074948664224
10 min	0.144825375996021
10 min	0.101265017780969
10 min	0.174584867261721
10 min	0.106896027665933
10 min	0.146709340530289
10 min	0.116641321059317
10 min	0.0909218096748048
10 min	0.12498833858343
10 min	0.325340098796779
10 min	0.098734294578608
10 min	0.131781467683245
10 min	0.124632066847269
10 min	0.125034887538995
10 min	0.114479936229226
10 min	0.115594844547179
10 min	0.0922759721469114
10 min	0.121321818616588
10 min	0.0747969868982796
10 min	0.360090262447847
10 min	0.0944195681495098
10 min	0.164426679918216
10 min	0.116861807487296
10 min	0.157521613391653
10 min	0.333728918393198
10 min	0.129887107229083
10 min	0.139017879654894
10 min	0.196621100142897
10 min	0.127267833611438
10 min	0.240177454289055
10 min	0.224419101196303
10 min	0.113819228761693
10 min	0.078010715422564
10 min	0.0816043645093009
10 min	1.80857579009438
10 min	1.02083715441114
10 min	0.093400461014113
10 min	0.930536247546918
10 min	0.150904701404832
10 min	0.48063527874418
10 min	0.292233776314163
10 min	0.112996210898326
10 min	0.128145884582553
10 min	0.125168813612515
10 min	0.228033689835045
10 min	0.10598860586803
10 min	0.14536193856537
10 min	0.0927197216655493
10 min	0.163353408825278
10 min	0.104947487064766
10 min	0.179251226485952
10 min	0.0857525162451118
10 min	0.0863281873527514
10 min	0.0896651618505678
10 min	0.111294841161435
10 min	0.104918481633225
10 min	0.179588545162377
10 min	0.120887762764103
10 min	0.136226642386867
10 min	0.132448592320707
10 min	0.0915813930095113
10 min	2.72570945167951
10 min	0.0835790987997993
10 min	0.312465863487487
10 min	0.345374664687016
10 min	0.104241741655276
10 min	0.116275083653116
10 min	0.28655796640889
10 min	0.188794293833349
10 min	0.106123448651136
10 min	0.111751612404306
10 min	0.112835319169121
10 min	0.0946241905706657
10 min	0.0765699086131063
10 min	0.117737615195342
10 min	0.116221960580017
10 min	0.213104025077561
10 min	0.217233460207643
10 min	0.17903332029302
10 min	0.136273357325883
