cond	exp	dln
2 h	Exp.1	0.4467454213832
2 h	Exp.1	0.418959120617288
2 h	Exp.1	0.408265480986839
2 h	Exp.1	0.434376233873452
2 h	Exp.1	0.454923011149512
2 h	Exp.1	0.467937847281817
2 h	Exp.1	0.402291435605332
2 h	Exp.1	0.422303351837925
2 h	Exp.1	0.519839382633778
2 h	Exp.1	0.453559983054801
2 h	Exp.1	0.433322209211119
2 h	Exp.1	0.43302724037348
2 h	Exp.1	0.486590390079282
2 h	Exp.1	0.471105870876788
2 h	Exp.1	0.500667869060782
2 h	Exp.1	0.86993896484375
2 h	Exp.1	0.435463015283442
2 h	Exp.1	0.418096151975266
2 h	Exp.1	0.460762673436774
2 h	Exp.1	0.489702762841361
2 h	Exp.1	0.504319566245434
2 h	Exp.1	0.491461857522064
2 h	Exp.1	0.576153687074381
2 h	Exp.1	0.477122971964048
2 h	Exp.1	0.511734773002998
2 h	Exp.1	0.518351405271347
2 h	Exp.1	0.558669038803283
2 h	Exp.1	0.461932543661504
2 h	Exp.1	0.461124369103735
2 h	Exp.1	0.441975820563258
2 h	Exp.1	0.466754535405618
2 h	Exp.1	0.543434722270174
2 h	Exp.1	0.493253604981001
2 h	Exp.1	0.508495617380596
2 h	Exp.1	0.436552988820277
2 h	Exp.1	0.50847692982389
2 h	Exp.1	0.446006018620694
2 h	Exp.1	0.500545580222576
2 h	Exp.1	0.50806721684125
2 h	Exp.1	0.417848808058297
2 h	Exp.1	0.450528455444724
2 h	Exp.1	0.54797317711852
2 h	Exp.1	0.416970116838605
2 h	Exp.1	0.38162887041942
2 h	Exp.1	0.93
2 h	Exp.1	0.451839629122081
2 h	Exp.1	0.468420299607302
2 h	Exp.1	0.416504621839821
2 h	Exp.1	0.478768223961263
2 h	Exp.1	0.402786311801203
2 h	Exp.1	0.475649413289335
2 h	Exp.1	0.49306052503739
2 h	Exp.1	0.461047352071483
2 h	Exp.1	0.440558970352873
2 h	Exp.1	0.464856274446401
2 h	Exp.1	0.379615822649221
2 h	Exp.1	0.39142571656124
2 h	Exp.1	0.411638769910223
2 h	Exp.1	0.40257968630563
2 h	Exp.1	0.37208362830387
2 h	Exp.1	0.435461408187725
2 h	Exp.1	0.45142826959228
2 h	Exp.1	0.543707684571799
2 h	Exp.1	0.40955389166671
2 h	Exp.1	0.46993896484375
2 h	Exp.1	0.418658257285632
2 h	Exp.1	0.431103411650551
2 h	Exp.1	0.41357567394412
2 h	Exp.1	0.360925798964761
2 h	Exp.1	0.486604156276378
2 h	Exp.1	0.376880320545357
2 h	Exp.1	0.493367322586328
2 h	Exp.1	0.465611132482516
2 h	Exp.1	0.543896028399514
2 h	Exp.1	0.389061089849828
2 h	Exp.1	0.515605685541367
2 h	Exp.1	0.260382254212377
2 h	Exp.1	0.474894138855496
2 h	Exp.1	0.908457779173038
2 h	Exp.1	0.372628546733761
2 h	Exp.1	0.454360428184542
2 h	Exp.1	0.44912670244648
2 h	Exp.1	0.470800291864197
2 h	Exp.1	0.561969855789401
2 h	Exp.1	0.462295483697811
2 h	Exp.1	0.456835357280431
2 h	Exp.1	0.501633635329211
2 h	Exp.1	0.496344580517678
2 h	Exp.1	0.462259073211135
2 h	Exp.1	0.545646172404896
2 h	Exp.1	0.457589939153569
2 h	Exp.1	0.487761282496762
2 h	Exp.1	0.504572849508016
2 h	Exp.1	0.542353266914927
2 h	Exp.1	0.448311093271751
2 h	Exp.1	0.463283831930603
2 h	Exp.1	0.489042026412022
2 h	Exp.1	0.515161004621651
2 h	Exp.1	0.444604289063732
2 h	Exp.1	0.438667988930033
2 h	Exp.1	0.455840052006843
2 h	Exp.1	0.361048805150924
2 h	Exp.1	0.413737614753615
2 h	Exp.1	0.536595297620341
2 h	Exp.1	0.451712270999524
2 h	Exp.1	0.417352111834471
2 h	Exp.1	0.521734910303446
2 h	Exp.1	0.421646714746467
2 h	Exp.1	0.446645903676184
2 h	Exp.1	0.497785704423462
2 h	Exp.1	0.44407362190404
2 h	Exp.1	0.565248655263754
2 h	Exp.1	0.445609329279747
2 h	Exp.1	0.460864213545805
2 h	Exp.1	0.398562936197602
2 h	Exp.1	0.445114564175117
2 h	Exp.1	0.537405264291889
2 h	Exp.1	0.489862221926339
2 h	Exp.1	0.478737886171688
2 h	Exp.1	0.436206209124315
2 h	Exp.1	0.447369532465944
2 h	Exp.1	0.475064804793013
2 h	Exp.1	0.410604943974651
2 h	Exp.1	0.429131423290076
2 h	Exp.1	0.491762753511593
2 h	Exp.1	0.720103434050045
2 h	Exp.1	0.519180871103488
2 h	Exp.1	0.48650198264029
2 h	Exp.1	0.49133551180946
2 h	Exp.1	0.39910416871519
2 h	Exp.1	0.895477086419961
2 h	Exp.1	0.537204157827065
2 h	Exp.1	0.415837555401428
2 h	Exp.1	0.310842407309025
2 h	Exp.1	0.310836966938219
2 h	Exp.1	0.3739603203836
2 h	Exp.1	0.41832455491693
2 h	Exp.1	0.51266742025115
2 h	Exp.1	0.286668520859772
2 h	Exp.1	0.301347123119036
2 h	Exp.1	0.544623926683165
2 h	Exp.1	0.619890750172277
2 h	Exp.1	0.431232362669004
2 h	Exp.1	0.488934716524947
2 h	Exp.1	0.468308763014407
2 h	Exp.1	0.507930459080876
2 h	Exp.1	0.444233457636662
2 h	Exp.1	0.486580237142102
2 h	Exp.1	0.435184423751192
2 h	Exp.1	0.508264553410226
2 h	Exp.1	0.251551055421591
2 h	Exp.1	0.47340318776438
2 h	Exp.1	0.41330929607954
2 h	Exp.1	0.439907080824424
2 h	Exp.1	0.462142384693853
2 h	Exp.1	0.245459951468463
2 h	Exp.1	0.460958601842285
2 h	Exp.1	0.539231657441572
2 h	Exp.1	0.461781908287662
2 h	Exp.1	0.609111501764545
2 h	Exp.1	0.477799462372582
2 h	Exp.1	0.494609401233301
2 h	Exp.1	0.544437962372009
2 h	Exp.1	0.40551937463
2 h	Exp.1	0.454656239805609
2 h	Exp.1	0.445371509157879
2 h	Exp.1	0.444928195829885
2 h	Exp.1	0.506490799399841
2 h	Exp.1	0.547416199705414
2 h	Exp.1	0.478506100808453
2 h	Exp.1	0.418626703732021
2 h	Exp.1	0.440507898063419
2 h	Exp.1	0.465360839559239
2 h	Exp.1	0.462870080654415
2 h	Exp.1	0.521961653913889
2 h	Exp.1	0.444558646127516
2 h	Exp.1	0.511101276988721
2 h	Exp.1	0.406311260880873
2 h	Exp.1	0.420458905824185
2 h	Exp.1	0.525989333977325
2 h	Exp.1	0.481503504082219
2 h	Exp.1	0.519907074665528
2 h	Exp.1	0.573952167852952
2 h	Exp.1	0.412717652016883
2 h	Exp.1	0.512331951403105
2 h	Exp.1	0.478007387664649
2 h	Exp.1	0.412286691162777
2 h	Exp.1	0.456824275306224
2 h	Exp.1	0.475618755130154
2 h	Exp.1	0.542184608266807
2 h	Exp.1	0.440769775259526
2 h	Exp.1	0.42930660553698
2 h	Exp.1	0.525391825545243
2 h	Exp.1	0.555776869531882
2 h	Exp.1	0.438404478895934
2 h	Exp.1	0.459262174244014
2 h	Exp.1	0.551216101851225
2 h	Exp.1	0.550888147654383
2 h	Exp.1	0.49067649861492
2 h	Exp.1	0.48232699121986
2 h	Exp.1	0.569930082658882
2 h	Exp.1	0.381474627500025
2 h	Exp.1	0.471947480418638
2 h	Exp.1	0.501737010564869
2 h	Exp.1	0.420176878262569
2 h	Exp.1	0.54
2 h	Exp.1	0.392886519340304
2 h	Exp.1	0.437357543262294
2 h	Exp.1	0.492869747234696
2 h	Exp.1	0.431513279111701
2 h	Exp.1	0.676137303290583
2 h	Exp.1	0.447382099843542
2 h	Exp.1	0.452282475336992
2 h	Exp.1	0.418171829197318
2 h	Exp.1	0.49152437329078
2 h	Exp.1	0.461125921272077
2 h	Exp.1	0.515529420063264
2 h	Exp.1	0.459876590980653
2 h	Exp.1	0.526150148858201
2 h	Exp.1	0.47651257940602
2 h	Exp.1	0.4151997399
2 h	Exp.1	0.480963636950849
2 h	Exp.1	0.721354123988471
2 h	Exp.1	0.472175381227011
2 h	Exp.1	0.469860660472101
2 h	Exp.1	0.467694768079087
2 h	Exp.1	0.395309453039453
2 h	Exp.1	0.428264737397497
2 h	Exp.1	0.423103898341394
2 h	Exp.1	0.354081180222673
2 h	Exp.1	0.374552892042886
2 h	Exp.1	0.348045703136146
2 h	Exp.1	0.463715232016037
2 h	Exp.1	0.417452998252516
2 h	Exp.1	0.492804685688737
2 h	Exp.1	0.409127898794659
2 h	Exp.1	0.437643210572653
2 h	Exp.1	0.452785422549207
2 h	Exp.1	0.454878353863884
2 h	Exp.1	0.516913574563464
2 h	Exp.1	0.47940048809184
2 h	Exp.1	0.889246743583504
2 h	Exp.1	0.439199035533515
2 h	Exp.1	0.418274664958659
2 h	Exp.1	0.502312962907747
2 h	Exp.1	0.434982877518904
2 h	Exp.1	0.904039293235958
2 h	Exp.1	0.510545095869604
2 h	Exp.1	0.484780620719423
2 h	Exp.1	0.956412807198498
2 h	Exp.1	0.88985548750648
2 h	Exp.1	0.486571662441298
2 h	Exp.1	0.523584656459216
2 h	Exp.1	0.462758426073828
2 h	Exp.1	0.496286201528404
2 h	Exp.1	0.542443309017862
2 h	Exp.1	0.945525846287625
2 h	Exp.1	0.496754337830797
2 h	Exp.1	0.478978523724395
2 h	Exp.1	0.465828614007998
2 h	Exp.1	0.84884531980595
2 h	Exp.1	0.981448471786282
2 h	Exp.1	0.519670088615754
2 h	Exp.1	0.485330726123387
2 h	Exp.1	0.489559205405277
2 h	Exp.1	0.474549055109646
2 h	Exp.1	0.436461529441942
2 h	Exp.1	0.450381655781032
2 h	Exp.1	0.49086346020864
2 h	Exp.1	0.439187611290055
2 h	Exp.1	0.462614130571461
2 h	Exp.1	0.501729951990081
2 h	Exp.1	0.489496516144013
2 h	Exp.1	0.453197455659033
2 h	Exp.1	0.323921432724754
2 h	Exp.1	0.453687835139817
2 h	Exp.1	0.500887760300598
2 h	Exp.1	0.44798963042374
2 h	Exp.1	0.467328301183501
2 h	Exp.1	0.520706836618243
2 h	Exp.1	0.279197300103753
2 h	Exp.1	0.856061476247544
2 h	Exp.1	0.469628650499163
2 h	Exp.1	0.534658881468547
2 h	Exp.1	0.308555353221288
2 h	Exp.1	0.484892670260192
2 h	Exp.1	0.458067691396172
2 h	Exp.1	0.461235922577007
2 h	Exp.1	0.549229769437652
2 h	Exp.1	0.375059207328885
2 h	Exp.1	0.405171044536842
2 h	Exp.1	0.450081813419152
2 h	Exp.1	0.655237267367084
2 h	Exp.1	0.420956201076689
2 h	Exp.1	0.490764312138874
2 h	Exp.1	0.535523366609804
2 h	Exp.1	0.522941897185481
2 h	Exp.1	0.45501763131851
2 h	Exp.1	0.939109744005506
2 h	Exp.1	0.513527735907816
2 h	Exp.1	0.481051164000304
2 h	Exp.1	0.486633212325235
2 h	Exp.1	0.486995286545498
2 h	Exp.1	0.461235784032098
2 h	Exp.1	0.42949634927367
2 h	Exp.1	0.52763837571486
2 h	Exp.1	0.880203313772108
2 h	Exp.1	0.491301421754381
2 h	Exp.1	0.507346963266531
2 h	Exp.1	0.479524349417398
2 h	Exp.1	0.985278889974499
2 h	Exp.1	0.472531780600563
2 h	Exp.1	0.469572278218996
2 h	Exp.1	0.505380266599192
2 h	Exp.1	0.573222019719276
2 h	Exp.1	0.485115178004382
2 h	Exp.1	0.442430847625831
2 h	Exp.1	0.522906702155792
2 h	Exp.1	0.418820416328728
2 h	Exp.1	0.915326179720947
2 h	Exp.1	0.610719735874808
2 h	Exp.1	0.461300945073225
2 h	Exp.1	0.548074075352453
2 h	Exp.1	0.478605191888717
2 h	Exp.1	0.399849302078849
2 h	Exp.1	0.48901041635243
2 h	Exp.1	0.485956193888261
2 h	Exp.1	0.408247877483032
2 h	Exp.1	0.563582871545883
2 h	Exp.1	0.447074827147095
2 h	Exp.1	0.459271420314315
2 h	Exp.1	0.484766637593083
2 h	Exp.1	0.380569494615644
2 h	Exp.1	0.516881744457034
2 h	Exp.1	0.42131864918337
2 h	Exp.1	0.557253693794333
2 h	Exp.1	0.415766968385641
2 h	Exp.1	0.432881387482868
