cond	exp	dln
2 h	Exp.1	0.627805717245664
2 h	Exp.1	0.624074163600374
2 h	Exp.1	0.584743680275776
2 h	Exp.1	0.602336578395683
2 h	Exp.1	0.593548082370104
2 h	Exp.1	0.661164809114054
2 h	Exp.1	0.586651131919876
2 h	Exp.1	0.6009925535882
2 h	Exp.1	0.609475716935615
2 h	Exp.1	0.647449309970703
2 h	Exp.1	0.633967470041304
2 h	Exp.1	0.593253728997894
2 h	Exp.1	0.624570605118839
2 h	Exp.1	0.637246402371838
2 h	Exp.1	0.562186761799811
2 h	Exp.1	0.558115751696736
2 h	Exp.1	0.612531071555521
2 h	Exp.1	0.573733369870848
2 h	Exp.1	0.618237623678641
2 h	Exp.1	0.603403586205468
2 h	Exp.1	0.61736717073456
2 h	Exp.1	0.613325253222592
2 h	Exp.1	0.614963108271393
2 h	Exp.1	0.520468341141672
2 h	Exp.1	0.702771001570784
2 h	Exp.1	0.585777156921167
2 h	Exp.1	0.600079356783742
2 h	Exp.1	0.610701206858142
2 h	Exp.1	0.590293485976645
2 h	Exp.1	0.599091813616026
2 h	Exp.1	0.558553954590535
2 h	Exp.1	0.617576773314533
2 h	Exp.1	0.682216529589958
2 h	Exp.1	0.561190879221951
2 h	Exp.1	0.666360466749111
2 h	Exp.1	0.561074053253308
2 h	Exp.1	0.607617298750381
2 h	Exp.1	0.653333326329272
2 h	Exp.1	0.574408219188368
2 h	Exp.1	0.62674345978209
2 h	Exp.1	0.583514694099737
2 h	Exp.1	0.57519122500543
2 h	Exp.1	0.568345416052455
2 h	Exp.1	0.578243158719008
2 h	Exp.1	0.612504087950279
2 h	Exp.1	0.937672232430153
2 h	Exp.1	0.561707647398001
2 h	Exp.1	0.607209707181963
2 h	Exp.1	0.585021395272918
2 h	Exp.1	0.624967514349664
2 h	Exp.1	0.674272195540394
2 h	Exp.1	0.569188293413606
2 h	Exp.1	0.633748776403897
2 h	Exp.1	0.552729565799977
2 h	Exp.1	0.601362974528686
2 h	Exp.1	0.593088532462039
2 h	Exp.1	0.569544702173499
2 h	Exp.1	0.510605957682536
2 h	Exp.1	0.665770717326537
2 h	Exp.1	0.634040887128055
2 h	Exp.1	0.595760924139584
2 h	Exp.1	0.620111041670075
2 h	Exp.1	0.695408505820696
2 h	Exp.1	0.605325239278346
2 h	Exp.1	0.58122021473935
2 h	Exp.1	0.637696612347664
2 h	Exp.1	0.520648612603557
2 h	Exp.1	0.658821506888666
2 h	Exp.1	0.594239498210906
2 h	Exp.1	0.618732192003945
2 h	Exp.1	0.6568985719707
2 h	Exp.1	0.658889246504025
2 h	Exp.1	0.60110624765584
2 h	Exp.1	0.640892117654187
2 h	Exp.1	0.399866040673395
2 h	Exp.1	0.611176154827779
2 h	Exp.1	0.525314645150772
2 h	Exp.1	0.617726246121586
2 h	Exp.1	0.611622182294518
2 h	Exp.1	0.652264867306737
2 h	Exp.1	0.704406340956659
2 h	Exp.1	0.591721149127545
2 h	Exp.1	0.601454914861462
2 h	Exp.1	0.601297994492487
2 h	Exp.1	0.680898322689823
2 h	Exp.1	0.663802079126894
2 h	Exp.1	0.744542087791873
2 h	Exp.1	0.623139475784807
2 h	Exp.1	0.653040232654087
2 h	Exp.1	0.653402765010047
2 h	Exp.1	0.604919029202097
2 h	Exp.1	0.597449713709376
2 h	Exp.1	0.705590588397864
2 h	Exp.1	0.702462271190922
2 h	Exp.1	0.634933402820504
2 h	Exp.1	0.665636768366233
2 h	Exp.1	0.812107650061991
2 h	Exp.1	0.549875857089592
2 h	Exp.1	0.684087188317694
2 h	Exp.1	0.570295158077831
2 h	Exp.1	0.627643136674144
2 h	Exp.1	0.564616993368107
2 h	Exp.1	0.668106652772613
2 h	Exp.1	0.603687475433467
2 h	Exp.1	0.583588485194316
2 h	Exp.1	0.598969164354966
2 h	Exp.1	0.621942620036396
2 h	Exp.1	0.535574767092649
2 h	Exp.1	0.602342725309566
2 h	Exp.1	0.596113763567809
2 h	Exp.1	0.618023966521065
2 h	Exp.1	0.642421916859021
2 h	Exp.1	0.535650964288652
2 h	Exp.1	0.630690875463254
2 h	Exp.1	0.546664435260449
2 h	Exp.1	0.569074308255855
2 h	Exp.1	0.523337065616268
2 h	Exp.1	0.620701361513468
2 h	Exp.1	0.589108339578869
2 h	Exp.1	0.560087864793961
2 h	Exp.1	0.584092219239758
2 h	Exp.1	0.523880301810062
2 h	Exp.1	0.614805531520947
2 h	Exp.1	0.696226808416138
2 h	Exp.1	0.61122712843584
2 h	Exp.1	0.613394103042152
2 h	Exp.1	0.601126366652779
2 h	Exp.1	0.552453069881145
2 h	Exp.1	0.573240029174126
2 h	Exp.1	0.617329508293431
2 h	Exp.1	0.503090178968763
2 h	Exp.1	0.51852706041466
2 h	Exp.1	0.628730464230974
2 h	Exp.1	0.667577207632925
2 h	Exp.1	0.604469380071519
2 h	Exp.1	0.623761904379871
2 h	Exp.1	0.576952400464667
2 h	Exp.1	0.584120203519672
2 h	Exp.1	0.666907779537902
2 h	Exp.1	0.610149273717454
2 h	Exp.1	0.59582208620857
2 h	Exp.1	0.40251525148242
2 h	Exp.1	0.602958467876842
2 h	Exp.1	0.573682047288957
2 h	Exp.1	0.650320023249103
2 h	Exp.1	0.626234809672888
2 h	Exp.1	0.392162177474285
2 h	Exp.1	0.597312334520464
2 h	Exp.1	0.691484850018062
2 h	Exp.1	0.560141921028773
2 h	Exp.1	0.633628928950956
2 h	Exp.1	0.589913683279161
2 h	Exp.1	0.632013409192052
2 h	Exp.1	0.818878305870176
2 h	Exp.1	0.581505683097431
2 h	Exp.1	0.639697824353964
2 h	Exp.1	0.579187887922391
2 h	Exp.1	0.636991762538827
2 h	Exp.1	0.691370542003841
2 h	Exp.1	0.607922118520591
2 h	Exp.1	0.55680967676818
2 h	Exp.1	0.640735557174804
2 h	Exp.1	0.640869844455117
2 h	Exp.1	0.648687527999009
2 h	Exp.1	0.717542380393699
2 h	Exp.1	0.645206482264407
2 h	Exp.1	0.549514912883671
2 h	Exp.1	0.537411607049535
2 h	Exp.1	0.63507783790286
2 h	Exp.1	0.627109430738852
2 h	Exp.1	0.588077632470409
2 h	Exp.1	0.518795904732038
2 h	Exp.1	0.62818075091609
2 h	Exp.1	0.577606064602992
2 h	Exp.1	0.608503197364467
2 h	Exp.1	0.57892718473131
2 h	Exp.1	0.611888124105371
2 h	Exp.1	0.693754782611197
2 h	Exp.1	0.593493710901563
2 h	Exp.1	0.537375711308935
2 h	Exp.1	0.634650164009568
2 h	Exp.1	0.648428539559451
2 h	Exp.1	0.595510013921059
2 h	Exp.1	0.608280394165104
2 h	Exp.1	0.648430580714801
2 h	Exp.1	0.723019176816849
2 h	Exp.1	0.60993896484375
2 h	Exp.1	0.643434868439316
2 h	Exp.1	0.545687355713049
2 h	Exp.1	0.700985706221902
2 h	Exp.1	0.654470239717977
2 h	Exp.1	0.650075170226726
2 h	Exp.1	0.588488272592875
2 h	Exp.1	0.581159998410383
2 h	Exp.1	0.62193240220844
2 h	Exp.1	0.6130778370001
2 h	Exp.1	0.585140931736648
2 h	Exp.1	0.680147234001586
2 h	Exp.1	0.550249654198275
2 h	Exp.1	0.605626064849127
2 h	Exp.1	0.640792893141509
2 h	Exp.1	0.693010770673634
2 h	Exp.1	0.600898740308479
2 h	Exp.1	0.688588997184357
2 h	Exp.1	0.646771977119866
2 h	Exp.1	0.568205754216005
2 h	Exp.1	0.602353086775417
2 h	Exp.1	0.622239113664372
2 h	Exp.1	0.618022534993042
2 h	Exp.1	0.582447882791842
2 h	Exp.1	0.562677169091692
2 h	Exp.1	0.65138889279053
2 h	Exp.1	0.617455050786851
2 h	Exp.1	0.545170071008861
2 h	Exp.1	0.586886183467354
2 h	Exp.1	0.528529145209378
2 h	Exp.1	0.564552471714524
2 h	Exp.1	0.591759837248582
2 h	Exp.1	0.704611899454192
2 h	Exp.1	0.581599183012461
