cond	exp	dln
30 min	Exp.3	0.484811296911477
30 min	Exp.3	0.577284044990883
30 min	Exp.3	0.584897366016513
30 min	Exp.3	0.817422246945579
30 min	Exp.3	0.372804385773513
30 min	Exp.3	0.493269977623426
30 min	Exp.3	0.414840996985168
30 min	Exp.3	0.471032256985485
30 min	Exp.3	0.496959572849043
30 min	Exp.3	0.498054622852364
30 min	Exp.3	0.514768901925012
30 min	Exp.3	0.40965984859785
30 min	Exp.3	0.430290516878359
30 min	Exp.3	0.465363092730026
30 min	Exp.3	0.500550179107047
30 min	Exp.3	0.45310404304721
30 min	Exp.3	0.378477793816602
30 min	Exp.3	0.476303808866308
30 min	Exp.3	0.408241241273137
30 min	Exp.3	0.502240746864488
30 min	Exp.3	0.432824754365507
30 min	Exp.3	0.490772192404348
30 min	Exp.3	0.468240747506708
30 min	Exp.3	0.482458794271914
30 min	Exp.3	0.388462540174295
30 min	Exp.3	0.41012784132811
30 min	Exp.3	0.454588524614831
30 min	Exp.3	0.458002169479656
30 min	Exp.3	0.46705247813549
30 min	Exp.3	0.362766881446076
30 min	Exp.3	0.346519024291282
30 min	Exp.3	0.545399354882293
30 min	Exp.3	0.410545109892315
30 min	Exp.3	0.433711182392234
30 min	Exp.3	0.389194644704458
30 min	Exp.3	0.394398212468621
30 min	Exp.3	0.529406510804482
30 min	Exp.3	0.406763355687879
30 min	Exp.3	0.484155583804865
30 min	Exp.3	0.421748618654181
30 min	Exp.3	0.434839866027145
30 min	Exp.3	0.452491488605748
30 min	Exp.3	0.50173316775974
30 min	Exp.3	0.438238887848914
30 min	Exp.3	0.907750399773197
30 min	Exp.3	0.446299801689945
30 min	Exp.3	0.519760832064639
30 min	Exp.3	0.455848716732797
30 min	Exp.3	0.245742928275816
30 min	Exp.3	0.513902214516105
30 min	Exp.3	0.367559327241287
30 min	Exp.3	0.424749258994868
30 min	Exp.3	0.455307518457552
30 min	Exp.3	0.541129986491847
30 min	Exp.3	0.848493068309442
30 min	Exp.3	0.418668036007312
30 min	Exp.3	0.454109204866091
30 min	Exp.3	0.471884079853477
30 min	Exp.3	0.486862491695787
30 min	Exp.3	0.431082138715783
30 min	Exp.3	0.451739065792117
30 min	Exp.3	0.471207241127738
30 min	Exp.3	0.473544685649607
30 min	Exp.3	0.445795201906605
30 min	Exp.3	0.445752652070122
30 min	Exp.3	0.416141460330455
30 min	Exp.3	0.487751062124139
30 min	Exp.3	0.49
30 min	Exp.3	0.438583050591351
30 min	Exp.3	0.394952585841393
30 min	Exp.3	0.413906553538891
30 min	Exp.3	0.476038874216957
