dataset	resolution	PCC
Exp.1	10000000	0.911818479967493
Exp.2	10000000	0.910204651180565
Exp.3	10000000	0.928311843271686
Exp.4	10000000	0.916353383364892
Exp.1	1000000	0.908931421121963
Exp.2	1000000	0.898697296988782
Exp.3	1000000	0.920589081122012
Exp.4	1000000	0.904037212876061
Exp.1	500000	0.890275888194403
Exp.2	500000	0.878784400912674
Exp.3	500000	0.901941413303106
Exp.4	500000	0.903985914096293
Exp.1	250000	0.876700453637035
Exp.2	250000	0.873348243620622
Exp.3	250000	0.890397565275541
Exp.4	250000	0.89073722589262
Exp.1	100000	0.815023703300612
Exp.2	100000	0.767444568278954
Exp.3	100000	0.889019924311819
Exp.4	100000	0.894579746971702
Exp.1	50000	0.726545787929358
Exp.2	50000	0.693732646174699
Exp.3	50000	0.828760102680245
Exp.4	50000	0.891329512530966
Exp.1	25000	0.659179505355624
Exp.2	25000	0.542874093039209
Exp.3	25000	0.778551422304082
Exp.4	25000	0.851540961128075
Exp.1	10000	0.33489834105884
Exp.2	10000	0.268596693197218
Exp.3	10000	0.566373429346493
Exp.4	10000	0.813326805455102
