Pathway	Layer	N	Fraction	Enrichment
dna_repair	3	3	0.0214285714285714	-2.09886763382936
dna_repair	4	15	0.107142857142857	-0.289581392820831
dna_repair	5	14	0.1	-0.529428927361553
dna_repair	6	16	0.114285714285714	-0.0565506745360426
dna_repair	7	17	0.121428571428571	0.0884755697898951
dna_repair	8	21	0.15	0.558691627618385
dna_repair	9	19	0.135714285714286	0.477161742121787
dna_repair	10	35	0.25	0.566916394880116
uv_response_up	2	2	0.0133333333333333	-1.14861399302758
uv_response_up	3	6	0.04	-1.19840330738028
uv_response_up	4	15	0.1	-0.389117066371746
uv_response_up	5	17	0.113333333333333	-0.348856681719733
uv_response_up	6	21	0.14	0.236231074691803
uv_response_up	7	27	0.18	0.65636455715211
uv_response_up	8	13	0.0866666666666667	-0.232721750570197
uv_response_up	9	17	0.113333333333333	0.217161396377626
uv_response_up	10	32	0.213333333333333	0.338097704384235
uv_response_dn	1	1	0.00740740740740741	1.7561376918246
uv_response_dn	2	6	0.0444444444444444	0.588351601138625
uv_response_dn	3	24	0.177777777777778	0.953599786064774
uv_response_dn	4	25	0.185185185185185	0.49985162123951
uv_response_dn	5	31	0.22962962962963	0.669879880861853
uv_response_dn	6	16	0.118518518518519	-0.00408325464190697
uv_response_dn	7	12	0.0888888888888889	-0.361557350845153
uv_response_dn	8	7	0.0518518518518519	-0.973803453208635
uv_response_dn	9	3	0.0222222222222222	-2.13333585070651
uv_response_dn	10	10	0.0740740740740741	-1.18797110728335
