dist_from_nuclear_lamina	fluorescence_intensity	condition
0	NA	6h
0.005025125628141	NA	6h
0.010050251256281	5023.5	6h
0.015075376884422	42745	6h
0.020100502512563	28105	6h
0.025125628140704	20701	6h
0.030150753768844	22431	6h
0.035175879396985	24830	6h
0.040201005025126	27077	6h
0.045226130653266	25048	6h
0.050251256281407	26871	6h
0.055276381909548	28608	6h
0.060301507537688	28528	6h
0.065326633165829	27740	6h
0.07035175879397	29844	6h
0.075376884422111	31886	6h
0.080402010050251	33329	6h
0.085427135678392	34294	6h
0.090452261306533	33524	6h
0.095477386934673	33036	6h
0.100502512562814	34230	6h
0.105527638190955	35747	6h
0.110552763819095	36928	6h
0.115577889447236	37289	6h
0.120603015075377	37262	6h
0.125628140703518	38403	6h
0.130653266331658	39021	6h
0.135678391959799	39647	6h
0.14070351758794	40505	6h
0.14572864321608	41265	6h
0.150753768844221	41895	6h
0.155778894472362	42683	6h
0.160804020100503	42769	6h
0.165829145728643	43267	6h
0.170854271356784	43436	6h
0.175879396984925	43792	6h
0.180904522613065	44748	6h
0.185929648241206	44727	6h
0.190954773869347	45864	6h
0.195979899497487	46706	6h
0.201005025125628	47127	6h
0.206030150753769	47720	6h
0.21105527638191	47962	6h
0.21608040201005	48140	6h
0.221105527638191	48276	6h
0.226130653266332	49023	6h
0.231155778894472	47917	6h
0.236180904522613	50096	6h
0.241206030150754	49988	6h
0.246231155778894	49732	6h
0.251256281407035	50760	6h
0.256281407035176	51046	6h
0.261306532663317	51382	6h
0.266331658291457	51640	6h
0.271356783919598	51526	6h
0.276381909547739	51993	6h
0.281407035175879	51956	6h
0.28643216080402	52488	6h
0.291457286432161	51922	6h
0.296482412060302	52630	6h
0.301507537688442	53321	6h
0.306532663316583	52956	6h
0.311557788944724	52655.5	6h
0.316582914572864	53755	6h
0.321608040201005	53732	6h
0.326633165829146	53602	6h
0.331658291457286	53829	6h
0.336683417085427	54006	6h
0.341708542713568	54320	6h
0.346733668341709	53885	6h
0.351758793969849	53337	6h
0.35678391959799	54817	6h
0.361809045226131	54227	6h
0.366834170854271	54638	6h
0.371859296482412	54106	6h
0.376884422110553	54454	6h
0.381909547738693	54953	6h
0.386934673366834	54585	6h
0.391959798994975	54738	6h
0.396984924623116	55165	6h
0.402010050251256	54782	6h
0.407035175879397	53992	6h
0.412060301507538	54981	6h
0.417085427135678	55021	6h
0.422110552763819	54938	6h
0.42713567839196	55104	6h
0.4321608040201	54727	6h
0.437185929648241	54745	6h
0.442211055276382	54684	6h
0.447236180904523	54774	6h
0.452261306532663	55235	6h
0.457286432160804	55334	6h
0.462311557788945	54755	6h
0.467336683417085	53899	6h
0.472361809045226	55013	6h
0.477386934673367	55367	6h
0.482412060301508	54864	6h
0.487437185929648	54751	6h
0.492462311557789	54664	6h
0.49748743718593	54479	6h
0.50251256281407	54659	6h
0.507537688442211	54727	6h
0.512562814070352	54858	6h
0.517587939698492	54967	6h
0.522613065326633	54633	6h
0.527638190954774	53606	6h
0.532663316582915	54668	6h
0.537688442211055	54932	6h
0.542713567839196	54702	6h
0.547738693467337	54247	6h
0.552763819095477	54206	6h
0.557788944723618	54180	6h
0.562814070351759	54330	6h
0.5678391959799	54505	6h
0.57286432160804	54402	6h
0.577889447236181	54215	6h
0.582914572864322	54093	6h
0.587939698492462	53486	6h
0.592964824120603	54217	6h
0.597989949748744	54318	6h
0.603015075376884	53981	6h
0.608040201005025	53818	6h
0.613065326633166	54186	6h
0.618090452261307	53864	6h
0.623115577889447	53698	6h
0.628140703517588	53871	6h
0.633165829145729	53819.5	6h
0.638190954773869	53928	6h
0.64321608040201	52975	6h
0.648241206030151	53645	6h
0.653266331658292	53594	6h
0.658291457286432	53469	6h
0.663316582914573	53343	6h
0.668341708542714	53632	6h
0.673366834170854	53600	6h
0.678391959798995	53367	6h
0.683417085427136	53396	6h
0.688442211055276	53440	6h
0.693467336683417	53358	6h
0.698492462311558	53170	6h
0.703517587939699	52770	6h
0.708542713567839	53110	6h
0.71356783919598	53077	6h
0.718592964824121	52988	6h
0.723618090452261	52917	6h
0.728643216080402	52975	6h
0.733668341708543	53069	6h
0.738693467336683	53148	6h
0.743718592964824	53050	6h
0.748743718592965	53170	6h
0.753768844221106	52960	6h
0.758793969849246	52702	6h
0.763819095477387	52218	6h
0.768844221105528	52643	6h
0.773869346733668	52338	6h
0.778894472361809	52654	6h
0.78391959798995	52973	6h
0.78894472361809	52966	6h
0.793969849246231	52679	6h
0.798994974874372	52600	6h
0.804020100502513	52243	6h
0.809045226130653	52856	6h
0.814070351758794	52591	6h
0.819095477386935	52588	6h
0.824120603015075	52343	6h
0.829145728643216	52419	6h
0.834170854271357	52091	6h
0.839195979899497	52061	6h
0.844221105527638	52439	6h
0.849246231155779	52316	6h
0.85427135678392	52429	6h
0.85929648241206	52536	6h
0.864321608040201	52418	6h
0.869346733668342	52241	6h
0.874371859296482	52732	6h
0.879396984924623	52702	6h
0.884422110552764	52643	6h
0.889447236180904	52009	6h
0.894472361809045	50995	6h
0.899497487437186	50948	6h
0.904522613065327	52381	6h
0.909547738693467	52859	6h
0.914572864321608	52313.5	6h
0.919597989949749	52212	6h
0.924623115577889	51141	6h
0.92964824120603	49708	6h
0.934673366834171	55232	6h
0.939698492462312	53091	6h
0.944723618090452	49439	6h
0.949748743718593	51513	6h
0.954773869346734	53368	6h
0.959798994974874	50521	6h
0.964824120603015	41822	6h
0.969849246231156	NA	6h
0.974874371859296	NA	6h
0.979899497487437	NA	6h
0.984924623115578	NA	6h
0.989949748743719	NA	6h
0.994974874371859	52425	6h
1	NA	6h
0	NA	2h
0.005025125628141	NA	2h
0.010050251256281	118528	2h
0.015075376884422	92927	2h
0.020100502512563	75258	2h
0.025125628140704	20551	2h
0.030150753768844	21360	2h
0.035175879396985	23220	2h
0.040201005025126	25952	2h
0.045226130653266	23844	2h
0.050251256281407	25227	2h
0.055276381909548	27665	2h
0.060301507537688	27424	2h
0.065326633165829	26288	2h
0.07035175879397	28424	2h
0.075376884422111	30192	2h
0.080402010050251	31853	2h
0.085427135678392	32367	2h
0.090452261306533	31667	2h
0.095477386934673	31403	2h
0.100502512562814	32732	2h
0.105527638190955	34187	2h
0.110552763819095	35335	2h
0.115577889447236	35473	2h
0.120603015075377	35714	2h
0.125628140703518	36744	2h
0.130653266331658	37514	2h
0.135678391959799	37949	2h
0.14070351758794	38727	2h
0.14572864321608	39621	2h
0.150753768844221	39841	2h
0.155778894472362	40575	2h
0.160804020100503	41135	2h
0.165829145728643	41594	2h
0.170854271356784	41834	2h
0.175879396984925	42517	2h
0.180904522613065	43358	2h
0.185929648241206	43266	2h
0.190954773869347	44285	2h
0.195979899497487	44807	2h
0.201005025125628	45522	2h
0.206030150753769	46087	2h
0.21105527638191	46319	2h
0.21608040201005	46660	2h
0.221105527638191	46627	2h
0.226130653266332	47541	2h
0.231155778894472	46823	2h
0.236180904522613	48532	2h
0.241206030150754	48612	2h
0.246231155778894	48822	2h
0.251256281407035	49355	2h
0.256281407035176	49673	2h
0.261306532663317	49997	2h
0.266331658291457	50280	2h
0.271356783919598	50143	2h
0.276381909547739	50571	2h
0.281407035175879	50756	2h
0.28643216080402	51341	2h
0.291457286432161	51082	2h
0.296482412060302	51639	2h
0.301507537688442	52202	2h
0.306532663316583	51889	2h
0.311557788944724	51938	2h
0.316582914572864	52684	2h
0.321608040201005	52639	2h
0.326633165829146	52578	2h
0.331658291457286	52764	2h
0.336683417085427	53035	2h
0.341708542713568	53443	2h
0.346733668341709	53039	2h
0.351758793969849	52803	2h
0.35678391959799	53858	2h
0.361809045226131	53386	2h
0.366834170854271	53919	2h
0.371859296482412	53750	2h
0.376884422110553	53639	2h
0.381909547738693	54161	2h
0.386934673366834	53809	2h
0.391959798994975	53972	2h
0.396984924623116	54277	2h
0.402010050251256	54100	2h
0.407035175879397	53670	2h
0.412060301507538	54389	2h
0.417085427135678	54270	2h
0.422110552763819	54341	2h
0.42713567839196	54473	2h
0.4321608040201	54277	2h
0.437185929648241	54374	2h
0.442211055276382	54141	2h
0.447236180904523	54155	2h
0.452261306532663	54505	2h
