label	delta_gpseq_score	hic_contacts
Near-diagonal	0.1	62292059.792
Near-diagonal	0.2	14010646.186
Near-diagonal	0.3	2060990.634
Near-diagonal	0.4	310227.747
Intra	0.1	53740917.229213
Intra	0.2	28438951.474989
Intra	0.3	13724757.509212
Intra	0.4	7032629.8727255
Intra	0.5	3413601.279361
Intra	0.6	1662352.0857537
Intra	0.7	625465.9960575
Intra	0.8	235678.276026
Intra	0.9	46467.7353715
Intra	1	2809.885092
Inter	0.1	42739808.8337346
Inter	0.2	35969682.1475224
Inter	0.3	27583714.077437
Inter	0.4	20551852.9851798
Inter	0.5	15303134.5358016
Inter	0.6	11404751.0028078
Inter	0.7	8066789.9350986
Inter	0.8	5312667.5966388
Inter	0.9	3086302.301212
Inter	1	1848227.4309272
