variable	value
residuals	320.373560072689
residuals	71.4562037802038
residuals	376.546659930122
residuals	252.391838531675
residuals	110.371236949963
residuals	252.519168890184
residuals	288.058743703255
residuals	215.241622969167
residuals	284.368406768919
residuals	697.039266776039
residuals	104.792964264226
residuals	50.2460271773724
residuals	427.91804906007
residuals	538.567683445428
residuals	331.545266000476
residuals	199.701554361068
residuals	187.365362994513
residuals	21.0379797392253
residuals	468.885537318182
residuals	810.056847745419
residuals	752.518146280237
residuals	502.213310521402
residuals	365.556265162891
residuals	427.850108502056
residuals	326.014641251787
residuals	253.065151405998
residuals	12.0096688791765
residuals	352.19205022136
residuals	399.442920852721
residuals	17.5745315902999
residuals	163.542205025269
residuals	332.494596928772
residuals	230.456432606381
residuals	161.912645320061
residuals	13.5235066378958
residuals	30.8530964209441
residuals	189.712792187233
residuals	377.809785849432
residuals	256.754069533351
residuals	143.026244248128
residuals	99.6814754671063
residuals	996.054604297877
residuals	471.425053479742
residuals	65.743960245398
residuals	214.491658106822
residuals	94.6668450641626
residuals	438.923798386757
residuals	196.013865146262
residuals	747.315150206532
residuals	15.2328897953607
residuals	491.997841219195
residuals	37.879119179995
residuals	85.4069706788351
residuals	229.341659956129
residuals	38.7989518440981
residuals	313.273980477973
residuals	68.2119531614151
residuals	176.596691130297
residuals	33.6139868043967
residuals	342.232512638891
residuals	189.609602121885
residuals	88.0830799970665
residuals	223.087219783747
residuals	101.281153119592
residuals	326.668425569858
residuals	3.95888317105474
residuals	22.6513508632484
residuals	6.73001421820763
delta	556.588573616097
delta	386.899316925228
delta	500.450264694075
delta	153.306577215986
delta	903.644272412704
delta	7.84573633501714
delta	784.776143582311
delta	405.034254174297
delta	271.92988051217
delta	558.418169090461
delta	182.115731808917
delta	146.686004118479
delta	623.290506031432
delta	425.287634428179
delta	874.386671900906
delta	620.416306600221
delta	346.62728250649
delta	121.015980274369
delta	627.588894660117
delta	1034.78907069647
delta	1099.11995575011
delta	922.928062760555
delta	652.815778503653
delta	753.567059530198
delta	262.454210996626
delta	665.480849803704
delta	187.0302647068
delta	190.661299049025
delta	17.1078210882931
delta	343.264208988779
delta	193.00767276262
delta	173.49252363488
delta	118.36753328931
delta	202.777463519175
delta	616.283270685253
delta	663.018916598926
delta	619.4086567456
delta	825.771352457039
delta	1027.35808379418
delta	982.69897621392
delta	890.638705750197
delta	1304.39842968469
delta	483.049592868994
delta	451.117370726427
delta	248.788513574157
delta	652.017703028122
delta	319.1399195095
delta	588.465116869394
delta	217.260876175833
delta	464.293165236627
delta	292.420389920023
delta	453.319558114628
delta	607.350409842436
delta	1041.17522759014
delta	849.050540450864
delta	955.214145236654
delta	67.0202538302533
delta	238.62533315877
delta	361.122447614674
delta	516.470635436518
delta	738.621082665202
delta	659.764009835581
delta	760.21365446053
delta	394.921967912535
delta	319.440103444457
delta	723.775382353417
delta	321.345260223378
delta	839.57189221921
