exp	domain	res	pcc
Exp.1	Intersect	10000	0.290977171494494
Exp.1	Intersect	100000	0.774757648575307
Exp.1	Intersect	1000000	0.890624877679033
Exp.1	Intersect	10000000	0.906072187291548
Exp.1	Intersect	25000	0.523841551268053
Exp.1	Intersect	250000	0.850965949623942
Exp.1	Intersect	50000	0.661295227673415
Exp.1	Intersect	500000	0.878573346017562
Exp.1	Separate	10000	0.277427728343586
Exp.1	Separate	100000	0.785374993825821
Exp.1	Separate	1000000	0.90375715627033
Exp.1	Separate	10000000	0.91000186040779
Exp.1	Separate	25000	0.558285033921389
Exp.1	Separate	250000	0.854851332589154
Exp.1	Separate	50000	0.672041833352152
Exp.1	Separate	500000	0.882618092233313
Exp.1	Union	10000	0.33489834105884
Exp.1	Union	100000	0.815023703300612
Exp.1	Union	1000000	0.908931421121963
Exp.1	Union	10000000	0.911818479967493
Exp.1	Union	25000	0.659179505355624
Exp.1	Union	250000	0.876700453637035
Exp.1	Union	50000	0.726545787929358
Exp.1	Union	500000	0.890275888194403
Exp.1	Universal	10000	0.434443576424596
Exp.1	Universal	100000	0.85838726970184
Exp.1	Universal	1000000	0.915905318518452
Exp.1	Universal	10000000	0.906106172035372
Exp.1	Universal	25000	0.685271309461929
Exp.1	Universal	250000	0.899761855692359
Exp.1	Universal	50000	0.791118775298632
Exp.1	Universal	500000	0.909764892734528
Exp.2	Intersect	10000	0.234974647457115
Exp.2	Intersect	100000	0.77399388222712
Exp.2	Intersect	1000000	0.895738055910005
Exp.2	Intersect	10000000	0.9092396246332
Exp.2	Intersect	25000	0.377034057641599
Exp.2	Intersect	250000	0.848478854540074
Exp.2	Intersect	50000	0.679872138613397
Exp.2	Intersect	500000	0.87280281187436
Exp.2	Separate	10000	0.211375560649672
Exp.2	Separate	100000	0.77621274664717
Exp.2	Separate	1000000	0.90783737439862
Exp.2	Separate	10000000	0.913418864106289
Exp.2	Separate	25000	0.416837171606839
Exp.2	Separate	250000	0.858434752610277
Exp.2	Separate	50000	0.664208874657096
Exp.2	Separate	500000	0.87858319954196
Exp.2	Union	10000	0.268596693197218
Exp.2	Union	100000	0.767444568278954
Exp.2	Union	1000000	0.898697296988782
Exp.2	Union	10000000	0.910204651180565
Exp.2	Union	25000	0.542874093039209
Exp.2	Union	250000	0.873348243620622
Exp.2	Union	50000	0.693732646174699
Exp.2	Union	500000	0.878784400912674
Exp.2	Universal	10000	0.397248908538673
Exp.2	Universal	100000	0.842176638610103
Exp.2	Universal	1000000	0.920143140037369
Exp.2	Universal	10000000	0.909963151653627
Exp.2	Universal	25000	0.622829007193353
Exp.2	Universal	250000	0.892811803890224
Exp.2	Universal	50000	0.778219857373123
Exp.2	Universal	500000	0.903512187284427
Exp.3	Intersect	10000	
Exp.3	Intersect	100000	
Exp.3	Intersect	1000000	
Exp.3	Intersect	10000000	
Exp.3	Intersect	25000	
Exp.3	Intersect	250000	
Exp.3	Intersect	50000	
Exp.3	Intersect	500000	
Exp.3	Separate	10000	0.694235692107095
Exp.3	Separate	100000	0.85034613586579
Exp.3	Separate	1000000	0.870123455429151
Exp.3	Separate	10000000	0.87612683014791
Exp.3	Separate	25000	0.8007329231253
Exp.3	Separate	250000	0.850778446320449
Exp.3	Separate	50000	0.827864644528119
Exp.3	Separate	500000	0.870809768566658
Exp.3	Union	10000	0.566373429346493
Exp.3	Union	100000	0.889019924311819
Exp.3	Union	1000000	0.920589081122012
Exp.3	Union	10000000	0.928311843271686
Exp.3	Union	25000	0.778551422304082
Exp.3	Union	250000	0.890397565275541
Exp.3	Union	50000	0.828760102680245
Exp.3	Union	500000	0.901941413303106
Exp.3	Universal	10000	0.623939066770576
Exp.3	Universal	100000	0.857921892976101
Exp.3	Universal	1000000	0.901832180785584
Exp.3	Universal	10000000	0.907704490834131
Exp.3	Universal	25000	0.71605207161876
Exp.3	Universal	250000	0.877390875899289
Exp.3	Universal	50000	0.804067719529261
Exp.3	Universal	500000	0.896061347564467
Exp.4	Intersect	10000	
Exp.4	Intersect	100000	
Exp.4	Intersect	1000000	
Exp.4	Intersect	10000000	
Exp.4	Intersect	25000	
Exp.4	Intersect	250000	
Exp.4	Intersect	50000	
Exp.4	Intersect	500000	
Exp.4	Separate	10000	0.803728327463653
Exp.4	Separate	100000	0.893969876370896
Exp.4	Separate	1000000	0.901874502156028
Exp.4	Separate	10000000	0.8896474016751
Exp.4	Separate	25000	0.854265168602279
Exp.4	Separate	250000	0.889708053351168
Exp.4	Separate	50000	0.8817538090865
Exp.4	Separate	500000	0.902294539423964
Exp.4	Union	10000	0.813326805455102
Exp.4	Union	100000	0.894579746971702
Exp.4	Union	1000000	0.904037212876061
Exp.4	Union	10000000	0.916353383364892
Exp.4	Union	25000	0.851540961128075
Exp.4	Union	250000	0.89073722589262
Exp.4	Union	50000	0.891329512530966
Exp.4	Union	500000	0.903985914096294
Exp.4	Universal	10000	0.833716786233732
Exp.4	Universal	100000	0.892099125063807
Exp.4	Universal	1000000	0.907495900118978
Exp.4	Universal	10000000	0.903961220592245
Exp.4	Universal	25000	0.865369433575443
Exp.4	Universal	250000	0.894568916793555
Exp.4	Universal	50000	0.889454476413947
Exp.4	Universal	500000	0.907869196033848
