depth	res	pcc
5	1e+05	0.172603143134603
10	1e+05	0.292686884094423
15	1e+05	0.362794889954548
20	1e+05	0.37493466209456
25	1e+05	0.46672437004639
30	1e+05	0.581508662786777
35	1e+05	0.612524529371627
40	1e+05	0.633535887255461
45	1e+05	0.712146468238245
50	1e+05	0.75407424514006
55	1e+05	0.771104414847397
60	1e+05	0.801958116249244
65	1e+05	0.818726302752615
70	1e+05	0.824517242504378
75	1e+05	0.840758333917514
80	1e+05	0.870346593596944
85	1e+05	0.869571224797655
90	1e+05	0.860692705890288
95	1e+05	0.873766104298728
100	1e+05	0.882245798648283
5	1e+06	0.235983176220338
10	1e+06	0.525184125498213
15	1e+06	0.614027168964129
20	1e+06	0.677709702310962
25	1e+06	0.728126214622391
30	1e+06	0.770475611812692
35	1e+06	0.794502468122445
40	1e+06	0.840072936158299
45	1e+06	0.857834299121573
50	1e+06	0.873652335605955
55	1e+06	0.875267718779564
60	1e+06	0.872916886317279
65	1e+06	0.888772340996053
70	1e+06	0.895152051745299
75	1e+06	0.898176167713588
80	1e+06	0.902279846340633
85	1e+06	0.90857818895659
90	1e+06	0.91291940495708
95	1e+06	0.915795655343735
100	1e+06	0.917188723650889
