depth	res	variable	scc
5	1e+06	Exp.1	0.233357951527605
10	1e+06	Exp.1	0.459237411165576
15	1e+06	Exp.1	0.628960375511374
20	1e+06	Exp.1	0.742187236780204
25	1e+06	Exp.1	0.823075654258304
30	1e+06	Exp.1	0.868954254300459
35	1e+06	Exp.1	0.903952246161935
40	1e+06	Exp.1	0.928961380218479
45	1e+06	Exp.1	0.947611794175062
50	1e+06	Exp.1	0.960028727107708
55	1e+06	Exp.1	0.969699523436503
60	1e+06	Exp.1	0.977665806945424
65	1e+06	Exp.1	0.983291229782882
70	1e+06	Exp.1	0.98751456445246
75	1e+06	Exp.1	0.991055491261427
80	1e+06	Exp.1	0.993694333833189
85	1e+06	Exp.1	0.995636282186656
90	1e+06	Exp.1	0.997420794175127
95	1e+06	Exp.1	0.99864296881041
100	1e+06	Exp.1	1
5	1e+06	Exp.2	0.322561705715865
10	1e+06	Exp.2	0.534687918338435
15	1e+06	Exp.2	0.68436062014134
20	1e+06	Exp.2	0.781138824208707
25	1e+06	Exp.2	0.847098247704008
30	1e+06	Exp.2	0.88362222093505
35	1e+06	Exp.2	0.907496968765503
40	1e+06	Exp.2	0.926049182481509
45	1e+06	Exp.2	0.938371333332024
50	1e+06	Exp.2	0.945231040988498
55	1e+06	Exp.2	0.950091090687384
60	1e+06	Exp.2	0.953218824237726
65	1e+06	Exp.2	0.954601975746872
70	1e+06	Exp.2	0.955035478861436
75	1e+06	Exp.2	0.955645950702865
80	1e+06	Exp.2	0.954998974859118
85	1e+06	Exp.2	0.954530986492983
90	1e+06	Exp.2	0.9538889373223
95	1e+06	Exp.2	0.953473948973372
100	1e+06	Exp.2	0.952452031794082
5	1e+06	Exp.3	0.38208964734379
10	1e+06	Exp.3	0.56577803216765
15	1e+06	Exp.3	0.68197664098699
20	1e+06	Exp.3	0.753132538320479
25	1e+06	Exp.3	0.795200806095307
30	1e+06	Exp.3	0.815480633616202
35	1e+06	Exp.3	0.826969882231423
40	1e+06	Exp.3	0.834052789828382
45	1e+06	Exp.3	0.8398107084817
50	1e+06	Exp.3	0.844181829202419
55	1e+06	Exp.3	0.842818358316504
60	1e+06	Exp.3	0.842289119196075
65	1e+06	Exp.3	0.84087790411723
70	1e+06	Exp.3	0.840071884447638
75	1e+06	Exp.3	0.838285635734539
80	1e+06	Exp.3	0.835168355548795
85	1e+06	Exp.3	0.833342439009455
90	1e+06	Exp.3	0.831922774639766
95	1e+06	Exp.3	0.829257119290235
100	1e+06	Exp.3	0.82709249400235
5	1e+06	Exp.4	0.195891425948201
10	1e+06	Exp.4	0.376582411591241
15	1e+06	Exp.4	0.519585132870044
20	1e+06	Exp.4	0.621837561279465
25	1e+06	Exp.4	0.696391922841903
30	1e+06	Exp.4	0.738334395404996
35	1e+06	Exp.4	0.769219235169216
40	1e+06	Exp.4	0.795866752628972
45	1e+06	Exp.4	0.81511486239905
50	1e+06	Exp.4	0.82772321096225
55	1e+06	Exp.4	0.838914837128255
60	1e+06	Exp.4	0.848553192047769
65	1e+06	Exp.4	0.855865560903689
70	1e+06	Exp.4	0.861477612229679
75	1e+06	Exp.4	0.867080424273665
80	1e+06	Exp.4	0.870765256486223
85	1e+06	Exp.4	0.87318537064607
90	1e+06	Exp.4	0.877572208129791
95	1e+06	Exp.4	0.879672325247564
100	1e+06	Exp.4	0.880871597674703
