depth	res	variable	scc
5	1e+06	Exp.1	0.0519616530362119
10	1e+06	Exp.1	0.163055269630746
15	1e+06	Exp.1	0.280877659344999
20	1e+06	Exp.1	0.384656645471174
25	1e+06	Exp.1	0.446182859461737
30	1e+06	Exp.1	0.509831291125096
35	1e+06	Exp.1	0.558639164860123
40	1e+06	Exp.1	0.606898018274897
45	1e+06	Exp.1	0.641233054012917
50	1e+06	Exp.1	0.675624280544177
55	1e+06	Exp.1	0.705316400558512
60	1e+06	Exp.1	0.729214925715588
65	1e+06	Exp.1	0.747158564969406
70	1e+06	Exp.1	0.763012240255531
75	1e+06	Exp.1	0.777580494988561
80	1e+06	Exp.1	0.789527653708949
85	1e+06	Exp.1	0.79992781639051
90	1e+06	Exp.1	0.809950589528339
95	1e+06	Exp.1	0.818830341357132
100	1e+06	Exp.1	0.82709249400235
5	1e+06	Exp.2	0.10903184987438
10	1e+06	Exp.2	0.239448668655577
15	1e+06	Exp.2	0.363243729402063
20	1e+06	Exp.2	0.46710080797933
25	1e+06	Exp.2	0.532078306521809
30	1e+06	Exp.2	0.593897129881361
35	1e+06	Exp.2	0.643246651748157
40	1e+06	Exp.2	0.688224062447076
45	1e+06	Exp.2	0.718428116745496
50	1e+06	Exp.2	0.748440900912551
55	1e+06	Exp.2	0.77298808513435
60	1e+06	Exp.2	0.793237564350156
65	1e+06	Exp.2	0.807169591061056
70	1e+06	Exp.2	0.819758213496297
75	1e+06	Exp.2	0.831089794618138
80	1e+06	Exp.2	0.838317867507752
85	1e+06	Exp.2	0.845848459738918
90	1e+06	Exp.2	0.852255788869568
95	1e+06	Exp.2	0.857990154957653
100	1e+06	Exp.2	0.862354459892715
5	1e+06	Exp.3	0.17346122152738
10	1e+06	Exp.3	0.338854475138439
15	1e+06	Exp.3	0.484173397465108
20	1e+06	Exp.3	0.600499562812321
25	1e+06	Exp.3	0.678934417768104
30	1e+06	Exp.3	0.748620692380806
35	1e+06	Exp.3	0.802718683193161
40	1e+06	Exp.3	0.846922444553462
45	1e+06	Exp.3	0.878570656971301
50	1e+06	Exp.3	0.906434573228313
55	1e+06	Exp.3	0.929469171914575
60	1e+06	Exp.3	0.946947195129469
65	1e+06	Exp.3	0.960346271733777
70	1e+06	Exp.3	0.97075302996798
75	1e+06	Exp.3	0.979257337191411
80	1e+06	Exp.3	0.985819109988731
85	1e+06	Exp.3	0.991249098805041
90	1e+06	Exp.3	0.995149576890598
95	1e+06	Exp.3	0.997954344640197
100	1e+06	Exp.3	1
5	1e+06	Exp.4	0.124188020158861
10	1e+06	Exp.4	0.257971640909307
15	1e+06	Exp.4	0.37868177054573
20	1e+06	Exp.4	0.472196077174264
25	1e+06	Exp.4	0.532686313685987
30	1e+06	Exp.4	0.587963578030352
35	1e+06	Exp.4	0.627774732834711
40	1e+06	Exp.4	0.668566147937927
45	1e+06	Exp.4	0.695374728559227
50	1e+06	Exp.4	0.723142074317794
55	1e+06	Exp.4	0.744371089419914
60	1e+06	Exp.4	0.761157535320882
65	1e+06	Exp.4	0.772180223463837
70	1e+06	Exp.4	0.781353451898456
75	1e+06	Exp.4	0.788830088246713
80	1e+06	Exp.4	0.796320288107757
85	1e+06	Exp.4	0.802442777726945
90	1e+06	Exp.4	0.807440870844136
95	1e+06	Exp.4	0.81058156298403
100	1e+06	Exp.4	0.813186278276774
