res	variable	value
10000	median_reads	36
1e+05	median_reads	368
1e+06	median_reads	3791
1e+07	median_reads	36897.5
15000	median_reads	54
20000	median_reads	72
25000	median_reads	91
250000	median_reads	930
5000	median_reads	17
50000	median_reads	183
5e+05	median_reads	1868
5e+06	median_reads	18803
10000	median_sites	14
1e+05	median_sites	145
1e+06	median_sites	1454
1e+07	median_sites	13912.5
15000	median_sites	22
20000	median_sites	29
25000	median_sites	36
250000	median_sites	363
5000	median_sites	7
50000	median_sites	73
5e+05	median_sites	725
5e+06	median_sites	7081
10000	median_reads_per_site	2.47368421052632
1e+05	median_reads_per_site	2.54421768707483
1e+06	median_reads_per_site	2.62413576367065
1e+07	median_reads_per_site	2.73391248597654
15000	median_reads_per_site	2.5
20000	median_reads_per_site	2.5
25000	median_reads_per_site	2.51515151515152
250000	median_reads_per_site	2.56818181818182
5000	median_reads_per_site	2.4
50000	median_reads_per_site	2.52884615384615
5e+05	median_reads_per_site	2.58987341772152
5e+06	median_reads_per_site	2.67754460755266
10000	sd_reads_per_site	5.60225761718923
1e+05	sd_reads_per_site	9.68484606490204
1e+06	sd_reads_per_site	1.89165018317766
1e+07	sd_reads_per_site	3.39145018021954
15000	sd_reads_per_site	5.71776305395406
20000	sd_reads_per_site	5.44791346893046
25000	sd_reads_per_site	6.19497284936651
250000	sd_reads_per_site	7.77822212753451
5000	sd_reads_per_site	6.60556129519603
50000	sd_reads_per_site	7.35778711749897
5e+05	sd_reads_per_site	1.74616561387379
5e+06	sd_reads_per_site	2.50820956561046
