Var1	Var2	pearson	spearman	csm
Exp.1	Exp.1	1	1	Universal
Exp.2	Exp.1	0.966836671787344	0.946568899333356	Universal
Exp.3	Exp.1	0.861343308398208	0.908887779117491	Universal
Exp.4	Exp.1	0.913905389260435	0.910745253676413	Universal
Exp.1	Exp.2	0.966836671787344	0.946568899333356	Universal
Exp.2	Exp.2	1	1	Universal
Exp.3	Exp.2	0.831560373408967	0.857567836717138	Universal
Exp.4	Exp.2	0.916215201186537	0.910041239081746	Universal
Exp.1	Exp.3	0.861343308398208	0.908887779117491	Universal
Exp.2	Exp.3	0.831560373408967	0.857567836717138	Universal
Exp.3	Exp.3	1	1	Universal
Exp.4	Exp.3	0.856938393223882	0.800587647608302	Universal
Exp.1	Exp.4	0.913905389260435	0.910745253676413	Universal
Exp.2	Exp.4	0.916215201186537	0.910041239081746	Universal
Exp.3	Exp.4	0.856938393223882	0.800587647608302	Universal
Exp.4	Exp.4	1	1	Universal
Exp.1	Exp.1	1	1	Union
Exp.2	Exp.1	0.968203778351929	0.947925081310926	Union
Exp.3	Exp.1	0.869055052913446	0.911904896555277	Union
Exp.4	Exp.1	0.903763554039658	0.912029858985941	Union
Exp.1	Exp.2	0.968203778351929	0.947925081310926	Union
Exp.2	Exp.2	1	1	Union
Exp.3	Exp.2	0.842176083011877	0.862841946783074	Union
Exp.4	Exp.2	0.90906443242495	0.91109741336683	Union
Exp.1	Exp.3	0.869055052913446	0.911904896555277	Union
Exp.2	Exp.3	0.842176083011877	0.862841946783074	Union
Exp.3	Exp.3	1	1	Union
Exp.4	Exp.3	0.859503889552755	0.805552611905683	Union
Exp.1	Exp.4	0.903763554039658	0.912029858985941	Union
Exp.2	Exp.4	0.90906443242495	0.91109741336683	Union
Exp.3	Exp.4	0.859503889552755	0.805552611905683	Union
Exp.4	Exp.4	1	1	Union
Exp.1	Exp.1	1	1	Separate
Exp.2	Exp.1	0.976605019561871	0.957854995889036	Separate
Exp.3	Exp.1	0.904448353682702	0.846508582985339	Separate
Exp.4	Exp.1	0.93163430615565	0.894258573201687	Separate
Exp.1	Exp.2	0.976605019561871	0.957854995889036	Separate
Exp.2	Exp.2	1	1	Separate
Exp.3	Exp.2	0.911403590082272	0.877680570061236	Separate
Exp.4	Exp.2	0.932330823879872	0.894315091002678	Separate
Exp.1	Exp.3	0.904448353682702	0.846508582985339	Separate
Exp.2	Exp.3	0.911403590082272	0.877680570061236	Separate
Exp.3	Exp.3	1	1	Separate
Exp.4	Exp.3	0.89100007188062	0.834124684934799	Separate
Exp.1	Exp.4	0.93163430615565	0.894258573201687	Separate
Exp.2	Exp.4	0.932330823879872	0.894315091002678	Separate
Exp.3	Exp.4	0.89100007188062	0.834124684934799	Separate
Exp.4	Exp.4	1	1	Separate
Exp.1	Exp.1	1	1	Intersect
Exp.2	Exp.1	0.9860281858163	0.973151139292405	Intersect
Exp.3	Exp.1	0.911129470732126	0.899057197547984	Intersect
Exp.4	Exp.1	0.949017721256084	0.917965731479113	Intersect
Exp.1	Exp.2	0.9860281858163	0.973151139292405	Intersect
Exp.2	Exp.2	1	1	Intersect
Exp.3	Exp.2	0.908459382555361	0.903192956293211	Intersect
Exp.4	Exp.2	0.95396522672737	0.924219421925194	Intersect
Exp.1	Exp.3	0.911129470732126	0.899057197547984	Intersect
Exp.2	Exp.3	0.908459382555361	0.903192956293211	Intersect
Exp.3	Exp.3	1	1	Intersect
Exp.4	Exp.3	0.879885787069688	0.856867797692905	Intersect
Exp.1	Exp.4	0.949017721256084	0.917965731479113	Intersect
Exp.2	Exp.4	0.95396522672737	0.924219421925194	Intersect
Exp.3	Exp.4	0.879885787069688	0.856867797692905	Intersect
Exp.4	Exp.4	1	1	Intersect
