Var1	Var2	pearson	spearman	csm
Exp.1	Exp.1	1	1	Universal
Exp.2	Exp.1	0.248334713770618	0.788299877051154	Universal
Exp.3	Exp.1	0.261882877025285	0.740204989845074	Universal
Exp.4	Exp.1	0.446271160190039	0.712422916533582	Universal
Exp.1	Exp.2	0.248334713770618	0.788299877051154	Universal
Exp.2	Exp.2	1	1	Universal
Exp.3	Exp.2	0.134374056418616	0.668237309329969	Universal
Exp.4	Exp.2	0.238231194274579	0.688158214302297	Universal
Exp.1	Exp.3	0.261882877025285	0.740204989845074	Universal
Exp.2	Exp.3	0.134374056418616	0.668237309329969	Universal
Exp.3	Exp.3	1	1	Universal
Exp.4	Exp.3	0.491151304885607	0.720000684091675	Universal
Exp.1	Exp.4	0.446271160190039	0.712422916533582	Universal
Exp.2	Exp.4	0.238231194274579	0.688158214302297	Universal
Exp.3	Exp.4	0.491151304885607	0.720000684091675	Universal
Exp.4	Exp.4	1	1	Universal
Exp.1	Exp.1	1	1	Union
Exp.2	Exp.1	0.263700777306334	0.792612129775446	Union
Exp.3	Exp.1	0.299943278644947	0.74481722884604	Union
Exp.4	Exp.1	0.464079674197072	0.716107180791399	Union
Exp.1	Exp.2	0.263700777306334	0.792612129775446	Union
Exp.2	Exp.2	1	1	Union
Exp.3	Exp.2	0.155570139702697	0.675248797632816	Union
Exp.4	Exp.2	0.251209179311471	0.692623163658985	Union
Exp.1	Exp.3	0.299943278644947	0.74481722884604	Union
Exp.2	Exp.3	0.155570139702697	0.675248797632816	Union
Exp.3	Exp.3	1	1	Union
Exp.4	Exp.3	0.529799769060097	0.726194749070823	Union
Exp.1	Exp.4	0.464079674197072	0.716107180791399	Union
Exp.2	Exp.4	0.251209179311471	0.692623163658985	Union
Exp.3	Exp.4	0.529799769060097	0.726194749070823	Union
Exp.4	Exp.4	1	1	Union
Exp.1	Exp.1	1	1	Separate
Exp.2	Exp.1	0.00799556596295791	0.830291463511084	Separate
Exp.3	Exp.1	0.385337250135331	0.616942388755808	Separate
Exp.4	Exp.1	0.433840455149255	0.67332311188358	Separate
Exp.1	Exp.2	0.00799556596295791	0.830291463511084	Separate
Exp.2	Exp.2	1	1	Separate
Exp.3	Exp.2	-0.000546557181486038	0.62685140862879	Separate
Exp.4	Exp.2	-0.0058307315664883	0.660510591135826	Separate
Exp.1	Exp.3	0.385337250135331	0.616942388755808	Separate
Exp.2	Exp.3	-0.000546557181486038	0.62685140862879	Separate
Exp.3	Exp.3	1	1	Separate
Exp.4	Exp.3	0.718467866196629	0.709553175699596	Separate
Exp.1	Exp.4	0.433840455149255	0.67332311188358	Separate
Exp.2	Exp.4	-0.0058307315664883	0.660510591135826	Separate
Exp.3	Exp.4	0.718467866196629	0.709553175699596	Separate
Exp.4	Exp.4	1	1	Separate
Exp.1	Exp.1	1	1	Intersect
Exp.2	Exp.1	0.846442465675623	0.863450780068566	Intersect
Exp.3	Exp.1	0.33008449373305	0.700601491196685	Intersect
Exp.4	Exp.1	0.800060745663119	0.755330864260299	Intersect
Exp.1	Exp.2	0.846442465675623	0.863450780068566	Intersect
Exp.2	Exp.2	1	1	Intersect
Exp.3	Exp.2	0.309172811866145	0.687027805135046	Intersect
Exp.4	Exp.2	0.747978633236806	0.736575629310553	Intersect
Exp.1	Exp.3	0.33008449373305	0.700601491196685	Intersect
Exp.2	Exp.3	0.309172811866145	0.687027805135046	Intersect
Exp.3	Exp.3	1	1	Intersect
Exp.4	Exp.3	0.33027008154828	0.737609240065504	Intersect
Exp.1	Exp.4	0.800060745663119	0.755330864260299	Intersect
Exp.2	Exp.4	0.747978633236806	0.736575629310553	Intersect
Exp.3	Exp.4	0.33027008154828	0.737609240065504	Intersect
Exp.4	Exp.4	1	1	Intersect
