depth	res	variable	scc
5	1e+05	Exp.1	0.248154071715663
10	1e+05	Exp.1	0.390478342879876
15	1e+05	Exp.1	0.518941546518139
20	1e+05	Exp.1	0.618628464802848
25	1e+05	Exp.1	0.696989138071463
30	1e+05	Exp.1	0.753193911742744
35	1e+05	Exp.1	0.800495359999372
40	1e+05	Exp.1	0.837057394707461
45	1e+05	Exp.1	0.866556725020964
50	1e+05	Exp.1	0.889552962286989
55	1e+05	Exp.1	0.909785380974827
60	1e+05	Exp.1	0.926216344875031
65	1e+05	Exp.1	0.939680343841158
70	1e+05	Exp.1	0.951598007250604
75	1e+05	Exp.1	0.961807519798201
80	1e+05	Exp.1	0.970279339756407
85	1e+05	Exp.1	0.978126776122416
90	1e+05	Exp.1	0.985514969641556
95	1e+05	Exp.1	0.991883058623478
100	1e+05	Exp.1	1
5	1e+05	Exp.2	0.276436378386995
10	1e+05	Exp.2	0.393732076826106
15	1e+05	Exp.2	0.493681387693248
20	1e+05	Exp.2	0.571666697691568
25	1e+05	Exp.2	0.62761894210858
30	1e+05	Exp.2	0.668320584629427
35	1e+05	Exp.2	0.700149590890843
40	1e+05	Exp.2	0.727769910173519
45	1e+05	Exp.2	0.747299309274911
50	1e+05	Exp.2	0.760862105971569
55	1e+05	Exp.2	0.772074603507959
60	1e+05	Exp.2	0.77934546414087
65	1e+05	Exp.2	0.785411657385824
70	1e+05	Exp.2	0.790091139682762
75	1e+05	Exp.2	0.796230304766276
80	1e+05	Exp.2	0.799313690299159
85	1e+05	Exp.2	0.801438319859198
90	1e+05	Exp.2	0.803775311490035
95	1e+05	Exp.2	0.805257231011866
100	1e+05	Exp.2	0.806802863206275
5	1e+05	Exp.3	0.176325002983305
10	1e+05	Exp.3	0.258906999416021
15	1e+05	Exp.3	0.324162259728083
20	1e+05	Exp.3	0.375709221209445
25	1e+05	Exp.3	0.418446873161511
30	1e+05	Exp.3	0.447045068629829
35	1e+05	Exp.3	0.470887393999881
40	1e+05	Exp.3	0.492548493758361
45	1e+05	Exp.3	0.508086518748061
50	1e+05	Exp.3	0.518902126874672
55	1e+05	Exp.3	0.529999577887231
60	1e+05	Exp.3	0.537147930022535
65	1e+05	Exp.3	0.54463165122861
70	1e+05	Exp.3	0.55268564809324
75	1e+05	Exp.3	0.557710759465604
80	1e+05	Exp.3	0.560274832589667
85	1e+05	Exp.3	0.563423831111664
90	1e+05	Exp.3	0.567016745298858
95	1e+05	Exp.3	0.568085639369139
100	1e+05	Exp.3	0.570148187002422
5	1e+05	Exp.4	0.0846521954361458
10	1e+05	Exp.4	0.150922228970744
15	1e+05	Exp.4	0.230844456360598
20	1e+05	Exp.4	0.301586252108799
25	1e+05	Exp.4	0.362015273392325
30	1e+05	Exp.4	0.402468657435653
35	1e+05	Exp.4	0.440266442129231
40	1e+05	Exp.4	0.474172680003384
45	1e+05	Exp.4	0.501089797979106
50	1e+05	Exp.4	0.51970354593825
55	1e+05	Exp.4	0.541369096415042
60	1e+05	Exp.4	0.55746469474658
65	1e+05	Exp.4	0.571405122305659
70	1e+05	Exp.4	0.584241978982689
75	1e+05	Exp.4	0.596284598086342
80	1e+05	Exp.4	0.603822537607761
85	1e+05	Exp.4	0.611275905692036
90	1e+05	Exp.4	0.620045569479031
95	1e+05	Exp.4	0.626748517039407
100	1e+05	Exp.4	0.631751217468258
