depth	res	variable	scc
5	1e+05	Exp.1	0.0170758386216477
10	1e+05	Exp.1	0.0577179294808381
15	1e+05	Exp.1	0.0943719673234505
20	1e+05	Exp.1	0.140625844659198
25	1e+05	Exp.1	0.178749721698947
30	1e+05	Exp.1	0.219809760364167
35	1e+05	Exp.1	0.258169880742407
40	1e+05	Exp.1	0.295230973411994
45	1e+05	Exp.1	0.330567857378121
50	1e+05	Exp.1	0.364967106609565
55	1e+05	Exp.1	0.395672097889956
60	1e+05	Exp.1	0.42416941434273
65	1e+05	Exp.1	0.448356821059617
70	1e+05	Exp.1	0.473095249974197
75	1e+05	Exp.1	0.493601527989662
80	1e+05	Exp.1	0.511726114959306
85	1e+05	Exp.1	0.527325205941685
90	1e+05	Exp.1	0.542675498106325
95	1e+05	Exp.1	0.55736896280593
100	1e+05	Exp.1	0.570148187002422
5	1e+05	Exp.2	0.043674747178288
10	1e+05	Exp.2	0.0890342183319715
15	1e+05	Exp.2	0.132359146835173
20	1e+05	Exp.2	0.180224008016249
25	1e+05	Exp.2	0.219799792861973
30	1e+05	Exp.2	0.260322976442101
35	1e+05	Exp.2	0.304333344014647
40	1e+05	Exp.2	0.338868715480399
45	1e+05	Exp.2	0.373268860074271
50	1e+05	Exp.2	0.406889466162373
55	1e+05	Exp.2	0.434703134340414
60	1e+05	Exp.2	0.462825548236779
65	1e+05	Exp.2	0.484328096451941
70	1e+05	Exp.2	0.505838986848345
75	1e+05	Exp.2	0.522602637156109
80	1e+05	Exp.2	0.536720830288466
85	1e+05	Exp.2	0.54929917615541
90	1e+05	Exp.2	0.560951062235668
95	1e+05	Exp.2	0.573714218583184
100	1e+05	Exp.2	0.582553708079932
5	1e+05	Exp.3	0.129492878810082
10	1e+05	Exp.3	0.216791997661465
15	1e+05	Exp.3	0.295750174693937
20	1e+05	Exp.3	0.375725004560098
25	1e+05	Exp.3	0.446308568166253
30	1e+05	Exp.3	0.520175775856174
35	1e+05	Exp.3	0.590122705142935
40	1e+05	Exp.3	0.651832786376225
45	1e+05	Exp.3	0.706712284025679
50	1e+05	Exp.3	0.756576401437139
55	1e+05	Exp.3	0.800532591425638
60	1e+05	Exp.3	0.837754302237286
65	1e+05	Exp.3	0.869274296382021
70	1e+05	Exp.3	0.897773929024908
75	1e+05	Exp.3	0.921826299129897
80	1e+05	Exp.3	0.943069912184279
85	1e+05	Exp.3	0.961365073788988
90	1e+05	Exp.3	0.975992046266774
95	1e+05	Exp.3	0.988734149272213
100	1e+05	Exp.3	1
5	1e+05	Exp.4	0.0987264700808844
10	1e+05	Exp.4	0.164450022889069
15	1e+05	Exp.4	0.209362741508806
20	1e+05	Exp.4	0.257470402575402
25	1e+05	Exp.4	0.300036657001213
30	1e+05	Exp.4	0.34549711049971
35	1e+05	Exp.4	0.387623031045212
40	1e+05	Exp.4	0.426627737268675
45	1e+05	Exp.4	0.461520101845183
50	1e+05	Exp.4	0.496796462488821
55	1e+05	Exp.4	0.527515372682583
60	1e+05	Exp.4	0.554959867515318
65	1e+05	Exp.4	0.577369045035125
70	1e+05	Exp.4	0.597183798264711
75	1e+05	Exp.4	0.613172487285341
80	1e+05	Exp.4	0.628232465878214
85	1e+05	Exp.4	0.642560243384234
90	1e+05	Exp.4	0.6539870258417
95	1e+05	Exp.4	0.664406460983221
100	1e+05	Exp.4	0.672995427000991
