res	variable	value
10000	median_reads	11
1e+05	median_reads	127
1e+06	median_reads	1371.5
1e+07	median_reads	13383
15000	median_reads	16
20000	median_reads	22
25000	median_reads	29
250000	median_reads	329
5000	median_reads	7
50000	median_reads	61
5e+05	median_reads	677
5e+06	median_reads	6890
10000	median_sites	2
1e+05	median_sites	24
1e+06	median_sites	244
1e+07	median_sites	2401.5
15000	median_sites	4
20000	median_sites	5
25000	median_sites	6
250000	median_sites	60
5000	median_sites	1
50000	median_sites	12
5e+05	median_sites	122
5e+06	median_sites	1215.5
10000	median_reads_per_site	4.25
1e+05	median_reads_per_site	5.125
1e+06	median_reads_per_site	5.55114914818386
1e+07	median_reads_per_site	5.9673628729152
15000	median_reads_per_site	4.5
20000	median_reads_per_site	4.6
25000	median_reads_per_site	4.71428571428571
250000	median_reads_per_site	5.31686991869919
5000	median_reads_per_site	4
50000	median_reads_per_site	5
5e+05	median_reads_per_site	5.42857142857143
5e+06	median_reads_per_site	5.88827373514093
10000	sd_reads_per_site	14.0927278679339
1e+05	sd_reads_per_site	25.8079729313668
1e+06	sd_reads_per_site	5.81630865818696
1e+07	sd_reads_per_site	3.76073064956055
15000	sd_reads_per_site	14.3713672010425
20000	sd_reads_per_site	15.0786575468948
25000	sd_reads_per_site	15.5070387588908
250000	sd_reads_per_site	20.4092437251954
5000	sd_reads_per_site	14.0671176510472
50000	sd_reads_per_site	19.1931296075957
5e+05	sd_reads_per_site	6.03565947848699
5e+06	sd_reads_per_site	4.06728650516448
