chrom	size	dsn
chr1	249250621	0.3550775
chr2	243199373	0.287314
chr3	198022430	0.2635765
chr4	191154276	0.217138
chr5	180915260	0.26121925
chr6	171115067	0.259303
chr7	159138663	0.30668925
chr8	146364022	0.26127275
chr9:22	161353502	0.31327375
chr10	135534747	0.336347
chr11	135006516	0.3109805
chr12	133851895	0.3407215
chr13	115169878	0.2540125
chr14	107349540	0.3885405
chr15	102531392	0.479735
chr16	90354753	0.645617
chr17	81195210	0.72580525
chr18	78077248	0.3033525
chr19	59128983	0.8040665
chr20	63025520	0.595774
chr21	48129895	0.4683715
chr22:9	31164495	0.50299
chrX	155270560	0.2675645
