chrom	start	end	comp	layer	variable	value
chr1	700001	8e+05	A1	9	Methyl-RRBS	0.0035
chr1	800001	9e+05	A1	9	Methyl-RRBS	0.351135
chr1	900001	1e+06	A1	10	Methyl-RRBS	0.63473
chr1	1000001	1100000	A1	10	Methyl-RRBS	0.406425
chr1	1100001	1200000	A1	10	Methyl-RRBS	0.630455
chr1	1200001	1300000	A1	10	Methyl-RRBS	0.638065
chr1	1300001	1400000	A1	10	Methyl-RRBS	0.335575
chr1	1400001	1500000	A1	10	Methyl-RRBS	0.261215
chr1	1500001	1600000	A1	8	Methyl-RRBS	0.39151
chr1	1600001	1700000	A1	10	Methyl-RRBS	0.06509
chr1	1700001	1800000	A1	9	Methyl-RRBS	0.053755
chr1	1800001	1900000	A1	10	Methyl-RRBS	0.177525
chr1	1900001	2e+06	A1	10	Methyl-RRBS	0.239565
chr1	2000001	2100000	A1	10	Methyl-RRBS	0.093005
chr1	2100001	2200000	A1	10	Methyl-RRBS	0.23716
chr1	2200001	2300000	A1	10	Methyl-RRBS	0.21274
chr1	2300001	2400000	B1	10	Methyl-RRBS	0.24659
chr1	2400001	2500000	B1	10	Methyl-RRBS	0.30586
chr1	2500001	2600000	B1	10	Methyl-RRBS	0.140135
chr1	2700001	2800000	B1	10	Methyl-RRBS	0.147145
chr1	2800001	2900000	B1	10	Methyl-RRBS	0.0819
chr1	2900001	3e+06	B1	9	Methyl-RRBS	0.177285
chr1	3000001	3100000	B1	10	Methyl-RRBS	0.11241
chr1	3100001	3200000	B1	10	Methyl-RRBS	0.1358
chr1	3200001	3300000	B1	10	Methyl-RRBS	0.0729
chr1	3300001	3400000	B1	9	Methyl-RRBS	0.177805
chr1	3400001	3500000	B1	10	Methyl-RRBS	0.123375
chr1	3500001	3600000	B1	8	Methyl-RRBS	0.233985
chr1	3600001	3700000	A1	7	Methyl-RRBS	0.152015
chr1	3700001	3800000	A1	8	Methyl-RRBS	0.096775
chr1	4000001	4100000	B1	7	Methyl-RRBS	0.020645
chr1	4100001	4200000	B1	8	Methyl-RRBS	0.015025
chr1	4200001	4300000	B1	7	Methyl-RRBS	0.01298
chr1	4300001	4400000	B1	8	Methyl-RRBS	0.00268
chr1	4400001	4500000	B2	8	Methyl-RRBS	0.004175
chr1	4500001	4600000	B1	7	Methyl-RRBS	0.00839
chr1	4600001	4700000	B2	8	Methyl-RRBS	0.016295
chr1	4700001	4800000	B1	7	Methyl-RRBS	0.140115
chr1	4800001	4900000	B2	7	Methyl-RRBS	0.0056
chr1	4900001	5e+06	B2	6	Methyl-RRBS	0.00155
chr1	5000001	5100000	B2	6	Methyl-RRBS	0.00444
chr1	5100001	5200000	B1	7	Methyl-RRBS	0.00041
chr1	5200001	5300000	B1	6	Methyl-RRBS	0.003045
chr1	5300001	5400000	B2	7	Methyl-RRBS	0.004985
chr1	5400001	5500000	B1	7	Methyl-RRBS	0.000925
chr1	5500001	5600000	B1	7	Methyl-RRBS	0.01408
chr1	5600001	5700000	B1	7	Methyl-RRBS	0.00636
chr1	5700001	5800000	B1	8	Methyl-RRBS	0.02011
chr1	5800001	5900000	B1	8	Methyl-RRBS	0.0252
chr1	5900001	6e+06	B1	8	Methyl-RRBS	0.074415
chr1	6000001	6100000	B1	7	Methyl-RRBS	0.068795
chr1	6100001	6200000	B1	9	Methyl-RRBS	0.141375
chr1	6200001	6300000	A1	6	Methyl-RRBS	0.217605
chr1	6300001	6400000	A1	10	Methyl-RRBS	0.22709
chr1	6400001	6500000	A1	9	Methyl-RRBS	0.146155
chr1	6500001	6600000	A1	9	Methyl-RRBS	0.23133
chr1	6600001	6700000	A1	9	Methyl-RRBS	0.27517
chr1	6700001	6800000	A1	8	Methyl-RRBS	0.03133
chr1	6800001	6900000	A1	7	Methyl-RRBS	0.053215
chr1	6900001	7e+06	A2	7	Methyl-RRBS	0.00554
chr1	7000001	7100000	B1	9	Methyl-RRBS	0.0275
chr1	7100001	7200000	B1	8	Methyl-RRBS	0.01267
chr1	7200001	7300000	B1	6	Methyl-RRBS	0.01015
chr1	7300001	7400000	B1	8	Methyl-RRBS	0.001255
chr1	7400001	7500000	B1	8	Methyl-RRBS	0.005515
chr1	7500001	7600000	B1	9	Methyl-RRBS	0.03222
chr1	7600001	7700000	B1	8	Methyl-RRBS	0.021445
chr1	7700001	7800000	A2	8	Methyl-RRBS	0.115725
chr1	7800001	7900000	A1	7	Methyl-RRBS	0.075385
chr1	7900001	8e+06	A1	8	Methyl-RRBS	0.010815
chr1	8000001	8100000	A2	6	Methyl-RRBS	0.07951
chr1	8100001	8200000	A2	7	Methyl-RRBS	0.0051
chr1	8200001	8300000	A1	8	Methyl-RRBS	0.03538
chr1	8300001	8400000	A2	7	Methyl-RRBS	0.05879
chr1	8400001	8500000	A2	9	Methyl-RRBS	0.061875
chr1	8500001	8600000	A2	7	Methyl-RRBS	0.00407
chr1	8600001	8700000	A2	7	Methyl-RRBS	0.00097
chr1	8700001	8800000	A2	7	Methyl-RRBS	0.0253
chr1	8800001	8900000	A1	6	Methyl-RRBS	0.024085
chr1	8900001	9e+06	A1	8	Methyl-RRBS	0.043015
chr1	9000001	9100000	A1	7	Methyl-RRBS	0.042745
chr1	9100001	9200000	A1	7	Methyl-RRBS	0.062295
chr1	9200001	9300000	A1	10	Methyl-RRBS	0.063175
chr1	9300001	9400000	A2	9	Methyl-RRBS	0.096455
chr1	9400001	9500000	A1	8	Methyl-RRBS	0.032195
chr1	9500001	9600000	A1	8	Methyl-RRBS	0.02122
chr1	9600001	9700000	A1	8	Methyl-RRBS	0.120965
chr1	9700001	9800000	A1	9	Methyl-RRBS	0.104445
chr1	9800001	9900000	A1	7	Methyl-RRBS	0.071885
chr1	9900001	1e+07	A1	8	Methyl-RRBS	0.050045
chr1	10000001	10100000	A1	7	Methyl-RRBS	0.04529
chr1	10100001	10200000	A1	9	Methyl-RRBS	8e-05
chr1	10200001	10300000	A1	7	Methyl-RRBS	0.05368
chr1	10300001	10400000	A1	7	Methyl-RRBS	5e-06
chr1	10400001	10500000	A1	9	Methyl-RRBS	0.010505
chr1	10500001	10600000	A1	7	Methyl-RRBS	0.012165
chr1	10600001	10700000	A1	9	Methyl-RRBS	0.053965
chr1	10700001	10800000	A2	9	Methyl-RRBS	0.15323
chr1	10800001	10900000	A1	9	Methyl-RRBS	0.114465
chr1	10900001	1.1e+07	A1	9	Methyl-RRBS	0.05403
chr1	11000001	11100000	A1	10	Methyl-RRBS	0.05978
chr1	11100001	11200000	A1	8	Methyl-RRBS	0.062835
chr1	11200001	11300000	A1	8	Methyl-RRBS	0.009565
chr1	11300001	11400000	A1	9	Methyl-RRBS	0.035625
chr1	11400001	11500000	A2	8	Methyl-RRBS	0.009835
chr1	11500001	11600000	B1	9	Methyl-RRBS	0.06
chr1	11600001	11700000	B1	8	Methyl-RRBS	0.016035
chr1	11700001	11800000	A1	9	Methyl-RRBS	0.154715
chr1	11800001	11900000	A1	8	Methyl-RRBS	0.077695
chr1	11900001	1.2e+07	A1	7	Methyl-RRBS	0.072325
chr1	12000001	12100000	A1	8	Methyl-RRBS	0.04723
chr1	12100001	12200000	A2	8	Methyl-RRBS	0.034185
chr1	12200001	12300000	A2	8	Methyl-RRBS	0.072315
chr1	12300001	12400000	A2	6	Methyl-RRBS	1e-05
chr1	12400001	12500000	A2	6	Methyl-RRBS	0.000145
chr1	12500001	12600000	A2	7	Methyl-RRBS	0.01363
chr1	12600001	12700000	A2	7	Methyl-RRBS	0.101005
chr1	12700001	12800000	B1	6	Methyl-RRBS	0.001865
chr1	12800001	12900000	B1	6	Methyl-RRBS	0.0013
chr1	12900001	1.3e+07	B1	10	Methyl-RRBS	5e-06
chr1	13700001	13800000	A2	6	Methyl-RRBS	0
chr1	13800001	13900000	B1	7	Methyl-RRBS	0.031805
chr1	13900001	1.4e+07	A2	6	Methyl-RRBS	0.021905
chr1	14000001	14100000	A2	5	Methyl-RRBS	0.05071
chr1	14100001	14200000	B1	7	Methyl-RRBS	0.015765
chr1	14200001	14300000	B1	5	Methyl-RRBS	0.010775
chr1	14300001	14400000	B1	6	Methyl-RRBS	0.00098
chr1	14400001	14500000	B1	6	Methyl-RRBS	0
chr1	14500001	14600000	B1	5	Methyl-RRBS	2.5e-05
chr1	14600001	14700000	B1	6	Methyl-RRBS	8e-05
chr1	14700001	14800000	B1	6	Methyl-RRBS	0.00022
chr1	14800001	14900000	B1	6	Methyl-RRBS	0.002255
chr1	14900001	1.5e+07	B1	5	Methyl-RRBS	0.020485
chr1	15000001	15100000	B1	7	Methyl-RRBS	0.003415
chr1	15100001	15200000	B1	7	Methyl-RRBS	0.01117
chr1	15200001	15300000	B1	7	Methyl-RRBS	0.076755
chr1	15300001	15400000	A2	6	Methyl-RRBS	0.060845
chr1	15400001	15500000	A2	8	Methyl-RRBS	0.055975
chr1	15500001	15600000	A2	7	Methyl-RRBS	0.0213
chr1	15600001	15700000	A2	7	Methyl-RRBS	0.01306
