chrom	start	end	MboI
chr1	100000	1100000	2030
chr1	200000	1200000	2015
chr1	300000	1300000	2104
chr1	400000	1400000	2197
chr1	500000	1500000	2251
chr1	600000	1600000	2369
chr1	700000	1700000	2432
chr1	800000	1800000	2480
chr1	900000	1900000	2559
chr1	1000000	2000000	2581
chr1	1100000	2100000	2577
chr1	1200000	2200000	2648
chr1	1300000	2300000	2669
chr1	1400000	2400000	2617
chr1	1500000	2500000	2521
chr1	1600000	2600000	2408
chr1	1700000	2700000	2176
chr1	1800000	2800000	2032
chr1	1900000	2900000	1950
chr1	2000000	3000000	1903
chr1	2100000	3100000	1903
chr1	2200000	3200000	1846
chr1	2300000	3300000	1848
chr1	2400000	3400000	1827
chr1	2500000	3500000	1818
chr1	2600000	3600000	1840
chr1	2700000	3700000	2006
chr1	2800000	3800000	2105
chr1	2900000	3900000	2042
chr1	3000000	4000000	1835
chr1	3100000	4100000	1926
chr1	3200000	4200000	1975
chr1	3300000	4300000	2043
chr1	3400000	4400000	2062
chr1	3500000	4500000	2146
chr1	3600000	4600000	2137
chr1	3700000	4700000	2139
chr1	3800000	4800000	2061
chr1	3900000	4900000	2175
chr1	4000000	5000000	2392
chr1	4100000	5100000	2381
chr1	4200000	5200000	2349
chr1	4300000	5300000	2291
chr1	4400000	5400000	2348
chr1	4500000	5500000	2366
chr1	4600000	5600000	2377
chr1	4700000	5700000	2397
chr1	4800000	5800000	2444
chr1	4900000	5900000	2450
chr1	5000000	6000000	2485
chr1	5100000	6100000	2486
chr1	5200000	6200000	2503
chr1	5300000	6300000	2566
chr1	5400000	6400000	2527
chr1	5500000	6500000	2605
chr1	5600000	6600000	2656
chr1	5700000	6700000	2688
chr1	5800000	6800000	2763
chr1	5900000	6900000	2832
chr1	6000000	7000000	2827
chr1	6100000	7100000	2801
chr1	6200000	7200000	2818
chr1	6300000	7300000	2773
chr1	6400000	7400000	2818
chr1	6500000	7500000	2726
chr1	6600000	7600000	2651
chr1	6700000	7700000	2620
chr1	6800000	7800000	2547
chr1	6900000	7900000	2503
chr1	7000000	8000000	2571
chr1	7100000	8100000	2616
chr1	7200000	8200000	2706
chr1	7300000	8300000	2799
chr1	7400000	8400000	2842
chr1	7500000	8500000	2836
chr1	7600000	8600000	2914
chr1	7700000	8700000	2918
chr1	7800000	8800000	2944
chr1	7900000	8900000	2998
chr1	8000000	9000000	3022
chr1	8100000	9100000	3079
chr1	8200000	9200000	3043
chr1	8300000	9300000	3027
