chrom	start	end	gpseq_score	damid_sig_over_ctrl
chr1	100001	2e+05		0
chr1	200001	3e+05	2.81346094028773	-0.0724600434303284
chr1	300001	4e+05		0
chr1	400001	5e+05		0
chr1	500001	6e+05		0.0490931493462995
chr1	600001	7e+05		0
chr1	700001	8e+05	1.90430421035874	-0.749948187172413
chr1	800001	9e+05	1.70054375671695	-1.58954686820507
chr1	900001	1e+06	1.93527062880032	-1.12664243280888
chr1	1000001	1100000	2.12457780882084	-0.815903435647488
chr1	1100001	1200000	2.23009143221197	-0.895140127837658
chr1	1200001	1300000	2.71364608182313	-1.0468249797821
chr1	1300001	1400000	1.98801878437933	-1.61948650181294
chr1	1400001	1500000	2.00969711472752	-1.42569893300533
chr1	1500001	1600000	1.65350307327881	-1.35587295591831
chr1	1600001	1700000	1.98384098049964	-1.15301056057215
chr1	1700001	1800000	1.7514294381012	-1.95176966786385
chr1	1800001	1900000	2.00844385868681	-1.39752985388041
chr1	1900001	2e+06	2.11714496674246	-1.21623553335667
chr1	2000001	2100000	1.9451382713911	-0.912246331572533
chr1	2100001	2200000	2.0871334068167	-1.59172910153866
chr1	2200001	2300000	1.93109046948603	-0.883660455048084
chr1	2300001	2400000	2.22358781692378	-1.0098911345005
chr1	2400001	2500000	2.11568016445983	-0.764315968751907
chr1	2500001	2600000	1.90746084617862	-1.05285651385784
chr1	2600001	2700000	2.3824757604837	-0.106881898641586
chr1	2700001	2800000	2.11368725936614	-0.602933487296104
chr1	2800001	2900000	1.97043895176158	-0.602035750821233
chr1	2900001	3e+06	1.79533940971767	-0.899632777273655
chr1	3000001	3100000	1.96915777285376	-1.08077017515898
chr1	3100001	3200000	2.04781696803865	-1.00084007233381
chr1	3200001	3300000	2.23684982099184	-1.15342993736267
chr1	3300001	3400000	1.84767425131565	-1.03029523938894
chr1	3400001	3500000	1.93933236429699	-0.605966092646122
chr1	3500001	3600000	1.66317816274148	-1.37554180324078
chr1	3600001	3700000	1.65381457714989	-1.12833494991064
chr1	3700001	3800000	1.70918961556668	-1.35080148428679
chr1	3800001	3900000	1.62922168888644	-0.417408689856529
chr1	3900001	4e+06	1.69289109171751	-0.0318194955587387
chr1	4000001	4100000	1.65603921368899	-0.449726485833526
chr1	4100001	4200000	1.71561672445176	-0.074169533001259
chr1	4200001	4300000	1.6514285196134	0.250669283699244
chr1	4300001	4400000	1.70761897598324	0.397364103794098
chr1	4400001	4500000	1.74149380832959	0.284542476758361
chr1	4500001	4600000	1.62548261145442	-0.0346443830756471
chr1	4600001	4700000	1.70650948937006	0.258979386277497
chr1	4700001	4800000	1.67992089231255	-0.0881749239051715
chr1	4800001	4900000	1.67600288247234	0.171269845217466
chr1	4900001	5e+06	1.57175253072144	0.49203897845
chr1	5000001	5100000	1.55982869802595	0.418349085189402
chr1	5100001	5200000	1.67486780246541	0.68476496534422
chr1	5200001	5300000	1.55496110562092	0.527627599239349
chr1	5300001	5400000	1.6913587771407	0.287680912390351
chr1	5400001	5500000	1.66387312022581	0.081725518219173
chr1	5500001	5600000	1.60701778231815	-0.141853692755103
chr1	5600001	5700000	1.62371181259203	0.187182355858386
chr1	5700001	5800000	1.69490186551518	-0.351723236590624
chr1	5800001	5900000	1.78007600529423	-0.535657559707761
chr1	5900001	6e+06	1.72981040599112	-1.27061018198729
chr1	6000001	6100000	1.65568114093944	-1.1363690674305
chr1	6100001	6200000	1.79601922075249	-1.24674794077873
chr1	6200001	6300000	1.50948539518673	-1.94792168438435
chr1	6300001	6400000	1.99304591001104	-1.15200748592615
chr1	6400001	6500000	1.7765119768119	-2.00137588977814
chr1	6500001	6600000	1.75219915135917	-1.42371771782637
chr1	6600001	6700000	1.78259073356543	-1.47648498415947
chr1	6700001	6800000	1.70096460165236	-1.64201913177967
chr1	6800001	6900000	1.63726261245702	-1.75714429914951
chr1	6900001	7e+06	1.63255234963791	-1.40997820794582
chr1	7000001	7100000	1.83545328999479	-0.982076551765203
chr1	7100001	7200000	1.75205443370154	-0.726953381299973
chr1	7200001	7300000	1.59482030700207	-0.580237343721092
chr1	7300001	7400000	1.73818512231813	-0.752427537739277
chr1	7400001	7500000	1.73740915450076	-0.56566177457571
chr1	7500001	7600000	1.85359556034903	-1.04282921105623
chr1	7600001	7700000	1.72927634102179	-1.06141526848078
chr1	7700001	7800000	1.75660248531921	-1.40427024960518
chr1	7800001	7900000	1.6444223919926	-1.26018355637789
chr1	7900001	8e+06	1.69776972512523	-1.205181632936
chr1	8000001	8100000	1.5613742056064	-1.50997371822596
chr1	8100001	8200000	1.67052290508278	-1.25738620460033
chr1	8200001	8300000	1.71969293336488	-1.23142796816537
chr1	8300001	8400000	1.67673168407029	-1.34054339230061
chr1	8400001	8500000	1.81065022881282	-1.71393980234861
chr1	8500001	8600000	1.62288210852454	-1.79424075037241
chr1	8600001	8700000	1.60792167775927	-1.54686421900988
chr1	8700001	8800000	1.57471254454185	-1.81822101473808
chr1	8800001	8900000	1.5323634652295	-1.70794757902622
chr1	8900001	9e+06	1.72735975355916	-2.11742517948151
chr1	9000001	9100000	1.61810852796826	-1.53928089141846
chr1	9100001	9200000	1.59283386065161	-1.73239065110683
chr1	9200001	9300000	1.9893942492476	-1.67124017179012
chr1	9300001	9400000	1.80231297925305	-1.78948492109776
chr1	9400001	9500000	1.77489949430608	-1.49037185311317
chr1	9500001	9600000	1.73194559848301	-1.50729153752327
chr1	9600001	9700000	1.64734591780211	-1.77064009308815
chr1	9700001	9800000	1.78199116219456	-1.60693931877613
chr1	9800001	9900000	1.6462687691012	-2.05510689020157
chr1	9900001	1e+07	1.76391048794063	-1.65637797117233
chr1	10000001	10100000	1.64247746094675	-1.56145071387291
chr1	10100001	10200000	1.83776968087434	-1.93103920221329
chr1	10200001	10300000	1.58420462243019	-1.64748229384422
chr1	10300001	10400000	1.66106852745147	-1.88816729784012
chr1	10400001	10500000	1.82271468639923	-1.97173998057842
chr1	10500001	10600000	1.66810109779219	-2.06695522069931
chr1	10600001	10700000	1.77441466229554	-1.55969254672527
chr1	10700001	10800000	1.86460732568559	-1.30484171658754
chr1	10800001	10900000	1.84985391772421	-1.77505370974541
chr1	10900001	1.1e+07	1.87207185345902	-1.37844676673412
chr1	11000001	11100000	1.93613964483752	-1.83848405182362
chr1	11100001	11200000	1.69722451953135	-1.70575182139874
chr1	11200001	11300000	1.78699722171653	-1.43778109997511
chr1	11300001	11400000	1.79935635601109	-1.59128024280071
chr1	11400001	11500000	1.78187958869718	-1.47893377095461
chr1	11500001	11600000	1.78031518784638	-1.05172243565321
chr1	11600001	11700000	1.80433500827279	-1.20179568082094
chr1	11700001	11800000	1.80023304633954	-1.904132771492
chr1	11800001	11900000	1.70867467599388	-1.34885839223862
chr1	11900001	1.2e+07	1.64544592695218	-1.60798498988152
chr1	12000001	12100000	1.71940134497002	-1.7135881125927
chr1	12100001	12200000	1.76931261768489	-1.42551597356796
chr1	12200001	12300000	1.68016339871283	-1.41454978883266
chr1	12300001	12400000	1.52841460464793	-1.42503761351109
chr1	12400001	12500000	1.55417507681036	-1.46648195683956
chr1	12500001	12600000	1.59042658341518	-1.24385019540787
chr1	12600001	12700000	1.65799820119136	-1.45686230957508
chr1	12700001	12800000	1.53295846331299	-0.404986457061023
chr1	12800001	12900000	1.57312016837591	0.0176759991794825
chr1	12900001	1.3e+07	1.98858380262998	0.130174140552845
chr1	13000001	13100000	1.52258076217618	-0.00697826184332371
chr1	13100001	13200000	1.75806573136098	0.0600503779947758
chr1	13200001	13300000	1.40522406561535	0.0212359599769115
chr1	13300001	13400000		0.0145537704229355
chr1	13400001	13500000		0
chr1	13500001	13600000	1.99152470926409	-0.0332955397665501
chr1	13600001	13700000		0
chr1	13700001	13800000	1.455917309692	-0.125161205604672
chr1	13800001	13900000	1.5637493024072	-0.611721622943878
chr1	13900001	1.4e+07	1.49695792753424	-1.3076468475163
chr1	14000001	14100000	1.42577645439601	-1.27963657677174
chr1	14100001	14200000	1.64163243053151	-0.549034282192588
chr1	14200001	14300000	1.50722149436641	0.179398885171395
chr1	14300001	14400000	1.53708112702247	0.36119122527889
chr1	14400001	14500000	1.57033470701373	0.294480153173208
chr1	14500001	14600000	1.51520785517563	0.450210087001324
chr1	14600001	14700000	1.54511823057358	0.371045370260254
chr1	14700001	14800000	1.54348580427246	-0.380914934445173
chr1	14800001	14900000	1.5607789512822	-0.986171804182231
chr1	14900001	1.5e+07	1.47982652331891	-0.850973975844681
chr1	15000001	15100000	1.63691422845236	-0.506824543699622
chr1	15100001	15200000	1.69821662561485	-0.35907177478075
chr1	15200001	15300000	1.62727871670093	-1.06619536578655
chr1	15300001	15400000	1.59608910521218	-1.1937576726079
chr1	15400001	15500000	1.64286173378258	-1.47433206140995
chr1	15500001	15600000	1.57190321029387	-1.25116306841373
chr1	15600001	15700000	1.63021340781116	-1.49709331095219
chr1	15700001	15800000	1.64161268156845	-1.86730686426163
chr1	15800001	15900000	1.74545125037982	-1.32354717552662
chr1	15900001	1.6e+07	1.74704445003408	-1.66957922279835
chr1	16000001	16100000	1.72686705814116	-1.77627267539501
chr1	16100001	16200000	1.76290921136147	-1.7473995860666
chr1	16200001	16300000	1.62487607677608	-1.92401574254036
chr1	16300001	16400000	1.86767750203992	-1.78527126908302
chr1	16400001	16500000	1.8552279027272	-1.78586998283863
chr1	16500001	16600000	1.73499721327677	-1.75817962288857
chr1	16600001	16700000	1.60080101185429	-1.80495131909847
chr1	16700001	16800000	1.82753299731098	-1.78404890596867
chr1	16800001	16900000	1.72881499905653	-1.37342062145472
chr1	16900001	1.7e+07	2.3572761937244	-1.52634805887938
chr1	17000001	17100000	1.85299748408943	-1.12573517411947
chr1	17100001	17200000	4.65481925397736	-0.42778954654932
chr1	17200001	17300000	1.88695696601796	-1.27338551878929
chr1	17300001	17400000	1.83637293912289	-1.73796862363815
chr1	17400001	17500000	1.97636208967593	-1.33434419333935
chr1	17500001	17600000	1.94539831198168	-1.30074661374092
chr1	17600001	17700000	1.96692972435695	-1.41560397446156
chr1	17700001	17800000	1.83658713112789	-2.21105955839157
chr1	17800001	17900000	1.87708304012086	-1.94703404307365
chr1	17900001	1.8e+07	1.80799908079938	-1.51743275374174
chr1	18000001	18100000	1.84351745494888	-1.33193756490946
