chrom	dsn
chr1	0.219761
chr2	0.272193
chr3	0.5703
chr4	0.384677
chr5	0.498733
chr6	0.399305
chr7	0.274222
chr8	0.34241
chr9:22	0.3858385
chr10	0.3028845
chr11	0.430538
chr12	0.259115
chr13	0.434716
chr14	0.274137
chr15	0.396413
chr16	0.541707
chr17	0.340393
chr18	0.234338
chr19	0.357106
chr20	0.456643
chr21	0.562933
chr22:9	0.7130725
chrX	0.244242
chr1	0.438453
chr2	0.410833
chr3	0.295095
chr4	0.33541
chr5	0.246785
chr6	0.311929
chr7	0.3639715
chr8	0.4253105
chr9:22	0.378683
chr10	0.5004515
chr11	0.2055765
chr12	0.1826655
chr13	0.376629
chr14	0.256673
chr15	0.515669
chr16	0.452963
chr17	0.4188735
chr18	0.283371
chr19	0.232969
chr20	0.537235
chr21	0.495766
chr22:9	0.4914835
chrX	0.317438
chr1	0.41857
chr2	0.307097
chr3	0.405939
chr4	0.425934
chr5	0.5834435
chr6	0.449984
chr7	0.38709
chr8	0.364596
chr9:22	0.341582
chr10	0.381132
chr11	0.30906
chr12	0.2521905
chr13	0.273865
chr14	0.36745
chr15	0.676899
chr16	0.412734
chr17	0.326867
chr18	0.267982
chr19	0.693772
chr20	0.299465
chr21	0.246346
chr22:9	0.2349135
chrX	0.298966
chr1	0.429799
chr2	0.334958
chr3	0.382235
chr4	0.202144
chr5	0.4163545
chr6	0.228462
chr7	0.395135
chr8	0.2929115
chr9:22	0.3543495
chr10	0.434001
chr11	0.4272845
chr12	0.329384
chr13	0.318507
chr14	0.312543
chr15	0.375458
chr16	0.345571
chr17	0.3469795
chr18	0.338841
chr19	0.194789
chr20	0.390184
chr21	0.430997
chr22:9	0.555334
chrX	0.550958
chr1	0.301157
chr2	0.317539
chr3	0.446628
chr4	0.317604
chr5	0.233871
chr6	0.28208
chr7	0.4229655
chr8	0.397008
chr9:22	0.3367975
chr10	0.4889745
chr11	0.243249
chr12	0.4073195
chr13	0.336298
chr14	0.344203
chr15	0.406615
chr16	0.504266
chr17	0.397788
chr18	0.291045
chr19	0.309461
chr20	0.560262
chr21	0.71242
chr22:9	0.651556
chrX	0.231578
chr1	0.453059
chr2	0.253414
chr3	0.249951
chr4	0.409413
chr5	0.360556
chr6	0.283026
chr7	0.565938
chr8	0.2349235
chr9:22	0.3654705
chr10	0.3630185
chr11	0.3552385
chr12	0.2918415
chr13	0.334635
chr14	0.310616
chr15	0.426946
chr16	0.637141
chr17	0.2596475
chr18	0.370619
chr19	0.536787
chr20	0.383209
chr21	0.714715
chr22:9	0.54551
chrX	0.292772
chr1	0.483736
chr2	0.36651
chr3	0.380666
chr4	0.421814
chr5	0.575025
chr6	0.391687
chr7	0.3097395
chr8	0.2836745
chr9:22	0.348109
chr10	0.2736685
chr11	0.258587
chr12	0.3058815
chr13	0.268687
chr14	0.378641
chr15	0.3445835
chr16	0.39471
chr17	0.439622
chr18	0.233832
chr19	0.234697
chr20	0.306734
chr21	0.568601
chr22:9	0.571045
chrX	0.336331
chr1	0.452177
chr2	0.341562
chr3	0.333248
chr4	0.212184
chr5	0.2424175
chr6	0.297291
chr7	0.5761775
chr8	0.363492
chr9:22	0.2609855
chr10	0.3096875
chr11	0.398702
chr12	0.301399
chr13	0.315615
chr14	0.406212
chr15	0.7114535
chr16	0.276813
chr17	0.459207
chr18	0.414903
chr19	0.511367
chr20	0.387635
chr21	0.635702
chr22:9	0.473895
chrX	0.331027
chr1	0.373353
chr2	0.289619
chr3	0.263055
chr4	0.482869
chr5	0.5438895
chr6	0.296514
chr7	0.315865
chr8	0.410457
chr9:22	0.494987
chr10	0.476746
chr11	0.2169735
chr12	0.2373895
chr13	0.388685
chr14	0.307574
chr15	0.3706385
chr16	0.37285
chr17	0.2574775
chr18	0.355832
chr19	0.242057
chr20	0.373625
chr21	0.51685
chr22:9	0.4972415
chrX	0.311631
chr1	0.317926
chr2	0.382774
chr3	0.39035
chr4	0.519006
chr5	0.3383495
chr6	0.348816
chr7	0.4233205
chr8	0.3305165
chr9:22	0.36645
chr10	0.5514895
chr11	0.693276
chr12	0.229131
chr13	0.389389
chr14	0.36909
chr15	0.3881815
chr16	0.344634
chr17	0.2450035
chr18	0.222294
chr19	0.23464
chr20	0.437667
chr21	0.346441
chr22:9	0.483827
chrX	0.202409
chr1	0.391121
chr2	0.269306
chr3	0.437
chr4	0.373807
chr5	0.280408
chr6	0.415666
chr7	0.2975745
chr8	0.228758
chr9:22	0.3930745
chr10	0.2811125
chr11	0.3424305
chr12	0.338636
chr13	0.248549
chr14	0.393017
chr15	0.4038
chr16	0.329707
chr17	0.4197805
chr18	0.389353
chr19	0.210375
chr20	0.594931
chr21	0.544898
chr22:9	0.54734
chrX	0.400834
chr1	0.449829
chr2	0.346921
chr3	0.350837
chr4	0.291042
chr5	0.3649925
chr6	0.403605
chr7	0.2397305
chr8	0.276664
chr9:22	0.377816
chr10	0.3442775
chr11	0.24111
chr12	0.3170105
chr13	0.475601
chr14	0.327365
chr15	0.3757585
chr16	0.385677
chr17	0.6142715
chr18	0.215584
chr19	0.256356
chr20	0.47979
chr21	0.655227
chr22:9	0.338502
chrX	0.368003
chr1	0.515657
chr2	0.338926
chr3	0.256522
chr4	0.234198
chr5	0.305487
chr6	0.315088
chr7	0.247073
chr8	0.358048
chr9:22	0.5787985
chr10	0.545542
chr11	0.4471195
chr12	0.2626315
chr13	0.473536
chr14	0.350662
chr15	0.4028995
