chrom	start	end	HindIII
chr1	100000	1100000	220
chr1	200000	1200000	199
chr1	300000	1300000	185
chr1	400000	1400000	173
chr1	500000	1500000	164
chr1	600000	1600000	153
chr1	700000	1700000	133
chr1	800000	1800000	123
chr1	900000	1900000	125
chr1	1000000	2000000	132
chr1	1100000	2100000	135
chr1	1200000	2200000	144
chr1	1300000	2300000	157
chr1	1400000	2400000	156
chr1	1500000	2500000	151
chr1	1600000	2600000	148
chr1	1700000	2700000	134
chr1	1800000	2800000	133
chr1	1900000	2900000	132
chr1	2000000	3000000	134
chr1	2100000	3100000	127
chr1	2200000	3200000	123
chr1	2300000	3300000	117
chr1	2400000	3400000	121
chr1	2500000	3500000	129
chr1	2600000	3600000	131
chr1	2700000	3700000	140
chr1	2800000	3800000	148
chr1	2900000	3900000	139
chr1	3000000	4000000	124
chr1	3100000	4100000	131
chr1	3200000	4200000	147
chr1	3300000	4300000	163
chr1	3400000	4400000	163
chr1	3500000	4500000	162
chr1	3600000	4600000	169
chr1	3700000	4700000	188
chr1	3800000	4800000	188
chr1	3900000	4900000	203
chr1	4000000	5000000	233
chr1	4100000	5100000	254
chr1	4200000	5200000	256
chr1	4300000	5300000	262
chr1	4400000	5400000	272
chr1	4500000	5500000	281
chr1	4600000	5600000	284
chr1	4700000	5700000	283
chr1	4800000	5800000	286
chr1	4900000	5900000	286
chr1	5000000	6000000	271
chr1	5100000	6100000	252
chr1	5200000	6200000	243
chr1	5300000	6300000	224
chr1	5400000	6400000	213
chr1	5500000	6500000	198
chr1	5600000	6600000	187
chr1	5700000	6700000	173
chr1	5800000	6800000	179
chr1	5900000	6900000	181
chr1	6000000	7000000	191
chr1	6100000	7100000	188
chr1	6200000	7200000	187
chr1	6300000	7300000	194
chr1	6400000	7400000	200
chr1	6500000	7500000	207
chr1	6600000	7600000	214
chr1	6700000	7700000	215
chr1	6800000	7800000	208
chr1	6900000	7900000	204
chr1	7000000	8000000	203
chr1	7100000	8100000	207
chr1	7200000	8200000	206
chr1	7300000	8300000	209
chr1	7400000	8400000	205
chr1	7500000	8500000	219
chr1	7600000	8600000	229
chr1	7700000	8700000	252
chr1	7800000	8800000	270
chr1	7900000	8900000	273
chr1	8000000	9000000	262
chr1	8100000	9100000	257
chr1	8200000	9200000	253
chr1	8300000	9300000	245
chr1	8400000	9400000	247
chr1	8500000	9500000	237
chr1	8600000	9600000	219
chr1	8700000	9700000	208
chr1	8800000	9800000	183
chr1	8900000	9900000	179
chr1	9000000	10000000	180
chr1	9100000	10100000	184
chr1	9200000	10200000	196
chr1	9300000	10300000	202
chr1	9400000	10400000	216
chr1	9500000	10500000	211
chr1	9600000	10600000	228
chr1	9700000	10700000	220
chr1	9800000	10800000	222
chr1	9900000	10900000	215
chr1	10000000	11000000	211
chr1	10100000	11100000	203
chr1	10200000	11200000	196
chr1	10300000	11300000	196
chr1	10400000	11400000	184
chr1	10500000	11500000	188
chr1	10600000	11600000	183
chr1	10700000	11700000	181
chr1	10800000	11800000	185
chr1	10900000	11900000	190
chr1	11000000	12000000	196
chr1	11100000	12100000	196
chr1	11200000	12200000	196
chr1	11300000	12300000	188
chr1	11400000	12400000	203
chr1	11500000	12500000	210
chr1	11600000	12600000	209
chr1	11700000	12700000	204
chr1	11800000	12800000	207
chr1	11900000	12900000	225
chr1	12000000	13000000	239
chr1	12100000	13100000	249
chr1	12200000	13200000	266
chr1	12300000	13300000	258
chr1	12400000	13400000	244
chr1	12500000	13500000	251
chr1	12600000	13600000	245
chr1	12700000	13700000	265
chr1	12800000	13800000	270
chr1	12900000	13900000	254
chr1	13000000	14000000	246
chr1	13100000	14100000	258
chr1	13200000	14200000	244
chr1	13300000	14300000	263
chr1	13400000	14400000	280
chr1	13500000	14500000	274
chr1	13600000	14600000	293
chr1	13700000	14700000	290
chr1	13800000	14800000	293
chr1	13900000	14900000	310
chr1	14000000	15000000	311
chr1	14100000	15100000	304
chr1	14200000	15200000	305
chr1	14300000	15300000	305
chr1	14400000	15400000	278
chr1	14500000	15500000	275
chr1	14600000	15600000	255
chr1	14700000	15700000	247
chr1	14800000	15800000	232
chr1	14900000	15900000	210
chr1	15000000	16000000	222
chr1	15100000	16100000	208
chr1	15200000	16200000	202
chr1	15300000	16300000	201
chr1	15400000	16400000	200
chr1	15500000	16500000	188
chr1	15600000	16600000	190
chr1	15700000	16700000	192
chr1	15800000	16800000	199
chr1	15900000	16900000	218
chr1	16000000	17000000	198
chr1	16100000	17100000	206
chr1	16200000	17200000	199
chr1	16300000	17300000	201
chr1	16400000	17400000	205
chr1	16500000	17500000	204
chr1	16600000	17600000	208
chr1	16700000	17700000	202
chr1	16800000	17800000	196
chr1	16900000	17900000	181
chr1	17000000	18000000	181
chr1	17100000	18100000	183
