chrom	start	end	GC_percentage	MboI
chr1	100001	1100000	0.41534	2030
chr1	200001	1200000	0.44295	2015
chr1	300001	1300000	0.490696	2104
chr1	400001	1400000	0.513806	2197
chr1	500001	1500000	0.539158	2251
chr1	600001	1600000	0.560375	2369
chr1	700001	1700000	0.572964	2432
chr1	800001	1800000	0.576037	2480
chr1	900001	1900000	0.574739	2559
chr1	1000001	2000000	0.568915	2581
chr1	1100001	2100000	0.564771	2577
chr1	1200001	2200000	0.561404	2648
chr1	1300001	2300000	0.557499	2669
chr1	1400001	2400000	0.561257	2617
chr1	1500001	2500000	0.567003	2521
chr1	1600001	2600000	0.567493	2408
chr1	1700001	2700000	0.542768	2176
chr1	1800001	2800000	0.552793	2032
chr1	1900001	2900000	0.554838	1950
chr1	2000001	3000000	0.553133	1903
chr1	2100001	3100000	0.555209	1903
chr1	2200001	3200000	0.554009	1846
chr1	2300001	3300000	0.551361	1848
chr1	2400001	3400000	0.54972	1827
chr1	2500001	3500000	0.548165	1818
chr1	2600001	3600000	0.548345	1840
chr1	2700001	3700000	0.577231	2006
chr1	2800001	3800000	0.570118	2105
chr1	2900001	3900000	0.536516	2042
chr1	3000001	4000000	0.484134	1835
chr1	3100001	4100000	0.475518	1926
chr1	3200001	4200000	0.469213	1975
chr1	3300001	4300000	0.459401	2043
chr1	3400001	4400000	0.447373	2062
chr1	3500001	4500000	0.433135	2146
chr1	3600001	4600000	0.423915	2137
chr1	3700001	4700000	0.413212	2139
chr1	3800001	4800000	0.415932	2061
chr1	3900001	4900000	0.439733	2175
chr1	4000001	5000000	0.482201	2392
chr1	4100001	5100000	0.47706	2381
chr1	4200001	5200000	0.467599	2349
chr1	4300001	5300000	0.463551	2291
chr1	4400001	5400000	0.464267	2348
chr1	4500001	5500000	0.464637	2366
chr1	4600001	5600000	0.465931	2377
chr1	4700001	5700000	0.461821	2397
chr1	4800001	5800000	0.458553	2444
chr1	4900001	5900000	0.462227	2450
chr1	5000001	6000000	0.469288	2485
chr1	5100001	6100000	0.47709	2486
chr1	5200001	6200000	0.491854	2503
chr1	5300001	6300000	0.503195	2566
chr1	5400001	6400000	0.512673	2527
chr1	5500001	6500000	0.518101	2605
chr1	5600001	6600000	0.526096	2656
chr1	5700001	6700000	0.535615	2688
chr1	5800001	6800000	0.532634	2763
chr1	5900001	6900000	0.524871	2832
chr1	6000001	7000000	0.51752	2827
chr1	6100001	7100000	0.513177	2801
chr1	6200001	7200000	0.505834	2818
chr1	6300001	7300000	0.496754	2773
chr1	6400001	7400000	0.484038	2818
chr1	6500001	7500000	0.48032	2726
chr1	6600001	7600000	0.477147	2651
chr1	6700001	7700000	0.476121	2620
chr1	6800001	7800000	0.481664	2547
chr1	6900001	7900000	0.479212	2503
chr1	7000001	8000000	0.479461	2571
chr1	7100001	8100000	0.476361	2616
chr1	7200001	8200000	0.471595	2706
chr1	7300001	8300000	0.473936	2799
chr1	7400001	8400000	0.477991	2842
chr1	7500001	8500000	0.475476	2836
chr1	7600001	8600000	0.463819	2914
chr1	7700001	8700000	0.451045	2918
chr1	7800001	8800000	0.439547	2944
chr1	7900001	8900000	0.44068	2998
chr1	8000001	9000000	0.444356	3022
chr1	8100001	9100000	0.448965	3079
chr1	8200001	9200000	0.45328	3043
chr1	8300001	9300000	0.455816	3027
chr1	8400001	9400000	0.461009	2994
chr1	8500001	9500000	0.466351	3022
chr1	8600001	9600000	0.47344	3056
chr1	8700001	9700000	0.484738	3123
chr1	8800001	9800000	0.495425	3165
chr1	8900001	9900000	0.500509	3201
chr1	9000001	10000000	0.50197	3174
chr1	9100001	10100000	0.499454	3253
chr1	9200001	10200000	0.495144	3283
chr1	9300001	10300000	0.489656	3294
chr1	9400001	10400000	0.477585	3303
chr1	9500001	10500000	0.471205	3361
chr1	9600001	10600000	0.468007	3382
chr1	9700001	10700000	0.463331	3325
chr1	9800001	10800000	0.47032	3206
chr1	9900001	10900000	0.4765	3120
chr1	10000001	11000000	0.478274	3108
chr1	10100001	11100000	0.480327	3015
chr1	10200001	11200000	0.485006	2987
chr1	10300001	11300000	0.483922	2959
chr1	10400001	11400000	0.492523	2994
chr1	10500001	11500000	0.495799	3001
chr1	10600001	11600000	0.50244	2924
chr1	10700001	11700000	0.506412	2922
chr1	10800001	11800000	0.501907	3020
chr1	10900001	11900000	0.500278	3039
chr1	11000001	12000000	0.500043	3062
chr1	11100001	12100000	0.503269	3065
chr1	11200001	12200000	0.505421	3036
chr1	11300001	12300000	0.514245	2992
chr1	11400001	12400000	0.506418	2971
chr1	11500001	12500000	0.498084	2911
chr1	11600001	12600000	0.490175	2931
chr1	11700001	12700000	0.491627	2953
chr1	11800001	12800000	0.482102	2930
chr1	11900001	12900000	0.475036	2949
chr1	12000001	13000000	0.469178	2972
chr1	12100001	13100000	0.441065	2843
chr1	12200001	13200000	0.43496	2932
chr1	12300001	13300000	0.391922	2745
chr1	12400001	13400000	0.38715	2731
chr1	12500001	13500000	0.39219	2818
chr1	12600001	13600000	0.374144	2747
chr1	12700001	13700000	0.365353	2767
chr1	12800001	13800000	0.368448	2855
chr1	12900001	13900000	0.371342	2836
chr1	13000001	14000000	0.370922	2793
chr1	13100001	14100000	0.387599	2869
chr1	13200001	14200000	0.388618	2763
chr1	13300001	14300000	0.423334	2962
chr1	13400001	14400000	0.42859	2905
chr1	13500001	14500000	0.425463	2821
chr1	13600001	14600000	0.439638	2840
chr1	13700001	14700000	0.438995	2792
chr1	13800001	14800000	0.434814	2691
chr1	13900001	14900000	0.430605	2695
chr1	14000001	15000000	0.431262	2632
chr1	14100001	15100000	0.437672	2651
chr1	14200001	15200000	0.440636	2676
chr1	14300001	15300000	0.446866	2683
chr1	14400001	15400000	0.456601	2715
chr1	14500001	15500000	0.463029	2707
chr1	14600001	15600000	0.468402	2754
chr1	14700001	15700000	0.474231	2769
chr1	14800001	15800000	0.482085	2814
chr1	14900001	15900000	0.484615	2816
chr1	15000001	16000000	0.48383	2876
chr1	15100001	16100000	0.490128	2896
chr1	15200001	16200000	0.48937	2982
chr1	15300001	16300000	0.484425	2987
chr1	15400001	16400000	0.488038	2980
chr1	15500001	16500000	0.492904	2989
chr1	15600001	16600000	0.497379	2996
chr1	15700001	16700000	0.494125	3071
chr1	15800001	16800000	0.492069	3096
chr1	15900001	16900000	0.493469	3080
chr1	16000001	17000000	0.496197	3026
chr1	16100001	17100000	0.492911	2961
chr1	16200001	17200000	0.467899	2709
chr1	16300001	17300000	0.474003	2680
chr1	16400001	17400000	0.468907	2707
chr1	16500001	17500000	0.464397	2703
chr1	16600001	17600000	0.464503	2671
chr1	16700001	17700000	0.46876	2613
chr1	16800001	17800000	0.470701	2626
chr1	16900001	17900000	0.474167	2692
chr1	17000001	18000000	0.481437	2688
chr1	17100001	18100000	0.483123	2679
chr1	17200001	18200000	0.508686	2813
chr1	17300001	18300000	0.505542	2845
chr1	17400001	18400000	0.503436	2811
chr1	17500001	18500000	0.50396	2770
chr1	17600001	18600000	0.501936	2790
chr1	17700001	18700000	0.502706	2740
chr1	17800001	18800000	0.499512	2643
chr1	17900001	18900000	0.496079	2530
chr1	18000001	19000000	0.491613	2516
chr1	18100001	19100000	0.490202	2542
chr1	18200001	19200000	0.492918	2574
chr1	18300001	19300000	0.497824	2567
chr1	18400001	19400000	0.498432	2596
chr1	18500001	19500000	0.492779	2634
chr1	18600001	19600000	0.489351	2687
chr1	18700001	19700000	0.491109	2744
chr1	18800001	19800000	0.491105	2768
chr1	18900001	19900000	0.489736	2888
chr1	19000001	20000000	0.487321	2955
chr1	19100001	20100000	0.486396	2993
chr1	19200001	20200000	0.480248	2996
chr1	19300001	20300000	0.471845	2993
chr1	19400001	20400000	0.465127	2978
chr1	19500001	20500000	0.470138	3002
chr1	19600001	20600000	0.470581	2912
chr1	19700001	20700000	0.469307	2897
chr1	19800001	20800000	0.469953	2869
chr1	19900001	20900000	0.472892	2855
chr1	20000001	21000000	0.473806	2875
chr1	20100001	21100000	0.473456	2861
chr1	20200001	21200000	0.470392	2862
chr1	20300001	21300000	0.46323	2846
chr1	20400001	21400000	0.459885	2848
chr1	20500001	21500000	0.450294	2875
chr1	20600001	21600000	0.453883	2967
chr1	20700001	21700000	0.454912	2974
chr1	20800001	21800000	0.452314	3000
chr1	20900001	21900000	0.453221	2954
chr1	21000001	22000000	0.460534	2869
chr1	21100001	22100000	0.4528	2873
chr1	21200001	22200000	0.463836	2889
chr1	21300001	22300000	0.479665	2886
chr1	21400001	22400000	0.488719	2980
chr1	21500001	22500000	0.497759	2929
chr1	21600001	22600000	0.499848	2874
chr1	21700001	22700000	0.49713	2835
chr1	21800001	22800000	0.496553	2817
chr1	21900001	22900000	0.494753	2770
chr1	22000001	23000000	0.491468	2766
chr1	22100001	23100000	0.500935	2721
chr1	22200001	23200000	0.499972	2651
chr1	22300001	23300000	0.495967	2671
chr1	22400001	23400000	0.489603	2601
chr1	22500001	23500000	0.483373	2657
chr1	22600001	23600000	0.479274	2738
chr1	22700001	23700000	0.471812	2774
chr1	22800001	23800000	0.475579	2852
chr1	22900001	23900000	0.477479	2941
chr1	23000001	24000000	0.472911	3011
chr1	23100001	24100000	0.468498	3110
