chrom	start	end	gpseq_score	damid_sig_over_ctrl
chr1	100001	1100000	1.95820457861191	-0.430540781791788
chr1	200001	1200000	2	-0.520054794575553
chr1	300001	1300000	2	-0.617491288210731
chr1	400001	1400000	2	-0.779439938392025
chr1	500001	1500000	2	-0.922009831692558
chr1	600001	1600000	2	-1.06250644221902
chr1	700001	1700000	2	-1.17780749827623
chr1	800001	1800000	1.95749441865197	-1.29798964634538
chr1	900001	1900000	2	-1.27878794491291
chr1	1000001	2e+06	2	-1.28774725496769
chr1	1100001	2100000	2	-1.29738154456019
chr1	1200001	2200000	2	-1.36704044193029
chr1	1300001	2300000	1.96237494845798	-1.35072398945689
chr1	1400001	2400000	1.99101850230025	-1.28976445272565
chr1	1500001	2500000	1.99732786218846	-1.22362615630031
chr1	1600001	2600000	2	-1.19332451209426
chr1	1700001	2700000	2	-1.0887116459012
chr1	1800001	2800000	2	-0.953828027844429
chr1	1900001	2900000	2	-0.874278617538512
chr1	2000001	3e+06	2	-0.842618341930211
chr1	2100001	3100000	2	-0.859470726288855
chr1	2200001	3200000	2	-0.80038182336837
chr1	2300001	3300000	2	-0.827358771599829
chr1	2400001	3400000	2	-0.829399182088673
chr1	2500001	3500000	2	-0.813564194478095
chr1	2600001	3600000	1.99326512285224	-0.845832723416388
chr1	2700001	3700000	1.95172630376937	-0.947978028543293
chr1	2800001	3800000	1.89046208484544	-1.02276482824236
chr1	2900001	3900000	1.85466968877979	-1.00430212214589
chr1	3000001	4e+06	1.85390782098578	-0.917520793974399
chr1	3100001	4100000	1.80376850342754	-0.854416425041854
chr1	3200001	4200000	1.77336998447052	-0.761749371108599
chr1	3300001	4300000	1.70975701462859	-0.621339449002408
chr1	3400001	4400000	1.68294715097204	-0.478573514684103
chr1	3500001	4500000	1.65413023185284	-0.389522657743655
chr1	3600001	4600000	1.64820054377179	-0.255432915727142
chr1	3700001	4700000	1.67080180785014	-0.116701482108329
chr1	3800001	4800000	1.66775621527462	0.00956117392983288
chr1	3900001	4900000	1.67344420116388	0.0684290274372324
chr1	4000001	5e+06	1.65872183925339	0.120814874838106
chr1	4100001	5100000	1.63878557684576	0.207622431940399
chr1	4200001	5200000	1.63096030083775	0.283515881774947
chr1	4300001	5300000	1.61142514910809	0.311211713328958
chr1	4400001	5400000	1.61578668435846	0.300243394188583
chr1	4500001	5500000	1.60947907025995	0.279961698334664
chr1	4600001	5600000	1.60890267007671	0.269240767366719
chr1	4700001	5700000	1.59562072067537	0.262061064324807
chr1	4800001	5800000	1.60375423310948	0.235706233056262
chr1	4900001	5900000	1.61396187047627	0.165013492563739
chr1	5000001	6e+06	1.63319997264152	-0.0112514234799892
chr1	5100001	6100000	1.64576628447379	-0.166723238741979
chr1	5200001	6200000	1.65829475374836	-0.359874529354274
chr1	5300001	6300000	1.65129607419941	-0.607429457716644
chr1	5400001	6400000	1.68047524361981	-0.751398297548294
chr1	5500001	6500000	1.68967130340566	-0.959708438348025
chr1	5600001	6600000	1.70569849247721	-1.08789484085515
chr1	5700001	6700000	1.73131377579327	-1.25426157485694
chr1	5800001	6800000	1.73578177387214	-1.38329116437584
chr1	5900001	6900000	1.71052508695752	-1.50543983832002
chr1	6000001	7e+06	1.70464251499132	-1.51937664091587
chr1	6100001	7100000	1.72584788520355	-1.50394738934934
chr1	6200001	7200000	1.72006628286771	-1.45196793340147
chr1	6300001	7300000	1.74161785052122	-1.31519949933514
chr1	6400001	7400000	1.71141347813954	-1.27524150451645
