chrom	start	end	log2_gpseq_score
chr9:22	1e+05	1100000	0.279898778420056
chr9:22	2e+05	1200000	0.287415591920387
chr9:22	3e+05	1300000	0.291042256046686
chr9:22	4e+05	1400000	0.289878980383703
chr9:22	5e+05	1500000	0.273654345452216
chr9:22	6e+05	1600000	0.277979963183049
chr9:22	7e+05	1700000	0.274925208031481
chr9:22	8e+05	1800000	0.261735611978306
chr9:22	9e+05	1900000	0.261246735483187
chr9:22	1e+06	2e+06	0.262445924744171
chr9:22	1100000	2100000	0.256056815918589
chr9:22	1200000	2200000	0.223999219497647
chr9:22	1300000	2300000	0.207426961973367
chr9:22	1400000	2400000	0.202605610105027
chr9:22	1500000	2500000	0.222245554640437
chr9:22	1600000	2600000	0.227428635710405
chr9:22	1700000	2700000	0.213110233558337
chr9:22	1800000	2800000	0.199438546814711
chr9:22	1900000	2900000	0.18969270995515
chr9:22	2e+06	3e+06	0.182604203786807
chr9:22	2100000	3100000	0.202281145078027
chr9:22	2200000	3200000	0.217255013045009
chr9:22	2300000	3300000	0.225737645913209
chr9:22	2400000	3400000	0.220178957013071
chr9:22	2500000	3500000	0.20348946378383
chr9:22	2600000	3600000	0.207730601429594
chr9:22	2700000	3700000	0.216433796910216
chr9:22	2800000	3800000	0.241929471488016
chr9:22	2900000	3900000	0.247293770817061
chr9:22	3e+06	4e+06	0.235868047241179
chr9:22	3100000	4100000	0.251382634500282
chr9:22	3200000	4200000	0.251914476216668
chr9:22	3300000	4300000	0.25779808013971
chr9:22	3400000	4400000	0.258543678140779
chr9:22	3500000	4500000	0.271752323301049
chr9:22	3600000	4600000	0.276310145116442
chr9:22	3700000	4700000	0.277317161784731
chr9:22	3800000	4800000	0.261529178550126
chr9:22	3900000	4900000	0.261097861702596
chr9:22	4e+06	5e+06	0.264006965916146
chr9:22	4100000	5100000	0.247303152016486
chr9:22	4200000	5200000	0.252537000073942
chr9:22	4300000	5300000	0.2504471110018
chr9:22	4400000	5400000	0.267707440896617
chr9:22	4500000	5500000	0.259263545675719
chr9:22	4600000	5600000	0.247305376530113
chr9:22	4700000	5700000	0.240353266944549
chr9:22	4800000	5800000	0.24976944646997
chr9:22	4900000	5900000	0.250157051245711
chr9:22	5e+06	6e+06	0.267972585044547
chr9:22	5100000	6100000	0.281768856539183
chr9:22	5200000	6200000	0.277125992958744
chr9:22	5300000	6300000	0.279773264377827
chr9:22	5400000	6400000	0.268515751131009
chr9:22	5500000	6500000	0.279101444938495
chr9:22	5600000	6600000	0.286586218428797
chr9:22	5700000	6700000	0.300599097824702
chr9:22	5800000	6800000	0.312298635829454
chr9:22	5900000	6900000	0.318970454898609
chr9:22	6e+06	7e+06	0.316811081600166
chr9:22	6100000	7100000	0.296386372294112
chr9:22	6200000	7200000	0.314756367146168
chr9:22	6300000	7300000	0.308819976890936
chr9:22	6400000	7400000	0.304252833937393
chr9:22	6500000	7500000	0.300771598898449
chr9:22	6600000	7600000	0.291361636560644
chr9:22	6700000	7700000	0.269606956891326
chr9:22	6800000	7800000	0.259609652437006
chr9:22	6900000	7900000	0.260151762005397
chr9:22	7e+06	8e+06	0.252401471663674
chr9:22	7100000	8100000	0.253798272554717
chr9:22	7200000	8200000	0.246217193048125
chr9:22	7300000	8300000	0.23356337088149
chr9:22	7400000	8400000	0.230533060004734
chr9:22	7500000	8500000	0.209342699287477
chr9:22	7600000	8600000	0.198730425332887
chr9:22	7700000	8700000	0.213612981954387
chr9:22	7800000	8800000	0.191703311942246
chr9:22	7900000	8900000	0.190572531254771
chr9:22	8e+06	9e+06	0.176092647544228
chr9:22	8100000	9100000	0.176723742879824
chr9:22	8200000	9200000	0.160526682059043
chr9:22	8300000	9300000	0.144330099556088
chr9:22	8400000	9400000	0.12714110044928
chr9:22	8500000	9500000	0.132073934562356
chr9:22	8600000	9600000	0.134768998147713
chr9:22	8700000	9700000	0.116459538825851
chr9:22	8800000	9800000	0.117073976405602
chr9:22	8900000	9900000	0.108770386829404
chr9:22	9e+06	1e+07	0.1155265357576
chr9:22	9100000	10100000	0.107712196270416
chr9:22	9200000	10200000	0.107774992843502
chr9:22	9300000	10300000	0.124183670592689
chr9:22	9400000	10400000	0.122982597239425
chr9:22	9500000	10500000	0.123485572920519
chr9:22	9600000	10600000	0.135812221606133
chr9:22	9700000	10700000	0.141412480776793
chr9:22	9800000	10800000	0.15151293757038
chr9:22	9900000	10900000	0.168472928643972
chr9:22	1e+07	1.1e+07	0.174050412622449
chr9:22	10100000	11100000	0.19519574016404
chr9:22	10200000	11200000	0.192204814963762
chr9:22	10300000	11300000	0.184680346664036
chr9:22	10400000	11400000	0.218673115070282
chr9:22	10500000	11500000	0.227780343301745
chr9:22	10600000	11600000	0.208225195050023
chr9:22	10700000	11700000	0.209307336248696
chr9:22	10800000	11800000	0.169891730825828
chr9:22	10900000	11900000	0.162036947339273
chr9:22	1.1e+07	1.2e+07	0.166010125775075
chr9:22	11100000	12100000	0.161228978051261
chr9:22	11200000	12200000	0.153509860380056
chr9:22	11300000	12300000	0.129748956357864
chr9:22	11400000	12400000	0.113052782596377
chr9:22	11500000	12500000	0.101063450149986
chr9:22	11600000	12600000	0.102731585133751
chr9:22	11700000	12700000	0.0995292420803921
chr9:22	11800000	12800000	0.141191047218151
chr9:22	11900000	12900000	0.134413273607779
chr9:22	1.2e+07	1.3e+07	0.130714296759569
chr9:22	12100000	13100000	0.124674067513348
chr9:22	12200000	13200000	0.12491970379344
chr9:22	12300000	13300000	0.145996130091959
chr9:22	12400000	13400000	0.155398952894026
chr9:22	12500000	13500000	0.160281019528856
chr9:22	12600000	13600000	0.171049290911469
chr9:22	12700000	13700000	0.172712630118418
chr9:22	12800000	13800000	0.171949488797139
chr9:22	12900000	13900000	0.185758518733929
chr9:22	1.3e+07	1.4e+07	0.19202463913084
chr9:22	13100000	14100000	0.198507391298188
chr9:22	13200000	14200000	0.209877827027817
chr9:22	13300000	14300000	0.201952897960299
chr9:22	13400000	14400000	0.183856926482135
chr9:22	13500000	14500000	0.1636775593828
chr9:22	13600000	14600000	0.164872417243301
chr9:22	13700000	14700000	0.168883472056078
chr9:22	13800000	14800000	0.163520907405174
chr9:22	13900000	14900000	0.161485935850944
chr9:22	1.4e+07	1.5e+07	0.159751575440848
chr9:22	14100000	15100000	0.168276050573435
chr9:22	14200000	15200000	0.155713689372156
chr9:22	14300000	15300000	0.159332545215387
chr9:22	14400000	15400000	0.185562531252931
chr9:22	14500000	15500000	0.205818856876244
chr9:22	14600000	15600000	0.186826212848011
chr9:22	14700000	15700000	0.185951680780376
chr9:22	14800000	15800000	0.19134851172275
chr9:22	14900000	15900000	0.18983004367103
chr9:22	1.5e+07	1.6e+07	0.197506925390083
chr9:22	15100000	16100000	0.219565662523921
chr9:22	15200000	16200000	0.239750942318071
chr9:22	15300000	16300000	0.261646553007764
chr9:22	15400000	16400000	0.253480778667329
chr9:22	15500000	16500000	0.255500481200874
chr9:22	15600000	16600000	0.266361581498553
chr9:22	15700000	16700000	0.246944027238732
chr9:22	15800000	16800000	0.247977893259651
chr9:22	15900000	16900000	0.247473319546044
chr9:22	1.6e+07	1.7e+07	0.24376149730753
chr9:22	16100000	17100000	0.233263704540393
chr9:22	16200000	17200000	0.230529353609516
chr9:22	16300000	17300000	0.222638683730788
chr9:22	16400000	17400000	0.240160607645814
chr9:22	16500000	17500000	0.25010570460563
chr9:22	16600000	17600000	0.251910861859458
chr9:22	16700000	17700000	0.269088534107822
chr9:22	16800000	17800000	0.259794686480336
chr9:22	16900000	17900000	0.255091135321744
chr9:22	1.7e+07	1.8e+07	0.258045000891702
chr9:22	17100000	18100000	0.238632423795323
chr9:22	17200000	18200000	0.242892787080069
chr9:22	17300000	18300000	0.255007515235268
chr9:22	17400000	18400000	0.250571954740654
chr9:22	17500000	18500000	0.251403856554747
chr9:22	17600000	18600000	0.233714824718623
chr9:22	17700000	18700000	0.235092537857865
chr9:22	17800000	18800000	0.232001793892292
chr9:22	17900000	18900000	0.229027020870609
chr9:22	1.8e+07	1.9e+07	0.244045396359368
chr9:22	18100000	19100000	0.250544015527101
chr9:22	18200000	19200000	0.248983180223126
chr9:22	18300000	19300000	0.238536211985186
chr9:22	18400000	19400000	0.234064839768657
chr9:22	18500000	19500000	0.225552698627205
chr9:22	18600000	19600000	0.234005890188246
chr9:22	18700000	19700000	0.239539559211933
chr9:22	18800000	19800000	0.261806729177998
chr9:22	18900000	19900000	0.296655547531593
chr9:22	1.9e+07	2e+07	0.274907480372555
chr9:22	19100000	20100000	0.262725888988456
chr9:22	19200000	20200000	0.257746739097694
chr9:22	19300000	20300000	0.244670838808429
chr9:22	19400000	20400000	0.228384533672152
chr9:22	19500000	20500000	0.22554422598482
chr9:22	19600000	20600000	0.22583866429043
