chrom	start	end	gpseq_score	GC_percentage
chr1	100001	200000		0.33762
chr1	200001	300000	2.81346094028773	0.15776
chr1	300001	400000		0.33081
chr1	400001	500000		0.32381
chr1	500001	600000		0.35177
chr1	600001	700000		0.41919
chr1	700001	800000	1.90430421035874	0.44117
chr1	800001	900000	1.70054375671695	0.56645
chr1	900001	1000000	1.93527062880032	0.62134
chr1	1000001	1100000	2.12457780882084	0.60348
chr1	1100001	1200000	2.23009143221197	0.61372
chr1	1200001	1300000	2.71364608182313	0.63522
chr1	1300001	1400000	1.98801878437933	0.56191
chr1	1400001	1500000	2.00969711472752	0.57733
chr1	1500001	1600000	1.65350307327881	0.56394
chr1	1600001	1700000	1.98384098049964	0.54508
chr1	1700001	1800000	1.7514294381012	0.4719
chr1	1800001	1900000	2.00844385868681	0.55347
chr1	1900001	2000000	2.11714496674246	0.5631
chr1	2000001	2100000	1.9451382713911	0.56204
chr1	2100001	2200000	2.0871334068167	0.58005
chr1	2200001	2300000	1.93109046948603	0.59617
chr1	2300001	2400000	2.22358781692378	0.59949
chr1	2400001	2500000	2.11568016445983	0.63479
chr1	2500001	2600000	1.90746084617862	0.56884
chr1	2600001	2700000	2.3824757604837	0.29783
chr1	2700001	2800000	2.11368725936614	0.57215
chr1	2800001	2900000	1.97043895176158	0.57392
chr1	2900001	3000000	1.79533940971767	0.54605
chr1	3000001	3100000	1.96915777285376	0.5828
chr1	3100001	3200000	2.04781696803865	0.56805
chr1	3200001	3300000	2.23684982099184	0.56969
chr1	3300001	3400000	1.84767425131565	0.58308
chr1	3400001	3500000	1.93933236429699	0.61924
chr1	3500001	3600000	1.66317816274148	0.57064
chr1	3600001	3700000	1.65381457714989	0.58669
chr1	3700001	3800000	1.70918961556668	0.50102
chr1	3800001	3900000	1.62922168888644	0.2379
chr1	3900001	4000000	1.69289109171751	0.02223
chr1	4000001	4100000	1.65603921368899	0.49664
chr1	4100001	4200000	1.71561672445176	0.505
chr1	4200001	4300000	1.6514285196134	0.47157
chr1	4300001	4400000	1.70761897598324	0.4628
chr1	4400001	4500000	1.74149380832959	0.47686
chr1	4500001	4600000	1.62548261145442	0.47844
chr1	4600001	4700000	1.70650948937006	0.47966
chr1	4700001	4800000	1.67992089231255	0.52822
chr1	4800001	4900000	1.67600288247234	0.47591
chr1	4900001	5000000	1.57175253072144	0.44691
chr1	5000001	5100000	1.55982869802595	0.44523
chr1	5100001	5200000	1.67486780246541	0.41039
chr1	5200001	5300000	1.55496110562092	0.43109
chr1	5300001	5400000	1.6913587771407	0.46996
chr1	5400001	5500000	1.66387312022581	0.48056
chr1	5500001	5600000	1.60701778231815	0.49138
chr1	5600001	5700000	1.62371181259203	0.43856
chr1	5700001	5800000	1.69490186551518	0.49554
chr1	5800001	5900000	1.78007600529423	0.51265
chr1	5900001	6000000	1.72981040599112	0.51752
chr1	6000001	6100000	1.65568114093944	0.52325
chr1	6100001	6200000	1.79601922075249	0.55803
chr1	6200001	6300000	1.50948539518673	0.5445
chr1	6300001	6400000	1.99304591001104	0.56474
chr1	6400001	6500000	1.7765119768119	0.53484
chr1	6500001	6600000	1.75219915135917	0.57133
chr1	6600001	6700000	1.78259073356543	0.53375
chr1	6700001	6800000	1.70096460165236	0.46573
chr1	6800001	6900000	1.63726261245702	0.43502
chr1	6900001	7000000	1.63255234963791	0.44401
chr1	7000001	7100000	1.83545328999479	0.47982
chr1	7100001	7200000	1.75205443370154	0.4846
chr1	7200001	7300000	1.59482030700207	0.4537
chr1	7300001	7400000	1.73818512231813	0.43758
chr1	7400001	7500000	1.73740915450076	0.49766
chr1	7500001	7600000	1.85359556034903	0.5396
chr1	7600001	7700000	1.72927634102179	0.52349
chr1	7700001	7800000	1.75660248531921	0.52116
chr1	7800001	7900000	1.6444223919926	0.4105
chr1	7900001	8000000	1.69776972512523	0.4465
chr1	8000001	8100000	1.5613742056064	0.44882
chr1	8100001	8200000	1.67052290508278	0.43694
chr1	8200001	8300000	1.71969293336488	0.47711
chr1	8300001	8400000	1.67673168407029	0.47813
chr1	8400001	8500000	1.81065022881282	0.47251
chr1	8500001	8600000	1.62288210852454	0.42303
chr1	8600001	8700000	1.60792167775927	0.39575
chr1	8700001	8800000	1.57471254454185	0.40618
chr1	8800001	8900000	1.5323634652295	0.42183
chr1	8900001	9000000	1.72735975355916	0.48326
chr1	9000001	9100000	1.61810852796826	0.49491
chr1	9100001	9200000	1.59283386065161	0.48009
chr1	9200001	9300000	1.9893942492476	0.50247
chr1	9300001	9400000	1.80231297925305	0.53006
chr1	9400001	9500000	1.77489949430608	0.52593
chr1	9500001	9600000	1.73194559848301	0.49392
chr1	9600001	9700000	1.64734591780211	0.50873
chr1	9700001	9800000	1.78199116219456	0.51305
chr1	9800001	9900000	1.6462687691012	0.47267
chr1	9900001	10000000	1.76391048794063	0.49787
chr1	10000001	10100000	1.64247746094675	0.46975
chr1	10100001	10200000	1.83776968087434	0.43699
chr1	10200001	10300000	1.58420462243019	0.44759
chr1	10300001	10400000	1.66106852745147	0.40935
chr1	10400001	10500000	1.82271468639923	0.46213
chr1	10500001	10600000	1.66810109779219	0.46194
chr1	10600001	10700000	1.77441466229554	0.46197
chr1	10700001	10800000	1.86460732568559	0.58294
chr1	10800001	10900000	1.84985391772421	0.53447
chr1	10900001	11000000	1.87207185345902	0.51561
chr1	11000001	11100000	1.93613964483752	0.49028
chr1	11100001	11200000	1.69722451953135	0.48378
chr1	11200001	11300000	1.78699722171653	0.43675
chr1	11300001	11400000	1.79935635601109	0.49536
chr1	11400001	11500000	1.78187958869718	0.49489
chr1	11500001	11600000	1.78031518784638	0.52835
chr1	11600001	11700000	1.80433500827279	0.50169
chr1	11700001	11800000	1.80023304633954	0.53789
chr1	11800001	11900000	1.70867467599388	0.51818
chr1	11900001	12000000	1.64544592695218	0.51326
chr1	12000001	12100000	1.71940134497002	0.52254
chr1	12100001	12200000	1.76931261768489	0.5053
chr1	12200001	12300000	1.68016339871283	0.52499
chr1	12300001	12400000	1.52841460464793	0.41709
chr1	12400001	12500000	1.55417507681036	0.41155
chr1	12500001	12600000	1.59042658341518	0.44926
chr1	12600001	12700000	1.65799820119136	0.51621
chr1	12700001	12800000	1.53295846331299	0.44264
chr1	12800001	12900000	1.57312016837591	0.44752
chr1	12900001	13000000	1.98858380262998	0.45468
chr1	13000001	13100000	1.52258076217618	0.24141
chr1	13100001	13200000	1.75806573136098	0.44425
chr1	13200001	13300000	1.40522406561535	0.09461
chr1	13300001	13400000		0.36937
chr1	13400001	13500000		0.46195
chr1	13500001	13600000	1.99152470926409	0.2688
chr1	13600001	13700000		0.4283
chr1	13700001	13800000	1.455917309692	0.47359
chr1	13800001	13900000	1.5637493024072	0.47646
chr1	13900001	14000000	1.49695792753424	0.45048
chr1	14000001	14100000	1.42577645439601	0.40818
chr1	14100001	14200000	1.64163243053151	0.45444
chr1	14200001	14300000	1.50722149436641	0.44177
chr1	14300001	14400000	1.53708112702247	0.42193
chr1	14400001	14500000	1.57033470701373	0.43068
chr1	14500001	14600000	1.51520785517563	0.41055
chr1	14600001	14700000	1.54511823057358	0.42187
chr1	14700001	14800000	1.54348580427246	0.43178
chr1	14800001	14900000	1.5607789512822	0.43437
chr1	14900001	15000000	1.47982652331891	0.45705
chr1	15000001	15100000	1.63691422845236	0.47228
chr1	15100001	15200000	1.69821662561485	0.48408
chr1	15200001	15300000	1.62727871670093	0.50407
chr1	15300001	15400000	1.59608910521218	0.51928
chr1	15400001	15500000	1.64286173378258	0.49496
chr1	15500001	15600000	1.57190321029387	0.46428
chr1	15600001	15700000	1.63021340781116	0.48016
chr1	15700001	15800000	1.64161268156845	0.51032
chr1	15800001	15900000	1.74545125037982	0.45967
chr1	15900001	16000000	1.74704445003408	0.4492
chr1	16000001	16100000	1.72686705814116	0.53526
chr1	16100001	16200000	1.76290921136147	0.4765
chr1	16200001	16300000	1.62487607677608	0.45462
chr1	16300001	16400000	1.86767750203992	0.55541
chr1	16400001	16500000	1.8552279027272	0.54362
chr1	16500001	16600000	1.73499721327677	0.50903
chr1	16600001	16700000	1.60080101185429	0.44762
chr1	16700001	16800000	1.82753299731098	0.48976
chr1	16800001	16900000	1.72881499905653	0.47367
chr1	16900001	17000000	2.3572761937244	0.47648
chr1	17000001	17100000	1.85299748408943	0.5024
chr1	17100001	17200000	4.65481925397736	0.22638
chr1	17200001	17300000	1.88695696601796	0.51566
chr1	17300001	17400000	1.83637293912289	0.50445
chr1	17400001	17500000	1.97636208967593	0.49852
chr1	17500001	17600000	1.94539831198168	0.51009
chr1	17600001	17700000	1.96692972435695	0.49019
chr1	17700001	17800000	1.83658713112789	0.50917
chr1	17800001	17900000	1.87708304012086	0.50833
chr1	17900001	18000000	1.80799908079938	0.54918
chr1	18000001	18100000	1.84351745494888	0.51926
chr1	18100001	18200000	1.90950512540811	0.48201
chr1	18200001	18300000	1.85892086796972	0.48422
chr1	18300001	18400000	1.78656611769483	0.48339
chr1	18400001	18500000	1.73582493213784	0.50376
chr1	18500001	18600000	1.9637106480079	0.48985
chr1	18600001	18700000	1.9991878542285	0.49789
chr1	18700001	18800000	1.89951846200269	0.47723
chr1	18800001	18900000	1.92283133222605	0.474
chr1	18900001	19000000	1.85096713839097	0.50452
chr1	19000001	19100000	1.88634253578083	0.50515
chr1	19100001	19200000	1.896903937919	0.50917
chr1	19200001	19300000	1.86752537517829	0.53328
chr1	19300001	19400000	1.97723193663513	0.48947
chr1	19400001	19500000	1.98522545800413	0.44723
chr1	19500001	19600000	1.89222103018266	0.45557
chr1	19600001	19700000	1.94333680348395	0.51547
chr1	19700001	19800000	1.77264788753595	0.47719
chr1	19800001	19900000	1.67830468436114	0.46031
chr1	19900001	20000000	1.69525114796671	0.48037
chr1	20000001	20100000	1.6781530203075	0.4959
chr1	20100001	20200000	1.74397476606205	0.44769
chr1	20200001	20300000	1.64724620560307	0.44925
chr1	20300001	20400000	1.82072561629089	0.42229
chr1	20400001	20500000	1.91895587505501	0.49734
chr1	20500001	20600000	1.82702762069766	0.46
chr1	20600001	20700000	1.92842019759313	0.50273
chr1	20700001	20800000	1.88886606952539	0.48365
chr1	20800001	20900000	1.80292937752869	0.4897
chr1	20900001	21000000	1.82943758172191	0.48951
chr1	21000001	21100000	1.73922609987134	0.4924
chr1	21100001	21200000	1.57953147538752	0.41705
chr1	21200001	21300000	1.58948320984002	0.37763
chr1	21300001	21400000	1.52679323181516	0.38884
chr1	21400001	21500000	1.82773490657202	0.40143
chr1	21500001	21600000	1.8799007726458	0.49589
chr1	21600001	21700000	1.79704434023302	0.51302
chr1	21700001	21800000	1.81509291055634	0.45767
chr1	21800001	21900000	1.86213963805801	0.49877
chr1	21900001	22000000	2.07058821707034	0.56264
chr1	22000001	22100000	1.68558030018765	0.41506
chr1	22100001	22200000	2.01510293728959	0.52741
chr1	22200001	22300000	1.77928277734798	0.53592
chr1	22300001	22400000	1.82300634467848	0.47938
chr1	22400001	22500000	1.81879562870114	0.49183
chr1	22500001	22600000	1.98748770736704	0.51678
chr1	22600001	22700000	1.76897117491446	0.48584
chr1	22700001	22800000	1.85879181908897	0.4519
chr1	22800001	22900000	2.03068167027898	0.48077
chr1	22900001	23000000	1.87651140467734	0.52979
chr1	23000001	23100000	1.83639682054958	0.50973
chr1	23100001	23200000	1.88640825878096	0.51778
chr1	23200001	23300000	1.86378492988142	0.49587
chr1	23300001	23400000	1.56842963569463	0.41574
chr1	23400001	23500000	1.72360327073081	0.42953
chr1	23500001	23600000	1.70556082928889	0.47579
chr1	23600001	23700000	1.73921692640914	0.41122
chr1	23700001	23800000	1.80597642476297	0.48957
chr1	23800001	23900000	1.83452647392043	0.49977
chr1	23900001	24000000	1.79778483193255	0.48411
chr1	24000001	24100000	2.02809527583013	0.4656
chr1	24100001	24200000	1.90493582754228	0.47655
chr1	24200001	24300000	1.81647080613857	0.45383
chr1	24300001	24400000	1.81655205544854	0.46369
chr1	24400001	24500000	1.92403099692658	0.50671
chr1	24500001	24600000	1.73710768829416	0.46893
chr1	24600001	24700000	1.91535237635431	0.48551
chr1	24700001	24800000	1.64991958142852	0.437
chr1	24800001	24900000	1.80879350743869	0.44925
chr1	24900001	25000000	1.68328788536978	0.44
chr1	25000001	25100000	1.71943482423831	0.47111
chr1	25100001	25200000	1.8269814457329	0.43343
chr1	25200001	25300000	1.92780532145081	0.52325
chr1	25300001	25400000	1.75135140154165	0.52114
chr1	25400001	25500000	1.88364726062389	0.46449
chr1	25500001	25600000	1.85844797323844	0.46803
chr1	25600001	25700000	2.07039410213973	0.45383
chr1	25700001	25800000	1.740963776611	0.44195
chr1	25800001	25900000	1.78661802284273	0.49033
chr1	25900001	26000000	1.8599703834985	0.47498
chr1	26000001	26100000	1.90918650217946	0.49591
chr1	26100001	26200000	1.67211641623644	0.49782
chr1	26200001	26300000	1.81407589277725	0.47378
chr1	26300001	26400000	1.92286765361861	0.50221
chr1	26400001	26500000	1.80062036486573	0.46997
chr1	26500001	26600000	1.9155891239193	0.4786
chr1	26600001	26700000	1.76882389773926	0.53114
chr1	26700001	26800000	1.79293668451062	0.46482
chr1	26800001	26900000	1.89168973326892	0.5018
chr1	26900001	27000000	1.73664189425074	0.45439
chr1	27000001	27100000	1.68610241767968	0.45532
