chrom	dsn
chr1	0.352422
chr2	0.340408
chr3	0.280678
chr4	0.213693
chr5	0.2539105
chr6	0.288786
chr7	0.2898115
chr8	0.276419
chr9:22	0.3040575
chr10	0.387067
chr11	0.3344875
chr12	0.3235225
chr13	0.242465
chr14	0.37964
chr15	0.4788225
chr16	0.633802
chr17	0.7277585
chr18	0.339333
chr19	0.810658
chr20	0.649021
chr21	0.46893
chr22:9	0.432687
chrX	0.272511
chr1	0.349491
chr2	0.277768
chr3	0.262781
chr4	0.229064
chr5	0.2639885
chr6	0.260267
chr7	0.3031825
chr8	0.2603005
chr9:22	0.343942
chr10	0.3431215
chr11	0.3240095
chr12	0.3230785
chr13	0.340511
chr14	0.405353
chr15	0.5428155
chr16	0.679414
chr17	0.704425
chr18	0.283879
chr19	0.787068
chr20	0.581579
chr21	0.374731
chr22:9	0.582004
chrX	0.282517
chr1	0.328071
chr2	0.268946
chr3	0.262908
chr4	0.238093
chr5	0.2572595
chr6	0.250683
chr7	0.2772
chr8	0.2765775
chr9:22	0.308748
chr10	0.3062645
chr11	0.3316705
chr12	0.305413
chr13	0.295618
chr14	0.3578
chr15	0.4802845
chr16	0.609854
chr17	0.743024
chr18	0.32632
chr19	0.784794
chr20	0.640191
chr21	0.520228
chr22:9	0.620862
chrX	0.267294
chr1	0.317561
chr2	0.288984
chr3	0.267438
chr4	0.230831
chr5	0.259093
chr6	0.255227
chr7	0.3149465
chr8	0.2615515
chr9:22	0.3052595
chr10	0.343103
chr11	0.325575
chr12	0.335528
chr13	0.293312
chr14	0.348716
chr15	0.5591
chr16	0.659925
chr17	0.782413
chr18	0.339235
chr19	0.7877
chr20	0.537199
chr21	0.560193
chr22:9	0.448201
chrX	0.268001
chr1	0.338305
chr2	0.295905
chr3	0.265638
chr4	0.235648
chr5	0.262599
chr6	0.263741
chr7	0.315758
chr8	0.2585005
chr9:22	0.343673
chr10	0.397033
chr11	0.3222885
chr12	0.320651
chr13	0.302999
chr14	0.371265
chr15	0.3452105
chr16	0.627943
chr17	0.7621505
chr18	0.274224
chr19	0.738813
chr20	0.629288
chr21	0.329849
chr22:9	0.624788
chrX	0.273681
chr1	0.395385
chr2	0.264895
chr3	0.270716
chr4	0.22279
chr5	0.261238
chr6	0.262489
chr7	0.311508
chr8	0.262928
chr9:22	0.3431635
chr10	0.3321605
chr11	0.323519
chr12	0.3180075
chr13	0.270206
chr14	0.384021
chr15	0.430187
chr16	0.650441
chr17	0.7437655
chr18	0.261471
chr19	0.792597
chr20	0.553322
chr21	0.524193
chr22:9	0.494034
chrX	0.272696
chr1	0.354796
chr2	0.268285
chr3	0.252021
chr4	0.238597
chr5	0.262835
chr6	0.294858
chr7	0.301705
chr8	0.2442975
chr9:22	0.283832
chr10	0.327334
chr11	0.2866675
chr12	0.3138565
chr13	0.263301
chr14	0.456057
chr15	0.6307475
chr16	0.617075
chr17	0.7018
chr18	0.338576
chr19	0.781064
chr20	0.574867
chr21	0.39761
chr22:9	0.478765
chrX	0.229272
chr1	0.346182
chr2	0.286448
chr3	0.2694
chr4	0.213681
chr5	0.280034
chr6	0.261155
chr7	0.310972
chr8	0.2740265
chr9:22	0.30813
chr10	0.322303
chr11	0.3868125
chr12	0.3111545
chr13	0.241508
chr14	0.333246
chr15	0.4255825
chr16	0.638149
chr17	0.706872
chr18	0.298773
chr19	0.838042
chr20	0.621929
chr21	0.577399
chr22:9	0.5702625
chrX	0.247651
chr1	0.34204
chr2	0.290026
chr3	0.264908
chr4	0.205553
chr5	0.257134
chr6	0.276112
chr7	0.2889085
chr8	0.260922
chr9:22	0.486076
chr10	0.315969
chr11	0.3210365
chr12	0.331786
chr13	0.264444
chr14	0.38799
chr15	0.437778
chr16	0.652149
chr17	0.697902
chr18	0.304477
chr19	0.820792
chr20	0.628829
chr21	0.421745
chr22:9	0.5172435
chrX	0.271879
chr1	0.351796
chr2	0.303457
chr3	0.256649
chr4	0.239712
chr5	0.2517735
chr6	0.253546
chr7	0.2947205
chr8	0.266689
chr9:22	0.3124195
chr10	0.329179
chr11	0.326419
chr12	0.316247
chr13	0.271353
chr14	0.398972
chr15	0.55107
chr16	0.640993
chr17	0.692454
chr18	0.312695
chr19	0.812923
chr20	0.565434
chr21	0.429975
chr22:9	0.5744695
chrX	0.262098
chr1	0.336683
chr2	0.296328
chr3	0.31537
chr4	0.206516
chr5	0.2471765
chr6	0.240243
chr7	0.29419
chr8	0.2767315
chr9:22	0.2894575
chr10	0.3397105
chr11	0.29262
chr12	0.3145405
chr13	0.235936
chr14	0.500586
chr15	0.5283595
chr16	0.715213
chr17	0.666556
chr18	0.313196
chr19	0.791443
chr20	0.57395
chr21	0.532093
chr22:9	0.5673395
chrX	0.247108
chr1	0.358137
chr2	0.275732
chr3	0.248388
chr4	0.218449
chr5	0.2540525
chr6	0.276809
chr7	0.286092
chr8	0.26228
chr9:22	0.343845
chr10	0.3439615
chr11	0.2783135
chr12	0.3528215
chr13	0.230178
chr14	0.503591
chr15	0.4300705
chr16	0.701111
chr17	0.75565
chr18	0.282966
chr19	0.73612
chr20	0.519712
chr21	0.408817
chr22:9	0.682411
chrX	0.281593
chr1	0.380402
chr2	0.266619
chr3	0.244209
chr4	0.235568
chr5	0.2589025
chr6	0.266497
chr7	0.318146
chr8	0.2438245
chr9:22	0.3095555
chr10	0.3572375
chr11	0.3387545
chr12	0.3420365
chr13	0.30766
chr14	0.389577
chr15	0.4204375
chr16	0.619459
chr17	0.751956
chr18	0.294942
chr19	0.797979
chr20	0.641219
chr21	0.438238
chr22:9	0.552067
chrX	0.236756
chr1	0.346047
chr2	0.277319
chr3	0.242666
chr4	0.215302
chr5	0.3320775
chr6	0.251562
chr7	0.3253665
chr8	0.2418825
chr9:22	0.2763575
chr10	0.317408
chr11	0.3133355
chr12	0.3775865
chr13	0.247211
chr14	0.394902
chr15	0.402856
chr16	0.615044
chr17	0.7478925
chr18	0.378977
chr19	0.797633
chr20	0.645953
chr21	0.577215
chr22:9	0.3867615
chrX	0.23956
chr1	0.344824
chr2	0.309327
chr3	0.282455
chr4	0.213606
chr5	0.2695255
chr6	0.249378
chr7	0.287049
chr8	0.2768365
chr9:22	0.3135995
chr10	0.329488
chr11	0.3004535
chr12	0.366329
chr13	0.312529
chr14	0.457222
chr15	0.393269
chr16	0.660819
chr17	0.7131715
chr18	0.283244
chr19	0.821818
chr20	0.62334
chr21	0.500284
chr22:9	0.387997
chrX	0.258648
chr1	0.373792
chr2	0.285909
chr3	0.256098
chr4	0.218152
chr5	0.253662
chr6	0.238074
chr7	0.3392185
chr8	0.266916
chr9:22	0.371573
chr10	0.403938
chr11	0.285776
chr12	0.3320775
chr13	0.254182
chr14	0.381991
chr15	0.533526
chr16	0.606198
chr17	0.740988
chr18	0.291109
chr19	0.788203
chr20	0.613424
chr21	0.5589
chr22:9	0.555607
chrX	0.292196
chr1	0.342446
chr2	0.26835
chr3	0.274115
chr4	0.239109
chr5	0.2764325
chr6	0.246783
chr7	0.291178
chr8	0.2750915
chr9:22	0.314213
chr10	0.345601
chr11	0.4474985
chr12	0.3573585
chr13	0.224634
chr14	0.34721
chr15	0.4589405
chr16	0.592785
chr17	0.7584415
chr18	0.285955
chr19	0.79239
chr20	0.605299
chr21	0.35118
chr22:9	0.712532
chrX	0.274964
chr1	0.338448
chr2	0.273135
chr3	0.277563
chr4	0.208209
chr5	0.2550185
chr6	0.248789
chr7	0.3393175
chr8	0.2497965
chr9:22	0.3197075
chr10	0.32509
chr11	0.330036
chr12	0.3507425
chr13	0.218132
chr14	0.435356
chr15	0.444124
chr16	0.670525
chr17	0.729583
chr18	0.321652
chr19	0.803447
chr20	0.580418
chr21	0.549595
chr22:9	0.748782
chrX	0.267245
chr1	0.335719
chr2	0.277673
chr3	0.265586
chr4	0.215337
chr5	0.2490635
chr6	0.258343
chr7	0.350897
chr8	0.251232
chr9:22	0.387941
chr10	0.336879
chr11	0.369549
chr12	0.3059095
chr13	0.22896
chr14	0.377565
chr15	0.4725065
chr16	0.688664
chr17	0.6928955
chr18	0.338117
chr19	0.794491
chr20	0.57951
chr21	0.574795
chr22:9	0.4214435
chrX	0.281061
chr1	0.33392
chr2	0.299175
chr3	0.278233
chr4	0.218617
chr5	0.245013
chr6	0.243935
chr7	0.3238655
chr8	0.259252
chr9:22	0.276134
chr10	0.3479145
chr11	0.32195
chr12	0.3630905
chr13	0.252602
chr14	0.423759
chr15	0.4912295
chr16	0.644023
chr17	0.7158305
chr18	0.284574
chr19	0.802952
chr20	0.655085
chr21	0.493349
chr22:9	0.503808
chrX	0.243856
chr1	0.387544
chr2	0.285923
chr3	0.264486
chr4	0.214989
chr5	0.2894015
chr6	0.272978
chr7	0.297656
chr8	0.337325
chr9:22	0.268591
chr10	0.312119
chr11	0.2850365
chr12	0.2968035
chr13	0.273561
chr14	0.41103
chr15	0.5362385
chr16	0.595378
chr17	0.7426525
chr18	0.285755
chr19	0.795505
chr20	0.61872
chr21	0.392438
chr22:9	0.7672915
chrX	0.29293
chr1	0.333733
chr2	0.294892
chr3	0.246009
chr4	0.241377
chr5	0.2574085
chr6	0.257647
chr7	0.2950395
chr8	0.248155
chr9:22	0.2866265
chr10	0.3495495
chr11	0.320089
chr12	0.332638
chr13	0.267484
chr14	0.363008
chr15	0.565869
chr16	0.639864
chr17	0.700351
chr18	0.284315
chr19	0.81
chr20	0.623271
chr21	0.443971
chr22:9	0.446684
chrX	0.277719
chr1	0.355062
chr2	0.290879
chr3	0.250602
chr4	0.220938
chr5	0.26164
chr6	0.266514
chr7	0.3049885
chr8	0.2638515
chr9:22	0.374078
chr10	0.334283
chr11	0.2989195
chr12	0.352991
chr13	0.232816
chr14	0.414034
chr15	0.3840535
chr16	0.647281
chr17	0.6840465
chr18	0.308858
chr19	0.826816
chr20	0.609341
chr21	0.45533
chr22:9	0.68612
chrX	0.267816
chr1	0.377145
chr2	0.285004
chr3	0.263451
chr4	0.228166
chr5	0.2744645
chr6	0.274571
chr7	0.306559
chr8	0.264181
chr9:22	0.3256975
chr10	0.3115655
chr11	0.365111
chr12	0.333854
chr13	0.219728
chr14	0.444963
chr15	0.415088
chr16	0.691936
chr17	0.732212
chr18	0.294289
chr19	0.811585
chr20	0.521455
chr21	0.490611
chr22:9	0.4867655
chrX	0.280871
chr1	0.382483
chr2	0.278923
chr3	0.250353
chr4	0.229209
chr5	0.266296
chr6	0.272651
chr7	0.287408
chr8	0.24994
chr9:22	0.3146085
chr10	0.3179175
chr11	0.2800735
