chrom	start	end	layer	abs_res
chr1	187200000	187300000	1	0.131003050533782
chr1	190700000	190800000	1	0.112363017748
chr1	195800000	195900000	1	0.00127882955621181
chr1	196300000	196400000	1	0.119493135513611
chr1	197300000	197400000	1	0.123112608944219
chr1	216100000	216200000	1	0.165707046829135
chr1	238900000	239000000	1	0.0443832758550387
chr1	240100000	240200000	1	0.0796888820175979
chr11	96800000	96900000	1	0.0844841779117084
chr11	96900000	97000000	1	0.0637614517937587
chr11	127200000	127300000	1	0.0357687747049967
chr2	36200000	36300000	1	0.0623199148725448
chr2	144900000	145000000	1	0.0670663493077562
chr2	184600000	184700000	1	0.158348441090594
chr2	189600000	189700000	1	0.118159505377912
chr2	215500000	215600000	1	0.114402888465899
chr3	2700000	2800000	1	0.156909509401181
chr3	21900000	22000000	1	0.17665285945907
chr3	166400000	166500000	1	0.000229713218162646
chr3	174600000	174700000	1	0.032899447477107
chr3	178300000	178400000	1	0.0194034069515845
chr3	189000000	189100000	1	0.0025781589736775
chr4	71500000	71600000	1	0.0484254081960744
chr4	71900000	72000000	1	0.0557260707101144
chr4	94400000	94500000	1	0.201213811059914
chr4	101700000	101800000	1	0.0318693840162025
chr4	105800000	105900000	1	0.16262324680329
chr4	107900000	108000000	1	0.144730436163099
chr4	132400000	132500000	1	0.202643608797739
chr4	137600000	137700000	1	0.0770151950351714
chr4	145400000	145500000	1	0.0598044218273016
chr4	146400000	146500000	1	0.176997343986059
chr4	161400000	161500000	1	0.172600503889226
chr4	169000000	169100000	1	0.0186920980706265
chr4	172900000	173000000	1	0.107572719143685
chr4	178800000	178900000	1	0.0336076296399659
chr5	163500000	163600000	1	0.0428720161135615
chr5	165200000	165300000	1	0.0393794945466914
chr6	8700000	8800000	1	0.0491616320526214
chr6	79000000	79100000	1	0.161091512218185
chr6	122100000	122200000	1	0.142448658557751
chr6	164700000	164800000	1	0.0626280921199655
chr8	91000000	91100000	1	0.119080707093029
chr8	119400000	119500000	1	0.17811321129358
chr8	131800000	131900000	1	0.145795385342478
chrX	28100000	28200000	1	0.174050309501197
chrX	140000000	140100000	1	0.163197721212384
chr1	69200000	69300000	2	0.133970751837644
chr1	71600000	71700000	2	0.235540988886133
chr1	72000000	72100000	2	0.0331646894806571
chr1	78900000	79000000	2	0.130909534259943
chr1	163800000	163900000	2	0.0594797843458017
chr1	167200000	167300000	2	0.0293919064288863
chr1	170100000	170200000	2	0.087435755517294
chr1	185100000	185200000	2	0.0972441957137035
chr1	186100000	186200000	2	0.0167736757955294
chr1	186700000	186800000	2	0.130495054866473
chr1	187000000	187100000	2	0.144989504086284
