chrom	start	end	gpseq_score	dsn
chr1	1000000	2000000	1	0.2462275
chr1	2000000	3000000	0.989834697976209	0.249982
chr1	3000000	4000000	0.879283176270663	0.252071
chr1	4000000	5000000	0.748648231113858	0.2596195
chr1	5000000	6000000	0.654818476749575	0.256857
chr1	6000000	7000000	0.778507647149699	0.2523925
chr1	7000000	8000000	0.836230495906071	0.2543375
chr1	8000000	9000000	0.775782481075235	0.252694
chr1	9000000	10000000	0.721798238838251	0.25431
chr1	10000000	11000000	0.811018075081107	0.2551535
chr1	11000000	12000000	0.798467480302797	0.252225
chr1	12000000	13000000	0.679635408620424	0.253262
chr1	13000000	14000000	0.649467016839178	0.2575625
chr1	14000000	15000000	0.543055770122046	0.2588745
chr1	15000000	16000000	0.707813996601267	0.2615995
chr1	16000000	17000000	0.827653329213657	0.25801
chr1	17000000	18000000	0.962688088985015	0.257907
chr1	18000000	19000000	0.926785107369072	0.254783
chr1	19000000	20000000	0.876848447396879	0.2532545
chr1	20000000	21000000	0.809819249188939	0.2509795
chr1	21000000	22000000	0.854373551676193	0.2503815
chr1	22000000	23000000	0.88138421133941	0.248941
chr1	23000000	24000000	0.793492970801792	0.2497695
chr1	24000000	25000000	0.878720840414028	0.248683
chr1	25000000	26000000	0.857296462227715	0.251984
chr1	26000000	27000000	0.845610999536537	0.2565515
chr1	27000000	28000000	0.876205777846439	0.2566655
chr1	28000000	29000000	0.805678974200525	0.25916
chr1	29000000	30000000	0.811975899891859	0.26323
chr1	30000000	31000000	0.875711416653793	0.261412
chr1	31000000	32000000	0.851116947319636	0.261556
chr1	32000000	33000000	0.860874401359493	0.26403
chr1	33000000	34000000	0.707053916267573	0.263641
chr1	34000000	35000000	0.65724702610845	0.2653805
chr1	35000000	36000000	0.648255831917195	0.2637045
chr1	36000000	37000000	0.660441835315928	0.2658865
chr1	37000000	38000000	0.904081569596787	0.264426
chr1	38000000	39000000	0.669933570214739	0.265444
chr1	39000000	40000000	0.669791441371853	0.26835
chr1	40000000	41000000	0.699928935578557	0.268697
chr1	41000000	42000000	0.784872547505021	0.270301
chr1	42000000	43000000	0.68463463618106	0.2714935
chr1	43000000	44000000	0.920432566043566	0.2707195
chr1	44000000	45000000	0.781313146917967	0.2747785
chr1	45000000	46000000	0.713542406921057	0.2795535
chr1	46000000	47000000	0.651277614707246	0.2777965
chr1	47000000	48000000	0.525487409238375	0.277605
chr1	48000000	49000000	0.516601266800556	0.278734
chr1	49000000	50000000	0.285586281476904	0.2777995
chr1	50000000	51000000	0.355186157886606	0.2803835
chr1	51000000	52000000	0.361699366599722	0.2785145
