chrom	start	end	comp	layer	GPSeq
chr1	200001	300000	B1	10	1
chr1	700001	800000	A1	9	0.867276877818395
chr1	800001	900000	A1	9	0.892728435499424
chr1	900001	1000000	A1	10	1
chr1	1000001	1100000	A1	10	1
chr1	1100001	1200000	A1	10	1
chr1	1200001	1300000	A1	10	1
chr1	1300001	1400000	A1	10	1
chr1	1400001	1500000	A1	10	1
chr1	1500001	1600000	A1	8	0.742686848147934
chr1	1600001	1700000	A1	10	1
chr1	1700001	1800000	A1	9	0.80361457061749
chr1	1800001	1900000	A1	10	1
chr1	1900001	2000000	A1	10	1
chr1	2000001	2100000	A1	10	0.955530200352283
chr1	2100001	2200000	A1	10	1
chr1	2200001	2300000	A1	10	0.934010916700212
chr1	2300001	2400000	B1	10	1
chr1	2400001	2500000	B1	10	1
chr1	2500001	2600000	B1	10	0.977832124503912
chr1	2600001	2700000	B1	10	1
chr1	2700001	2800000	B1	10	1
chr1	2800001	2900000	B1	10	0.974661054906123
chr1	2900001	3000000	B1	9	0.819985353108131
chr1	3000001	3100000	B1	10	0.916906173956155
chr1	3100001	3200000	B1	10	1
chr1	3200001	3300000	B1	10	1
chr1	3300001	3400000	B1	9	0.898288133070184
chr1	3400001	3500000	B1	10	1
chr1	3500001	3600000	B1	8	0.742023627945612
chr1	3600001	3700000	A1	7	0.690516553801749
chr1	3700001	3800000	A1	8	0.762372645977486
chr1	3800001	3900000	B1	7	0.637136366840114
chr1	4000001	4100000	B1	7	0.674125025272458
chr1	4100001	4200000	B1	8	0.702740014240536
chr1	4200001	4300000	B1	7	0.699920038845344
chr1	4300001	4400000	B1	8	0.733699970005018
chr1	4400001	4500000	B2	8	0.741965203809579
chr1	4500001	4600000	B1	7	0.648659347502602
chr1	4600001	4700000	B2	8	0.721511791405796
chr1	4700001	4800000	B1	7	0.699880735583164
chr1	4800001	4900000	B2	7	0.691022596326005
chr1	4900001	5000000	B2	6	0.58402709495917
chr1	5000001	5100000	B2	6	0.581259688172591
chr1	5100001	5200000	B1	7	0.645231216056126
chr1	5200001	5300000	B1	6	0.504015443037063
chr1	5300001	5400000	B2	7	0.673071246787048
chr1	5400001	5500000	B1	7	0.668784440861899
chr1	5500001	5600000	B1	7	0.630387902412899
chr1	5600001	5700000	B1	7	0.622169364099647
chr1	5700001	5800000	B1	8	0.709095794626181
chr1	5800001	5900000	B1	8	0.799887867366773
chr1	5900001	6000000	B1	8	0.741693063227301
chr1	6000001	6100000	B1	7	0.684524253358059
chr1	6100001	6200000	B1	9	0.840125097067905
chr1	6200001	6300000	A1	6	0.595154702597028
chr1	6300001	6400000	A1	10	0.985797875338825
chr1	6400001	6500000	A1	9	0.805178697081839
chr1	6500001	6600000	A1	9	0.817977048071475
chr1	6600001	6700000	A1	9	0.827202991535194
chr1	6700001	6800000	A1	8	0.729448359722283
chr1	6800001	6900000	A1	7	0.680064014691393
chr1	6900001	7000000	A2	7	0.672725703797146
chr1	7000001	7100000	B1	9	0.855652264253748
chr1	7100001	7200000	B1	8	0.743947050262034
chr1	7200001	7300000	B1	6	0.592662503798068
chr1	7300001	7400000	B1	8	0.740413515755224
chr1	7400001	7500000	B1	8	0.739315402308826
chr1	7500001	7600000	B1	9	0.857821515549301
chr1	7600001	7700000	B1	8	0.725146206304062
chr1	7700001	7800000	A2	8	0.747004759796036
chr1	7800001	7900000	A1	7	0.649164778247569
chr1	7900001	8000000	A1	8	0.718003863400229
chr1	8000001	8100000	A2	6	0.549793569924676
chr1	8100001	8200000	A2	7	0.668108324950506
chr1	8200001	8300000	A1	8	0.722370922823648
chr1	8300001	8400000	A2	7	0.671407738143212
chr1	8400001	8500000	A2	9	0.829246625088034
chr1	8500001	8600000	A2	7	0.664035625310326
chr1	8600001	8700000	A2	7	0.612882638087799
chr1	8700001	8800000	A2	7	0.617332395990814
chr1	8800001	8900000	A1	6	0.583509858057997
chr1	8900001	9000000	A1	8	0.76862259906513
chr1	9000001	9100000	A1	7	0.624072738085012
chr1	9100001	9200000	A1	7	0.661930390853741
chr1	9200001	9300000	A1	10	0.943661009393043
chr1	9300001	9400000	A2	9	0.808726798474549
chr1	9400001	9500000	A1	8	0.760519920584631
chr1	9500001	9600000	A1	8	0.714340302005413
chr1	9600001	9700000	A1	8	0.714906932458417
chr1	9700001	9800000	A1	9	0.813718921925371
chr1	9800001	9900000	A1	7	0.679615554577632
chr1	9900001	10000000	A1	8	0.777273867770329
chr1	10000001	10100000	A1	7	0.64489181838426
chr1	10100001	10200000	A1	9	0.838975312110406
chr1	10200001	10300000	A1	7	0.640639327996018
chr1	10300001	10400000	A1	7	0.68151367956703
chr1	10400001	10500000	A1	9	0.84683648042799
chr1	10500001	10600000	A1	7	0.674779305646888
chr1	10600001	10700000	A1	9	0.802397689688417
chr1	10700001	10800000	A2	9	0.892986501445029
chr1	10800001	10900000	A1	9	0.848500104142923
chr1	10900001	11000000	A1	9	0.87411020924934
chr1	11000001	11100000	A1	10	0.926337399294337
chr1	11100001	11200000	A1	8	0.758218943341914
chr1	11200001	11300000	A1	8	0.788714337037112
chr1	11300001	11400000	A1	9	0.805913626376081
chr1	11400001	11500000	A2	8	0.797823142077751
chr1	11500001	11600000	B1	9	0.801611208480244
chr1	11600001	11700000	B1	8	0.792791011871523
chr1	11700001	11800000	A1	9	0.832837573467439
chr1	11800001	11900000	A1	8	0.755825681821488
chr1	11900001	12000000	A1	7	0.685843781345191
chr1	12000001	12100000	A1	8	0.790868018548686
chr1	12100001	12200000	A2	8	0.786409345079216
chr1	12200001	12300000	A2	8	0.710300038867264
chr1	12300001	12400000	A2	6	0.522504003125034
chr1	12400001	12500000	A2	6	0.564597714580218
chr1	12500001	12600000	A2	7	0.627863818053868
chr1	12600001	12700000	A2	7	0.697466558648945
chr1	12700001	12800000	B1	6	0.531111251008508
chr1	12800001	12900000	B1	6	0.557667719278548
chr1	12900001	13000000	B1	10	0.980114571556448
chr1	13000001	13100000	B3	7	0.694444023936964
chr1	13100001	13200000	B1	8	0.779036081635646
chr1	13200001	13300000	B3	5	0.47273100440065
chr1	13700001	13800000	A2	6	0.53685364404366
chr1	13800001	13900000	B1	7	0.607147027426199
chr1	13900001	14000000	A2	6	0.523523831348729
chr1	14000001	14100000	A2	5	0.474804774290244
chr1	14100001	14200000	B1	7	0.626946792723367
chr1	14200001	14300000	B1	5	0.48573186666277
