chrom	start	end	comp	Layer	variable	value
chr1	700001	8e+05	A1	9	H3K4me1	1.04509877565404
chr1	800001	9e+05	A1	9	H3K4me1	3.51537565932542
chr1	900001	1e+06	A1	10	H3K4me1	2.56028651292751
chr1	1000001	1100000	A1	10	H3K4me1	1.64487542551061
chr1	1100001	1200000	A1	10	H3K4me1	1.67689614792724
chr1	1200001	1300000	A1	10	H3K4me1	2.85194720013559
chr1	1300001	1400000	A1	10	H3K4me1	3.11346657739669
chr1	1400001	1500000	A1	10	H3K4me1	1.50323890801693
chr1	1500001	1600000	A1	8	H3K4me1	1.97290501225481
chr1	1600001	1700000	A1	10	H3K4me1	1.33248889123807
chr1	1700001	1800000	A1	9	H3K4me1	3.56819633284509
chr1	1800001	1900000	A1	10	H3K4me1	2.39405784565618
chr1	1900001	2e+06	A1	10	H3K4me1	2.03076235561897
chr1	2000001	2100000	A1	10	H3K4me1	1.3014161064297
chr1	2100001	2200000	A1	10	H3K4me1	2.39926693327506
chr1	2200001	2300000	A1	10	H3K4me1	1.55521516091009
chr1	2300001	2400000	B1	10	H3K4me1	1.70895356662889
chr1	2400001	2500000	B1	10	H3K4me1	1.82031038841218
chr1	2500001	2600000	B1	10	H3K4me1	1.20909721082866
chr1	2700001	2800000	B1	10	H3K4me1	0.908698873831332
chr1	2800001	2900000	B1	10	H3K4me1	0.85965331744651
chr1	2900001	3e+06	B1	9	H3K4me1	1.11292229782591
chr1	3000001	3100000	B1	10	H3K4me1	1.59501030022005
chr1	3100001	3200000	B1	10	H3K4me1	1.47693265035997
chr1	3200001	3300000	B1	10	H3K4me1	1.34345704808484
chr1	3300001	3400000	B1	9	H3K4me1	1.43526722969711
chr1	3400001	3500000	B1	10	H3K4me1	1.07637504750341
chr1	3500001	3600000	B1	8	H3K4me1	1.92947162248194
chr1	3600001	3700000	A1	7	H3K4me1	1.74404553863953
chr1	3700001	3800000	A1	8	H3K4me1	1.86096882506261
chr1	4000001	4100000	B1	7	H3K4me1	0.939812735996445
chr1	4100001	4200000	B1	8	H3K4me1	0.835824928894341
chr1	4200001	4300000	B1	7	H3K4me1	0.879951438769599
chr1	4300001	4400000	B1	8	H3K4me1	0.81804159978648
chr1	4400001	4500000	B2	8	H3K4me1	0.758536798981925
chr1	4500001	4600000	B1	7	H3K4me1	0.88826357076933
chr1	4600001	4700000	B2	8	H3K4me1	0.762457641057571
chr1	4700001	4800000	B1	7	H3K4me1	0.780074089375933
chr1	4800001	4900000	B2	7	H3K4me1	0.761969670874973
chr1	4900001	5e+06	B2	6	H3K4me1	0.739327054255207
chr1	5000001	5100000	B2	6	H3K4me1	0.743557195812663
chr1	5100001	5200000	B1	7	H3K4me1	0.754463360598683
chr1	5200001	5300000	B1	6	H3K4me1	0.7870153090476
chr1	5300001	5400000	B2	7	H3K4me1	0.78212985622714
chr1	5400001	5500000	B1	7	H3K4me1	0.93904094558537
chr1	5500001	5600000	B1	7	H3K4me1	0.82095794453303
chr1	5600001	5700000	B1	7	H3K4me1	0.810260368291934
chr1	5700001	5800000	B1	8	H3K4me1	0.86137025853912
chr1	5800001	5900000	B1	8	H3K4me1	0.866167099054456
chr1	5900001	6e+06	B1	8	H3K4me1	1.1248035977004
chr1	6000001	6100000	B1	7	H3K4me1	1.60688773364753
chr1	6100001	6200000	B1	9	H3K4me1	1.06453938711315
chr1	6200001	6300000	A1	6	H3K4me1	2.5498916251716
chr1	6300001	6400000	A1	10	H3K4me1	1.85629687659343
chr1	6400001	6500000	A1	9	H3K4me1	2.38144651211778
chr1	6500001	6600000	A1	9	H3K4me1	1.91015142874281
chr1	6600001	6700000	A1	9	H3K4me1	2.50474861310263
chr1	6700001	6800000	A1	8	H3K4me1	2.07444413080831
chr1	6800001	6900000	A1	7	H3K4me1	2.31377063675155
chr1	6900001	7e+06	A2	7	H3K4me1	2.25924947015216
chr1	7000001	7100000	B1	9	H3K4me1	1.36788269265254
chr1	7100001	7200000	B1	8	H3K4me1	0.903794779137373
chr1	7200001	7300000	B1	6	H3K4me1	0.95994032601426
chr1	7300001	7400000	B1	8	H3K4me1	1.29410547127018
chr1	7400001	7500000	B1	8	H3K4me1	0.891922354166806
chr1	7500001	7600000	B1	9	H3K4me1	1.15028892546435
chr1	7600001	7700000	B1	8	H3K4me1	0.926697655315101
chr1	7700001	7800000	A2	8	H3K4me1	1.28289052708228
chr1	7800001	7900000	A1	7	H3K4me1	1.69507608970205
chr1	7900001	8e+06	A1	8	H3K4me1	1.09078808562944
chr1	8000001	8100000	A2	6	H3K4me1	1.72429540923993
chr1	8100001	8200000	A2	7	H3K4me1	1.14723150787115
chr1	8200001	8300000	A1	8	H3K4me1	1.10376482265174
chr1	8300001	8400000	A2	7	H3K4me1	1.23451368615399
chr1	8400001	8500000	A2	9	H3K4me1	2.85969701274673
chr1	8500001	8600000	A2	7	H3K4me1	3.0238978688399
chr1	8600001	8700000	A2	7	H3K4me1	2.39315727149288
chr1	8700001	8800000	A2	7	H3K4me1	3.91369162650218
chr1	8800001	8900000	A1	6	H3K4me1	2.53109994362245
chr1	8900001	9e+06	A1	8	H3K4me1	2.56691296427151
chr1	9000001	9100000	A1	7	H3K4me1	1.60182235140771
chr1	9100001	9200000	A1	7	H3K4me1	2.28002286077539
chr1	9200001	9300000	A1	10	H3K4me1	1.90059922478179
chr1	9300001	9400000	A2	9	H3K4me1	1.61058637700339
chr1	9400001	9500000	A1	8	H3K4me1	1.51401086092323
chr1	9500001	9600000	A1	8	H3K4me1	1.36848169469486
