chrom	start	end	layer	damid_sig_over_ctrl
chr1	104200001	104300000	1	0
chr1	187200001	187300000	2	0.872641805559397
chr1	188700001	188800000	2	0.494714154675603
chr1	189800001	189900000	2	0.852303777541965
chr1	195800001	195900000	2	1.60466146171093
chr1	196300001	196400000	2	1.34020056426525
chr1	197100001	197200000	2	-0.324925601202995
chr1	197300001	197400000	2	1.20294241160154
chr1	197400001	197500000	2	0.687819118238986
chr1	216100001	216200000	2	1.20415851967409
chr1	216300001	216400000	2	0.324449908174574
chr1	216900001	2.17e+08	2	-0.920950032025576
chr1	217900001	2.18e+08	2	1.42257506549358
chr1	218200001	218300000	2	0.814353243261576
chr1	219000001	219100000	2	0.550036256760359
chr1	219200001	219300000	2	-0.164886227250099
chr1	238900001	2.39e+08	2	0.759199968352914
chr1	239700001	239800000	2	1.92167687118053
chr1	239800001	239900000	2	1.73900918364525
chr1	240100001	240200000	2	0.325264400616288
chr1	57000001	57100000	3	-0.713745934329927
chr1	61500001	61600000	3	-1.66380628049374
chr1	69200001	69300000	3	0.0808448235038668
chr1	69600001	69700000	3	0.241550539107993
chr1	70200001	70300000	3	0.885707952827215
chr1	70900001	7.1e+07	3	-1.74608294516802
chr1	72000001	72100000	3	1.14219925925136
chr1	72400001	72500000	3	0.0498870795592666
chr1	72700001	72800000	3	0.921808722801507
chr1	73100001	73200000	3	1.53899058401585
chr1	73900001	7.4e+07	3	1.1003564208746
chr1	75100001	75200000	3	1.00336921550333
chr1	76200001	76300000	3	-0.635473577491939
chr1	82100001	82200000	3	-1.60005747899413
chr1	99900001	1e+08	3	-0.0903764703776687
chr1	163800001	163900000	3	0.374179598689079
chr1	167200001	167300000	3	-1.30950611159205
chr1	169900001	1.7e+08	3	0.28654220700264
chr1	170100001	170200000	3	0.806061302125454
chr1	170400001	170500000	3	0.418354956619442
chr1	170800001	170900000	3	0.194585250504315
chr1	171900001	1.72e+08	3	0.504472817853093
chr1	184000001	184100000	3	-0.864645822253078
chr1	185100001	185200000	3	0.142242133617401
chr1	185600001	185700000	3	0.130625842884183
