Case	chr1	chr2	chr3	chr4	chr5	chr6	chr7	chr8	chr9:22	chr10	chr11	chr12	chr13	chr14	chr15	chr16	chr17	chr18	chr19	chr20	chr21	chr22:9
B2<B3<A2<B1<A1	0.178000	0.010000	0.107000	0.016000	0.122000	0.066000	0.041000	0.010000	0.060000	0.016000	0.106000	0.020000	0.010000	0.009000	0.028000	0.006000	0.011000	0.006000	0.028000	0.000000	0.016000	0.013000
B3<B2<A2<B1<A1	0.041000	0.006000	0.007000	0.006000	0.017000	0.047000	0.013000	0.015000	0.124000	0.021000	0.022000	0.015000	0.026000	0.017000	0.043000	0.045000	0.019000	0.014000	0.062000	0.000000	0.226000	0.006000
B3<A2<B2<A1<B1	0.056000	0.019000	0.010000	0.147000	0.033000	0.069000	0.022000	0.033000	0.061000	0.015000	0.009000	0.056000	0.022000	0.018000	0.010000	0.004000	0.013000	0.077000	0.006000	0.000000	0.013000	0.034000
B3<A2<B2<B1<A1	0.061000	0.009000	0.018000	0.044000	0.042000	0.070000	0.012000	0.036000	0.088000	0.011000	0.026000	0.021000	0.070000	0.006000	0.028000	0.016000	0.012000	0.023000	0.008000	0.000000	0.048000	0.007000
B2<B1<A1<A2<B3	0.025000	0.031000	0.012000	0.024000	0.015000	0.011000	0.043000	0.033000	0.007000	0.020000	0.030000	0.038000	0.010000	0.063000	0.032000	0.010000	0.028000	0.006000	0.011000	0.043000	0.000000	0.084000
B2<B1<A2<A1<B3	0.009000	0.012000	0.004000	0.000000	0.004000	0.000000	0.010000	0.011000	0.010000	0.025000	0.015000	0.044000	0.012000	0.076000	0.072000	0.008000	0.041000	0.003000	0.030000	0.161000	0.001000	0.012000
B1<A1<B2<A2<B3	0.022000	0.016000	0.007000	0.059000	0.007000	0.026000	0.021000	0.017000	0.004000	0.012000	0.011000	0.027000	0.005000	0.036000	0.006000	0.008000	0.017000	0.179000	0.000000	0.023000	0.006000	0.019000
B2<B3<A2<A1<B1	0.039000	0.022000	0.115000	0.039000	0.028000	0.051000	0.025000	0.004000	0.008000	0.007000	0.051000	0.030000	0.003000	0.015000	0.007000	0.004000	0.003000	0.006000	0.007000	0.000000	0.003000	0.038000
B3<A2<A1<B2<B1	0.015000	0.033000	0.009000	0.043000	0.016000	0.033000	0.039000	0.041000	0.041000	0.042000	0.005000	0.051000	0.028000	0.017000	0.005000	0.004000	0.005000	0.010000	0.002000	0.000000	0.007000	0.039000
B1<B2<A1<A2<B3	0.003000	0.055000	0.005000	0.021000	0.005000	0.015000	0.039000	0.009000	0.008000	0.034000	0.008000	0.066000	0.007000	0.077000	0.014000	0.003000	0.015000	0.011000	0.004000	0.024000	0.002000	0.039000
