chrom	size	dsn
chr1	249250621	0.362827
chr2	243199373	0.3248685
chr3	198022430	0.316411
chr4	191154276	0.3651155
chr5	180915260	0.3666905
chr6	171115067	0.3190185
chr7	159138663	0.34663675
chr8	146364022	0.31052775
chr9:22	161353502	0.39339
chr10	135534747	0.3972445
chr11	135006516	0.31377125
chr12	133851895	0.31710275
chr13	115169878	0.3471605
chr14	107349540	0.373021
chr15	102531392	0.4005425
chr16	90354753	0.381603
chr17	81195210	0.35163075
chr18	78077248	0.3220675
chr19	59128983	0.3798255
chr20	63025520	0.4915765
chr21	48129895	0.58158
chr22:9	31164495	0.5603225
chrX	155270560	0.3058475
