phase	subcomp	chrom	start	end	gpseq_score
G1	B1	chr1	12700001	12800000	1.53295846331299
G1	B1	chr1	31100001	31200000	1.84075917264782
G1	B1	chr10	29100001	29200000	1.45903963949472
G1	B1	chr11	1000001	1100000	2.27845425180555
G1	B1	chr11	2800001	2900000	1.70449209473937
G1	B1	chr11	69200001	69300000	1.9150025536354
G1	B1	chr11	74700001	74800000	1.65758775576375
G1	B1	chr11	74800001	74900000	1.77231607077451
G1	B1	chr12	6300001	6400000	1.68664637740463
G1	B1	chr14	20900001	21000000	1.42035635908324
G1	B1	chr14	22000001	22100000	1.63677567845449
G1	B1	chr14	23800001	23900000	1.79659271674898
G1	B1	chr14	24800001	24900000	1.69519862367072
G1	B1	chr15	34900001	35000000	1.5463657886803
G1	B1	chr15	35000001	35100000	1.60184290785881
G1	B1	chr15	81300001	81400000	1.53426982905162
G1	B1	chr15	81400001	81500000	1.47076783567581
G1	B1	chr15	89400001	89500000	1.63207078134518
G1	B1	chr15	89500001	89600000	1.5473728830881
G1	B1	chr15	89700001	89800000	1.46171006292054
G1	B1	chr16	9200001	9300000	1.46743916490717
G1	B1	chr16	10400001	10500000	1.64043697779076
G1	B1	chr16	10500001	10600000	1.60302114794918
G1	B1	chr16	11100001	11200000	1.70022023915824
G1	B1	chr16	20600001	20700000	1.56965334205252
G1	B1	chr16	20700001	20800000	1.55990620562473
G1	B1	chr16	23800001	23900000	1.63979012513454
G1	B1	chr16	23900001	24000000	1.7538659871519
G1	B1	chr16	31200001	31300000	1.78270924700074
G1	B1	chr17	6800001	6900000	2.06891307698247
G1	B1	chr17	6900001	7000000	1.83910363625912
G1	B1	chr17	26300001	26400000	1.75531082666774
G1	B1	chr17	31100001	31200000	1.77692762487888
G1	B1	chr17	31200001	31300000	1.65165724775832
G1	B1	chr17	31300001	31400000	1.80035882347731
G1	B1	chr17	33800001	33900000	1.83483146010528
G1	B1	chr18	8900001	9000000	1.57120752854623
G1	B1	chr18	9800001	9900000	1.66337833248788
G1	B1	chr18	9900001	10000000	1.42877258549501
G1	B1	chr18	12200001	12300000	1.64097997494655
G1	B1	chr19	41400001	41500000	2.1697625897764
G1	B1	chr19	51800001	51900000	1.99296606639236
G1	B1	chr19	51900001	52000000	1.97730389587345
G1	B1	chr19	52000001	52100000	1.79760813205408
G1	B1	chr19	52100001	52200000	2.16124209438043
G1	B1	chr19	54700001	54800000	1.93203880771571
G1	B1	chr19	55400001	55500000	1.96471654109188
G1	B1	chr19	55500001	55600000	1.90070064015262
G1	B1	chr20	4100001	4200000	1.54908247896205
G1	B1	chr20	5700001	5800000	1.4311610383437
G1	B1	chr20	37400001	37500000	1.70427035739278
G1	B1	chr20	37600001	37700000	1.52946111475434
G1	B1	chr20	39700001	39800000	1.59213146019888
G1	B1	chr20	42100001	42200000	1.65845753662424
G1	B1	chr20	44300001	44400000	1.43646297561539
G1	B1	chr20	54900001	55000000	1.42459320795894
G1	B1	chr20	55000001	55100000	1.58736000188523
G1	B1	chr20	57600001	57700000	1.66278505175671
G1	B1	chr21	30400001	30500000	1.42522595819693
G1	B1	chr21	40700001	40800000	1.63559278461939
G1	B1	chr21	44200001	44300000	1.79674767436871
G1	B1	chr21	45500001	45600000	2.02378151717358
G1	B1	chr21	47500001	47600000	1.89423504767028
G1	B1	chr3	124200001	124300000	1.53880818790306
G1	B1	chr3	124300001	124400000	1.68816201484779
G1	B1	chr3	128000001	128100000	1.8118360994857
G1	B1	chr3	128100001	128200000	1.79935555059091
G1	B1	chr5	175500001	175600000	1.43071437131837
G1	A1	chr1	12000001	12100000	1.71940134497002
G1	A1	chr1	22200001	22300000	1.77928277734798
G1	A1	chr1	45200001	45300000	1.70407604847607
G1	A1	chr1	155100001	155200000	2.00766719369019
G1	A1	chr1	155200001	155300000	2.00676207505612
G1	A1	chr1	155900001	156000000	1.87780439588209
G1	A1	chr1	156000001	156100000	1.84852585876365
G1	A1	chr10	99100001	99200000	1.73779913295676
G1	A1	chr11	600001	700000	1.85444531842917
G1	A1	chr11	700001	800000	1.73669393563003
G1	A1	chr11	800001	900000	1.85559519926055
G1	A1	chr11	62400001	62500000	1.83014613548933
G1	A1	chr11	62500001	62600000	1.90114767575171
G1	A1	chr11	64600001	64700000	1.90357152997968
G1	A1	chr11	65000001	65100000	1.98921161413002
G1	A1	chr11	65100001	65200000	1.87724548852041
G1	A1	chr11	65200001	65300000	1.9095013567125
G1	A1	chr11	65600001	65700000	2.05181442391814
G1	A1	chr12	6700001	6800000	1.8202095449759
G1	A1	chr12	6800001	6900000	1.76915381682789
G1	A1	chr12	53800001	53900000	1.63791110543624
G1	A1	chr12	54600001	54700000	1.57323264508869
G1	A1	chr12	54700001	54800000	1.5198314895302
G1	A1	chr12	57000001	57100000	1.53896097598275
G1	A1	chr12	110800001	110900000	1.90386616517065
G1	A1	chr12	123400001	123500000	1.99805320326079
G1	A1	chr14	103000001	103100000	1.60587523896596
G1	A1	chr14	103800001	103900000	1.56105442912929
G1	A1	chr15	91300001	91400000	1.39763645979912
G1	A1	chr16	100001	200000	2.13434912840666
G1	A1	chr16	200001	300000	1.84614564892583
G1	A1	chr16	300001	400000	2.34552359828716
G1	A1	chr16	400001	500000	1.99768804656516
G1	A1	chr16	500001	600000	2.17819816590089
G1	A1	chr16	600001	700000	2.30048250895965
G1	A1	chr16	700001	800000	2.43929313085218
G1	A1	chr16	2000001	2100000	2.24441479100783
G1	A1	chr16	2100001	2200000	1.78485158702697
G1	A1	chr16	2200001	2300000	2.24261852333869
G1	A1	chr16	3000001	3100000	1.84798705315364
G1	A1	chr16	29600001	29700000	2.05968322540205
G1	A1	chr16	67900001	68000000	1.86025499395882
G1	A1	chr16	70400001	70500000	2.03628054217573
G1	A1	chr16	88600001	88700000	2.08260349493281
G1	A1	chr16	88700001	88800000	2.16120553866768
G1	A1	chr16	88800001	88900000	2.44489354059554
G1	A1	chr16	88900001	89000000	2.15459894994056
G1	A1	chr16	89100001	89200000	2.18675601240203
G1	A1	chr16	89600001	89700000	2.29902018949335
G1	A1	chr16	89700001	89800000	2.07126486346911
G1	A1	chr17	27000001	27100000	1.71799862220145
G1	A1	chr17	27100001	27200000	1.93398382557557
G1	A1	chr17	27200001	27300000	2.13027091095369
G1	A1	chr17	40500001	40600000	1.8304245813133
G1	A1	chr17	40600001	40700000	1.88978851079306
G1	A1	chr17	40700001	40800000	1.80086042763867
G1	A1	chr17	42100001	42200000	2.0783790781038
G1	A1	chr17	42200001	42300000	1.94899462174565
G1	A1	chr17	45900001	46000000	1.97692285851841
G1	A1	chr17	73100001	73200000	1.83493648707283
G1	A1	chr17	73800001	73900000	1.9699176737945
G1	A1	chr17	76100001	76200000	1.90545047280929
G1	A1	chr17	76200001	76300000	2.06548121512677
