chrom	start	end	expression	gpseq_score
chr1	100001	1100000	5447.83333333333	1.95820457861191
chr1	200001	1200000	7023	2.00718106997393
chr1	300001	1300000	9858.5	2.10416596079957
chr1	400001	1400000	12863.8333333333	2.09740617501508
chr1	500001	1500000	15153	2.10239999839256
chr1	600001	1600000	16146.1666666667	2.01778015992248
chr1	700001	1700000	17889.6666666667	2.00805721297993
chr1	800001	1800000	19448.5	1.95749441865197
chr1	900001	1900000	16861	2.00902878835612
chr1	1000001	2e+06	15207.6666666667	2.05199344520332
chr1	1100001	2100000	15023	2.02319384770008
chr1	1200001	2200000	14255	2.03626171097336
chr1	1300001	2300000	12231.6666666667	1.96237494845798
chr1	1400001	2400000	10683	1.99101850230025
chr1	1500001	2500000	8926.5	1.99732786218846
chr1	1600001	2600000	8280.16666666667	2.05102616607268
chr1	1700001	2700000	6500.66666666667	2.05395558648594
chr1	1800001	2800000	4562.33333333333	2.12588483887227
chr1	1900001	2900000	4399.5	2.13138190136816
chr1	2000001	3e+06	4333.83333333333	2.08251708690573
chr1	2100001	3100000	4177	2.08319364395242
chr1	2200001	3200000	3381.5	2.05877256497186
chr1	2300001	3300000	2563.66666666667	2.126387832064
chr1	2400001	3400000	1268	2.06711669233055
chr1	2500001	3500000	803.666666666667	2.04419448315095
chr1	2600001	3600000	1065	1.99326512285224
chr1	2700001	3700000	2720.83333333333	1.95172630376937
chr1	2800001	3800000	3914.5	1.89046208484544
chr1	2900001	3900000	4522.33333333333	1.85466968877979
chr1	3000001	4e+06	4512	1.85390782098578
chr1	3100001	4100000	4506.33333333333	1.80376850342754
chr1	3200001	4200000	4494.5	1.77336998447052
chr1	3300001	4300000	4491.83333333333	1.70975701462859
chr1	3400001	4400000	4330.16666666667	1.68294715097204
chr1	3500001	4500000	4262	1.65413023185284
chr1	3600001	4600000	3462	1.64820054377179
chr1	3700001	4700000	1806.33333333333	1.67080180785014
chr1	3800001	4800000	611.333333333333	1.66775621527462
chr1	3900001	4900000	3.66666666666667	1.67344420116388
chr1	4000001	5e+06	3.83333333333333	1.65872183925339
chr1	4100001	5100000	3	1.63878557684576
chr1	4200001	5200000	6.33333333333333	1.63096030083775
chr1	4300001	5300000	5	1.61142514910809
