chrom	start	end	gpseq_score	comp
chr1	1000001	2e+06	2	A
chr1	2000001	3e+06	2	A
chr1	3000001	4e+06	1.85390782098578	A
chr1	4000001	5e+06	1.65872183925339	A
chr1	5000001	6e+06	1.63319997264152	A
chr1	6000001	7e+06	1.70464251499132	A
chr1	7000001	8e+06	1.7150585532016	A
chr1	8000001	9e+06	1.64147918875392	A
chr1	9000001	1e+07	1.73141600986702	A
chr1	10000001	1.1e+07	1.73422202680108	A
chr1	11000001	1.2e+07	1.78942203404226	A
chr1	12000001	1.3e+07	1.56539311422859	A
chr1	13000001	1.4e+07	1.46004922055514	A
chr1	14000001	1.5e+07	1.45857614376275	A
chr1	15000001	1.6e+07	1.61994434324242	A
chr1	16000001	1.7e+07	1.71842429399506	A
chr1	17000001	1.8e+07	1.91731536994243	A
chr1	18000001	1.9e+07	1.92898148010456	A
chr1	19000001	2e+07	1.86355082125821	A
chr1	20000001	2.1e+07	1.8477476293363	A
chr1	21000001	2.2e+07	1.73412009602368	A
chr1	22000001	2.3e+07	1.90134988109099	A
chr1	23000001	2.4e+07	1.77759847473164	A
chr1	24000001	2.5e+07	1.85130155697916	A
chr1	25000001	2.6e+07	1.83531051164786	A
chr1	26000001	2.7e+07	1.85834525370925	A
chr1	27000001	2.8e+07	1.83761497451182	A
chr1	28000001	2.9e+07	1.7413095288459	A
chr1	29000001	3e+07	1.73363962846711	A
chr1	30000001	3.1e+07	1.80508724225265	A
chr1	31000001	3.2e+07	1.77834330097157	A
chr1	32000001	3.3e+07	1.80456582021943	A
chr1	33000001	3.4e+07	1.59570624054972	A
chr1	34000001	3.5e+07	1.63804413901844	A
chr1	35000001	3.6e+07	1.57823925226555	A
chr1	36000001	3.7e+07	1.59942010014826	A
chr1	37000001	3.8e+07	1.86327208596893	A
chr1	38000001	3.9e+07	1.63970597294818	A
chr1	39000001	4e+07	1.6375394096124	A
chr1	40000001	4.1e+07	1.67651126764644	A
chr1	41000001	4.2e+07	1.74718944784798	A
chr1	42000001	4.3e+07	1.62902929559443	A
chr1	43000001	4.4e+07	1.80714367739772	A
chr1	44000001	4.5e+07	1.76994190060411	A
chr1	45000001	4.6e+07	1.65468031233524	A
chr1	46000001	4.7e+07	1.54265378323115	A
chr1	47000001	4.8e+07	1.40353186354638	A
chr1	48000001	4.9e+07	1.39160670498829	B
chr1	49000001	5e+07	1.29506497731696	B
chr1	50000001	5.1e+07	1.27349170603394	B
