chrom	start	end	comp	layer	variable	value
chr1	700001	8e+05	A1	9	PolII	1.41716774057969
chr1	800001	9e+05	A1	9	PolII	6.93006161826506
chr1	900001	1e+06	A1	10	PolII	4.34412797266573
chr1	1000001	1100000	A1	10	PolII	1.71097105797619
chr1	1100001	1200000	A1	10	PolII	2.72882571676746
chr1	1200001	1300000	A1	10	PolII	6.33474780170381
chr1	1300001	1400000	A1	10	PolII	5.70606174398482
chr1	1400001	1500000	A1	10	PolII	4.8045321819599
chr1	1500001	1600000	A1	8	PolII	2.81929090767413
chr1	1600001	1700000	A1	10	PolII	2.20230014719471
chr1	1700001	1800000	A1	9	PolII	4.2732553236787
chr1	1800001	1900000	A1	10	PolII	2.72324299086571
chr1	1900001	2e+06	A1	10	PolII	1.39119846491277
chr1	2000001	2100000	A1	10	PolII	1.42366756309763
chr1	2100001	2200000	A1	10	PolII	2.64914361166134
chr1	2200001	2300000	A1	10	PolII	1.99104156818919
chr1	2300001	2400000	B1	10	PolII	3.83586096340328
chr1	2400001	2500000	B1	10	PolII	2.13998616749898
chr1	2500001	2600000	B1	10	PolII	1.6884820010069
chr1	2700001	2800000	B1	10	PolII	0.960533903940767
chr1	2800001	2900000	B1	10	PolII	0.937311681929231
chr1	2900001	3e+06	B1	9	PolII	1.21876693714857
chr1	3000001	3100000	B1	10	PolII	1.22950563193336
chr1	3100001	3200000	B1	10	PolII	1.14397934218198
chr1	3200001	3300000	B1	10	PolII	1.16952915336788
chr1	3300001	3400000	B1	9	PolII	1.45095483665988
chr1	3400001	3500000	B1	10	PolII	1.3749802395694
chr1	3500001	3600000	B1	8	PolII	2.08343597669899
chr1	3600001	3700000	A1	7	PolII	3.02612311804071
chr1	3700001	3800000	A1	8	PolII	2.3213762690872
chr1	4000001	4100000	B1	7	PolII	0.941685390838236
chr1	4100001	4200000	B1	8	PolII	0.943905929017067
chr1	4200001	4300000	B1	7	PolII	0.935129467649311
chr1	4300001	4400000	B1	8	PolII	0.914516244061738
chr1	4400001	4500000	B2	8	PolII	0.922589476126805
chr1	4500001	4600000	B1	7	PolII	0.906115089768618
chr1	4600001	4700000	B2	8	PolII	0.902009334118813
chr1	4700001	4800000	B1	7	PolII	0.890055241110176
chr1	4800001	4900000	B2	7	PolII	0.90061258415401
chr1	4900001	5e+06	B2	6	PolII	0.93684018723473
chr1	5000001	5100000	B2	6	PolII	0.909374146685898
chr1	5100001	5200000	B1	7	PolII	0.947157059064955
chr1	5200001	5300000	B1	6	PolII	0.908070193304122
chr1	5300001	5400000	B2	7	PolII	0.902272107358873
chr1	5400001	5500000	B1	7	PolII	0.890228523387015
chr1	5500001	5600000	B1	7	PolII	0.925154077286273
chr1	5600001	5700000	B1	7	PolII	0.908938192231655
chr1	5700001	5800000	B1	8	PolII	0.794064715924263
chr1	5800001	5900000	B1	8	PolII	0.923638750092536
chr1	5900001	6e+06	B1	8	PolII	1.34033586291701
chr1	6000001	6100000	B1	7	PolII	1.53927790492862
