chrom	layer	perc
chr1	1	7.85296574770259
chr1	2	4.55373406193078
chr1	3	5.93461265103056
chr1	4	12.4016658954188
chr1	5	6.33734156646084
chr1	6	7.83251231527094
chr1	7	8.7552114353782
chr1	8	17.7194421657096
chr1	9	19.2182410423453
chr1	10	5.16467065868264
chr10	1	0
chr10	2	1.23456790123457
chr10	3	4.65529495380242
chr10	4	9.37066173068024
chr10	5	9.06727331816705
chr10	6	4.43349753694581
chr10	7	3.57355568790947
chr10	8	1.96882690730107
chr10	9	1.73724212812161
chr10	10	0.598802395209581
chr11	1	0.167084377610693
chr11	2	5.90973487148351
chr11	3	5.65031982942431
chr11	4	4.4423877834336
chr11	5	2.76243093922652
chr11	6	3.74384236453202
chr11	7	3.45443716497915
chr11	8	3.03527481542248
chr11	9	5.10314875135722
chr11	10	6.1377245508982
chr12	1	1.42021720969089
chr12	2	3.07630034405991
chr12	3	6.04122245913291
chr12	4	5.13651087459509
chr12	5	6.17484562885928
chr12	6	3.44827586206897
chr12	7	6.43240023823705
chr12	8	8.94175553732568
chr12	9	3.25732899022801
chr12	10	0
chr13	1	3.84294068504595
chr13	2	6.4561829589152
chr13	3	2.96730632551528
chr13	4	2.1749190189727
chr13	5	4.15989600259994
chr13	6	4.08866995073892
chr13	7	2.73972602739726
chr13	8	0.656275635767022
chr13	9	0
chr13	10	0
chr14	1	0.417710944026734
chr14	2	0.748836267961951
chr14	3	1.24378109452736
chr14	4	3.26237852845905
chr14	5	7.44231394215145
chr14	6	8.86699507389163
chr14	7	8.63609291244789
chr14	8	2.13289581624282
chr14	9	0
chr14	10	0
chr15	1	0
chr15	2	0.404776361060514
chr15	3	0.764036958066809
chr15	4	0.971772327626099
chr15	5	4.67988300292493
chr15	6	8.91625615763547
chr15	7	5.30077427039905
chr15	8	8.44954881050041
chr15	9	6.51465798045603
chr15	10	0.973053892215569
chr16	1	0
chr16	2	0
chr16	3	0.0177683013503909
chr16	4	0.832947709393799
chr16	5	2.33994150146246
chr16	6	4.63054187192118
chr16	7	6.61107802263252
chr16	8	12.6333059885152
chr16	9	12.7035830618893
chr16	10	9.58083832335329
chr17	1	0
chr17	2	0
chr17	3	0
chr17	4	0.1850994909764
chr17	5	1.16997075073123
chr17	6	3.94088669950739
chr17	7	5.00297796307326
chr17	8	6.89089417555373
chr17	9	12.7035830618893
chr17	10	23.4281437125749
chr18	1	0
chr18	2	1.86197126087837
chr18	3	3.85572139303483
chr18	4	3.54002776492365
chr18	5	2.40493987650309
chr18	6	4.23645320197044
chr18	7	3.33531864204884
chr18	8	0.984413453650533
chr18	9	0
chr18	10	0
chr19	1	0
chr19	2	0
chr19	3	0
chr19	4	0
