chrom	dsn
chr1	0.756328
chr2	0.594041
chr3	0.812151
chr4	0.757221
chr5	0.784805
chr6	0.461273
chr7	0.7768315
chr8	0.806269
chr9:22	0.707028
chr10	0.803959
chr11	0.7552385
chr12	0.7242055
chr13	0.782287
chr14	0.766772
chr15	0.428659
chr16	0.817163
chr17	0.6891745
chr18	0.838972
chr19	0.838416
chr20	0.762884
chr21	0.352407
chr22:9	0.6545405
chrX	0.782791
chr1	0.719204
chr2	0.732874
chr3	0.7903
chr4	0.780535
chr5	0.7808945
chr6	0.661546
chr7	0.764336
chr8	0.7818835
chr9:22	0.621312
chr10	0.6853395
chr11	0.344087
chr12	0.80435
chr13	0.786252
chr14	0.728835
chr15	0.7125485
chr16	0.831644
chr17	0.81918
chr18	0.764116
chr19	0.324579
chr20	0.461154
chr21	0.856644
chr22:9	0.8499785
chrX	0.827946
chr1	0.71293
chr2	0.730253
chr3	0.423743
chr4	0.775358
chr5	0.699563
chr6	0.727365
chr7	0.8035955
chr8	0.7136375
chr9:22	0.390673
chr10	0.829182
chr11	0.84827
chr12	0.7984065
chr13	0.824368
chr14	0.797984
chr15	0.725494
chr16	0.647307
chr17	0.795565
chr18	0.792633
chr19	0.758317
chr20	0.806782
chr21	0.432956
chr22:9	0.4826065
chrX	0.830608
chr1	0.736959
chr2	0.78826
chr3	0.720403
chr4	0.761345
chr5	0.7793735
chr6	0.775755
chr7	0.8039195
chr8	0.807911
chr9:22	0.629539
chr10	0.363686
chr11	0.7513615
chr12	0.812062
chr13	0.578504
chr14	0.380441
chr15	0.7485895
chr16	0.810012
chr17	0.769973
chr18	0.698163
chr19	0.344885
chr20	0.801562
chr21	0.826495
chr22:9	0.574543
chrX	0.801257
chr1	0.814657
chr2	0.742545
chr3	0.759638
chr4	0.789929
chr5	0.785112
chr6	0.734385
chr7	0.6995295
chr8	0.7876695
chr9:22	0.791729
chr10	0.7909225
chr11	0.315238
chr12	0.7578595
chr13	0.440596
chr14	0.685308
chr15	0.7735485
chr16	0.475741
chr17	0.7786075
chr18	0.844806
chr19	0.78793
chr20	0.782156
chr21	0.508778
chr22:9	0.752101
chrX	0.756743
chr1	0.584758
chr2	0.738535
chr3	0.757606
chr4	0.742433
chr5	0.7912635
chr6	0.609899
chr7	0.7918885
chr8	0.735327
chr9:22	0.763624
chr10	0.3196065
chr11	0.8263025
chr12	0.7953865
chr13	0.752434
chr14	0.655148
chr15	0.7334675
chr16	0.767624
chr17	0.733751
chr18	0.77225
chr19	0.773771
chr20	0.875663
chr21	0.834678
chr22:9	0.4435755
chrX	0.701077
chr1	0.742155
chr2	0.751538
chr3	0.794339
chr4	0.511194
chr5	0.5922225
