resolution	chrom	start	end	exp1	exp2
1Mb	chr1	100000	1100000	0.818927854163449	0.817869370206216
1Mb	chr1	200000	1200000	0.880030897574541	0.893017330608562
1Mb	chr1	300000	1300000	0.984538853699985	0.985489264577086
1Mb	chr1	400000	1400000	0.969083886914877	0.992197245149818
1Mb	chr1	500000	1500000	0.999814614552757	0.984036200536108
1Mb	chr1	600000	1600000	0.900441835315928	0.870916160195335
1Mb	chr1	700000	1700000	0.903618105978681	0.873099073754611
1Mb	chr1	800000	1800000	0.899947474123281	0.887092279519096
1Mb	chr1	900000	1900000	NA	0.961125560657131
1Mb	chr1	1100000	2100000	NA	0.977494094853898
1Mb	chr1	1300000	2300000	0.955371543333848	0.923810345285172
1Mb	chr1	1400000	2400000	0.988870693650549	0.938380795668675
1Mb	chr1	1500000	2500000	0.974472423914723	0.957609012978052
1Mb	chr1	2000000	3000000	0.989834697976209	NA
1Mb	chr1	2100000	3100000	0.984736598177043	NA
1Mb	chr1	2200000	3200000	0.951886296925691	0.988229517768519
1Mb	chr1	2500000	3500000	0.988790359956743	NA
1Mb	chr1	2600000	3600000	0.93937277923683	NA
1Mb	chr1	2700000	3700000	0.921538699212112	0.945559860930492
1Mb	chr1	2800000	3800000	0.893329213656728	0.906711961570105
1Mb	chr1	2900000	3900000	0.873270508265101	0.87580615196794
1Mb	chr1	3000000	4000000	0.879283176270663	0.868434671833117
1Mb	chr1	3100000	4100000	0.860485091920284	0.837402797314154
1Mb	chr1	3200000	4200000	0.845067202224626	0.835558268531543
1Mb	chr1	3300000	4300000	0.784668623513054	0.78578916637915
1Mb	chr1	3400000	4400000	0.788691487718214	0.741785875421323
1Mb	chr1	3500000	4500000	0.787331994438436	0.704643169935508
1Mb	chr1	3600000	4600000	0.78590452649467	0.731382202287747
1Mb	chr1	3700000	4700000	0.791045882898192	0.815076037049816
1Mb	chr1	3800000	4800000	0.771685462691179	0.808852411157409
1Mb	chr1	3900000	4900000	0.776023482156651	0.807246742217151
1Mb	chr1	4000000	5000000	0.748648231113858	0.791501897608748
1Mb	chr1	4100000	5100000	0.693508419589063	0.775252793333157
1Mb	chr1	4200000	5200000	0.677342808589526	0.777163672071977
1Mb	chr1	4300000	5300000	0.636477676502395	0.733598290825128
1Mb	chr1	4400000	5400000	0.633647458674494	0.748911860718173
1Mb	chr1	4500000	5500000	0.621807508110614	0.738846572361262
1Mb	chr1	4600000	5600000	0.634018229568979	0.735675044454471
1Mb	chr1	4700000	5700000	0.638955661980535	0.701478277024338
1Mb	chr1	4800000	5800000	0.62896338637417	0.708046922689031
1Mb	chr1	4900000	5900000	0.637633245790205	0.746005732636216
1Mb	chr1	5000000	6000000	0.654818476749575	0.761206507603705
1Mb	chr1	5100000	6100000	0.6911663834389	0.770515406459832
1Mb	chr1	5200000	6200000	0.710143673721613	0.774005414156427
1Mb	chr1	5300000	6300000	0.708784180441835	0.748095756256801
1Mb	chr1	5400000	6400000	0.73625212420825	0.757477640064758
1Mb	chr1	5500000	6500000	0.738903136103816	0.763475676106054
1Mb	chr1	5600000	6600000	0.759610690560791	0.769772286950291
1Mb	chr1	5700000	6700000	0.774861733353932	0.816973645797394
1Mb	chr1	5800000	6800000	0.788957206859262	0.825360280262215
1Mb	chr1	5900000	6900000	0.771160203923992	0.784953156930917
1Mb	chr1	6000000	7000000	0.778507647149699	0.786412855967515
