chrom	start	end	G1	S1	S2	S3	S4	G1	gpseq_score
chr1	100001	1100000	44.205998	23.539006	3.762505	2.215004	2.391503	44.205998	1.95820457861191
chr1	200001	1200000	44.218569	25.429515	4.373004	2.384501	2.652006	44.218569	2
chr1	300001	1300000	49.589976	23.245509	4.669505	2.554503	3.011002	49.589976	2
chr1	400001	1400000	48.280571	24.290515	5.139004	2.930503	3.228002	48.280571	2
chr1	500001	1500000	55.381018	25.57697	5.559505	3.178002	3.410002	55.381018	2
chr1	600001	1600000	59.390547	22.982473	4.634972	2.463002	3.282503	59.390547	2
chr1	700001	1700000	64.375032	18.783984	4.168505	2.710495	3.667497	64.375032	2
chr1	800001	1800000	66.782022	17.705	4.167998	2.367499	3.445491	66.782022	1.95749441865197
chr1	900001	1900000	67.547485	17.922014	4.175002	2.309501	2.818497	67.547485	2
chr1	1000001	2e+06	65.122479	20.242022	4.440507	2.328998	2.614497	65.122479	2
chr1	1100001	2100000	62.847487	22.243511	4.937503	2.335998	2.61	62.847487	2
chr1	1200001	2200000	61.701481	23.20602	5.238505	2.33	2.630996	61.701481	2
chr1	1300001	2300000	57.490944	26.241539	6.503519	2.370501	2.580499	57.490944	1.96237494845798
chr1	1400001	2400000	52.078956	29.296519	9.021024	2.289	2.628	52.078956	1.99101850230025
chr1	1500001	2500000	46.952437	30.783012	12.127042	2.524505	2.749501	46.952437	1.99732786218846
chr1	1600001	2600000	41.163439	31.787998	15.582525	3.545521	3.036515	41.163439	2
chr1	1700001	2700000	35.328431	30.47599	17.512006	6.580042	5.40203	35.328431	2
chr1	1800001	2800000	29.001938	28.764976	18.126507	11.111044	8.183032	29.001938	2
chr1	1900001	2900000	23.521956	26.728469	18.841006	15.168543	10.875024	23.521956	2
chr1	2000001	3e+06	20.343968	22.794958	19.205002	19.215044	13.400525	20.343968	2
chr1	2100001	3100000	17.585465	18.380463	19.651008	23.972549	15.214515	17.585465	2
chr1	2200001	3200000	13.164954	15.470469	21.106529	28.462537	16.490509	13.164954	2
chr1	2300001	3300000	10.365988	12.078467	24.14902	31.144016	16.874505	10.365988	2
chr1	2400001	3400000	9.450984	10.424002	24.827004	32.250505	17.279503	9.450984	2
chr1	2500001	3500000	8.624509	11.89702	24.157473	32.297996	17.414503	8.624509	2
chr1	2600001	3600000	10.501533	14.010026	21.492976	31.294479	17.213984	10.501533	1.99326512285224
chr1	2700001	3700000	16.080559	15.939016	19.308493	28.293962	14.861471	16.080559	1.95172630376937
chr1	2800001	3800000	20.868044	18.755038	18.861495	23.860956	12.09697	20.868044	1.89046208484544
chr1	2900001	3900000	23.082493	21.465497	18.325988	19.699954	9.361475	23.082493	1.85466968877979
chr1	3000001	4e+06	22.530511	22.985052	17.892008	15.375457	6.704976	22.530511	1.85390782098578
chr1	3100001	4100000	23.424006	27.87304	18.509509	10.754457	4.894487	23.424006	1.80376850342754
chr1	3200001	4200000	23.661998	31.359529	19.768006	6.862477	3.738992	23.661998	1.77336998447052
chr1	3300001	4300000	23.776503	32.793499	19.380992	6.079509	3.494499	23.776503	1.70975701462859
chr1	3400001	4400000	23.431996	31.007467	19.166499	8.540032	3.793012	23.431996	1.68294715097204
chr1	3500001	4500000	22.764986	26.693455	18.602996	12.774551	5.25001	22.764986	1.65413023185284
chr1	3600001	4600000	20.015461	22.494962	18.654006	17.352545	7.318026	20.015461	1.64820054377179
chr1	3700001	4700000	14.379946	20.233483	19.420503	21.454038	10.137525	14.379946	1.67080180785014
chr1	3800001	4800000	9.526956	17.281964	19.669499	25.337034	13.596541	9.526956	1.66775621527462
chr1	3900001	4900000	6.892501	14.498002	19.774006	28.683535	17.699042	6.892501	1.67344420116388
chr1	4000001	5e+06	6.940986	12.858948	19.620984	31.897026	22.164547	6.940986	1.65872183925339
chr1	4100001	5100000	5.862495	7.879459	18.260485	34.829028	26.366531	5.862495	1.63878557684576
chr1	4200001	5200000	6.012006	4.228968	15.398463	37.241521	29.80804	6.012006	1.63096030083775
chr1	4300001	5300000	5.894493	2.195988	11.789968	39.046016	33.380032	5.894493	1.61142514910809
chr1	4400001	5400000	5.677998	1.733	8.686972	38.784994	36.914531	5.677998	1.61578668435846
chr1	4500001	5500000	5.721	1.693998	6.885493	38.297998	38.881511	5.721	1.60947907025995
chr1	4600001	5600000	5.826505	1.738501	6.732004	38.387004	39.085988	5.826505	1.60890267007671
chr1	4700001	5700000	6.659495	1.885	7.699523	38.570002	37.269982	6.659495	1.59562072067537
chr1	4800001	5800000	6.839004	2.300507	10.071032	37.716491	34.917465	6.839004	1.60375423310948
chr1	4900001	5900000	7.221012	3.838523	13.746537	36.049475	31.318962	7.221012	1.61396187047627
chr1	5000001	6e+06	7.914004	6.451034	17.320038	34.158481	26.981451	7.914004	1.63319997264152
chr1	5100001	6100000	8.578016	10.087038	20.415014	31.514968	22.746467	8.578016	1.64576628447379
chr1	5200001	6200000	10.612028	13.616537	21.638509	28.644966	19.320459	10.612028	1.65829475374836
chr1	5300001	6300000	14.286034	17.048038	22.299507	24.923457	15.553467	14.286034	1.65129607419941
chr1	5400001	6400000	17.725531	21.161545	22.842006	21.568968	11.331954	17.725531	1.68047524361981
chr1	5500001	6500000	21.283046	25.488539	22.914996	17.440449	7.671475	21.283046	1.68967130340566
chr1	5600001	6600000	25.938545	28.781028	22.116489	12.671451	5.325988	25.938545	1.70569849247721
chr1	5700001	6700000	30.892551	30.574523	20.684477	8.262958	4.219992	30.892551	1.73131377579327
chr1	5800001	6800000	34.037515	33.932034	18.747485	5.243978	3.046493	34.037515	1.73578177387214
chr1	5900001	6900000	34.504	37.174523	16.936984	3.766497	2.769497	34.504	1.71052508695752
