chrom,start,end,status,fming
chr1,0,1e+05,FALSE,33.5
chr1,1e+05,2e+05,FALSE,30.2
chr1,2e+05,3e+05,FALSE,27.3
chr1,3e+05,4e+05,FALSE,24
chr1,4e+05,5e+05,FALSE,24.5
chr1,5e+05,6e+05,FALSE,23.4
chr1,6e+05,7e+05,FALSE,21
chr1,7e+05,8e+05,FALSE,16.3
chr1,8e+05,9e+05,TRUE,16
chr1,9e+05,1e+06,TRUE,12
chr1,1e+06,1100000,TRUE,11.6
chr1,1100000,1200000,TRUE,15.1
chr1,1200000,1300000,TRUE,13.5
chr1,1400000,1500000,TRUE,14.1
chr1,1600000,1700000,TRUE,11
chr1,1800000,1900000,TRUE,12.8
chr1,2700000,2800000,FALSE,12.2
chr1,12900000,1.3e+07,FALSE,11.2
chr1,1.3e+07,13100000,FALSE,13
chr1,49400000,49500000,FALSE,11.6
chr1,49800000,49900000,FALSE,11.7
chr1,120600000,120700000,TRUE,11.2
chr1,121900000,1.22e+08,FALSE,11.5
chr1,1.22e+08,122100000,FALSE,11.1
chr1,122100000,122200000,FALSE,11.8
chr1,122400000,122500000,FALSE,11.1
chr1,122600000,122700000,FALSE,11.6
chr1,122900000,1.23e+08,FALSE,11.1
chr1,1.23e+08,123100000,FALSE,11.4
chr1,123100000,123200000,FALSE,11.2
chr1,123200000,123300000,FALSE,12.5
chr1,123300000,123400000,FALSE,11
chr1,123400000,123500000,FALSE,11.6
chr1,123500000,123600000,FALSE,12
chr1,123600000,123700000,FALSE,12.4
chr1,123700000,123800000,FALSE,14
chr1,123800000,123900000,FALSE,11.3
chr1,123900000,1.24e+08,FALSE,12.5
chr1,1.24e+08,124100000,FALSE,13.4
chr1,124100000,124200000,FALSE,11.5
chr1,124200000,124300000,FALSE,11.7
chr1,124300000,124400000,FALSE,13
chr1,124400000,124500000,FALSE,12.9
chr1,124500000,124600000,FALSE,11
chr1,124600000,124700000,FALSE,13.1
chr1,124700000,124800000,FALSE,12.5
chr1,124800000,124900000,FALSE,13.2
chr1,124900000,1.25e+08,FALSE,13.3
chr1,1.25e+08,125100000,FALSE,12.1
chr1,125100000,125200000,FALSE,13.7
chr1,125200000,125300000,FALSE,13.5
chr1,125300000,125400000,FALSE,13.6
chr1,125400000,125500000,FALSE,13.5
chr1,125500000,125600000,FALSE,11.5
chr1,125600000,125700000,FALSE,14.1
chr1,125700000,125800000,FALSE,12.3
chr1,125800000,125900000,FALSE,14
chr1,125900000,1.26e+08,FALSE,12.3
chr1,1.26e+08,126100000,FALSE,14.2
chr1,126100000,126200000,FALSE,13.9
chr1,126200000,126300000,FALSE,14.1
chr1,126300000,126400000,FALSE,13.3
chr1,126400000,126500000,FALSE,14.4
chr1,126500000,126600000,FALSE,13.8
chr1,126600000,126700000,FALSE,13.5
chr1,126700000,126800000,FALSE,13.3
chr1,126800000,126900000,FALSE,13.1
chr1,126900000,1.27e+08,FALSE,12.4
chr1,1.27e+08,127100000,FALSE,12.4
chr1,127100000,127200000,FALSE,12.6
chr1,127200000,127300000,FALSE,12.8
chr1,127300000,127400000,FALSE,13
chr1,127400000,127500000,FALSE,14.3
chr1,127500000,127600000,FALSE,14.1
chr1,127600000,127700000,FALSE,13.6
chr1,127700000,127800000,FALSE,13.4
chr1,127800000,127900000,FALSE,11.5
chr1,127900000,1.28e+08,FALSE,12.4
chr1,1.28e+08,128100000,FALSE,14.2
chr1,128100000,128200000,FALSE,14
chr1,128200000,128300000,FALSE,13.2
chr1,128300000,128400000,FALSE,14.5
chr1,128400000,128500000,FALSE,14.5
chr1,128500000,128600000,FALSE,12.4
chr1,128600000,128700000,FALSE,12.7
chr1,128700000,128800000,FALSE,12.4
chr1,128800000,128900000,FALSE,14.3
chr1,128900000,1.29e+08,FALSE,13.7
chr1,1.29e+08,129100000,FALSE,13.4
chr1,129100000,129200000,FALSE,12.2
chr1,129200000,129300000,FALSE,12.5
chr1,129300000,129400000,FALSE,12.6
chr1,129400000,129500000,FALSE,13.7
chr1,129500000,129600000,FALSE,12.9
chr1,129600000,129700000,FALSE,12.9
chr1,129700000,129800000,FALSE,12.6
chr1,129800000,129900000,FALSE,13.3
chr1,129900000,1.3e+08,FALSE,12.6
chr1,1.3e+08,130100000,FALSE,13.7
chr1,130100000,130200000,FALSE,12.3
chr1,130200000,130300000,FALSE,11.7
chr1,130300000,130400000,FALSE,13.8
chr1,130400000,130500000,FALSE,14.1
chr1,130500000,130600000,FALSE,13.9
chr1,130600000,130700000,FALSE,12.2
chr1,130700000,130800000,FALSE,11.6
chr1,130800000,130900000,FALSE,12.9
chr1,130900000,1.31e+08,FALSE,12.4
chr1,1.31e+08,131100000,FALSE,11
chr1,131100000,131200000,FALSE,11.7
chr1,131200000,131300000,FALSE,11.1
chr1,131300000,131400000,FALSE,13.2
chr1,131400000,131500000,FALSE,12
chr1,131500000,131600000,FALSE,12.9
chr1,131600000,131700000,FALSE,13.6
chr1,131700000,131800000,FALSE,12.3
chr1,131800000,131900000,FALSE,13
chr1,131900000,1.32e+08,FALSE,12
chr1,1.32e+08,132100000,FALSE,11.7
chr1,132100000,132200000,FALSE,12.2
chr1,132200000,132300000,FALSE,12.1
chr1,132300000,132400000,FALSE,12.8
chr1,132400000,132500000,FALSE,13
chr1,132500000,132600000,FALSE,12.7
chr1,132600000,132700000,FALSE,11.9
chr1,132700000,132800000,FALSE,13.8
chr1,132800000,132900000,FALSE,12.7
chr1,132900000,1.33e+08,FALSE,12.5
chr1,1.33e+08,133100000,FALSE,13.3
chr1,133100000,133200000,FALSE,13.5
chr1,133200000,133300000,FALSE,13.1
chr1,133300000,133400000,FALSE,13.7
chr1,133400000,133500000,FALSE,14.1
chr1,133500000,133600000,FALSE,13.4
chr1,133600000,133700000,FALSE,13.2
chr1,133700000,133800000,FALSE,13.9
chr1,133800000,133900000,FALSE,12.7
chr1,133900000,1.34e+08,FALSE,14.4
chr1,1.34e+08,134100000,FALSE,13.9
chr1,134100000,134200000,FALSE,12.9
chr1,134200000,134300000,FALSE,12.7
chr1,134300000,134400000,FALSE,12.1
chr1,134400000,134500000,FALSE,13.7
chr1,134500000,134600000,FALSE,12
chr1,134600000,134700000,FALSE,12.4
chr1,134700000,134800000,FALSE,12.8
chr1,134800000,134900000,FALSE,13.4
chr1,134900000,1.35e+08,FALSE,11.4
chr1,1.35e+08,135100000,FALSE,12.2
chr1,135100000,135200000,FALSE,11.9
chr1,135300000,135400000,FALSE,11.6
chr1,135400000,135500000,FALSE,12.2
chr1,135600000,135700000,FALSE,11.9
chr1,135700000,135800000,FALSE,11.1
chr1,135800000,135900000,FALSE,11.7
chr1,135900000,1.36e+08,FALSE,11.8
chr1,1.36e+08,136100000,FALSE,12.1
chr1,136200000,136300000,FALSE,11
chr1,136300000,136400000,FALSE,11.6
chr1,136400000,136500000,FALSE,12
chr1,136500000,136600000,FALSE,11.2
chr1,136600000,136700000,FALSE,11.1
chr1,136700000,136800000,FALSE,11.3
chr1,136800000,136900000,FALSE,11.7
chr1,136900000,1.37e+08,FALSE,12.6
chr1,1.37e+08,137100000,FALSE,13.6
chr1,137100000,137200000,FALSE,12.1
chr1,137200000,137300000,FALSE,13.3
chr1,137400000,137500000,FALSE,12.9
chr1,137500000,137600000,FALSE,12.9
chr1,137600000,137700000,FALSE,13
chr1,137800000,137900000,FALSE,12.7
chr1,137900000,1.38e+08,FALSE,11.2
chr1,1.38e+08,138100000,FALSE,11.4
chr1,138100000,138200000,FALSE,11.6
chr1,138200000,138300000,FALSE,12.3
