chrom	start	end	comp	layer	variable	value
chr1	700001	8e+05	A1	9	H3K4me3	1.59258986318573
chr1	800001	9e+05	A1	9	H3K4me3	4.81398963691168
chr1	900001	1e+06	A1	10	H3K4me3	4.31716983156443
chr1	1000001	1100000	A1	10	H3K4me3	1.91608213894941
chr1	1100001	1200000	A1	10	H3K4me3	2.40939662563324
chr1	1200001	1300000	A1	10	H3K4me3	6.95750126394913
chr1	1300001	1400000	A1	10	H3K4me3	7.76681222176775
chr1	1400001	1500000	A1	10	H3K4me3	3.59905135788113
chr1	1500001	1600000	A1	8	H3K4me3	4.54789632254429
chr1	1600001	1700000	A1	10	H3K4me3	1.46319677335538
chr1	1700001	1800000	A1	9	H3K4me3	2.62083477546543
chr1	1800001	1900000	A1	10	H3K4me3	3.45338454554997
chr1	1900001	2e+06	A1	10	H3K4me3	1.95358865012996
chr1	2000001	2100000	A1	10	H3K4me3	0.977575281768292
chr1	2100001	2200000	A1	10	H3K4me3	4.22887155807078
chr1	2200001	2300000	A1	10	H3K4me3	1.10756273763739
chr1	2300001	2400000	B1	10	H3K4me3	3.98789889176458
chr1	2400001	2500000	B1	10	H3K4me3	2.12129196994565
chr1	2500001	2600000	B1	10	H3K4me3	2.31292049675979
chr1	2700001	2800000	B1	10	H3K4me3	0.851910663514957
chr1	2800001	2900000	B1	10	H3K4me3	0.842748135072738
chr1	2900001	3e+06	B1	9	H3K4me3	1.46246286750436
chr1	3000001	3100000	B1	10	H3K4me3	0.810327133272588
chr1	3100001	3200000	B1	10	H3K4me3	0.848975978121534
chr1	3200001	3300000	B1	10	H3K4me3	0.814638286931813
chr1	3300001	3400000	B1	9	H3K4me3	1.15474218767993
chr1	3400001	3500000	B1	10	H3K4me3	1.03797137273736
chr1	3500001	3600000	B1	8	H3K4me3	3.92136587904543
chr1	3600001	3700000	A1	7	H3K4me3	2.11983018111549
chr1	3700001	3800000	A1	8	H3K4me3	3.43079662386403
chr1	4000001	4100000	B1	7	H3K4me3	0.836768004884422
chr1	4100001	4200000	B1	8	H3K4me3	0.826272790284678
chr1	4200001	4300000	B1	7	H3K4me3	0.824924957925156
chr1	4300001	4400000	B1	8	H3K4me3	0.816563105259687
chr1	4400001	4500000	B2	8	H3K4me3	0.801840960417464
chr1	4500001	4600000	B1	7	H3K4me3	0.835291650792956
chr1	4600001	4700000	B2	8	H3K4me3	0.80726592001833
chr1	4700001	4800000	B1	7	H3K4me3	0.800188192456365
chr1	4800001	4900000	B2	7	H3K4me3	0.825103216851801
chr1	4900001	5e+06	B2	6	H3K4me3	0.805433593053222
chr1	5000001	5100000	B2	6	H3K4me3	0.804396014320031
chr1	5100001	5200000	B1	7	H3K4me3	0.794010862734988
chr1	5200001	5300000	B1	6	H3K4me3	0.801403328771964
chr1	5300001	5400000	B2	7	H3K4me3	0.81061529727295
chr1	5400001	5500000	B1	7	H3K4me3	0.842356787029654
chr1	5500001	5600000	B1	7	H3K4me3	0.793099221720249
chr1	5600001	5700000	B1	7	H3K4me3	0.798702214043736
chr1	5700001	5800000	B1	8	H3K4me3	0.743023378112689
chr1	5800001	5900000	B1	8	H3K4me3	0.813430206727609
chr1	5900001	6e+06	B1	8	H3K4me3	0.830811984964162
chr1	6000001	6100000	B1	7	H3K4me3	1.97674269312888
chr1	6100001	6200000	B1	9	H3K4me3	0.796326697604954
chr1	6200001	6300000	A1	6	H3K4me3	4.76754304635421
chr1	6300001	6400000	A1	10	H3K4me3	1.56392522321135
chr1	6400001	6500000	A1	9	H3K4me3	2.46101881704256
chr1	6500001	6600000	A1	9	H3K4me3	2.24134746697932
chr1	6600001	6700000	A1	9	H3K4me3	7.58121125341244
chr1	6700001	6800000	A1	8	H3K4me3	2.23958687266879
chr1	6800001	6900000	A1	7	H3K4me3	2.27695152723692
chr1	6900001	7e+06	A2	7	H3K4me3	1.05794982624039
chr1	7000001	7100000	B1	9	H3K4me3	1.02064744308792
chr1	7100001	7200000	B1	8	H3K4me3	0.843536168662012
chr1	7200001	7300000	B1	6	H3K4me3	0.78834517652452
chr1	7300001	7400000	B1	8	H3K4me3	0.853441683249399
chr1	7400001	7500000	B1	8	H3K4me3	0.788986677752659
chr1	7500001	7600000	B1	9	H3K4me3	0.769096232679859
chr1	7600001	7700000	B1	8	H3K4me3	0.805572037977949
chr1	7700001	7800000	A2	8	H3K4me3	1.53012219480746
chr1	7800001	7900000	A1	7	H3K4me3	2.87575438268833
chr1	7900001	8e+06	A1	8	H3K4me3	0.808807192682251
chr1	8000001	8100000	A2	6	H3K4me3	2.38129224427372
chr1	8100001	8200000	A2	7	H3K4me3	0.809431391651332
chr1	8200001	8300000	A1	8	H3K4me3	0.79097116172716
chr1	8300001	8400000	A2	7	H3K4me3	0.900401301539317
chr1	8400001	8500000	A2	9	H3K4me3	1.72988197366327
chr1	8500001	8600000	A2	7	H3K4me3	1.01314686168246
chr1	8600001	8700000	A2	7	H3K4me3	0.809944806238636
chr1	8700001	8800000	A2	7	H3K4me3	1.55144702013299
chr1	8800001	8900000	A1	6	H3K4me3	2.38289891985416
chr1	8900001	9e+06	A1	8	H3K4me3	3.43701548889577
chr1	9000001	9100000	A1	7	H3K4me3	0.803636167072281
