chrom	start	end	comp	Layer	variable	value
chr1	700001	8e+05	A1	9	ATAC-seq	0.554
chr1	800001	9e+05	A1	9	ATAC-seq	2.51031
chr1	900001	1e+06	A1	10	ATAC-seq	3.20926333333333
chr1	1000001	1100000	A1	10	ATAC-seq	2.50155333333333
chr1	1100001	1200000	A1	10	ATAC-seq	2.79671333333333
chr1	1200001	1300000	A1	10	ATAC-seq	3.18487666666667
chr1	1300001	1400000	A1	10	ATAC-seq	2.22697666666667
chr1	1400001	1500000	A1	10	ATAC-seq	1.96112333333333
chr1	1500001	1600000	A1	8	ATAC-seq	1.87277666666667
chr1	1600001	1700000	A1	10	ATAC-seq	1.1752
chr1	1700001	1800000	A1	9	ATAC-seq	1.43302333333333
chr1	1800001	1900000	A1	10	ATAC-seq	2.26221
chr1	1900001	2e+06	A1	10	ATAC-seq	2.25751333333333
chr1	2000001	2100000	A1	10	ATAC-seq	2.12771
chr1	2100001	2200000	A1	10	ATAC-seq	2.54817
chr1	2200001	2300000	A1	10	ATAC-seq	2.49428666666667
chr1	2300001	2400000	B1	10	ATAC-seq	2.92563666666667
chr1	2400001	2500000	B1	10	ATAC-seq	3.28038666666667
chr1	2500001	2600000	B1	10	ATAC-seq	2.27627
chr1	2700001	2800000	B1	10	ATAC-seq	2.03836333333333
chr1	2800001	2900000	B1	10	ATAC-seq	2.05084666666667
chr1	2900001	3e+06	B1	9	ATAC-seq	1.97418666666667
chr1	3000001	3100000	B1	10	ATAC-seq	2.07820333333333
chr1	3100001	3200000	B1	10	ATAC-seq	1.91612333333333
chr1	3200001	3300000	B1	10	ATAC-seq	1.87396
chr1	3300001	3400000	B1	9	ATAC-seq	2.33306333333333
chr1	3400001	3500000	B1	10	ATAC-seq	2.98525333333333
chr1	3500001	3600000	B1	8	ATAC-seq	2.27205
chr1	3600001	3700000	A1	7	ATAC-seq	2.53005333333333
chr1	3700001	3800000	A1	8	ATAC-seq	1.49473
chr1	4000001	4100000	B1	7	ATAC-seq	1.39078
chr1	4100001	4200000	B1	8	ATAC-seq	1.30948
chr1	4200001	4300000	B1	7	ATAC-seq	1.14576666666667
chr1	4300001	4400000	B1	8	ATAC-seq	0.951626666666667
chr1	4400001	4500000	B2	8	ATAC-seq	1.01805333333333
chr1	4500001	4600000	B1	7	ATAC-seq	1.086
chr1	4600001	4700000	B2	8	ATAC-seq	1.1101
chr1	4700001	4800000	B1	7	ATAC-seq	1.32678666666667
chr1	4800001	4900000	B2	7	ATAC-seq	1.02120666666667
chr1	4900001	5e+06	B2	6	ATAC-seq	0.82472
chr1	5000001	5100000	B2	6	ATAC-seq	0.855836666666667
chr1	5100001	5200000	B1	7	ATAC-seq	0.608246666666667
chr1	5200001	5300000	B1	6	ATAC-seq	0.811953333333334
chr1	5300001	5400000	B2	7	ATAC-seq	1.0348
