chrom	start	end	comp	Layer	variable	value
chr1	700001	8e+05	A1	9	H3K9me3	0.755715475878616
chr1	800001	9e+05	A1	9	H3K9me3	0.870466138018668
chr1	900001	1e+06	A1	10	H3K9me3	0.738916643078129
chr1	1000001	1100000	A1	10	H3K9me3	0.878510634011527
chr1	1100001	1200000	A1	10	H3K9me3	0.838018903863728
chr1	1200001	1300000	A1	10	H3K9me3	0.714552189754446
chr1	1300001	1400000	A1	10	H3K9me3	0.804449767542581
chr1	1400001	1500000	A1	10	H3K9me3	0.807271452665379
chr1	1500001	1600000	A1	8	H3K9me3	0.719764566584627
chr1	1600001	1700000	A1	10	H3K9me3	0.693502919199467
chr1	1700001	1800000	A1	9	H3K9me3	0.804792466567804
chr1	1800001	1900000	A1	10	H3K9me3	0.841326079265873
chr1	1900001	2e+06	A1	10	H3K9me3	0.806629922751387
chr1	2000001	2100000	A1	10	H3K9me3	0.828990643412073
chr1	2100001	2200000	A1	10	H3K9me3	0.723505759737293
chr1	2200001	2300000	A1	10	H3K9me3	0.7748184217001
chr1	2300001	2400000	B1	10	H3K9me3	0.737569373696148
chr1	2400001	2500000	B1	10	H3K9me3	0.712199311696887
chr1	2500001	2600000	B1	10	H3K9me3	0.970193743115366
chr1	2700001	2800000	B1	10	H3K9me3	1.05616432427764
chr1	2800001	2900000	B1	10	H3K9me3	1.04886857224951
chr1	2900001	3e+06	B1	9	H3K9me3	1.11046368701259
chr1	3000001	3100000	B1	10	H3K9me3	0.831763004758457
chr1	3100001	3200000	B1	10	H3K9me3	0.808997857675205
chr1	3200001	3300000	B1	10	H3K9me3	0.91545316405495
chr1	3300001	3400000	B1	9	H3K9me3	0.856289734049638
chr1	3400001	3500000	B1	10	H3K9me3	0.718674772449831
chr1	3500001	3600000	B1	8	H3K9me3	0.670162878778577
chr1	3600001	3700000	A1	7	H3K9me3	0.742056484947602
chr1	3700001	3800000	A1	8	H3K9me3	0.854373280087858
chr1	4000001	4100000	B1	7	H3K9me3	1.18647655391733
chr1	4100001	4200000	B1	8	H3K9me3	1.31703736623108
chr1	4200001	4300000	B1	7	H3K9me3	1.4039133584097
chr1	4300001	4400000	B1	8	H3K9me3	1.92087064835012
chr1	4400001	4500000	B2	8	H3K9me3	1.94579598634303
chr1	4500001	4600000	B1	7	H3K9me3	1.85585760376304
chr1	4600001	4700000	B2	8	H3K9me3	1.7644326696672
chr1	4700001	4800000	B1	7	H3K9me3	1.7603689127181
chr1	4800001	4900000	B2	7	H3K9me3	1.98196222301235
chr1	4900001	5e+06	B2	6	H3K9me3	1.86607942290296
chr1	5000001	5100000	B2	6	H3K9me3	1.90482099019855
chr1	5100001	5200000	B1	7	H3K9me3	1.71079687532375
chr1	5200001	5300000	B1	6	H3K9me3	1.98520141523043
chr1	5300001	5400000	B2	7	H3K9me3	1.82664621000002
chr1	5400001	5500000	B1	7	H3K9me3	1.68176908961227
chr1	5500001	5600000	B1	7	H3K9me3	1.20787323456556
chr1	5600001	5700000	B1	7	H3K9me3	1.31957862226705
chr1	5700001	5800000	B1	8	H3K9me3	1.23506350455254
chr1	5800001	5900000	B1	8	H3K9me3	1.07566758823256
chr1	5900001	6e+06	B1	8	H3K9me3	0.732646977049609
chr1	6000001	6100000	B1	7	H3K9me3	0.694745079432229
chr1	6100001	6200000	B1	9	H3K9me3	0.785999198025068
chr1	6200001	6300000	A1	6	H3K9me3	0.722501006777287
chr1	6300001	6400000	A1	10	H3K9me3	0.684467522633871
chr1	6400001	6500000	A1	9	H3K9me3	0.770502861338854
chr1	6500001	6600000	A1	9	H3K9me3	0.674406933314204
chr1	6600001	6700000	A1	9	H3K9me3	0.730122160877685
chr1	6700001	6800000	A1	8	H3K9me3	0.829611970069905
chr1	6800001	6900000	A1	7	H3K9me3	0.787207207819621
chr1	6900001	7e+06	A2	7	H3K9me3	0.865313934485118
chr1	7000001	7100000	B1	9	H3K9me3	0.948297964026531
chr1	7100001	7200000	B1	8	H3K9me3	1.0179438404271
chr1	7200001	7300000	B1	6	H3K9me3	1.01269561436266
chr1	7300001	7400000	B1	8	H3K9me3	1.23820596992324
chr1	7400001	7500000	B1	8	H3K9me3	1.04053308884939
chr1	7500001	7600000	B1	9	H3K9me3	0.900700995181302
chr1	7600001	7700000	B1	8	H3K9me3	0.977843793154259
chr1	7700001	7800000	A2	8	H3K9me3	0.75678207041502
chr1	7800001	7900000	A1	7	H3K9me3	0.918163645051618
chr1	7900001	8e+06	A1	8	H3K9me3	0.885857105219166
chr1	8000001	8100000	A2	6	H3K9me3	0.793178612961769
chr1	8100001	8200000	A2	7	H3K9me3	0.998756749727825
chr1	8200001	8300000	A1	8	H3K9me3	0.954616305196782
chr1	8300001	8400000	A2	7	H3K9me3	0.862844204493066
chr1	8400001	8500000	A2	9	H3K9me3	0.689150045242707
chr1	8500001	8600000	A2	7	H3K9me3	0.740685902773837
chr1	8600001	8700000	A2	7	H3K9me3	0.709129745654066
chr1	8700001	8800000	A2	7	H3K9me3	0.784502089322507
chr1	8800001	8900000	A1	6	H3K9me3	0.788282635770043
chr1	8900001	9e+06	A1	8	H3K9me3	0.886458159980973
chr1	9000001	9100000	A1	7	H3K9me3	0.972607369724115
chr1	9100001	9200000	A1	7	H3K9me3	0.851269904892445
chr1	9200001	9300000	A1	10	H3K9me3	0.771654535015921
chr1	9300001	9400000	A2	9	H3K9me3	0.8319978286165
chr1	9400001	9500000	A1	8	H3K9me3	0.745817551339368
chr1	9500001	9600000	A1	8	H3K9me3	0.759042381237447
chr1	9600001	9700000	A1	8	H3K9me3	0.743739494758447
chr1	9700001	9800000	A1	9	H3K9me3	0.720816501848996
chr1	9800001	9900000	A1	7	H3K9me3	0.718791085241536
chr1	9900001	1e+07	A1	8	H3K9me3	0.698226236817042
chr1	10000001	10100000	A1	7	H3K9me3	0.800765063005189
chr1	10100001	10200000	A1	9	H3K9me3	0.73931412756294
chr1	10200001	10300000	A1	7	H3K9me3	0.810450509245197
chr1	10300001	10400000	A1	7	H3K9me3	0.719317384585738
chr1	10400001	10500000	A1	9	H3K9me3	0.750693669137855
chr1	10500001	10600000	A1	7	H3K9me3	0.729264104596774
chr1	10600001	10700000	A1	9	H3K9me3	0.838930954312285
chr1	10700001	10800000	A2	9	H3K9me3	0.658754687211911
chr1	10800001	10900000	A1	9	H3K9me3	0.722735394286116
chr1	10900001	1.1e+07	A1	9	H3K9me3	0.850522392951449
chr1	11000001	11100000	A1	10	H3K9me3	0.831936198934416
chr1	11100001	11200000	A1	8	H3K9me3	0.724647184984386
chr1	11200001	11300000	A1	8	H3K9me3	0.72665653287371
chr1	11300001	11400000	A1	9	H3K9me3	0.763822450588644
chr1	11400001	11500000	A2	8	H3K9me3	0.921731167029838
chr1	11500001	11600000	B1	9	H3K9me3	1.01334372940809
chr1	11600001	11700000	B1	8	H3K9me3	0.910541565874716
chr1	11700001	11800000	A1	9	H3K9me3	0.697427165369193
chr1	11800001	11900000	A1	8	H3K9me3	0.717646665096283
chr1	11900001	1.2e+07	A1	7	H3K9me3	0.795158939589063
chr1	12000001	12100000	A1	8	H3K9me3	0.713840846011043
chr1	12100001	12200000	A2	8	H3K9me3	0.866917396772901
chr1	12200001	12300000	A2	8	H3K9me3	0.814105727018913
chr1	12300001	12400000	A2	6	H3K9me3	0.769610400103529
chr1	12400001	12500000	A2	6	H3K9me3	0.907879716675977
chr1	12500001	12600000	A2	7	H3K9me3	0.892378968980412
chr1	12600001	12700000	A2	7	H3K9me3	0.927992920100689
chr1	12700001	12800000	B1	6	H3K9me3	1.27523096921444
chr1	12800001	12900000	B1	6	H3K9me3	1.11949102259477
chr1	12900001	1.3e+07	B1	10	H3K9me3	0.831079945034782
chr1	13700001	13800000	A2	6	H3K9me3	0.766002201929887
chr1	13800001	13900000	B1	7	H3K9me3	0.977297892330488
chr1	13900001	1.4e+07	A2	6	H3K9me3	0.919572684852978
chr1	14000001	14100000	A2	5	H3K9me3	0.888296233373582
chr1	14100001	14200000	B1	7	H3K9me3	0.998102397269706
chr1	14200001	14300000	B1	5	H3K9me3	1.15681222913394
chr1	14300001	14400000	B1	6	H3K9me3	1.21658511914402
chr1	14400001	14500000	B1	6	H3K9me3	1.2154976543949
chr1	14500001	14600000	B1	5	H3K9me3	1.22603354724308
chr1	14600001	14700000	B1	6	H3K9me3	1.23352838610321
chr1	14700001	14800000	B1	6	H3K9me3	1.14701635723412
chr1	14800001	14900000	B1	6	H3K9me3	1.10367963947604
chr1	14900001	1.5e+07	B1	5	H3K9me3	0.96757156157583
chr1	15000001	15100000	B1	7	H3K9me3	1.02459459915926
chr1	15100001	15200000	B1	7	H3K9me3	1.07047013942947
chr1	15200001	15300000	B1	7	H3K9me3	0.801045790468156
chr1	15300001	15400000	A2	6	H3K9me3	0.712897987405161
chr1	15400001	15500000	A2	8	H3K9me3	0.804296895796855
chr1	15500001	15600000	A2	7	H3K9me3	0.821966755123436
chr1	15600001	15700000	A2	7	H3K9me3	0.883843142477572
chr1	15700001	15800000	A2	7	H3K9me3	0.782731149583161
chr1	15800001	15900000	A1	8	H3K9me3	0.70320371424516
chr1	15900001	1.6e+07	A1	8	H3K9me3	0.727039764822523
chr1	16000001	16100000	A1	8	H3K9me3	0.702426136633456
chr1	16100001	16200000	A1	9	H3K9me3	0.748317955252628
chr1	16200001	16300000	A1	7	H3K9me3	0.75120927985549
chr1	16300001	16400000	A2	9	H3K9me3	0.758172648502787
chr1	16400001	16500000	A1	9	H3K9me3	0.779569677001238
chr1	16500001	16600000	A1	9	H3K9me3	0.673835606832306
chr1	16600001	16700000	A1	7	H3K9me3	0.710916787767212
chr1	16700001	16800000	A1	9	H3K9me3	0.728457272252838
chr1	16800001	16900000	A1	8	H3K9me3	0.816694927617709
chr1	16900001	1.7e+07	A1	10	H3K9me3	0.822844514258206
chr1	17000001	17100000	A1	9	H3K9me3	0.793194559748967
chr1	17200001	17300000	A1	9	H3K9me3	0.780905422503352
chr1	17300001	17400000	A1	9	H3K9me3	0.726791956332227
chr1	17400001	17500000	A2	10	H3K9me3	0.967241914630035
chr1	17500001	17600000	B1	10	H3K9me3	0.877564212977489
chr1	17600001	17700000	A1	10	H3K9me3	0.941121553787291
chr1	17700001	17800000	A1	9	H3K9me3	0.7807907733803
chr1	17800001	17900000	A1	10	H3K9me3	0.768655337816676
chr1	17900001	1.8e+07	A2	9	H3K9me3	0.668865640256802
chr1	18000001	18100000	B1	9	H3K9me3	0.995457856918077
chr1	18100001	18200000	B1	9	H3K9me3	0.985717069319487
chr1	18200001	18300000	B1	9	H3K9me3	0.939995076708098
chr1	18300001	18400000	B1	8	H3K9me3	0.958023538265626
chr1	18400001	18500000	B1	8	H3K9me3	0.876328865236342
chr1	18500001	18600000	B1	10	H3K9me3	1.10705164435267
chr1	18600001	18700000	B1	10	H3K9me3	0.990321787617703
chr1	18700001	18800000	B1	9	H3K9me3	1.20509812817345
chr1	18800001	18900000	B1	9	H3K9me3	1.10393243184974
chr1	18900001	1.9e+07	B1	9	H3K9me3	0.911348959650596
chr1	19000001	19100000	B1	9	H3K9me3	0.94838624891445
chr1	19100001	19200000	B1	9	H3K9me3	1.02194108784368
chr1	19200001	19300000	B1	9	H3K9me3	0.714325564694603
chr1	19300001	19400000	B1	10	H3K9me3	1.03192429937482
chr1	19400001	19500000	A2	10	H3K9me3	0.735718600137532
chr1	19500001	19600000	A1	9	H3K9me3	0.709533781436284
chr1	19600001	19700000	A1	10	H3K9me3	0.779184951320291
chr1	19700001	19800000	A1	8	H3K9me3	0.683296326252421
chr1	19800001	19900000	A1	7	H3K9me3	1.09408028208305
chr1	19900001	2e+07	A1	8	H3K9me3	0.753628712243935
chr1	20000001	20100000	A1	8	H3K9me3	0.757191750881076
chr1	20100001	20200000	A1	8	H3K9me3	0.938730603892605
chr1	20200001	20300000	B1	7	H3K9me3	1.07927723685205
chr1	20300001	20400000	B1	8	H3K9me3	1.34653009277011
chr1	20400001	20500000	B1	9	H3K9me3	1.11913097742299
chr1	20500001	20600000	B1	8	H3K9me3	1.06316136862785
chr1	20600001	20700000	B1	9	H3K9me3	1.02227179062019
chr1	20700001	20800000	B1	9	H3K9me3	1.03839999150087
chr1	20800001	20900000	A2	8	H3K9me3	0.855530936285853
chr1	20900001	2.1e+07	A1	9	H3K9me3	0.79789974496762
chr1	21000001	21100000	A1	9	H3K9me3	0.725888413710396
chr1	21100001	21200000	A1	6	H3K9me3	0.776675501314799
chr1	21200001	21300000	A1	7	H3K9me3	0.741135276516775
chr1	21300001	21400000	A1	6	H3K9me3	0.829291539082925
chr1	21400001	21500000	A1	9	H3K9me3	0.793945065504809
chr1	21500001	21600000	A2	9	H3K9me3	0.725300181304415
chr1	21600001	21700000	A2	8	H3K9me3	0.696349390525123
chr1	21700001	21800000	A1	8	H3K9me3	0.880246257385612
chr1	21800001	21900000	A2	9	H3K9me3	0.7631788686047
chr1	21900001	2.2e+07	A2	10	H3K9me3	0.696809461466968
chr1	22000001	22100000	A1	8	H3K9me3	0.733617655228078
chr1	22100001	22200000	A1	10	H3K9me3	0.832097456238667
chr1	22200001	22300000	A1	9	H3K9me3	0.684565172436585
chr1	22300001	22400000	A1	9	H3K9me3	0.749330437223117
chr1	22400001	22500000	A2	9	H3K9me3	0.714538341462116
chr1	22500001	22600000	A2	9	H3K9me3	0.876703102510174
chr1	22600001	22700000	A2	8	H3K9me3	1.00843484684328
chr1	22700001	22800000	A2	9	H3K9me3	0.934124916869402
chr1	22800001	22900000	A2	10	H3K9me3	0.753906323073308
chr1	22900001	2.3e+07	A2	9	H3K9me3	0.858412371959289
chr1	23000001	23100000	A2	9	H3K9me3	0.693069523731868
chr1	23100001	23200000	A1	9	H3K9me3	0.681477790934344
chr1	23200001	23300000	A2	9	H3K9me3	0.89104918200175
chr1	23300001	23400000	A1	6	H3K9me3	0.97975995435665
chr1	23400001	23500000	A1	8	H3K9me3	0.735026102198164
chr1	23500001	23600000	A1	8	H3K9me3	0.825226265163223
chr1	23600001	23700000	A1	8	H3K9me3	0.99848881315887
chr1	23700001	23800000	A1	9	H3K9me3	0.7693199631989
chr1	23800001	23900000	A1	9	H3K9me3	0.720435098857681
chr1	23900001	2.4e+07	A1	8	H3K9me3	0.786126155523459
chr1	24000001	24100000	A1	10	H3K9me3	0.773833297548195
chr1	24100001	24200000	A1	9	H3K9me3	0.761222019529839
chr1	24200001	24300000	A1	9	H3K9me3	0.925456183179716
chr1	24300001	24400000	A1	9	H3K9me3	0.835702904891968
chr1	24400001	24500000	A2	9	H3K9me3	0.819523905003071
chr1	24500001	24600000	A1	8	H3K9me3	0.898618132027984
chr1	24600001	24700000	A1	9	H3K9me3	0.778032689122856
chr1	24700001	24800000	A2	7	H3K9me3	0.7770495507737
chr1	24800001	24900000	A1	8	H3K9me3	0.788239950849116
chr1	24900001	2.5e+07	A1	7	H3K9me3	0.816791927253207
chr1	25000001	25100000	A1	8	H3K9me3	0.808549619413912
chr1	25100001	25200000	A1	9	H3K9me3	0.81211621691833
chr1	25200001	25300000	A2	9	H3K9me3	0.86866838922749
chr1	25300001	25400000	A2	8	H3K9me3	0.848078207905094
chr1	25400001	25500000	A2	9	H3K9me3	1.05153191556533
chr1	25500001	25600000	A1	9	H3K9me3	0.759869339310626
chr1	25600001	25700000	A1	10	H3K9me3	0.754597692875564
chr1	25700001	25800000	A1	8	H3K9me3	0.75424055170392
chr1	25800001	25900000	A1	9	H3K9me3	0.722881660941243
chr1	25900001	2.6e+07	A1	9	H3K9me3	0.876765864544114
chr1	26000001	26100000	A1	9	H3K9me3	0.750335782175263
chr1	26100001	26200000	A1	7	H3K9me3	0.735545104593039
chr1	26200001	26300000	A1	9	H3K9me3	0.813697685993711
chr1	26300001	26400000	A1	9	H3K9me3	0.735213105704884
chr1	26400001	26500000	A1	9	H3K9me3	0.778552896763881
chr1	26500001	26600000	A1	10	H3K9me3	0.74802166291972
chr1	26600001	26700000	A1	9	H3K9me3	0.697100182442864
chr1	26700001	26800000	A1	9	H3K9me3	0.80585113175561
chr1	26800001	26900000	A1	9	H3K9me3	0.746084732445578
chr1	26900001	2.7e+07	A1	8	H3K9me3	0.833055093850692
chr1	27000001	27100000	A1	8	H3K9me3	0.734787496961157
chr1	27100001	27200000	A1	8	H3K9me3	0.805998472956568
chr1	27200001	27300000	A1	10	H3K9me3	0.764950961164634
chr1	27300001	27400000	A1	9	H3K9me3	0.804013740198314
chr1	27400001	27500000	A1	9	H3K9me3	0.815989175442358
chr1	27500001	27600000	A1	8	H3K9me3	1.07600917917987
chr1	27600001	27700000	A1	10	H3K9me3	0.72774784351637
chr1	27700001	27800000	A1	9	H3K9me3	0.730289810247719
chr1	27800001	27900000	A1	9	H3K9me3	0.705144899905225
chr1	27900001	2.8e+07	A1	8	H3K9me3	0.687529300321639
chr1	28000001	28100000	A1	8	H3K9me3	0.994652591353158
chr1	28100001	28200000	A1	9	H3K9me3	0.774941159399351
chr1	28200001	28300000	A1	8	H3K9me3	0.734874669115245
chr1	28300001	28400000	A1	8	H3K9me3	0.760776148094237
chr1	28400001	28500000	A1	7	H3K9me3	0.860348538553218
chr1	28500001	28600000	A1	8	H3K9me3	0.714727919829389
chr1	28600001	28700000	A1	9	H3K9me3	0.779831333313386
chr1	28700001	28800000	A1	9	H3K9me3	0.770754756192863
chr1	28800001	28900000	A1	9	H3K9me3	0.741766623108089
chr1	28900001	2.9e+07	A1	9	H3K9me3	0.72808187426279
chr1	29000001	29100000	A1	8	H3K9me3	0.770721887056033
chr1	29100001	29200000	A1	9	H3K9me3	0.757067591513693
chr1	29200001	29300000	A1	8	H3K9me3	0.750111985899011
chr1	29300001	29400000	A1	7	H3K9me3	0.759136863995095
