chrom	start	end	dln_median	dsn_median
chr1	17667187	18667187	0.651698533794769	0.259991292188
chr1	27191096	28191096	0.672440207482031	0.256188811028
chr1	36839466	37839466	0.622295751146018	0.267112540093
chr1	112557969	113557969	0.615798384885175	0.3086641728815
chr1	219135773	220135773	0.382181717352227	0.260444942729
chr1	228420486	229420486	0.521695432792271	0.265234091198
chr1	238409047	239409047	0.308993281240892	0.250048280736
chr15	35748836	36748836	0.540171037867398	0.248117637494
chr15	51128406	52128406	0.593114535169027	0.253167670793
chr15	60726855	61726855	0.62614874569227	0.244980239115
chr15	69581838	70581838	0.664969984534148	0.233605626991
chr15	77616367	78616367	0.64141436942205	0.2375384213535
chr15	85801972	86801972	0.538710256580747	0.238480732314
chr17	15869658	16869658	0.560201797417238	0.223807437103
chr17	41458445	42458445	0.731972383680747	0.2315969851475
chr17	75324722	76324722	0.7	0.230794894957
chr18	5056605	6056605	0.548163884629638	0.2246912134975
chr18	9887098	10887098	0.552668875693841	0.225292593592
chr18	33536236	34536236	0.548310114494084	0.236433224862
chr18	36992398	37992398	0.531023959818017	0.237752567219
chr18	39567464	40567464	0.499118875527404	0.230201274572
chr19	4758529	5758529	0.7	0.2180167826855
chr19	8574253	9574253	0.665061827419758	0.2280168719355
chr19	13775870	14775870	0.675129866756442	0.226285227655
chr19	42164231	43164231	0.743917509312835	0.221053601998
chr19	45830133	46830133	0.697827333136124	0.220380982919
chr21	14992868	15992868	0.537750122441742	0.231302498834
chr21	18513988	19513988	0.44774082380544	0.202762056334
chr21	23151136	24151136	0.480806459359604	0.198471075408
chr21	25951141	26951141	0.495391690590998	0.1914371643745
chr21	29379715	30379715	0.49651450172684	0.21224717394
chr21	33016146	34016146	0.631484422650588	0.209474477885
chr21	36868296	37868296	0.619202697465284	0.210312675148
chr21	40950333	41950333	0.600556451289344	0.217193491293
chr22:9	18616326	19616326	0.747658826228394	0.266184866747
chr22:9	22919692	23919692	0.755357241610785	0.254256000084
chr4	82085423	83085423	0.378032651272006	0.263490498858
chr4	89807411	90807411	0.472583201717956	0.264466379018
chr4	156167824	157167824	0.388116397635409	0.25165744912
chr4	163596175	164596175	0.370034418996044	0.2486957314875
chr4	173945065	174945065	0.330595378429567	0.24478953332
chr7	18204169	19204169	0.509134698521686	0.235099150476
chr7	27485217	28485217	0.586814898322325	0.2396283307095
chr7	36989027	37989027	0.454545454545454	0.249805997769
chr7	130730482	131730482	0.468572837852439	0.250227611999
chr7	140419884	141419884	0.443945420455967	0.251683916104
chr7	149527665	150527665	0.391399408794876	0.2330582589175
chr8	12177594	13177594	0.384483973595971	0.226219177755
chr8	21131310	22131310	0.451091582481404	0.23135552633
chr8	29925747	30925747	0.472295563112213	0.23453093228
chr8	57402135	58402135	0.384499877989256	0.25996345883
chr8	66568670	67568670	0.461263858636909	0.255526891845
chr8	72012178	73012178	0.408496407793379	0.258318822931
chr8	112567764	113567764	0.377322626907118	0.24908265733
chr8	121135600	122135600	0.357421890775859	0.2499667138
chr8	130200760	131200760	0.42180019915456	0.24170522866
chr9:22	136407554	137407554	0.589546183878894	0.259848568927
chr9:22	139971095	140971095	0.606097075512953	0.259207948875
chr9:22	144436243	145436243	0.504117455696381	0.2580924643355
chr9:22	148671042	149671042	0.635473173720959	0.247473996067
chrX	13303099	14303099	0.446128643909308	0.231949023441
chrX	21839265	22839265	0.394074090713855	0.238026583965
chrX	30311838	31311838	0.449240112496354	0.241470271994
chrX	67441761	68441761	0.512983901638912	0.275329013446
chrX	75518026	76518026	0.420708934166068	0.267243007386
chrX	122041455	123041455	0.399339566483526	0.247911185325
chrX	133259360	134259360	0.511661016966044	0.23951105816
chrX	140919366	141919366	0.36829892143397	0.233427138778
