chrom	start	end	comp	Layer	variable	value
chr1	700001	8e+05	A1	9	H3K27ac	1.53736870293319
chr1	800001	9e+05	A1	9	H3K27ac	3.73083320616692
chr1	900001	1e+06	A1	10	H3K27ac	4.68620647930264
chr1	1000001	1100000	A1	10	H3K27ac	2.75785935245494
chr1	1100001	1200000	A1	10	H3K27ac	3.90106395996223
chr1	1200001	1300000	A1	10	H3K27ac	5.18575368310084
chr1	1300001	1400000	A1	10	H3K27ac	5.99285213815659
chr1	1400001	1500000	A1	10	H3K27ac	3.91830663293322
chr1	1500001	1600000	A1	8	H3K27ac	3.64737667059292
chr1	1600001	1700000	A1	10	H3K27ac	2.96917193737477
chr1	1700001	1800000	A1	9	H3K27ac	6.74429248618911
chr1	1800001	1900000	A1	10	H3K27ac	5.68499626661251
chr1	1900001	2e+06	A1	10	H3K27ac	3.34043078862031
chr1	2000001	2100000	A1	10	H3K27ac	3.62945087968717
chr1	2100001	2200000	A1	10	H3K27ac	5.9139283100151
chr1	2200001	2300000	A1	10	H3K27ac	4.67488906500191
chr1	2300001	2400000	B1	10	H3K27ac	3.56474963798841
chr1	2400001	2500000	B1	10	H3K27ac	3.79645953139762
chr1	2500001	2600000	B1	10	H3K27ac	2.23586472215543
chr1	2700001	2800000	B1	10	H3K27ac	1.95298253259708
chr1	2800001	2900000	B1	10	H3K27ac	2.16975793427229
chr1	2900001	3e+06	B1	9	H3K27ac	2.55817301035325
chr1	3000001	3100000	B1	10	H3K27ac	4.27122061078499
chr1	3100001	3200000	B1	10	H3K27ac	3.23428332819343
chr1	3200001	3300000	B1	10	H3K27ac	2.8682134684816
chr1	3300001	3400000	B1	9	H3K27ac	3.11443452249418
chr1	3400001	3500000	B1	10	H3K27ac	3.37023014998883
chr1	3500001	3600000	B1	8	H3K27ac	4.73181468280405
chr1	3600001	3700000	A1	7	H3K27ac	5.40476664848526
chr1	3700001	3800000	A1	8	H3K27ac	3.91987916207016
chr1	4000001	4100000	B1	7	H3K27ac	1.98132899558872
chr1	4100001	4200000	B1	8	H3K27ac	1.80353923209677
chr1	4200001	4300000	B1	7	H3K27ac	1.75025724088589
chr1	4300001	4400000	B1	8	H3K27ac	1.59328774679631
chr1	4400001	4500000	B2	8	H3K27ac	1.6323158788534
chr1	4500001	4600000	B1	7	H3K27ac	1.67521590890288
chr1	4600001	4700000	B2	8	H3K27ac	1.5092155550465
chr1	4700001	4800000	B1	7	H3K27ac	1.51188861522704
chr1	4800001	4900000	B2	7	H3K27ac	1.50161683149487
chr1	4900001	5e+06	B2	6	H3K27ac	1.37139990578175
chr1	5000001	5100000	B2	6	H3K27ac	1.4332833407102
chr1	5100001	5200000	B1	7	H3K27ac	1.43191033063531
chr1	5200001	5300000	B1	6	H3K27ac	1.37227059514195
chr1	5300001	5400000	B2	7	H3K27ac	1.512734654182
chr1	5400001	5500000	B1	7	H3K27ac	1.6751331451412
chr1	5500001	5600000	B1	7	H3K27ac	1.7195776270018
chr1	5600001	5700000	B1	7	H3K27ac	1.74876594721705
chr1	5700001	5800000	B1	8	H3K27ac	1.90067034501354
chr1	5800001	5900000	B1	8	H3K27ac	2.1959739746364
chr1	5900001	6e+06	B1	8	H3K27ac	3.43190545176198
chr1	6000001	6100000	B1	7	H3K27ac	3.59000318408559
chr1	6100001	6200000	B1	9	H3K27ac	2.8927197605439
chr1	6200001	6300000	A1	6	H3K27ac	4.13614262277643
chr1	6300001	6400000	A1	10	H3K27ac	3.92825507273724
chr1	6400001	6500000	A1	9	H3K27ac	4.32551665362
chr1	6500001	6600000	A1	9	H3K27ac	3.24215709263225
chr1	6600001	6700000	A1	9	H3K27ac	5.28277059489687
chr1	6700001	6800000	A1	8	H3K27ac	3.6807808594504
chr1	6800001	6900000	A1	7	H3K27ac	2.99586923300485
chr1	6900001	7e+06	A2	7	H3K27ac	3.21926492911667
chr1	7000001	7100000	B1	9	H3K27ac	2.29847273894091
chr1	7100001	7200000	B1	8	H3K27ac	1.81910897668252
chr1	7200001	7300000	B1	6	H3K27ac	2.01741684260815
chr1	7300001	7400000	B1	8	H3K27ac	2.20703347052703
chr1	7400001	7500000	B1	8	H3K27ac	2.22078219935
chr1	7500001	7600000	B1	9	H3K27ac	2.82470504796892
chr1	7600001	7700000	B1	8	H3K27ac	2.08901026795665
chr1	7700001	7800000	A2	8	H3K27ac	2.89364362791538
chr1	7800001	7900000	A1	7	H3K27ac	2.78268210275998
chr1	7900001	8e+06	A1	8	H3K27ac	2.07841101242234
chr1	8000001	8100000	A2	6	H3K27ac	2.75890917497903
chr1	8100001	8200000	A2	7	H3K27ac	2.05314571023951
chr1	8200001	8300000	A1	8	H3K27ac	2.27393536204696
chr1	8300001	8400000	A2	7	H3K27ac	2.8116340038983
chr1	8400001	8500000	A2	9	H3K27ac	4.40708025418828
chr1	8500001	8600000	A2	7	H3K27ac	3.52540327514569
chr1	8600001	8700000	A2	7	H3K27ac	2.42477689866533
chr1	8700001	8800000	A2	7	H3K27ac	3.27680151070197
chr1	8800001	8900000	A1	6	H3K27ac	3.22295798435003
chr1	8900001	9e+06	A1	8	H3K27ac	4.2112714012906
chr1	9000001	9100000	A1	7	H3K27ac	2.79962419171611
chr1	9100001	9200000	A1	7	H3K27ac	4.01603077995251
chr1	9200001	9300000	A1	10	H3K27ac	4.55396107964347
chr1	9300001	9400000	A2	9	H3K27ac	4.07585445417663
chr1	9400001	9500000	A1	8	H3K27ac	3.42583363329103
chr1	9500001	9600000	A1	8	H3K27ac	2.92260855383704
chr1	9600001	9700000	A1	8	H3K27ac	5.13216628057271
chr1	9700001	9800000	A1	9	H3K27ac	3.56553208241443
chr1	9800001	9900000	A1	7	H3K27ac	3.41574111550311
chr1	9900001	1e+07	A1	8	H3K27ac	3.95700152692825
chr1	10000001	10100000	A1	7	H3K27ac	3.46670951880515
chr1	10100001	10200000	A1	9	H3K27ac	3.87490291392058
chr1	10200001	10300000	A1	7	H3K27ac	3.83236359684666
chr1	10300001	10400000	A1	7	H3K27ac	3.4175233807837
chr1	10400001	10500000	A1	9	H3K27ac	3.76746604065597
chr1	10500001	10600000	A1	7	H3K27ac	4.08173948593686
chr1	10600001	10700000	A1	9	H3K27ac	3.5546633385097
chr1	10700001	10800000	A2	9	H3K27ac	5.26460417338461
chr1	10800001	10900000	A1	9	H3K27ac	5.38461267305166
chr1	10900001	1.1e+07	A1	9	H3K27ac	3.32658172847827
chr1	11000001	11100000	A1	10	H3K27ac	3.37091666679829
chr1	11100001	11200000	A1	8	H3K27ac	3.62475671926389
chr1	11200001	11300000	A1	8	H3K27ac	2.88716842338691
chr1	11300001	11400000	A1	9	H3K27ac	3.8725073328341
chr1	11400001	11500000	A2	8	H3K27ac	2.17187789965173
chr1	11500001	11600000	B1	9	H3K27ac	2.22637775848806
chr1	11600001	11700000	B1	8	H3K27ac	2.1035329094554
chr1	11700001	11800000	A1	9	H3K27ac	4.8852650881658
chr1	11800001	11900000	A1	8	H3K27ac	3.63101050882538
chr1	11900001	1.2e+07	A1	7	H3K27ac	3.44859021426737
chr1	12000001	12100000	A1	8	H3K27ac	4.35963749633481
chr1	12100001	12200000	A2	8	H3K27ac	2.61743431951354
chr1	12200001	12300000	A2	8	H3K27ac	3.64864401916166
chr1	12300001	12400000	A2	6	H3K27ac	3.25930771798144
chr1	12400001	12500000	A2	6	H3K27ac	3.90581404199203
chr1	12500001	12600000	A2	7	H3K27ac	3.20453476269046
chr1	12600001	12700000	A2	7	H3K27ac	5.15389649237941
chr1	12700001	12800000	B1	6	H3K27ac	2.26990871171405
chr1	12800001	12900000	B1	6	H3K27ac	1.7149071328193
chr1	12900001	1.3e+07	B1	10	H3K27ac	1.16374444165578
chr1	13700001	13800000	A2	6	H3K27ac	1.25998777392417
chr1	13800001	13900000	B1	7	H3K27ac	2.09326062588235
chr1	13900001	1.4e+07	A2	6	H3K27ac	4.88945722694854
chr1	14000001	14100000	A2	5	H3K27ac	2.78371807868511
chr1	14100001	14200000	B1	7	H3K27ac	2.82207608586888
chr1	14200001	14300000	B1	5	H3K27ac	1.78817161426346
