chrom	start	end	layer	abs_res
chr1	238800000	239800000	1	0.0385605821989016
chr1	238900000	239900000	1	0.0462640773696901
chr1	239100000	240100000	1	0.0888855071265934
chr1	239200000	240200000	1	0.0857536147653666
chr1	239300000	240300000	1	0.0873461426188432
chr1	239400000	240400000	1	0.0967558411477708
chr1	239500000	240500000	1	0.101932756820991
chr1	239600000	240600000	1	0.0994848253942668
chr2	189400000	190400000	1	0.0157463188214377
chr2	189500000	190500000	1	0.0314945134300588
chr2	195200000	196200000	1	0.0601620093748722
chr2	195300000	196300000	1	0.107383696358754
chr2	195400000	196400000	1	0.0767134145650556
chr2	195500000	196500000	1	0.0626647801762574
chr2	195600000	196600000	1	0.0646310544033791
chr2	195700000	196700000	1	0.0650239131973863
chr2	195800000	196800000	1	0.0708040107270868
chr2	195900000	196900000	1	0.0727053280463521
chr2	211300000	212300000	1	0.0188526759641384
chr2	211600000	212600000	1	0.00901912838767975
chr2	211700000	212700000	1	0.00675563893851452
chr2	211800000	212800000	1	0.00162521682556104
chr2	211900000	212900000	1	4.58320763273781e-05
chr2	212000000	213000000	1	0.0368025988604707
chr2	212100000	213100000	1	0.0196033562870951
chr2	214600000	215600000	1	0.0297866068757139
chr2	214700000	215700000	1	0.0181943849669022
chr2	214800000	215800000	1	0.00790109964841994
chr2	214900000	215900000	1	0.0115890396410411
chr2	229000000	230000000	1	0.00349520712602173
chr2	229100000	230100000	1	0.00239403952496216
chr2	229400000	230400000	1	0.0455492599058471
chr3	1400000	2400000	1	0.00760830245524506
chr3	1500000	2500000	1	0.00741103012815408
chr3	1700000	2700000	1	0.0127277567187323
chr3	1800000	2800000	1	0.0148126723738244
chr3	1900000	2900000	1	0.000184015560440804
chr3	2000000	3000000	1	0.0417591857778461
chr3	2100000	3100000	1	0.00748718268472165
chr3	2200000	3200000	1	0.00984713341208266
chr3	2300000	3300000	1	0.0125349523937893
chr3	2400000	3400000	1	0.000797304835963726
chr3	2500000	3500000	1	0.00458244783132574
chr3	2600000	3600000	1	0.0129555474779906
chr3	2700000	3700000	1	0.0010570209104773
chr3	2800000	3800000	1	0.0294411019080916
chr3	18700000	19700000	1	0.00527998264622795
chr3	173900000	174900000	1	0.0538947743682298
chr3	174000000	175000000	1	0.0736326933992048
chr4	18400000	19400000	1	0.0188541510781858
chr4	132200000	133200000	1	0.095595119848552
chr4	132300000	133300000	1	0.0778769324315146
chr4	132400000	133400000	1	0.0813122375316695
chr4	144500000	145500000	1	0.0427279361883015
chr4	144700000	145700000	1	0.0311043780681816
chr4	168300000	169300000	1	0.0401035473394111
chr4	178300000	179300000	1	0.0127112664063502
chr4	178400000	179400000	1	0.0045249264984663
chr4	178500000	179500000	1	0.0129738498884271
chr4	178600000	179600000	1	0.0319890434933804
chr4	178700000	179700000	1	0.0281522727825027
chr5	163000000	164000000	1	0.00996337205045791
chr5	166400000	167400000	1	0.0500277894261262
chr5	166600000	167600000	1	0.0311136427671405
chr1	185800000	186800000	2	0.0253274183780828
chr1	185900000	186900000	2	0.0325247824760541
chr1	186000000	187000000	2	0.0270888748796197
chr1	186100000	187100000	2	0.0556552210853293
chr1	186200000	187200000	2	0.0789942041722218
chr1	186300000	187300000	2	0.0791989285800887
chr1	186400000	187400000	2	0.0878031318050019
chr1	186500000	187500000	2	0.105371864180436
chr1	186600000	187600000	2	0.0891626175070794
chr1	186700000	187700000	2	0.101046617157695
chr1	186800000	187800000	2	0.104617896809682
chr1	186900000	187900000	2	0.0863809514216355
chr1	188400000	189400000	2	0.0461689841829224
chr1	188700000	189700000	2	0.0205114270183202
chr1	188800000	189800000	2	0.0237851621148662
chr1	188900000	189900000	2	0.00873862030564585
chr1	189900000	190900000	2	0.0413367886183451
chr1	190000000	191000000	2	0.0398262129366289
chr1	190100000	191100000	2	0.0410857549135021
chr1	190200000	191200000	2	0.0434388687638395
chr1	190300000	191300000	2	0.00276449115450292
chr1	190400000	191400000	2	0.0112382803890021
chr1	190500000	191500000	2	0.0187750968163037
chr1	190600000	191600000	2	0.0328758056552132
chr1	191400000	192400000	2	0.086208734302491
chr1	191700000	192700000	2	0.0692135337882247
chr1	192500000	193500000	2	0.0318401507170633
chr1	192600000	193600000	2	0.0510468505471135
chr1	192900000	193900000	2	0.00138821782364531
chr1	194000000	195000000	2	0.0469783574634905
chr1	194100000	195100000	2	0.0436849116773418
chr1	194200000	195200000	2	0.0480049070250298
chr1	195400000	196400000	2	0.024425849866324
chr1	195500000	196500000	2	0.0423871027013783
chr1	195600000	196600000	2	0.0610634851162511
chr1	195700000	196700000	2	0.0579236594046848
chr1	195800000	196800000	2	0.0406992604907295
chr1	195900000	196900000	2	0.0574612929715381
chr1	196000000	197000000	2	0.0623503342219683
chr1	196100000	197100000	2	0.0711956561210107
chr1	196200000	197200000	2	0.0645326042958389
chr1	196300000	197300000	2	0.0371346082286222
chr1	196400000	197400000	2	0.0355563278862249
chr1	196500000	197500000	2	0.0208647792861395
chr1	196600000	197600000	2	0.00157175813406413
chr1	196700000	197700000	2	0.0156703879097046
chr1	196800000	197800000	2	0.0197082503057792
chr1	196900000	197900000	2	0.00581034399888114
chr1	215600000	216600000	2	0.00352306314386406
chr1	215700000	216700000	2	0.00220938514077244
chr1	215800000	216800000	2	0.0123285684899778
chr1	215900000	216900000	2	0.0316747240141867
chr1	216000000	217000000	2	0.00864343546166435
chr1	216100000	217100000	2	0.0104097039797171
chr1	216200000	217200000	2	0.00857560898410095
chr1	217300000	218300000	2	0.00836202350464752
chr1	217400000	218400000	2	0.0247217543107032
chr1	217500000	218500000	2	0.0195405892877743
chr1	217600000	218600000	2	0.0122316393642051
chr1	217700000	218700000	2	0.00569730398601218
chr1	217800000	218800000	2	0.00971582647260332
chr1	217900000	218900000	2	0.00932920652359513
chr1	218000000	219000000	2	0.0502399308596733
chr1	218100000	219100000	2	0.0418814927300399
