chrom	start	end	gpseq_score	status
chr1	700001	800000	1.90430421035874	not fused
chr1	800001	900000	1.70054375671695	fused
chr1	900001	1000000	1.93527062880032	fused
chr1	900001	1000000	1.93527062880032	fused
chr1	900001	1000000	1.93527062880032	fused
chr1	900001	1000000	1.93527062880032	fused
chr1	900001	1000000	1.93527062880032	fused
chr1	1300001	1400000	1.98801878437933	fused
chr1	1300001	1400000	1.98801878437933	fused
chr1	1300001	1400000	1.98801878437933	fused
chr1	1300001	1400000	1.98801878437933	fused
chr1	1500001	1600000	1.65350307327881	fused
chr1	1500001	1600000	1.65350307327881	fused
chr1	1500001	1600000	1.65350307327881	fused
chr1	1500001	1600000	1.65350307327881	fused
chr1	1600001	1700000	1.98384098049964	fused
chr1	1600001	1700000	1.98384098049964	fused
chr1	1700001	1800000	1.7514294381012	fused
chr1	1700001	1800000	1.7514294381012	fused
chr1	1700001	1800000	1.7514294381012	fused
chr1	1700001	1800000	1.7514294381012	fused
chr1	1700001	1800000	1.7514294381012	fused
chr1	1700001	1800000	1.7514294381012	fused
chr1	2000001	2100000	1.9451382713911	fused
chr1	2000001	2100000	1.9451382713911	fused
chr1	2200001	2300000	1.93109046948603	fused
chr1	2200001	2300000	1.93109046948603	fused
chr1	2500001	2600000	1.90746084617862	not fused
chr1	2800001	2900000	1.97043895176158	not fused
chr1	2900001	3000000	1.79533940971767	fused
chr1	3000001	3100000	1.96915777285376	not fused
chr1	3300001	3400000	1.84767425131565	fused
chr1	3300001	3400000	1.84767425131565	fused
chr1	3300001	3400000	1.84767425131565	fused
chr1	3300001	3400000	1.84767425131565	fused
chr1	3400001	3500000	1.93933236429699	not fused
chr1	3500001	3600000	1.66317816274148	not fused
chr1	3600001	3700000	1.65381457714989	fused
chr1	3700001	3800000	1.70918961556668	not fused
chr1	3800001	3900000	1.62922168888644	fused
chr1	3900001	4000000	1.69289109171751	not fused
chr1	4000001	4100000	1.65603921368899	not fused
chr1	4100001	4200000	1.71561672445176	not fused
chr1	4200001	4300000	1.6514285196134	not fused
chr1	4300001	4400000	1.70761897598324	not fused
chr1	4400001	4500000	1.74149380832959	not fused
chr1	4500001	4600000	1.62548261145442	not fused
chr1	4600001	4700000	1.70650948937006	not fused
chr1	4700001	4800000	1.67992089231255	fused
chr1	4800001	4900000	1.67600288247234	not fused
chr1	4900001	5000000	1.57175253072144	not fused
chr1	5000001	5100000	1.55982869802595	not fused
chr1	5100001	5200000	1.67486780246541	not fused
chr1	5200001	5300000	1.55496110562092	not fused
chr1	5300001	5400000	1.6913587771407	not fused
chr1	5400001	5500000	1.66387312022581	not fused
chr1	5500001	5600000	1.60701778231815	not fused
chr1	5600001	5700000	1.62371181259203	not fused
chr1	5700001	5800000	1.69490186551518	not fused
chr1	5800001	5900000	1.78007600529423	not fused
chr1	5900001	6000000	1.72981040599112	not fused
chr1	6000001	6100000	1.65568114093944	fused
chr1	6000001	6100000	1.65568114093944	fused
chr1	6000001	6100000	1.65568114093944	fused
chr1	6000001	6100000	1.65568114093944	fused
chr1	6100001	6200000	1.79601922075249	not fused
chr1	6200001	6300000	1.50948539518673	fused
chr1	6200001	6300000	1.50948539518673	fused
chr1	6200001	6300000	1.50948539518673	fused
chr1	6200001	6300000	1.50948539518673	fused
chr1	6200001	6300000	1.50948539518673	fused
chr1	6200001	6300000	1.50948539518673	fused
chr1	6300001	6400000	1.99304591001104	fused
chr1	6300001	6400000	1.99304591001104	fused
chr1	6300001	6400000	1.99304591001104	fused
chr1	6300001	6400000	1.99304591001104	fused
chr1	6300001	6400000	1.99304591001104	fused
chr1	6300001	6400000	1.99304591001104	fused
chr1	6300001	6400000	1.99304591001104	fused
chr1	6400001	6500000	1.7765119768119	fused
chr1	6400001	6500000	1.7765119768119	fused
chr1	6500001	6600000	1.75219915135917	fused
chr1	6500001	6600000	1.75219915135917	fused
chr1	6500001	6600000	1.75219915135917	fused
chr1	6500001	6600000	1.75219915135917	fused
chr1	6500001	6600000	1.75219915135917	fused
chr1	6600001	6700000	1.78259073356543	fused
chr1	6600001	6700000	1.78259073356543	fused
chr1	6600001	6700000	1.78259073356543	fused
chr1	6600001	6700000	1.78259073356543	fused
chr1	6600001	6700000	1.78259073356543	fused
chr1	6600001	6700000	1.78259073356543	fused
chr1	6600001	6700000	1.78259073356543	fused
chr1	6600001	6700000	1.78259073356543	fused
chr1	6700001	6800000	1.70096460165236	fused
chr1	6700001	6800000	1.70096460165236	fused
chr1	6700001	6800000	1.70096460165236	fused
chr1	6700001	6800000	1.70096460165236	fused
chr1	6800001	6900000	1.63726261245702	fused
chr1	6800001	6900000	1.63726261245702	fused
chr1	6800001	6900000	1.63726261245702	fused
chr1	6900001	7000000	1.63255234963791	not fused
chr1	7000001	7100000	1.83545328999479	not fused
chr1	7100001	7200000	1.75205443370154	not fused
chr1	7200001	7300000	1.59482030700207	not fused
chr1	7300001	7400000	1.73818512231813	fused
chr1	7400001	7500000	1.73740915450076	not fused
chr1	7500001	7600000	1.85359556034903	not fused
chr1	7600001	7700000	1.72927634102179	not fused
chr1	7700001	7800000	1.75660248531921	not fused
chr1	7800001	7900000	1.6444223919926	fused
chr1	7800001	7900000	1.6444223919926	fused
chr1	7800001	7900000	1.6444223919926	fused
chr1	7900001	8000000	1.69776972512523	not fused
chr1	8000001	8100000	1.5613742056064	fused
chr1	8000001	8100000	1.5613742056064	fused
chr1	8000001	8100000	1.5613742056064	fused
chr1	8000001	8100000	1.5613742056064	fused
chr1	8100001	8200000	1.67052290508278	not fused
chr1	8200001	8300000	1.71969293336488	not fused
chr1	8300001	8400000	1.67673168407029	fused
chr1	8400001	8500000	1.81065022881282	fused
chr1	8400001	8500000	1.81065022881282	fused
chr1	8400001	8500000	1.81065022881282	fused
chr1	8500001	8600000	1.62288210852454	fused
chr1	8500001	8600000	1.62288210852454	fused
chr1	8500001	8600000	1.62288210852454	fused
chr1	8600001	8700000	1.60792167775927	fused
chr1	8600001	8700000	1.60792167775927	fused
chr1	8700001	8800000	1.57471254454185	fused
chr1	8800001	8900000	1.5323634652295	fused
chr1	8800001	8900000	1.5323634652295	fused
chr1	8900001	9000000	1.72735975355916	fused
chr1	8900001	9000000	1.72735975355916	fused
chr1	8900001	9000000	1.72735975355916	fused
chr1	8900001	9000000	1.72735975355916	fused
chr1	8900001	9000000	1.72735975355916	fused
chr1	9000001	9100000	1.61810852796826	fused
chr1	9000001	9100000	1.61810852796826	fused
chr1	9000001	9100000	1.61810852796826	fused
chr1	9000001	9100000	1.61810852796826	fused
chr1	9000001	9100000	1.61810852796826	fused
chr1	9100001	9200000	1.59283386065161	fused
chr1	9100001	9200000	1.59283386065161	fused
chr1	9100001	9200000	1.59283386065161	fused
chr1	9200001	9300000	1.9893942492476	not fused
chr1	9300001	9400000	1.80231297925305	fused
chr1	9300001	9400000	1.80231297925305	fused
chr1	9300001	9400000	1.80231297925305	fused
chr1	9300001	9400000	1.80231297925305	fused
chr1	9300001	9400000	1.80231297925305	fused
chr1	9400001	9500000	1.77489949430608	fused
chr1	9400001	9500000	1.77489949430608	fused
chr1	9500001	9600000	1.73194559848301	not fused
chr1	9600001	9700000	1.64734591780211	not fused
chr1	9700001	9800000	1.78199116219456	fused
chr1	9700001	9800000	1.78199116219456	fused
chr1	9800001	9900000	1.6462687691012	fused
chr1	9800001	9900000	1.6462687691012	fused
chr1	9800001	9900000	1.6462687691012	fused
chr1	9900001	10000000	1.76391048794063	fused
chr1	9900001	10000000	1.76391048794063	fused
chr1	9900001	10000000	1.76391048794063	fused
chr1	9900001	10000000	1.76391048794063	fused
chr1	10000001	10100000	1.64247746094675	fused
chr1	10000001	10100000	1.64247746094675	fused
chr1	10000001	10100000	1.64247746094675	fused
chr1	10000001	10100000	1.64247746094675	fused
chr1	10100001	10200000	1.83776968087434	fused
chr1	10100001	10200000	1.83776968087434	fused
chr1	10100001	10200000	1.83776968087434	fused
chr1	10200001	10300000	1.58420462243019	fused
chr1	10200001	10300000	1.58420462243019	fused
chr1	10200001	10300000	1.58420462243019	fused
chr1	10200001	10300000	1.58420462243019	fused
chr1	10200001	10300000	1.58420462243019	fused
chr1	10200001	10300000	1.58420462243019	fused
chr1	10300001	10400000	1.66106852745147	fused
chr1	10300001	10400000	1.66106852745147	fused
chr1	10300001	10400000	1.66106852745147	fused
chr1	10300001	10400000	1.66106852745147	fused
chr1	10400001	10500000	1.82271468639923	fused
chr1	10400001	10500000	1.82271468639923	fused
chr1	10400001	10500000	1.82271468639923	fused
chr1	10400001	10500000	1.82271468639923	fused
chr1	10400001	10500000	1.82271468639923	fused
chr1	10400001	10500000	1.82271468639923	fused
chr1	10500001	10600000	1.66810109779219	fused
chr1	10500001	10600000	1.66810109779219	fused
chr1	10500001	10600000	1.66810109779219	fused
chr1	10600001	10700000	1.77441466229554	fused
chr1	10700001	10800000	1.86460732568559	fused
chr1	10700001	10800000	1.86460732568559	fused
chr1	10700001	10800000	1.86460732568559	fused
chr1	10700001	10800000	1.86460732568559	fused
chr1	10700001	10800000	1.86460732568559	fused
chr1	10700001	10800000	1.86460732568559	fused
chr1	10800001	10900000	1.84985391772421	fused
chr1	10800001	10900000	1.84985391772421	fused
chr1	10900001	11000000	1.87207185345902	not fused
chr1	11000001	11100000	1.93613964483752	fused
chr1	11000001	11100000	1.93613964483752	fused
chr1	11100001	11200000	1.69722451953135	fused
chr1	11100001	11200000	1.69722451953135	fused
chr1	11100001	11200000	1.69722451953135	fused
chr1	11100001	11200000	1.69722451953135	fused
chr1	11100001	11200000	1.69722451953135	fused
chr1	11200001	11300000	1.78699722171653	fused
chr1	11200001	11300000	1.78699722171653	fused
chr1	11200001	11300000	1.78699722171653	fused
chr1	11200001	11300000	1.78699722171653	fused
chr1	11200001	11300000	1.78699722171653	fused
chr1	11300001	11400000	1.79935635601109	not fused
chr1	11400001	11500000	1.78187958869718	not fused
chr1	11500001	11600000	1.78031518784638	not fused
chr1	11600001	11700000	1.80433500827279	not fused
chr1	11700001	11800000	1.80023304633954	fused
chr1	11700001	11800000	1.80023304633954	fused
chr1	11700001	11800000	1.80023304633954	fused
chr1	11800001	11900000	1.70867467599388	fused
chr1	11800001	11900000	1.70867467599388	fused
chr1	11800001	11900000	1.70867467599388	fused
chr1	11900001	12000000	1.64544592695218	not fused
chr1	12000001	12100000	1.71940134497002	fused
chr1	12000001	12100000	1.71940134497002	fused
chr1	12100001	12200000	1.76931261768489	fused
chr1	12100001	12200000	1.76931261768489	fused
chr1	12200001	12300000	1.68016339871283	fused
chr1	12200001	12300000	1.68016339871283	fused
chr1	12200001	12300000	1.68016339871283	fused
chr1	12300001	12400000	1.52841460464793	fused
chr1	12300001	12400000	1.52841460464793	fused
chr1	12400001	12500000	1.55417507681036	fused
chr1	12500001	12600000	1.59042658341518	fused
chr1	12500001	12600000	1.59042658341518	fused
chr1	12600001	12700000	1.65799820119136	fused
chr1	12600001	12700000	1.65799820119136	fused
chr1	12600001	12700000	1.65799820119136	fused
chr1	12700001	12800000	1.53295846331299	not fused
chr1	12800001	12900000	1.57312016837591	not fused
chr1	12900001	13000000	1.98858380262998	not fused
chr1	13000001	13100000	1.52258076217618	not fused
chr1	13100001	13200000	1.75806573136098	not fused
chr1	13200001	13300000	1.40522406561535	not fused
chr1	13500001	13600000	1.99152470926409	not fused
chr1	13700001	13800000	1.455917309692	not fused
chr1	13800001	13900000	1.5637493024072	not fused
chr1	13900001	14000000	1.49695792753424	fused
chr1	14000001	14100000	1.42577645439601	not fused
chr1	14100001	14200000	1.64163243053151	fused
chr1	14200001	14300000	1.50722149436641	not fused
chr1	14300001	14400000	1.53708112702247	not fused
chr1	14400001	14500000	1.57033470701373	not fused
chr1	14500001	14600000	1.51520785517563	not fused
chr1	14600001	14700000	1.54511823057358	not fused
chr1	14700001	14800000	1.54348580427246	not fused
chr1	14800001	14900000	1.5607789512822	not fused
chr1	14900001	15000000	1.47982652331891	not fused
chr1	15000001	15100000	1.63691422845236	not fused
chr1	15100001	15200000	1.69821662561485	not fused
chr1	15200001	15300000	1.62727871670093	not fused
chr1	15300001	15400000	1.59608910521218	not fused
chr1	15400001	15500000	1.64286173378258	not fused
chr1	15500001	15600000	1.57190321029387	fused
chr1	15500001	15600000	1.57190321029387	fused
chr1	15500001	15600000	1.57190321029387	fused
chr1	15600001	15700000	1.63021340781116	fused
chr1	15600001	15700000	1.63021340781116	fused
chr1	15700001	15800000	1.64161268156845	fused
chr1	15700001	15800000	1.64161268156845	fused
chr1	15700001	15800000	1.64161268156845	fused
chr1	15700001	15800000	1.64161268156845	fused
chr1	15800001	15900000	1.74545125037982	fused
chr1	15800001	15900000	1.74545125037982	fused
chr1	15900001	16000000	1.74704445003408	fused
chr1	15900001	16000000	1.74704445003408	fused
chr1	16000001	16100000	1.72686705814116	fused
chr1	16000001	16100000	1.72686705814116	fused
chr1	16000001	16100000	1.72686705814116	fused
chr1	16000001	16100000	1.72686705814116	fused
chr1	16000001	16100000	1.72686705814116	fused
chr1	16000001	16100000	1.72686705814116	fused
chr1	16000001	16100000	1.72686705814116	fused
chr1	16000001	16100000	1.72686705814116	fused
chr1	16100001	16200000	1.76290921136147	fused
chr1	16100001	16200000	1.76290921136147	fused
chr1	16100001	16200000	1.76290921136147	fused
chr1	16100001	16200000	1.76290921136147	fused
chr1	16100001	16200000	1.76290921136147	fused
chr1	16100001	16200000	1.76290921136147	fused
chr1	16100001	16200000	1.76290921136147	fused
chr1	16100001	16200000	1.76290921136147	fused
chr1	16200001	16300000	1.62487607677608	fused
chr1	16200001	16300000	1.62487607677608	fused
chr1	16200001	16300000	1.62487607677608	fused
chr1	16200001	16300000	1.62487607677608	fused
chr1	16200001	16300000	1.62487607677608	fused
chr1	16200001	16300000	1.62487607677608	fused
chr1	16200001	16300000	1.62487607677608	fused
chr1	16200001	16300000	1.62487607677608	fused
chr1	16200001	16300000	1.62487607677608	fused
chr1	16300001	16400000	1.86767750203992	not fused
chr1	16400001	16500000	1.8552279027272	fused
chr1	16400001	16500000	1.8552279027272	fused
chr1	16400001	16500000	1.8552279027272	fused
chr1	16400001	16500000	1.8552279027272	fused
chr1	16500001	16600000	1.73499721327677	fused
chr1	16500001	16600000	1.73499721327677	fused
chr1	16500001	16600000	1.73499721327677	fused
chr1	16500001	16600000	1.73499721327677	fused
chr1	16600001	16700000	1.60080101185429	fused
chr1	16600001	16700000	1.60080101185429	fused
chr1	16600001	16700000	1.60080101185429	fused
chr1	16600001	16700000	1.60080101185429	fused
chr1	16700001	16800000	1.82753299731098	fused
chr1	16700001	16800000	1.82753299731098	fused
chr1	16700001	16800000	1.82753299731098	fused
chr1	16700001	16800000	1.82753299731098	fused
chr1	16800001	16900000	1.72881499905653	not fused
chr1	17000001	17100000	1.85299748408943	not fused
chr1	17200001	17300000	1.88695696601796	not fused
chr1	17300001	17400000	1.83637293912289	fused
chr1	17400001	17500000	1.97636208967593	fused
chr1	17500001	17600000	1.94539831198168	fused
chr1	17500001	17600000	1.94539831198168	fused
chr1	17500001	17600000	1.94539831198168	fused
chr1	17600001	17700000	1.96692972435695	fused
chr1	17600001	17700000	1.96692972435695	fused
chr1	17600001	17700000	1.96692972435695	fused
chr1	17600001	17700000	1.96692972435695	fused
chr1	17600001	17700000	1.96692972435695	fused
chr1	17700001	17800000	1.83658713112789	not fused
chr1	17800001	17900000	1.87708304012086	fused
chr1	17900001	18000000	1.80799908079938	fused
chr1	17900001	18000000	1.80799908079938	fused
chr1	17900001	18000000	1.80799908079938	fused
chr1	17900001	18000000	1.80799908079938	fused
chr1	17900001	18000000	1.80799908079938	fused
chr1	18000001	18100000	1.84351745494888	fused
chr1	18000001	18100000	1.84351745494888	fused
chr1	18000001	18100000	1.84351745494888	fused
chr1	18100001	18200000	1.90950512540811	not fused
chr1	18200001	18300000	1.85892086796972	not fused
chr1	18300001	18400000	1.78656611769483	not fused
chr1	18400001	18500000	1.73582493213784	not fused
chr1	18500001	18600000	1.9637106480079	fused
chr1	18500001	18600000	1.9637106480079	fused
chr1	18600001	18700000	1.9991878542285	not fused
chr1	18700001	18800000	1.89951846200269	not fused
chr1	18800001	18900000	1.92283133222605	not fused
chr1	18900001	19000000	1.85096713839097	not fused
chr1	19000001	19100000	1.88634253578083	fused
chr1	19000001	19100000	1.88634253578083	fused
chr1	19100001	19200000	1.896903937919	not fused
chr1	19200001	19300000	1.86752537517829	fused
chr1	19200001	19300000	1.86752537517829	fused
chr1	19300001	19400000	1.97723193663513	not fused
chr1	19400001	19500000	1.98522545800413	fused
chr1	19400001	19500000	1.98522545800413	fused
chr1	19400001	19500000	1.98522545800413	fused
chr1	19400001	19500000	1.98522545800413	fused
chr1	19500001	19600000	1.89222103018266	not fused
chr1	19600001	19700000	1.94333680348395	fused
chr1	19600001	19700000	1.94333680348395	fused
chr1	19600001	19700000	1.94333680348395	fused
chr1	19700001	19800000	1.77264788753595	fused
chr1	19700001	19800000	1.77264788753595	fused
chr1	19800001	19900000	1.67830468436114	fused
chr1	19800001	19900000	1.67830468436114	fused
chr1	19900001	20000000	1.69525114796671	fused
chr1	19900001	20000000	1.69525114796671	fused
chr1	19900001	20000000	1.69525114796671	fused
chr1	19900001	20000000	1.69525114796671	fused
chr1	20000001	20100000	1.6781530203075	fused
chr1	20000001	20100000	1.6781530203075	fused
chr1	20000001	20100000	1.6781530203075	fused
chr1	20000001	20100000	1.6781530203075	fused
chr1	20100001	20200000	1.74397476606205	not fused
chr1	20200001	20300000	1.64724620560307	not fused
chr1	20300001	20400000	1.82072561629089	fused
chr1	20300001	20400000	1.82072561629089	fused
chr1	20300001	20400000	1.82072561629089	fused
chr1	20300001	20400000	1.82072561629089	fused
chr1	20400001	20500000	1.91895587505501	fused
chr1	20500001	20600000	1.82702762069766	not fused
chr1	20600001	20700000	1.92842019759313	not fused
chr1	20700001	20800000	1.88886606952539	not fused
chr1	20800001	20900000	1.80292937752869	not fused
chr1	20900001	21000000	1.82943758172191	not fused
chr1	21000001	21100000	1.73922609987134	fused
chr1	21100001	21200000	1.57953147538752	fused
chr1	21100001	21200000	1.57953147538752	fused
chr1	21100001	21200000	1.57953147538752	fused
chr1	21100001	21200000	1.57953147538752	fused
chr1	21200001	21300000	1.58948320984002	fused
chr1	21200001	21300000	1.58948320984002	fused
chr1	21200001	21300000	1.58948320984002	fused
chr1	21300001	21400000	1.52679323181516	fused
chr1	21300001	21400000	1.52679323181516	fused
chr1	21300001	21400000	1.52679323181516	fused
