chrom	start	end	gpseq_score	dsn_median
chr1	1000000	2000000	1	0.7366665
chr1	2000000	3000000	0.989834697976209	0.7393045
chr1	3000000	4000000	0.879283176270663	0.7079985
chr1	4000000	5000000	0.748648231113858	0.664904
chr1	5000000	6000000	0.654818476749575	0.64759
chr1	6000000	7000000	0.778507647149699	0.681325
chr1	7000000	8000000	0.836230495906071	0.6921755
chr1	8000000	9000000	0.775782481075235	0.67585
chr1	9000000	10000000	0.721798238838251	0.6603165
chr1	10000000	11000000	0.811018075081107	0.6839805
chr1	11000000	12000000	0.798467480302797	0.680198
chr1	12000000	13000000	0.679635408620424	0.638989
chr1	13000000	14000000	0.649467016839178	0.621218
chr1	14000000	15000000	0.543055770122046	0.5941515
chr1	15000000	16000000	0.707813996601267	0.650028
chr1	16000000	17000000	0.827653329213657	0.695089
chr1	17000000	18000000	0.962688088985015	0.7322975
chr1	18000000	19000000	0.926785107369072	0.734855
chr1	19000000	20000000	0.876848447396879	0.7286935
chr1	20000000	21000000	0.809819249188939	0.7157235
chr1	21000000	22000000	0.854373551676193	0.7256895
chr1	22000000	23000000	0.88138421133941	0.7315865
chr1	23000000	24000000	0.793492970801792	0.708885
chr1	24000000	25000000	0.878720840414028	0.725458
chr1	25000000	26000000	0.857296462227715	0.719515
chr1	26000000	27000000	0.845610999536537	0.717635
chr1	27000000	28000000	0.876205777846439	0.720986
chr1	28000000	29000000	0.805678974200525	0.7028265
chr1	29000000	30000000	0.811975899891859	0.7020155
chr1	30000000	31000000	0.875711416653793	0.7124565
chr1	31000000	32000000	0.851116947319636	0.703811
chr1	32000000	33000000	0.860874401359493	0.6943195
chr1	33000000	34000000	0.707053916267573	0.6445885
chr1	34000000	35000000	0.65724702610845	0.61993
chr1	35000000	36000000	0.648255831917195	0.6148065
chr1	36000000	37000000	0.660441835315928	0.6205975
chr1	37000000	38000000	0.904081569596787	0.680701
chr1	38000000	39000000	0.669933570214739	0.6199655
chr1	39000000	40000000	0.669791441371853	0.6151755
chr1	40000000	41000000	0.699928935578557	0.620639
chr1	41000000	42000000	0.784872547505021	0.6428545
chr1	42000000	43000000	0.68463463618106	0.6193915
chr1	43000000	44000000	0.920432566043566	0.6788625
chr1	44000000	45000000	0.781313146917967	0.6385325
chr1	45000000	46000000	0.713542406921057	0.60248
chr1	46000000	47000000	0.651277614707246	0.561879
chr1	47000000	48000000	0.525487409238375	0.496951
chr1	48000000	49000000	0.516601266800556	0.4747585
chr1	49000000	50000000	0.285586281476904	0.3880675
chr1	50000000	51000000	0.355186157886606	0.4107085
chr1	51000000	52000000	0.361699366599722	0.421065
chr1	52000000	53000000	0.459551985169164	0.464543
chr1	53000000	54000000	0.694367372161285	0.548567
chr1	54000000	55000000	0.751466089911942	0.542818
chr1	55000000	56000000	0.541325505947783	0.4612695
chr1	56000000	57000000	0.340033987331995	0.380542
chr1	57000000	58000000	0.270780163757145	0.3479675
chr1	58000000	59000000	0.348475204696432	0.3624095
chr1	59000000	60000000	0.34104742777692	0.352473
chr1	60000000	61000000	0.328706936505485	0.34126
chr1	61000000	62000000	0.303296771203461	0.3356275
chr1	62000000	63000000	0.477725938513827	0.3940865
chr1	63000000	64000000	0.348333075853546	0.3425765
chr1	64000000	65000000	0.344137185230959	0.3333785
chr1	65000000	66000000	0.359857871157114	0.3299955
chr1	66000000	67000000	0.365357639425305	0.3249285
chr1	67000000	68000000	0.414966785107369	0.333984
chr1	68000000	69000000	0.363083577939132	0.3011225
chr1	69000000	70000000	0.200339873319945	0.2262925
chr1	70000000	71000000	0.232182913641279	0.2337435
chr1	71000000	72000000	0.203565580101963	0.212267
chr1	72000000	73000000	0.207007569905763	0.207407
chr1	73000000	74000000	0.230971728719296	0.220164
chr1	74000000	75000000	0.315519851691642	0.2581565
chr1	75000000	76000000	0.284109377413873	0.2552305
chr1	76000000	77000000	0.260812606210413	0.250284
chr1	77000000	78000000	0.291598949482466	0.2580335
chr1	78000000	79000000	0.304334929708018	0.2627395
chr1	79000000	80000000	0.328088985014677	0.2707575
chr1	80000000	81000000	0.308098254287039	0.2606595
chr1	81000000	82000000	0.289813069674031	0.254367
chr1	82000000	83000000	0.304687162057778	0.2608835
chr1	83000000	84000000	0.40231731809053	0.299076
chr1	84000000	85000000	0.308098254287039	0.2744685
chr1	85000000	86000000	0.36740305885988	0.298858
chr1	86000000	87000000	0.339551985169165	0.2936915
chr1	87000000	88000000	0.363596477676503	0.303969
chr1	88000000	89000000	0.313542406921057	0.295315
chr1	89000000	90000000	0.41203769504094	0.333996
chr1	90000000	91000000	0.379898038004017	0.331735
chr1	91000000	92000000	0.456542561408929	0.3653165
chr1	92000000	93000000	0.493403367835625	0.3821125
chr1	93000000	94000000	0.481662289510274	0.380413
chr1	94000000	95000000	0.475390081878572	0.369781
chr1	95000000	96000000	0.42635563108296	0.336699
chr1	96000000	97000000	0.311670013903909	0.284831
chr1	97000000	98000000	0.272720531438283	0.2685675
chr1	98000000	99000000	0.325913795767032	0.2840855
chr1	99000000	100000000	0.290146763479067	0.2720405
chr1	100000000	101000000	0.321248262011432	0.2898485
chr1	101000000	102000000	0.343191719450024	0.304254
chr1	102000000	103000000	0.390520624131006	0.32331
chr1	103000000	104000000	0.393869921211185	0.3331985
chr1	104000000	105000000	0.419014367372161	0.3492785
chr1	105000000	106000000	0.460997991657655	0.363886
chr1	106000000	107000000	0.390409392862661	0.344799
chr1	107000000	108000000	0.224835470415573	0.3067515
chr1	108000000	109000000	0.301127761470725	0.346472
chr1	109000000	110000000	0.42342654101653	0.409013
chr1	110000000	111000000	0.689176579638498	0.5000345
chr1	111000000	112000000	0.635488954117102	0.5068545
chr1	112000000	113000000	0.648781090684381	0.520066
chr1	113000000	114000000	0.587943766414337	0.5004855
chr1	114000000	115000000	0.646451413564036	0.5116445
chr1	115000000	116000000	0.5941109222926	0.486248
chr1	116000000	117000000	0.495782481075236	0.4473595
chr1	117000000	118000000	0.559882589216747	0.4553495
chr1	118000000	119000000	0.477231577321181	0.4150815
chr1	119000000	120000000	0.45393480611772	0.401052
chr1	151000000	152000000	0.744582110304342	0.5346065
