chrom	start	end	comp	Layer	variable	value
chr1	700001	8e+05	A1	9	H3K27me3	0.820144941120793
chr1	800001	9e+05	A1	9	H3K27me3	1.02755676615119
chr1	900001	1e+06	A1	10	H3K27me3	1.13924480694602
chr1	1000001	1100000	A1	10	H3K27me3	1.43052312544838
chr1	1100001	1200000	A1	10	H3K27me3	1.62913921939189
chr1	1200001	1300000	A1	10	H3K27me3	0.984064236436238
chr1	1300001	1400000	A1	10	H3K27me3	0.92630076268365
chr1	1400001	1500000	A1	10	H3K27me3	0.817901784623514
chr1	1500001	1600000	A1	8	H3K27me3	0.956434187217206
chr1	1600001	1700000	A1	10	H3K27me3	0.719196144819558
chr1	1700001	1800000	A1	9	H3K27me3	0.797217152309865
chr1	1800001	1900000	A1	10	H3K27me3	1.20441003452564
chr1	1900001	2e+06	A1	10	H3K27me3	1.34228581830621
chr1	2000001	2100000	A1	10	H3K27me3	0.851487667903205
chr1	2100001	2200000	A1	10	H3K27me3	0.812749651558201
chr1	2200001	2300000	A1	10	H3K27me3	1.02544292387187
chr1	2300001	2400000	B1	10	H3K27me3	2.32196053461621
chr1	2400001	2500000	B1	10	H3K27me3	1.55626027374282
chr1	2500001	2600000	B1	10	H3K27me3	2.48479478657216
chr1	2700001	2800000	B1	10	H3K27me3	3.42549857167353
chr1	2800001	2900000	B1	10	H3K27me3	3.25524809332316
chr1	2900001	3e+06	B1	9	H3K27me3	3.34153777319839
chr1	3000001	3100000	B1	10	H3K27me3	1.23913903509726
chr1	3100001	3200000	B1	10	H3K27me3	1.56639586830835
chr1	3200001	3300000	B1	10	H3K27me3	1.98394420577139
chr1	3300001	3400000	B1	9	H3K27me3	1.66645424018254
chr1	3400001	3500000	B1	10	H3K27me3	1.23676146356314
chr1	3500001	3600000	B1	8	H3K27me3	0.923493928546458
chr1	3600001	3700000	A1	7	H3K27me3	1.56515926540097
chr1	3700001	3800000	A1	8	H3K27me3	0.928265707986057
chr1	4000001	4100000	B1	7	H3K27me3	3.20184054580222
chr1	4100001	4200000	B1	8	H3K27me3	2.58654194268952
chr1	4200001	4300000	B1	7	H3K27me3	2.18046299566617
chr1	4300001	4400000	B1	8	H3K27me3	1.55109706176842
chr1	4400001	4500000	B2	8	H3K27me3	1.58127308951179
chr1	4500001	4600000	B1	7	H3K27me3	1.68337522604585
chr1	4600001	4700000	B2	8	H3K27me3	1.62005854234407
chr1	4700001	4800000	B1	7	H3K27me3	1.72746847779398
chr1	4800001	4900000	B2	7	H3K27me3	1.4806969698213
chr1	4900001	5e+06	B2	6	H3K27me3	1.39748081137021
chr1	5000001	5100000	B2	6	H3K27me3	1.45102917385896
chr1	5100001	5200000	B1	7	H3K27me3	1.28930199334761
chr1	5200001	5300000	B1	6	H3K27me3	1.39582421364824
chr1	5300001	5400000	B2	7	H3K27me3	1.4840867622678
chr1	5400001	5500000	B1	7	H3K27me3	1.84481505435139
chr1	5500001	5600000	B1	7	H3K27me3	2.52467381589204
chr1	5600001	5700000	B1	7	H3K27me3	2.01107737506166
chr1	5700001	5800000	B1	8	H3K27me3	2.66829915375719
chr1	5800001	5900000	B1	8	H3K27me3	2.73151343987644
chr1	5900001	6e+06	B1	8	H3K27me3	1.00465764904097
chr1	6000001	6100000	B1	7	H3K27me3	1.10381013046185
chr1	6100001	6200000	B1	9	H3K27me3	1.77333808068941
chr1	6200001	6300000	A1	6	H3K27me3	1.78384456850261
chr1	6300001	6400000	A1	10	H3K27me3	0.966422172958702
chr1	6400001	6500000	A1	9	H3K27me3	1.04872174518079
chr1	6500001	6600000	A1	9	H3K27me3	1.29887327090556
chr1	6600001	6700000	A1	9	H3K27me3	1.16366935656269
chr1	6700001	6800000	A1	8	H3K27me3	1.144926448659
chr1	6800001	6900000	A1	7	H3K27me3	1.10345629285683
chr1	6900001	7e+06	A2	7	H3K27me3	1.09379530490135
chr1	7000001	7100000	B1	9	H3K27me3	2.28833201159358
chr1	7100001	7200000	B1	8	H3K27me3	3.21572721339752
chr1	7200001	7300000	B1	6	H3K27me3	2.58380330814262
chr1	7300001	7400000	B1	8	H3K27me3	2.30240385852575
chr1	7400001	7500000	B1	8	H3K27me3	1.84028025886009
chr1	7500001	7600000	B1	9	H3K27me3	1.93867966608842
chr1	7600001	7700000	B1	8	H3K27me3	2.48913090820278
chr1	7700001	7800000	A2	8	H3K27me3	1.30039305762018
chr1	7800001	7900000	A1	7	H3K27me3	0.870773320235411
chr1	7900001	8e+06	A1	8	H3K27me3	1.62742952188979
chr1	8000001	8100000	A2	6	H3K27me3	1.38954084967723
chr1	8100001	8200000	A2	7	H3K27me3	1.56242176933939
chr1	8200001	8300000	A1	8	H3K27me3	1.58278193512703
chr1	8300001	8400000	A2	7	H3K27me3	1.90929615215749
chr1	8400001	8500000	A2	9	H3K27me3	0.804882051942448
chr1	8500001	8600000	A2	7	H3K27me3	0.798285665394266
chr1	8600001	8700000	A2	7	H3K27me3	0.813922823375762
chr1	8700001	8800000	A2	7	H3K27me3	0.9497948978209
chr1	8800001	8900000	A1	6	H3K27me3	0.863257804534535
chr1	8900001	9e+06	A1	8	H3K27me3	1.14917746176014
chr1	9000001	9100000	A1	7	H3K27me3	1.17220320128535
chr1	9100001	9200000	A1	7	H3K27me3	1.03620111234387
chr1	9200001	9300000	A1	10	H3K27me3	1.19856688717306
chr1	9300001	9400000	A2	9	H3K27me3	0.941699368667354
chr1	9400001	9500000	A1	8	H3K27me3	1.26770239574616
chr1	9500001	9600000	A1	8	H3K27me3	1.20587470509301
chr1	9600001	9700000	A1	8	H3K27me3	0.861002041441451
chr1	9700001	9800000	A1	9	H3K27me3	1.2225007843705
chr1	9800001	9900000	A1	7	H3K27me3	0.847327968292783
chr1	9900001	1e+07	A1	8	H3K27me3	0.899052912124544
chr1	10000001	10100000	A1	7	H3K27me3	0.919053699165334
chr1	10100001	10200000	A1	9	H3K27me3	0.759853341249128
chr1	10200001	10300000	A1	7	H3K27me3	0.85388118521745
chr1	10300001	10400000	A1	7	H3K27me3	0.759449785613517
chr1	10400001	10500000	A1	9	H3K27me3	0.763868846695622
chr1	10500001	10600000	A1	7	H3K27me3	0.785673931493113
chr1	10600001	10700000	A1	9	H3K27me3	0.879330784196158
chr1	10700001	10800000	A2	9	H3K27me3	0.89740251029854
chr1	10800001	10900000	A1	9	H3K27me3	1.61121966659675
chr1	10900001	1.1e+07	A1	9	H3K27me3	1.48947249216934
chr1	11000001	11100000	A1	10	H3K27me3	1.22208922552789
chr1	11100001	11200000	A1	8	H3K27me3	0.830660729219764
chr1	11200001	11300000	A1	8	H3K27me3	0.784866722748677
chr1	11300001	11400000	A1	9	H3K27me3	1.06941584893266
chr1	11400001	11500000	A2	8	H3K27me3	2.7413756904453
chr1	11500001	11600000	B1	9	H3K27me3	3.66647063350752
chr1	11600001	11700000	B1	8	H3K27me3	3.58540439067235
chr1	11700001	11800000	A1	9	H3K27me3	0.986584312768529
chr1	11800001	11900000	A1	8	H3K27me3	0.962163735768696
chr1	11900001	1.2e+07	A1	7	H3K27me3	2.57545578513742
chr1	12000001	12100000	A1	8	H3K27me3	0.786075636459639
chr1	12100001	12200000	A2	8	H3K27me3	1.88539988345603
chr1	12200001	12300000	A2	8	H3K27me3	1.35940975602369
chr1	12300001	12400000	A2	6	H3K27me3	0.785293735346446
chr1	12400001	12500000	A2	6	H3K27me3	0.876108800344914
chr1	12500001	12600000	A2	7	H3K27me3	0.914164756556352
chr1	12600001	12700000	A2	7	H3K27me3	0.992279492749025
chr1	12700001	12800000	B1	6	H3K27me3	2.31051645236785
chr1	12800001	12900000	B1	6	H3K27me3	2.24558743551026
chr1	12900001	1.3e+07	B1	10	H3K27me3	1.13013899463937
chr1	13700001	13800000	A2	6	H3K27me3	1.26606370627796
chr1	13800001	13900000	B1	7	H3K27me3	2.25258361832549
chr1	13900001	1.4e+07	A2	6	H3K27me3	1.14366323893875
chr1	14000001	14100000	A2	5	H3K27me3	1.09916938797161
chr1	14100001	14200000	B1	7	H3K27me3	1.47678776383102
chr1	14200001	14300000	B1	5	H3K27me3	2.88906747219801
chr1	14300001	14400000	B1	6	H3K27me3	2.16466768935482
chr1	14400001	14500000	B1	6	H3K27me3	2.38697011566291
chr1	14500001	14600000	B1	5	H3K27me3	2.68940706785609
chr1	14600001	14700000	B1	6	H3K27me3	2.88973189883649
chr1	14700001	14800000	B1	6	H3K27me3	1.95006233276208
chr1	14800001	14900000	B1	6	H3K27me3	2.23254579973012
chr1	14900001	1.5e+07	B1	5	H3K27me3	1.49967525036802
chr1	15000001	15100000	B1	7	H3K27me3	1.41588559824775
chr1	15100001	15200000	B1	7	H3K27me3	1.74041264796823
chr1	15200001	15300000	B1	7	H3K27me3	1.20290262240976
chr1	15300001	15400000	A2	6	H3K27me3	0.801164053924531
chr1	15400001	15500000	A2	8	H3K27me3	1.5486807977355
chr1	15500001	15600000	A2	7	H3K27me3	1.25365306123336
chr1	15600001	15700000	A2	7	H3K27me3	1.40237132002165
chr1	15700001	15800000	A2	7	H3K27me3	1.05273882324571
chr1	15800001	15900000	A1	8	H3K27me3	0.808219096384843
chr1	15900001	1.6e+07	A1	8	H3K27me3	0.910077651634763
chr1	16000001	16100000	A1	8	H3K27me3	0.806844277576407
chr1	16100001	16200000	A1	9	H3K27me3	0.843322810182224
chr1	16200001	16300000	A1	7	H3K27me3	0.737916394138436
chr1	16300001	16400000	A2	9	H3K27me3	1.3394082382075
chr1	16400001	16500000	A1	9	H3K27me3	1.13998980439986
chr1	16500001	16600000	A1	9	H3K27me3	0.907633249634703
chr1	16600001	16700000	A1	7	H3K27me3	0.75005350279659
chr1	16700001	16800000	A1	9	H3K27me3	0.950697145056625
chr1	16800001	16900000	A1	8	H3K27me3	0.956548354764829
chr1	16900001	1.7e+07	A1	10	H3K27me3	0.856125995591283
chr1	17000001	17100000	A1	9	H3K27me3	1.07937792810425
chr1	17200001	17300000	A1	9	H3K27me3	0.959354632064104
chr1	17300001	17400000	A1	9	H3K27me3	0.902629479540288
chr1	17400001	17500000	A2	10	H3K27me3	1.68235099535068
chr1	17500001	17600000	B1	10	H3K27me3	2.10613626257847
chr1	17600001	17700000	A1	10	H3K27me3	2.15229234727348
chr1	17700001	17800000	A1	9	H3K27me3	1.30642365616962
chr1	17800001	17900000	A1	10	H3K27me3	1.07864110977973
chr1	17900001	1.8e+07	A2	9	H3K27me3	0.865509521214267
chr1	18000001	18100000	B1	9	H3K27me3	1.67943085140174
chr1	18100001	18200000	B1	9	H3K27me3	2.84271412269672
chr1	18200001	18300000	B1	9	H3K27me3	3.56230402385215
chr1	18300001	18400000	B1	8	H3K27me3	3.52774953835001
chr1	18400001	18500000	B1	8	H3K27me3	2.79523704856306
chr1	18500001	18600000	B1	10	H3K27me3	3.83682695452591
chr1	18600001	18700000	B1	10	H3K27me3	2.28525677945902
chr1	18700001	18800000	B1	9	H3K27me3	1.49566536253875
chr1	18800001	18900000	B1	9	H3K27me3	2.59682100683709
chr1	18900001	1.9e+07	B1	9	H3K27me3	4.24062764763042
chr1	19000001	19100000	B1	9	H3K27me3	3.19497236223002
chr1	19100001	19200000	B1	9	H3K27me3	2.74496461056242
chr1	19200001	19300000	B1	9	H3K27me3	1.32794607646396
chr1	19300001	19400000	B1	10	H3K27me3	2.89004688905214
chr1	19400001	19500000	A2	10	H3K27me3	0.791789894200514
chr1	19500001	19600000	A1	9	H3K27me3	0.760802077030738
chr1	19600001	19700000	A1	10	H3K27me3	0.782523757996013
chr1	19700001	19800000	A1	8	H3K27me3	0.745578452918877
chr1	19800001	19900000	A1	7	H3K27me3	1.65901004603143
chr1	19900001	2e+07	A1	8	H3K27me3	1.07534180673987
chr1	20000001	20100000	A1	8	H3K27me3	1.10342505138939
chr1	20100001	20200000	A1	8	H3K27me3	1.54419820812245
chr1	20200001	20300000	B1	7	H3K27me3	1.7874664815262
chr1	20300001	20400000	B1	8	H3K27me3	2.41908488292396
chr1	20400001	20500000	B1	9	H3K27me3	2.59867386216968
chr1	20500001	20600000	B1	8	H3K27me3	3.53297787104597
chr1	20600001	20700000	B1	9	H3K27me3	4.12558279064496
chr1	20700001	20800000	B1	9	H3K27me3	3.45044025112738
chr1	20800001	20900000	A2	8	H3K27me3	2.27011189421639
chr1	20900001	2.1e+07	A1	9	H3K27me3	1.0949818195944
chr1	21000001	21100000	A1	9	H3K27me3	0.876185493595401
chr1	21100001	21200000	A1	6	H3K27me3	0.788379157333324
chr1	21200001	21300000	A1	7	H3K27me3	0.752489927314222
chr1	21300001	21400000	A1	6	H3K27me3	0.806489746009559
chr1	21400001	21500000	A1	9	H3K27me3	0.769542234170934
chr1	21500001	21600000	A2	9	H3K27me3	0.931896393856158
chr1	21600001	21700000	A2	8	H3K27me3	0.905897580404828
chr1	21700001	21800000	A1	8	H3K27me3	1.10417027270024
chr1	21800001	21900000	A2	9	H3K27me3	0.970918222731104
chr1	21900001	2.2e+07	A2	10	H3K27me3	1.32053003042961
chr1	22000001	22100000	A1	8	H3K27me3	0.792191349685441
chr1	22100001	22200000	A1	10	H3K27me3	0.909049199167887
chr1	22200001	22300000	A1	9	H3K27me3	0.860604800305516
chr1	22300001	22400000	A1	9	H3K27me3	0.929023413220048
chr1	22400001	22500000	A2	9	H3K27me3	1.01411809511731
chr1	22500001	22600000	A2	9	H3K27me3	2.33539190777491
chr1	22600001	22700000	A2	8	H3K27me3	2.4867109186843
chr1	22700001	22800000	A2	9	H3K27me3	1.76451802607477
chr1	22800001	22900000	A2	10	H3K27me3	1.35686346977676
chr1	22900001	2.3e+07	A2	9	H3K27me3	3.13176170991908
chr1	23000001	23100000	A2	9	H3K27me3	1.07745695523173
chr1	23100001	23200000	A1	9	H3K27me3	0.93752075464353
chr1	23200001	23300000	A2	9	H3K27me3	1.54621872611567
chr1	23300001	23400000	A1	6	H3K27me3	1.11854635198812
chr1	23400001	23500000	A1	8	H3K27me3	0.789463772766044
chr1	23500001	23600000	A1	8	H3K27me3	1.19282019036934
chr1	23600001	23700000	A1	8	H3K27me3	0.983800749701013
chr1	23700001	23800000	A1	9	H3K27me3	0.928960874988884
chr1	23800001	23900000	A1	9	H3K27me3	0.822667825008184
chr1	23900001	2.4e+07	A1	8	H3K27me3	1.37494657829131
chr1	24000001	24100000	A1	10	H3K27me3	1.11626492819463
chr1	24100001	24200000	A1	9	H3K27me3	0.919779105831186
chr1	24200001	24300000	A1	9	H3K27me3	1.11723597018396
chr1	24300001	24400000	A1	9	H3K27me3	0.937198125633349
chr1	24400001	24500000	A2	9	H3K27me3	1.2610712421221
chr1	24500001	24600000	A1	8	H3K27me3	1.4573375526992
chr1	24600001	24700000	A1	9	H3K27me3	1.36336199278807
chr1	24700001	24800000	A2	7	H3K27me3	0.867927635479718
chr1	24800001	24900000	A1	8	H3K27me3	1.02118882199178
chr1	24900001	2.5e+07	A1	7	H3K27me3	1.15229127105152
chr1	25000001	25100000	A1	8	H3K27me3	0.923921670857568
chr1	25100001	25200000	A1	9	H3K27me3	0.923840038389961
chr1	25200001	25300000	A2	9	H3K27me3	1.23388620482435
