chrom	start	end	comp	layer	variable	value
chr1	700001	8e+05	A1	9	CTCF	0.97687829247117
chr1	800001	9e+05	A1	9	CTCF	1.12854708660021
chr1	900001	1e+06	A1	10	CTCF	1.27576230993003
chr1	1000001	1100000	A1	10	CTCF	1.02534562278271
chr1	1100001	1200000	A1	10	CTCF	0.982185186100006
chr1	1200001	1300000	A1	10	CTCF	1.16874750129864
chr1	1300001	1400000	A1	10	CTCF	1.19836831772104
chr1	1400001	1500000	A1	10	CTCF	1.03712057157703
chr1	1500001	1600000	A1	8	CTCF	1.03449327338144
chr1	1600001	1700000	A1	10	CTCF	0.975758088048845
chr1	1700001	1800000	A1	9	CTCF	1.01056704850145
chr1	1800001	1900000	A1	10	CTCF	1.20578427804112
chr1	1900001	2e+06	A1	10	CTCF	1.13608430507526
chr1	2000001	2100000	A1	10	CTCF	1.12467092120245
chr1	2100001	2200000	A1	10	CTCF	1.10077062168047
chr1	2200001	2300000	A1	10	CTCF	1.02821713867486
chr1	2300001	2400000	B1	10	CTCF	1.08823428729102
chr1	2400001	2500000	B1	10	CTCF	1.09387835248545
chr1	2500001	2600000	B1	10	CTCF	0.790615496330261
chr1	2700001	2800000	B1	10	CTCF	1.10846605723798
chr1	2800001	2900000	B1	10	CTCF	1.02018926509917
chr1	2900001	3e+06	B1	9	CTCF	1.03032317359447
chr1	3000001	3100000	B1	10	CTCF	0.957410692252219
chr1	3100001	3200000	B1	10	CTCF	0.953112478644773
chr1	3200001	3300000	B1	10	CTCF	1.06991665080041
chr1	3300001	3400000	B1	9	CTCF	1.22154224445671
chr1	3400001	3500000	B1	10	CTCF	1.20679997700155
chr1	3500001	3600000	B1	8	CTCF	1.21146247849539
chr1	3600001	3700000	A1	7	CTCF	1.17310294416919
chr1	3700001	3800000	A1	8	CTCF	0.99247765722312
chr1	4000001	4100000	B1	7	CTCF	0.930502417736948
chr1	4100001	4200000	B1	8	CTCF	0.952350153016895
chr1	4200001	4300000	B1	7	CTCF	0.959709922370464
chr1	4300001	4400000	B1	8	CTCF	0.910273712056726
chr1	4400001	4500000	B2	8	CTCF	0.891801049215496
chr1	4500001	4600000	B1	7	CTCF	0.917404092271924
chr1	4600001	4700000	B2	8	CTCF	0.966846422755122
chr1	4700001	4800000	B1	7	CTCF	0.998925305476487
chr1	4800001	4900000	B2	7	CTCF	0.937793042148799
chr1	4900001	5e+06	B2	6	CTCF	0.935689073910117
chr1	5000001	5100000	B2	6	CTCF	0.902002181772292
chr1	5100001	5200000	B1	7	CTCF	0.917414887663275
chr1	5200001	5300000	B1	6	CTCF	0.907775283696204
chr1	5300001	5400000	B2	7	CTCF	0.939505654875189
chr1	5400001	5500000	B1	7	CTCF	0.930553274905682
chr1	5500001	5600000	B1	7	CTCF	1.14733120438561
chr1	5600001	5700000	B1	7	CTCF	0.979486488966942
chr1	5700001	5800000	B1	8	CTCF	0.810662348157466
chr1	5800001	5900000	B1	8	CTCF	0.96632657030046
chr1	5900001	6e+06	B1	8	CTCF	1.00074012808681
chr1	6000001	6100000	B1	7	CTCF	1.04871590948299
chr1	6100001	6200000	B1	9	CTCF	1.04814342700303
chr1	6200001	6300000	A1	6	CTCF	1.13639673302218
chr1	6300001	6400000	A1	10	CTCF	1.06853088971451
chr1	6400001	6500000	A1	9	CTCF	1.32667828073978
chr1	6500001	6600000	A1	9	CTCF	1.26312472313911
chr1	6600001	6700000	A1	9	CTCF	1.10133250509635
chr1	6700001	6800000	A1	8	CTCF	1.23753190377027
chr1	6800001	6900000	A1	7	CTCF	0.946268550291657
chr1	6900001	7e+06	A2	7	CTCF	0.956430137495398
chr1	7000001	7100000	B1	9	CTCF	0.90446726789996
chr1	7100001	7200000	B1	8	CTCF	1.04217023917377
chr1	7200001	7300000	B1	6	CTCF	1.02202689412415
chr1	7300001	7400000	B1	8	CTCF	0.902947297918647
chr1	7400001	7500000	B1	8	CTCF	0.940365974035114
chr1	7500001	7600000	B1	9	CTCF	0.944847088214755
chr1	7600001	7700000	B1	8	CTCF	0.971143911688924
chr1	7700001	7800000	A2	8	CTCF	1.14263813370556
chr1	7800001	7900000	A1	7	CTCF	1.04238031869277
chr1	7900001	8e+06	A1	8	CTCF	0.988123403310329
chr1	8000001	8100000	A2	6	CTCF	1.15480154241405
chr1	8100001	8200000	A2	7	CTCF	0.905919970402867
chr1	8200001	8300000	A1	8	CTCF	0.930894686719775
chr1	8300001	8400000	A2	7	CTCF	0.963635139894486
chr1	8400001	8500000	A2	9	CTCF	1.08563660727665
chr1	8500001	8600000	A2	7	CTCF	0.953335796486735
chr1	8600001	8700000	A2	7	CTCF	1.02142407346889
chr1	8700001	8800000	A2	7	CTCF	1.02703605755717
chr1	8800001	8900000	A1	6	CTCF	0.917417509135604
chr1	8900001	9e+06	A1	8	CTCF	1.15812515946209
chr1	9000001	9100000	A1	7	CTCF	1.21132549959943
chr1	9100001	9200000	A1	7	CTCF	1.01497950779274
chr1	9200001	9300000	A1	10	CTCF	1.18112432125345
chr1	9300001	9400000	A2	9	CTCF	1.04109325624362
chr1	9400001	9500000	A1	8	CTCF	0.895366810447872
chr1	9500001	9600000	A1	8	CTCF	1.05249087752447
chr1	9600001	9700000	A1	8	CTCF	1.14840522341624
chr1	9700001	9800000	A1	9	CTCF	1.0887835902448
chr1	9800001	9900000	A1	7	CTCF	0.967352570543438
chr1	9900001	1e+07	A1	8	CTCF	1.05839543758929
