chrom	start	end	GC_percentage	HindIII
chr1	100001	1100000	0.41534	220
chr1	200001	1200000	0.44295	199
chr1	300001	1300000	0.490696	185
chr1	400001	1400000	0.513806	173
chr1	500001	1500000	0.539158	164
chr1	600001	1600000	0.560375	153
chr1	700001	1700000	0.572964	133
chr1	800001	1800000	0.576037	123
chr1	900001	1900000	0.574739	125
chr1	1000001	2000000	0.568915	132
chr1	1100001	2100000	0.564771	135
chr1	1200001	2200000	0.561404	144
chr1	1300001	2300000	0.557499	157
chr1	1400001	2400000	0.561257	156
chr1	1500001	2500000	0.567003	151
chr1	1600001	2600000	0.567493	148
chr1	1700001	2700000	0.542768	134
chr1	1800001	2800000	0.552793	133
chr1	1900001	2900000	0.554838	132
chr1	2000001	3000000	0.553133	134
chr1	2100001	3100000	0.555209	127
chr1	2200001	3200000	0.554009	123
chr1	2300001	3300000	0.551361	117
chr1	2400001	3400000	0.54972	121
chr1	2500001	3500000	0.548165	129
chr1	2600001	3600000	0.548345	131
chr1	2700001	3700000	0.577231	140
chr1	2800001	3800000	0.570118	148
chr1	2900001	3900000	0.536516	139
chr1	3000001	4000000	0.484134	124
chr1	3100001	4100000	0.475518	131
chr1	3200001	4200000	0.469213	147
chr1	3300001	4300000	0.459401	163
chr1	3400001	4400000	0.447373	163
chr1	3500001	4500000	0.433135	162
chr1	3600001	4600000	0.423915	169
chr1	3700001	4700000	0.413212	188
chr1	3800001	4800000	0.415932	188
chr1	3900001	4900000	0.439733	203
chr1	4000001	5000000	0.482201	233
chr1	4100001	5100000	0.47706	254
chr1	4200001	5200000	0.467599	256
chr1	4300001	5300000	0.463551	262
chr1	4400001	5400000	0.464267	272
chr1	4500001	5500000	0.464637	281
chr1	4600001	5600000	0.465931	284
chr1	4700001	5700000	0.461821	283
chr1	4800001	5800000	0.458553	286
chr1	4900001	5900000	0.462227	286
chr1	5000001	6000000	0.469288	271
chr1	5100001	6100000	0.47709	252
chr1	5200001	6200000	0.491854	243
chr1	5300001	6300000	0.503195	224
chr1	5400001	6400000	0.512673	213
chr1	5500001	6500000	0.518101	198
chr1	5600001	6600000	0.526096	187
chr1	5700001	6700000	0.535615	173
chr1	5800001	6800000	0.532634	179
chr1	5900001	6900000	0.524871	181
chr1	6000001	7000000	0.51752	191
chr1	6100001	7100000	0.513177	188
chr1	6200001	7200000	0.505834	187
chr1	6300001	7300000	0.496754	194
chr1	6400001	7400000	0.484038	200
chr1	6500001	7500000	0.48032	207
chr1	6600001	7600000	0.477147	214
chr1	6700001	7700000	0.476121	215
chr1	6800001	7800000	0.481664	208
chr1	6900001	7900000	0.479212	204
chr1	7000001	8000000	0.479461	203
chr1	7100001	8100000	0.476361	207
chr1	7200001	8200000	0.471595	206
chr1	7300001	8300000	0.473936	209
chr1	7400001	8400000	0.477991	205
chr1	7500001	8500000	0.475476	219
chr1	7600001	8600000	0.463819	229
chr1	7700001	8700000	0.451045	252
chr1	7800001	8800000	0.439547	270
chr1	7900001	8900000	0.44068	273
chr1	8000001	9000000	0.444356	262
chr1	8100001	9100000	0.448965	257
chr1	8200001	9200000	0.45328	253
chr1	8300001	9300000	0.455816	245
chr1	8400001	9400000	0.461009	247
chr1	8500001	9500000	0.466351	237
chr1	8600001	9600000	0.47344	219
chr1	8700001	9700000	0.484738	208
chr1	8800001	9800000	0.495425	183
chr1	8900001	9900000	0.500509	179
chr1	9000001	10000000	0.50197	180
chr1	9100001	10100000	0.499454	184
chr1	9200001	10200000	0.495144	196
chr1	9300001	10300000	0.489656	202
chr1	9400001	10400000	0.477585	216
chr1	9500001	10500000	0.471205	211
chr1	9600001	10600000	0.468007	228
chr1	9700001	10700000	0.463331	220
chr1	9800001	10800000	0.47032	222
chr1	9900001	10900000	0.4765	215
chr1	10000001	11000000	0.478274	211
chr1	10100001	11100000	0.480327	203
chr1	10200001	11200000	0.485006	196
chr1	10300001	11300000	0.483922	196
chr1	10400001	11400000	0.492523	184
chr1	10500001	11500000	0.495799	188
chr1	10600001	11600000	0.50244	183
chr1	10700001	11700000	0.506412	181
chr1	10800001	11800000	0.501907	185
chr1	10900001	11900000	0.500278	190
chr1	11000001	12000000	0.500043	196
chr1	11100001	12100000	0.503269	196
chr1	11200001	12200000	0.505421	196
chr1	11300001	12300000	0.514245	188
chr1	11400001	12400000	0.506418	203
chr1	11500001	12500000	0.498084	210
chr1	11600001	12600000	0.490175	209
chr1	11700001	12700000	0.491627	204
chr1	11800001	12800000	0.482102	207
chr1	11900001	12900000	0.475036	225
chr1	12000001	13000000	0.469178	239
chr1	12100001	13100000	0.441065	249
chr1	12200001	13200000	0.43496	266
chr1	12300001	13300000	0.391922	258
chr1	12400001	13400000	0.38715	244
chr1	12500001	13500000	0.39219	251
chr1	12600001	13600000	0.374144	245
chr1	12700001	13700000	0.365353	265
chr1	12800001	13800000	0.368448	270
chr1	12900001	13900000	0.371342	254
chr1	13000001	14000000	0.370922	246
chr1	13100001	14100000	0.387599	258
chr1	13200001	14200000	0.388618	244
chr1	13300001	14300000	0.423334	263
chr1	13400001	14400000	0.42859	280
chr1	13500001	14500000	0.425463	274
chr1	13600001	14600000	0.439638	293
chr1	13700001	14700000	0.438995	290
chr1	13800001	14800000	0.434814	293
chr1	13900001	14900000	0.430605	310
chr1	14000001	15000000	0.431262	311
chr1	14100001	15100000	0.437672	304
chr1	14200001	15200000	0.440636	305
chr1	14300001	15300000	0.446866	305
chr1	14400001	15400000	0.456601	278
chr1	14500001	15500000	0.463029	275
chr1	14600001	15600000	0.468402	255
chr1	14700001	15700000	0.474231	247
chr1	14800001	15800000	0.482085	232
chr1	14900001	15900000	0.484615	210
chr1	15000001	16000000	0.48383	222
chr1	15100001	16100000	0.490128	208
chr1	15200001	16200000	0.48937	202
chr1	15300001	16300000	0.484425	201
chr1	15400001	16400000	0.488038	200
chr1	15500001	16500000	0.492904	188
chr1	15600001	16600000	0.497379	190
chr1	15700001	16700000	0.494125	192
chr1	15800001	16800000	0.492069	199
chr1	15900001	16900000	0.493469	218
chr1	16000001	17000000	0.496197	198
chr1	16100001	17100000	0.492911	206
chr1	16200001	17200000	0.467899	199
chr1	16300001	17300000	0.474003	201
chr1	16400001	17400000	0.468907	205
